,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1838,0.11058509512659652,0.11534150753144735,0.09477577750525802,0.0801045504022211,0.08982657290792945,0.0990100765024964,0.07891823430978744,0.048468463667535086,0.03055596599898836,0.02391834331279746,0.02021543398942869,0.01899889433512458,0.020576217437002317,0.017215649132743427,0.014601366082975731,0.13688785175766804,0.1200958830113634,0.12478292986438046,0.1051266592955675,0.09719919518343224,0.1143422857468765,0.1085782285975893,0.05861741462917286,0.037400501722137464,0.03537343109985799,0.026107982565684223,0.01847590009510788,0.013979085515393758,0.010306234597819632,0.010561290630871986,0.011137244919193537,0.1079157325255513,0.1569446808623085,0.14102985603454976,0.11958365144228597,0.12792386811384496,0.1317405699734363,0.08539736221524065,0.04098719622017199,0.027178551774998408,0.019975242003197863,0.014613862892710869,0.012439528102847751,0.012436747975571876,0.012106545928032907,0.008845621789503516,0.00766227850643415,0.08113443616486453,-0.25,33,-69,22,4650
800_1840,0.2322671646159053,0.18932597933699305,0.1265989310217942,0.09049991422894464,0.07354956080595285,0.07737361211091706,0.054725291494968575,0.033857876370327486,0.018157947123190358,0.009905896270093164,0.009572886569265688,0.008795524446512442,0.0063846861561112495,0.006090405555057641,0.0058614717079934885,0.05703285218597279,0.21605880238943406,0.17994409576938394,0.1501201565503432,0.1187272896632776,0.11118273991287246,0.07678554637703723,0.040907921303790507,0.018518868200827144,0.010718188902876995,0.009746355500875437,0.0071428901740723015,0.005445195818952826,0.004858891749881473,0.005702976927255795,0.00791604081689278,0.0362240399422262,0.3374603818100181,0.1585173245420387,0.11251136549061594,0.13264664373125892,0.11586287773671874,0.048501137044529824,0.01673796270951975,0.012427196449188412,0.00819534726707433,0.007580140884738895,0.008972076291537028,0.010107249052499594,0.005403163597663064,0.0038430167276679813,0.0029599822424187304,0.018274134422511964,0.47,33,-63,22,4650
800_1842,0.2383357970949707,0.13781586374755872,0.09660086224684053,0.1122003490738818,0.14179485897763106,0.11913819797985492,0.06758024218046538,0.03138416866707376,0.013366328948182609,0.006679627381468035,0.00633128569160428,0.006188122899902866,0.004033579313122487,0.0034432839722194266,0.002630908761397696,0.012476523063825776,0.2426881826864023,0.1390702791952451,0.12596580520523504,0.16100036356357486,0.17043372077480662,0.08854801714716441,0.02931864420514675,0.010114240659708238,0.0071771050077744465,0.00710545479689216,0.005124903135961547,0.0033619170788778806,0.0015388417362175602,0.002047054507450631,0.003136864399594905,0.0033686058999475685,0.2641360113134114,0.12581212747670806,0.1706113736603365,0.22222567520758468,0.14468789795732764,0.033592443030512696,0.012705704645003622,0.008663096799737688,0.005541454285128532,0.003184043985246938,0.003464864366123274,0.0022697950016724805,0.00016108222592514375,9.27626625713832e-05,0.00010947095223928515,0.0027421964304707234,0.47,33,-48,22,4650
800_3046,0.00033188113430954516,0.01639975059230474,0.0767445601442275,0.03806409883468075,0.046338225549909184,0.06572955824713471,0.08540650085143463,0.116488956894044,0.12590409188491308,0.0981137744791583,0.10321916167216344,0.08405414785080198,0.04706532517359555,0.04428027074145609,0.02803037176192245,0.02382932418794409,0.0025251262948511603,0.01567091682982252,0.05791459294862832,0.10545353069557792,0.10071913910083306,0.14633849530483298,0.1352596330584329,0.15272582395815693,0.1127101858798602,0.060955942084388585,0.0398150284982314,0.023588801889561674,0.01461160575967501,0.015437688924787703,0.008085793736797148,0.008187695035562508,0.005163412027634355,0.019196531105825632,0.046686814973886624,0.12051570975603365,0.19925929151566807,0.184289186967468,0.15955188972682965,0.10575772066117922,0.06135644556819085,0.031685963869576034,0.014569243226233656,0.01622986004233721,0.016258652251550758,0.010459251702043464,0.004446937444824108,0.004573089160718662,-0.35,56,-47,31,4813
800_3051,0.032668614994542135,0.10477490438013733,0.2995632832939785,0.1482532322695594,0.016577871420049375,0.008253977673981465,0.018410002820865773,0.032809603231245585,0.0398036602550142,0.032930910368916835,0.04321372032998624,0.0517059906953269,0.04885569961324851,0.043788105635587736,0.03938917355679465,0.03900124946076541,0.039120134309325,0.0802485389743015,0.2729838627099381,0.18391210812041595,0.042696561604647625,0.02460698909683629,0.038533031985887305,0.060870143503013216,0.059988870682572436,0.057047496024693264,0.053110285281797,0.039200950682413895,0.025359798016321385,0.015494915505050584,0.00487408610885459,0.0019522273939318133,0.018670811790558312,0.03442298540967185,0.06253433870075899,0.21012936895625106,0.20457902376904225,0.12616066184866026,0.08007661149939918,0.05959610200831991,0.054035407040361284,0.05262618529762997,0.03819181953329536,0.02703084719121264,0.020046974792118047,0.008815893695860461,0.0018122576196957648,0.0012707108471647875,-0.5,56,-47,31,5114
800_3060,0.14578153396522786,0.08203255490503636,0.03944648271509542,0.07005645475086866,0.020496364474355558,0.017425590031091183,0.030616991168994526,0.046867550772831335,0.08491739113296848,0.06474586113368856,0.05639232187201549,0.08248791773201511,0.08682122779669244,0.07616833059577963,0.04854985808688928,0.047193568866450174,0.17321029719505526,0.06836621994517257,0.08920919197059607,0.03569997218771684,0.04769919419249579,0.0704306433665943,0.05668481328224799,0.05422508879341155,0.038946280013538385,0.050264480939777714,0.0896215591658429,0.0814453975295734,0.06670075855084573,0.03643816479449409,0.03521389033064026,0.005844047741997142,0.0946763535476296,0.17156082841406786,0.09366290081452774,0.07239666129285498,0.07177088492166868,0.04427261850994427,0.04834077049493312,0.03860883862467709,0.07334553800032106,0.0971024687750418,0.07805196316623135,0.04329588547769413,0.03295964752610512,0.031417502668371663,0.00840688467415477,0.0001302530917767909,0.2,56,-47,31,4996
CAR_4316,0.06417626535428511,0.11139339648754866,0.07458503434916064,0.13847690094092718,0.20750836955940105,0.14474440886126208,0.07717938856578244,0.06404559937231882,0.028727357927788917,0.01317761060557448,0.007892230815965703,0.01214541265786994,0.017598866280612503,0.013056606254042195,0.0023810551447328754,0.022911496822727414,0.04415043053986879,0.08141046701954281,0.11409314780654012,0.10400703873174227,0.1310796979361436,0.11372520759568208,0.1461532177138039,0.16398858749495449,0.026461636775986043,0.009648307843878622,0.015840504593651092,0.021180578570360563,0.0037437579261153375,0.0025536707699510192,0.005195204572224844,0.01676854410955441,0.09300023958641396,0.13237920099252196,0.15749635720748822,0.10862433466874866,0.10625960244950684,0.13965930833956705,0.17131923260119278,0.02211021459499656,0.01879418337917699,0.02060704657115067,0.003927686742525421,0.003760741475909564,0.006585075528075542,0.009374561648248828,0.006092965474232459,9.248740244505863e-06,0.35,54,-31,22,4197
CAR_4803,0.003510970437282641,0.014561701098772363,0.04597598322366603,0.0922085364110792,0.11708431702127145,0.15070070768277438,0.1820896658760462,0.1772719805670755,0.12789730551165462,0.04557960864175863,0.009830887885669716,0.004067133522521453,0.003605384660611972,0.00440284077258691,0.005230135082255433,0.01598284160497353,0.016159118189871792,0.0626537465435586,0.13179121783668002,0.15674789739799905,0.16211395593063355,0.1931018050678252,0.14654529823774062,0.08259562701944592,0.01357370992735555,0.004327116711835019,0.0035528099764839775,0.003966113056160333,0.004753935063713911,0.00537109579294625,0.005467106525008264,0.007279446722741925,0.04970597814346514,0.13309919890494915,0.1909734662450709,0.17459100198869934,0.1969798624095743,0.14544819395224876,0.06511952675517417,0.01419769710772074,0.004629957902817321,0.004332126446134126,0.004832797089905903,0.005019395929541335,0.004625829000922452,0.003425447116033594,0.001971330446698739,0.0010481905610439976,0.2,24,-64,30,4977
CAR_4805,0.0007360455777919249,0.009877737159170159,0.029731506868620982,0.07275229737606632,0.1452981221313766,0.2150639021888465,0.21170919692527831,0.14328041035339215,0.07787298903209511,0.026040158470557847,0.008522191141072137,0.005431074974472376,0.00696446656018871,0.010280635406071444,0.013825958307119392,0.02261330752788,0.01817438015273193,0.06378809352414218,0.14731844888056111,0.19948093096938468,0.22891829486701526,0.17003866744150556,0.07572612520283918,0.024766750074155082,0.009922329299634741,0.005561410644287064,0.006054979576799667,0.008952340140479556,0.011546336518937128,0.012335947717311814,0.009751502865237708,0.0076634621249773455,0.055099012168479455,0.16015991181986802,0.23431256756259802,0.227444662254724,0.17836068941871447,0.06424832845535687,0.01766586459535991,0.008415913206298215,0.007602161694844863,0.009346980583591106,0.010459802222296114,0.010744228510827302,0.008287779617494124,0.005017909524859182,0.0023877164397899304,0.0004464719248984675,0.2,24,-64,30,4977
CAR_4808,0.010110084231800737,0.022518645570436976,0.05396659200878014,0.09110144018300173,0.10379010622618587,0.1539402991615136,0.21066995231833988,0.15187959175179727,0.08955833191482615,0.04695307409408039,0.020711287580989786,0.010144078857401822,0.0063659409415085435,0.005718336442304707,0.006236348474034933,0.016335890242997437,0.03178263522594122,0.07346610193565123,0.12435223034472034,0.13665349528611528,0.1812817498792709,0.24451516672285645,0.11120649486177428,0.04005700967528333,0.012633283705767624,0.007494672615515114,0.006190600241039786,0.005598873547479839,0.005761965172327153,0.005879611350318278,0.005395566418176505,0.007730543017762645,0.06907239979925829,0.1293313281917678,0.1677994263138551,0.1961916825638565,0.2619513542688111,0.1010801702825204,0.028991112180833133,0.009888692512197877,0.00647450353533096,0.005663862463305073,0.0059553629370828025,0.00587974898038144,0.005300849408708217,0.0035271832587231585,0.0018263509381635835,0.0010659723652045657,0.2,24,-64,30,4977
