,Exposure,Contrast,Highlights,Shadows,Temperature
800_4390,0.6,17,-27,17,3650
800_4392,0.2,30,-27,17,4278
800_4399,0.05,43,-27,17,3450
800_4400,0.6,35,-27,17,3340
800_4403,-0.3,49,-27,17,3340
800_4406,0.0,49,-27,17,3340
800_4410,0.0,49,-27,17,3340
800_4415,0.0,49,-27,17,3340
800_4418,0.0,49,-27,17,3340
800_4420,0.0,49,-27,17,3340
800_4423,0.0,49,-27,17,3340
800_4426,-0.2,49,-43,17,3588
800_4431,0.0,49,-43,17,3523
800_4435,0.5,49,-27,17,3340
800_4438,0.2,49,-27,17,3340
800_4441,0.0,49,-27,17,3340
800_4442,0.0,49,-27,17,3340
800_4446,-0.6,63,-27,17,3340
800_4449,-0.3,49,-27,17,3340
800_4450,0.0,49,-27,17,3340
800_4451,0.0,49,-27,17,3340
800_4454,0.0,49,-27,17,3340
800_4456,0.0,49,-27,17,3340
800_4459,0.0,49,-27,17,4353
800_4460,0.0,49,-27,17,4353
800_4465,-0.45,60,-27,17,3340
800_4466,0.0,49,-27,17,3340
800_4467,0.0,49,-27,17,3340
800_4468,0.25,49,-27,17,3340
800_4469,0.0,49,-27,17,3340
800_4474,1.2,49,-27,17,3340
800_4481,0.0,49,-27,17,3340
800_4485,0.0,49,-27,17,3340
800_4487,0.0,49,-27,17,3340
800_4494,-0.45,49,-27,17,3340
800_4497,-0.35,49,-27,17,3340
800_4507,0.0,49,-27,17,3340
800_4509,0.0,49,-27,17,3340
800_4512,-0.35,49,-27,17,3340
800_4514,-0.2,49,-27,17,3212
800_4520,-1.15,49,-27,17,3212
800_4523,0.3,49,-27,17,3212
800_4538,-0.25,49,-27,17,3389
800_4542,-0.65,49,-27,17,3212
800_4550,0.0,49,-27,17,3212
800_4551,0.0,49,-27,17,3212
800_4555,-0.55,49,-27,17,3212
800_4559,-0.75,49,-27,17,3212
800_4561,-0.15,49,-27,17,3212
800_4584,0.0,32,-37,13,5000
800_4586,-0.5,52,-37,13,4900
800_4590,-0.5,52,-37,13,5000
800_4594,-0.1,52,-37,13,5400
800_4596,-0.1,52,-37,13,5226
800_4601,-0.2,66,-37,13,5400
800_4602,-0.45,52,-37,13,5043
800_4604,-0.1,52,-37,13,4903
800_4605,-0.1,52,-37,13,4934
800_4610,-0.1,52,-37,13,4526
800_4614,-0.1,52,-37,13,4117
800_4618,-0.1,52,-37,13,4365
800_4629,-0.55,52,-37,13,4192
800_4633,-0.1,52,-37,13,4668
800_4651,-0.1,52,-37,13,5400
800_4655,-0.55,52,-37,13,4614
800_4658,-0.1,52,-37,13,5306
800_4659,-0.4,67,-69,24,5400
800_4661,-0.4,82,-69,24,5934
800_4664,-0.1,52,-37,13,4183
800_4665,-0.1,52,-37,13,4063
800_4670,-0.1,52,-37,13,3746
800_4672,-0.1,52,-37,13,3732
800_4673,0.25,52,-37,13,4183
800_4677,-0.2,52,-37,24,4183
800_4679,-0.1,52,-37,13,4338
800_4682,-0.1,52,-37,13,4338
800_4689,-0.4,52,-37,13,5400
