,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_5148,0.0694629388664876,0.1150186824552939,0.15630258156563115,0.1745251322404699,0.16776722087907514,0.12593197573570974,0.0742733297821107,0.03818452513994775,0.019705569657437676,0.011913368371378321,0.00877443952083598,0.006848829781119754,0.006262718394136827,0.0060644209991326005,0.0051190676212834645,0.01384519898994948,0.04458019417509936,0.10657328888946632,0.15252562726828106,0.17157910568645582,0.16525750915129814,0.1374507587160018,0.09233832156064124,0.0530696568871515,0.026677578345087674,0.013523667636389741,0.007677390287369371,0.006346782836716354,0.005686131007524731,0.004158409780410684,0.002734957089148387,0.009820620682957807,0.21909866512051215,0.2005509221324336,0.2016265836540848,0.1621954879800509,0.09925998517118648,0.044942106189190915,0.01881818606219249,0.010981392635668559,0.007923087476126689,0.006497873120055915,0.0059562712954996724,0.004916283486220148,0.003572518601528817,0.002342408622996905,0.0030724535300349536,0.008245774922216995,0.0,52,-57,14,5470
800_5150,0.07350026171732811,0.11462175735313385,0.15330717334495444,0.17168585156344449,0.16621469871457925,0.12600860815487852,0.07536049717704225,0.03904118970509511,0.020356146966005816,0.01230946769315939,0.008905848705143334,0.006964549138226607,0.006289528730440842,0.0060067815286802325,0.005342441213795861,0.014085198294091885,0.04434757184234245,0.10501099499048593,0.15111841492447192,0.17079849549421194,0.16426519639589804,0.13812514602549705,0.09334302102172597,0.054422808142150496,0.02783460676008041,0.013907958298751487,0.007800266407760662,0.006375877832068862,0.005648145110091939,0.004242391644952314,0.002967331687791597,0.009791773421718991,0.21351743574712972,0.19893090618496287,0.20078701274278216,0.16360377383835273,0.10205093017002928,0.046973443343428414,0.019588776785838157,0.011602351954644178,0.008111420454557967,0.006552374625068182,0.005921560993570144,0.004832686985855372,0.003653114766516653,0.0024854062586225235,0.003199403500295849,0.00818940164834572,0.0,52,-57,14,5470
800_5153,0.07372517676654793,0.12212157733301125,0.1658604114059869,0.1771261202261361,0.15385774864962887,0.11550933363046745,0.07034324827648625,0.0359536794461502,0.018683914172571363,0.011864454646930441,0.010077135594679685,0.008454119311832068,0.007880146896420056,0.007007517243945874,0.0067541402976641,0.014781276101541481,0.04742525531477757,0.1163512167268312,0.1607849174627006,0.15934123315215346,0.15034000681323864,0.1288420257912132,0.092353543445627,0.0573917638646874,0.0294167193881562,0.01451383336280452,0.009517696913937607,0.007756197261536097,0.007020867360072616,0.005532535857035616,0.003191365904607172,0.010220821380621114,0.2172835998475279,0.208347912944691,0.20493047589833344,0.16244556180481678,0.08943892407202654,0.0399867632910453,0.0180161881581332,0.0109056961009293,0.008150149554331835,0.0076007578682006065,0.007223045922858019,0.006625125876455768,0.0043321814981593905,0.002895241060707189,0.0030734169404770893,0.008744959161306617,0.0,52,-57,14,5470
800_5156,0.08540562001903039,0.1197509820730787,0.15085807389699413,0.16655282825375636,0.16000678461159365,0.12000645099632055,0.0729971137324194,0.03813013373898602,0.020376461163328568,0.012761086982420127,0.009717590817674518,0.00851239188057498,0.0072466081896714035,0.007417352046030541,0.005959161526826081,0.014301360071294575,0.05762089039383999,0.11423683359248155,0.15173463976927476,0.1639130285902784,0.15170114061190107,0.12958844867576758,0.09439308335162896,0.05644429098386556,0.02723335606614963,0.0132797321124409,0.008016758497114944,0.007448126128153628,0.0066732963985625705,0.004367607476417364,0.0032508496179059136,0.01009791773421719,0.2092075778452153,0.19544369069658207,0.19962134115982288,0.1650831869132968,0.10353111397332708,0.04668750312420243,0.02163825358240044,0.012450566033913368,0.00892225420867228,0.006739716667044691,0.006700794885182396,0.005871931592793822,0.003078839564965684,0.0031446542611698906,0.003167886215831685,0.008710689275579208,0.0,52,-57,14,5470
800_5157,0.07982576694627957,0.11687688099007325,0.15219154405296093,0.1697488460544984,0.1583540677611156,0.11901603753579207,0.0743724784796128,0.04090640737309572,0.021985604335809428,0.0131571037261633,0.010014486389928209,0.008247921951202325,0.007346500089514593,0.00741625100552524,0.006270535781724445,0.014269567526704085,0.05220022025214268,0.11061650230701016,0.15511329266383314,0.16404138238718355,0.1523643523602675,0.1279723414220907,0.09372411866662234,0.059197250085275585,0.029643175894083426,0.014328390615699647,0.008322737653537346,0.00680555888926153,0.007131246670728772,0.00492649563690679,0.003435934526846561,0.010176999968510242,0.19988773791007974,0.19258258189153915,0.1966155281063711,0.16758541156563775,0.10820877445603644,0.05092777526618205,0.023985341627544864,0.012731083628650748,0.008937888983847515,0.007002232249520442,0.0064856240444344715,0.0062084921492508854,0.003639737124377279,0.003067636477824273,0.0032995981862779964,0.008834556332425268,0.0,52,-57,14,5470
800_5167,0.058326134363496186,0.09765067684262982,0.13909452961237428,0.1615672617937403,0.16595865174507213,0.1353986394222268,0.0893365273050338,0.05051163700720455,0.027355571562237745,0.01545847106432521,0.011100470166316571,0.009428099742818958,0.008191713833406847,0.007200639748575198,0.0072896863994412,0.016131289391100378,0.03208423774635506,0.09128564425953817,0.1366036456772379,0.15708500847470874,0.15336219784420674,0.1386755011220704,0.10637433087015892,0.07118469095664785,0.041195623187824965,0.022504772460070214,0.012345251509581585,0.007971836044498772,0.007820525553058151,0.007198217459463543,0.005335504658612482,0.008973012175966532,0.16798071263305248,0.17863113249282836,0.19086900502713075,0.17133844575801024,0.1251386485256297,0.06603385831678653,0.03066238156382545,0.015577273334846898,0.01019701137969404,0.007814029414076891,0.006472191350269832,0.006992488041048552,0.006949657565392447,0.005076237145627361,0.002927391443461901,0.007339536008318581,-0.2,52,-57,14,5470
800_5169,0.0578195181009958,0.10254466425861768,0.14746243745264148,0.17019936430325386,0.16477120708612053,0.12979951814063326,0.08287903484550971,0.0458353528251268,0.024407700765377297,0.014628203945292382,0.011208124401722116,0.009766752276236088,0.007843537299618886,0.00757111235259545,0.007856144213404552,0.015407327732854104,0.03439493640279937,0.0968087937462661,0.14574985152468786,0.1607650712075926,0.15286502300403929,0.13612507842160998,0.101151572759289,0.06704243894565243,0.03728852590274862,0.0194689010008238,0.01097511670478836,0.008680548291746666,0.007480111354832544,0.007681932079453725,0.004438844797110165,0.009083253856559526,0.17414458511582614,0.18222591963857684,0.19252166682558355,0.1727925624273451,0.12010202131218045,0.06134295782200095,0.027597112323087564,0.014904179747945404,0.009944680421892295,0.007762858556593152,0.006997250041233967,0.007846565161008456,0.006701317879422412,0.004446414450584091,0.0024963340856376088,0.008173574191082056,-0.2,52,-57,14,5470
800_5178,0.05483729484037005,0.09911294121170387,0.13946010258614594,0.1614651402868739,0.16626964063579364,0.13312727543783426,0.08897775325638235,0.052742923117204216,0.02963709264529165,0.017190848195361583,0.012031042075382078,0.009330052085822143,0.007042723014102787,0.006533354150339153,0.007130448416362432,0.015111368045029912,0.03232577850720488,0.08980212980871183,0.13689321933013135,0.16324433916539807,0.15848088010131334,0.14266146043333872,0.10367306562047264,0.06726471149765953,0.03853985843702015,0.020931633312112608,0.011594231780917605,0.008219047163950877,0.006790226900225251,0.006348379345449036,0.00396765451286775,0.00926338408322633,0.16324447679546125,0.17385886510470125,0.18744702618868886,0.17368638710954626,0.12980639964379134,0.06939968408945822,0.032623527385850185,0.017791190530875488,0.010802115715393362,0.007686088507361227,0.006686894248803004,0.006978862664795485,0.005847983961803584,0.003687109392117739,0.0027040453769621373,0.007749343284390616,0.0,52,-57,14,5470
800_5185,0.06210061131970935,0.10812451733136848,0.155825005246458,0.17651006053740906,0.16800479789410588,0.12590411941092572,0.07628556388358126,0.03979903588489194,0.02000992477911476,0.012246460650243693,0.009519788890897676,0.007860052907198361,0.007620576597295976,0.00766059941966357,0.007497260060702566,0.015031625186433684,0.03505905650958269,0.09793777315438636,0.1530888645387664,0.16574854569064856,0.15325024955083053,0.13413902155815288,0.0995063705102596,0.0634920512582801,0.03435078467853691,0.01807947046117522,0.009632562964652857,0.007148010012421939,0.007345811939198781,0.007632550412791096,0.004263889460818264,0.009324987299497772,0.19057021016000544,0.19409904497948646,0.19556400689779854,0.16694234885851827,0.1117688512998554,0.054019909895249206,0.02302030715066352,0.013167838871089958,0.008947082672066757,0.007184289297071518,0.0061034528850454255,0.006585736152378721,0.00628884058012503,0.00507208071771986,0.002482240767169791,0.008183758815756066,0.0,52,-57,14,5470
800_5191,0.05531288928663365,0.10202167001860098,0.15281165006554495,0.1760049857316161,0.16988377856842274,0.1301029924299061,0.08068212872528797,0.04241876908516086,0.0215588410359558,0.012731056102638114,0.00978277241558818,0.00829870744450921,0.007419306392927444,0.0076314218462731655,0.007797486280484784,0.015541544570449966,0.0324624176339124,0.09292236849667672,0.1503673676697953,0.16363897960850962,0.15445368682312158,0.13609424928746164,0.1020199083537925,0.06623647729577405,0.036257951989789386,0.019054194094503187,0.010406952278041795,0.007090122807855879,0.007000635740787759,0.007762528244441563,0.0050348104966155115,0.009197349178921064,0.18312637808982246,0.1908080899611751,0.1948128495390714,0.1690317934254229,0.1147909872787982,0.056950907246365964,0.025377607346494583,0.013642469906911429,0.009275495528784613,0.007133503803764634,0.006076036976463498,0.006437591152390832,0.006212208160956267,0.005501266306685144,0.0028558788626427745,0.007966936414250194,0.0,52,-57,14,5470
