,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_6689,0.003442898608042572,0.03244705811886349,0.02139924521471281,0.03478261276471492,0.08983728052684348,0.08620172735638633,0.0647507332379245,0.13434403530023944,0.08901934506147001,0.05741039897523958,0.07875839075443075,0.06832121491451852,0.05417232142719513,0.046758410132743636,0.051665389826694025,0.08668893777998084,0.037693653756673134,0.0276788921066186,0.05336531378883673,0.17421166600861146,0.15336200516211831,0.13907303179650835,0.051204659427251935,0.07194771202681959,0.0793730190905009,0.08114572183004383,0.07159281914594931,0.0467673560868492,0.007652148933785406,0.0006786538414532503,0.000601883792221325,0.0036514632057587054,0.10666800589893463,0.3427421281659594,0.13182846053177175,0.0967176275924274,0.07502949687513694,0.08577923058849074,0.07575299059116848,0.07685213180159514,0.007636541684622801,0.0003793359800879026,0.0001831030360311101,0.00012620676791981955,8.728498605752408e-05,6.653037253265079e-05,5.557501950493254e-05,9.535010775883426e-05,0.0,27,-30,22,3454
800_6696,0.03535886983917542,0.058021971923907525,0.04966433128635223,0.1259571345112558,0.09509612524027457,0.12099012058375408,0.12039131970494756,0.07103607801444521,0.08468033711217775,0.07721698909903837,0.0656103981384488,0.043575357083951466,0.02540326159026804,0.00938837970659032,0.0031330658098516263,0.014476260355561212,0.09317536007878163,0.05988933662089348,0.1932045871989948,0.17957510957004588,0.1257690217409256,0.07228416247922613,0.09521977208901956,0.08911095163151081,0.0646900108540573,0.013776026120204116,0.002744040673317098,0.0018153130070979679,0.0013304698205898538,0.0011618454672034165,0.0010628619257770976,0.00519113072235524,0.2980121099041016,0.29103572458044297,0.118197248764027,0.12174182846273385,0.07802077619391877,0.06455901455993944,0.025955268247599347,0.00046006977513890176,0.0003509291350512061,0.00034115740056668353,0.00032326549235558587,0.0002621577443115293,0.0001946914873493749,0.00020168309455801918,0.00018491975286485238,0.00015915540504087174,0.25,39,-30,22,3454
800_6697,0.0008578206576779188,0.0045277538179130045,0.008257968945813172,0.006923893217568465,0.02038001201895816,0.03342604828414949,0.07135593028123438,0.0807640736648948,0.11971808848798292,0.09597715032660163,0.0765474738937791,0.07385631069072895,0.07320066859583642,0.06364498578446602,0.06251432728957519,0.2080474940428204,0.003104961750953886,0.011135620884448222,0.011382749425862428,0.03742987197761629,0.08958027014689422,0.14107464085710278,0.15252857255163274,0.09596520403711917,0.09325832348085587,0.070503835034184,0.06268969551605659,0.05113763358649191,0.05011124362745282,0.04342388143643506,0.01964154415205457,0.06703195153483946,0.014644169032619206,0.05272321449215938,0.1849687216413255,0.21836377563525086,0.174747404792477,0.0966496108152126,0.04831583192748812,0.027280177813637445,0.02761720631230926,0.032376701630574926,0.039604674709694164,0.03411788708565368,0.009645775450716435,0.0013087517966228444,0.001371235845298524,0.03626486101896013,-0.35,27,-30,22,3553
800_6700,0.0004646115672232573,0.01122417206708684,0.024524053220774698,0.023698355419838852,0.05508772650330015,0.04872192319185477,0.0619272249661375,0.10340025530927237,0.09848810072494707,0.08566755755524086,0.08178969289558018,0.06645762128126323,0.054881391512607236,0.044315889401802484,0.030302231214542362,0.20904919316852813,0.003368385691846509,0.02957959080490245,0.03115184912045581,0.08225672675191509,0.08510941259709251,0.1203662435074394,0.12957862188925778,0.1188762053916192,0.07258180125382087,0.05767316229182904,0.040957192866402606,0.029053871489635136,0.027442526236143683,0.014889866221376525,0.016103515644354232,0.14101102824190914,0.03326232356101163,0.10938036413171176,0.13652638015977858,0.17025243445560925,0.1681561083855465,0.08000014423630619,0.059880087880648976,0.04323549340597852,0.0363960224691538,0.026269835519963074,0.025169675847069,0.012975101730637487,0.00955386609453666,0.00815604012103518,0.006101003069921136,0.07468511893109228,-0.7,27,-30,22,3781
800_6702,0.0006327679783949428,0.006502167178026578,0.02292300269600778,0.034565735311183766,0.04535898765050948,0.04806559294664644,0.045098206206829576,0.05183365634191624,0.04057584748739253,0.04316387072110886,0.0654876871741333,0.0729921039981203,0.06526882784769263,0.05233399667353643,0.05660853870124345,0.3485890110872577,0.003040578407406567,0.020772725641185437,0.057405444292965735,0.06013420802927182,0.0594002819544526,0.07459241132054614,0.06578805102397868,0.0636324889747309,0.07644849035235278,0.06990861253701973,0.04028539300209484,0.041742840318958224,0.060945977667815635,0.043058391040701284,0.026233088293098745,0.2366110171434209,0.030361714927841107,0.09418168357461168,0.07619566392632365,0.10446820954738648,0.07980231478351672,0.08238356661812546,0.0715279403341746,0.04549014910070315,0.06158592993550765,0.06531498897087726,0.03392663634988337,0.02775621267610317,0.022723631786510892,0.015761339781320143,0.015638986655168868,0.1728810310319458,-0.85,44,-30,22,4188
800_6728,0.02381509323941311,0.04853802190145731,0.03288433635554271,0.06570508762190445,0.10350700118626104,0.10240967669266812,0.12897671057102386,0.15908942518859173,0.0738494842395961,0.04478886887686601,0.0447443317884267,0.04198187621265849,0.033533427259428705,0.035153801045063604,0.03015083814506385,0.03087201967603425,0.07681307238966968,0.05865985974065211,0.15063783826992186,0.1984877098555677,0.2471994484227485,0.060707712502469084,0.040108483318906034,0.05129166915318314,0.050128474911360736,0.04272273884266109,0.020965682989738964,0.0011126014306039494,0.00019895801930740588,0.00013592345037907725,0.00011252633964148799,0.000717300363189221,0.5055567036961269,0.2772408706675983,0.07196546630496753,0.09934570117452396,0.04314608891694829,0.0021172458396633985,0.0001849472788774848,7.01913322127677e-05,5.172137773638844e-05,5.601543570705188e-05,5.6786164060760706e-05,5.645585190917122e-05,5.004229096580851e-05,4.9436718687894426e-05,3.922456800125254e-05,1.3102382013049973e-05,0.25,39,-30,22,2886
800_6731,0.028420773199088607,0.0469651304876134,0.0685302474544494,0.11367838584819424,0.1489725695576834,0.2125742569242786,0.11854212217629904,0.05933141187084619,0.03921966837100396,0.03236973754937891,0.025576923203966213,0.020712801511684573,0.016179184653080856,0.011382281483647677,0.010286581024800056,0.04725792468398486,0.07407536269925805,0.091801289054182,0.21711230547091606,0.2596648785034833,0.16064739750358886,0.05568743574052351,0.038952225632266996,0.02703222349184426,0.016961584036145838,0.013839253371220871,0.009062196456895695,0.008190722896952078,0.0060330413447315994,0.0037590623891389846,0.0036223131583809328,0.013558708250470859,0.4097492787634171,0.3181955036148261,0.1735000084780119,0.04979031784617099,0.0194825539030895,0.013301092298243684,0.007191969054595973,0.002444502603850691,0.0010991136844140448,0.0008131184131628072,0.0005480704375248697,0.00042439606276723635,0.00030190530655279854,0.00027537023037510906,0.00011538904495526362,0.0027674102580420553,0.25,39,-30,22,2886
800_6738,0.03271865728550795,0.07069343420919638,0.1066484899559782,0.07096128983812283,0.049378638801239945,0.06874552839924786,0.10786577281262337,0.0924474346747163,0.05938368376883521,0.05180992891902706,0.053161648821369166,0.05350145744731687,0.0495897633181309,0.042996897928480375,0.029067882230065057,0.06102949159014252,0.054927084693577134,0.08849836022037548,0.1023703144946037,0.09138908701501093,0.08605468339690374,0.12996891322237342,0.06797598366408224,0.054516369059088216,0.047599247240627335,0.0514670098536519,0.05405921704128836,0.03503180575707655,0.02945010844147937,0.02581620683178017,0.01921290908334194,0.061662699984739576,0.09987673301022933,0.10604330304224098,0.12133287449305342,0.15212396769194825,0.10135446699840284,0.0645326996918628,0.05614973512268564,0.058725509280780526,0.06349411570922753,0.03678859846131791,0.026323593822634262,0.021376949144480517,0.013593831442589877,0.00814103844415049,0.0055675214190914705,0.06457506222530415,-0.7,42,-30,22,5757
800_6740,0.01845173225601658,0.05232306884652134,0.08897681737195284,0.08684203746224257,0.05640104761801998,0.06597627389835943,0.06883991509656455,0.05833563083785439,0.06318769613660301,0.0702040492306039,0.06780705652455682,0.06341946516296831,0.07182943275053791,0.08178424274507895,0.01897560732843752,0.06664592673368186,0.035136404605079885,0.07297011071402698,0.11513164921113753,0.0963102150794544,0.08026599046631047,0.055456354864474026,0.04755000320402787,0.0618821924094708,0.06401570612259998,0.06051390184752395,0.06121633816389164,0.05144829216506183,0.05244864251615061,0.06297827823249527,0.014071297657712492,0.06860462274058231,0.09676761483136792,0.11465492619835595,0.11530093418882713,0.09361184006109452,0.06217102286002318,0.06460479031894721,0.06257229707217915,0.05945756358674074,0.060188902216372527,0.055406174943445054,0.049175827140164004,0.04063312911968068,0.031652327082139164,0.016199581428441506,0.007597372168646814,0.07000569678357442,-0.7,42,-30,22,5757
800_6751,0.034196859215896214,0.06462722401924266,0.04839395075133903,0.06577335213323295,0.12358703471955068,0.16099185802567142,0.1059122241700852,0.08303056554505138,0.09026486960707608,0.0885341715628103,0.06220474222549794,0.02538294739294528,0.015710554288013257,0.009204863780369723,0.0078027988009228486,0.014381983762295044,0.06470911390682423,0.06690717611957653,0.0639575436579076,0.11419584735967185,0.13415732635655347,0.11179648741653836,0.13171675997250926,0.11038641236741543,0.07950013421683759,0.04857732904749647,0.031717728888153884,0.011315668533077129,0.006658927819968428,0.0063023008003023,0.005200021624435524,0.01290122191273197,0.103004403721605,0.09855575966399767,0.10832592516580017,0.11998544864868198,0.10737057984536548,0.12644054634510704,0.15149252096215965,0.08339154167471344,0.037607662493209335,0.02432454468121464,0.01043458839472478,0.003960305067494885,0.003509181246461531,0.003201550529281181,0.004075033488146969,0.014320408072036238,-0.35,45,-30,22,6018
