,Exposure,Contrast,Highlights,Shadows,Temperature
800_6665,-0.4,27,-30,22,5950
800_6671,-0.3,27,-30,22,6065
800_6681,-0.3,27,-30,22,5508
800_6747,0.65,27,-30,22,5247
800_6770,-0.2,30,-22,38,4450
800_6893,-0.6,49,-22,38,5450
800_6930,-0.6,46,-22,38,5450
800_6931,0.95,44,-22,38,5200
800_6935,0.15,45,-22,38,5150
800_6941,0.6,44,-22,38,5026
800_6967,0.05,72,-22,38,5300
800_6970,0.05,72,-22,38,5400
800_6971,0.0,72,-22,38,5487
800_6974,0.05,72,-22,38,5250
800_7290,0.9,26,-11,51,4113
CAR_0089,1.3,34,-24,19,3616
CAR_0270,0.55,26,-11,15,4113
CAR_1003,1.0,21,-28,20,2753
CAR_1004,1.0,21,-28,20,2753
CAR_1005,1.0,21,-28,20,2753
CAR_1007,1.0,21,-28,20,2753
CAR_1008,1.0,21,-28,20,2753
CAR_1009,1.0,21,-28,20,2753
CAR_1010,1.4,27,-28,31,2753
CAR_1012,1.82,21,-28,20,2753
CAR_1013,1.6,21,-28,20,2753
CAR_1014,1.5,21,-28,20,2753
CAR_1017,1.75,21,-28,20,2753
CAR_1019,1.55,21,-28,20,2753
CAR_1020,1.4,21,-28,20,2602
CAR_1021,1.4,21,-28,20,2658
CAR_1024,1.0,42,-28,20,3987
CAR_1030,1.0,42,-28,20,3987
CAR_9626,1.75,45,-43,16,3202
CAR_9629,1.75,45,-43,16,3202
CAR_9694,0.2,29,-43,16,4424
CAR_9716,0.2,29,-43,27,3551
CAR_9717,0.2,29,-43,27,3455
CAR_9718,0.2,29,-43,27,3551
CAR_9776,0.9,29,-43,16,3300
CAR_9780,-0.45,29,-43,16,3950
CAR_9973,1.2,29,-43,16,3660
CAR_9977,-0.35,29,-43,16,4950
CAR_9979,-0.35,29,-43,16,4900
