,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_0573,0.01401910833776135,0.051337224704089864,0.024571838378704643,0.016401292049012157,0.013863779048476393,0.02399244333880404,0.06996027886273086,0.13015399813131406,0.1646895098806274,0.20338678958389256,0.12507415507803185,0.09279778576350224,0.031878921218129554,0.013788137565762396,0.008683686257186766,0.0154010518019739,0.08743208506903194,0.041570444901841135,0.07746992562911803,0.10376880109240837,0.2831943893618347,0.2490971467856554,0.11556196336662072,0.018895671787752862,0.011137988121534612,0.006047685183452066,0.0034053806528245322,0.001245304337505029,0.0008600227386885153,0.0002391735237634269,7.0466592339092285e-06,6.697078873477013e-05,0.4299346818730637,0.4488383912565052,0.09391696591112532,0.016674845562553525,0.007752591353881245,0.002536356908005203,0.00027820540967625224,6.275930880200408e-06,3.4958036043221567e-06,2.8627053137756237e-06,2.614971200083503e-06,2.91775733904054e-06,2.697549237980877e-06,2.91775733904054e-06,2.725075250613334e-06,4.145417502448164e-05,0.95,27,-33,27,2664
800_0577,0.006696996295439115,0.08407391152787208,0.14942146377169352,0.059032837211821926,0.020503548763652627,0.016924396393079386,0.040808249612048375,0.09375145199716636,0.1186882027253395,0.0708206594395836,0.08250627758244096,0.08412731199237904,0.057410784339416425,0.046966589366282924,0.03626750351617285,0.03199981546561132,0.16723599636128136,0.16808233867169153,0.15267476320472373,0.1034485359354297,0.07522330753008208,0.11899453971992613,0.10974599215750867,0.06764718544318753,0.030737087162109936,0.0043612489674992655,0.0012681234019773365,0.00036400399105162364,0.0002161067251774272,7.156763284439059e-07,2.7526012632457924e-08,2.7526012632457924e-08,0.6108915972772591,0.2322449511237109,0.13509425677453707,0.019976260465665262,0.0014654298605267949,0.00031968711071336635,6.083248791773201e-06,4.128901894868689e-07,4.679422147517847e-07,1.3763006316228962e-07,2.202081010596634e-07,3.5783816422195296e-07,0.0,0.0,2.7526012632457924e-08,1.101040505298317e-07,0.95,27,-33,27,2664
800_0578,0.047518651075639504,0.0966254429761213,0.08602773543053656,0.1182825794031876,0.0888260849267775,0.08515397721154445,0.10180333368640032,0.1232441982322134,0.054368829631378235,0.042609028884476416,0.04164459997987298,0.06636293179780757,0.017040033172148344,0.009202716751384394,0.005593203188877553,0.015696653651633866,0.18987212295363365,0.17364573118888812,0.2984046858962657,0.11427066306200685,0.08049093304154292,0.07037047150297975,0.053952168378160734,0.004361744435726651,0.006333322616539082,0.007116850566121997,0.0011750579532669966,6.165826829670575e-06,2.7526012632457924e-08,0.0,0.0,5.505202526491585e-08,0.6994261817302587,0.2602079667327217,0.026120974843646744,0.011691811495699669,0.002535613705664127,1.527693701101415e-05,6.055722779140743e-07,3.8536417685441093e-07,3.027861389570372e-07,1.9268208842720547e-07,1.101040505298317e-07,3.5783816422195296e-07,5.505202526491585e-08,2.7526012632457924e-08,2.7526012632457924e-08,1.101040505298317e-07,0.95,27,-33,27,2664
800_0661,0.040940346946671535,0.12651338017453256,0.08476407124260568,0.08215127459752015,0.0887626374676597,0.06008581729906396,0.05066047015750825,0.057549735651185076,0.06496361941962392,0.04688629598743405,0.02899518603070273,0.026082245743872873,0.019670418939306024,0.011816889697101554,0.008124632940621546,0.2020329777045904,0.13202978578816554,0.20610834150488894,0.10339034594472467,0.08327612510374555,0.08886591506705667,0.057183199266971275,0.04321974852675276,0.026579640792141392,0.0243972684065896,0.019019896682763143,0.010429248348274084,0.008848429442792027,0.0075709471965196545,0.0063348365472338675,0.005728438488940819,0.17701783289244002,0.2986101125285417,0.1853361113319309,0.11080857882315946,0.06861290807038467,0.03929225446631576,0.032560933233123965,0.03231072177829492,0.02336179486338179,0.013407039920866016,0.011593323422500731,0.012459897352195772,0.011343249597734851,0.011642594985112829,0.010054949628497923,0.012273738928762459,0.1263317910691962,-0.05,28,-33,18,3800
800_0669,0.3655213900240005,0.127061780924209,0.12128792451442462,0.10112357880444177,0.08817784732928312,0.05998964141092615,0.03485481349584985,0.020127763639194312,0.013265886528086772,0.010367672658015277,0.008462707427773395,0.0063997153590085705,0.0060727338549476035,0.005536417024816793,0.004901997485663902,0.026848129519358385,0.5318000591919375,0.1857598742964076,0.1049715502143836,0.05561911617716975,0.029176692558001163,0.017400486307570382,0.01175936033069972,0.008619550647753141,0.0076335964012711295,0.006201280333941181,0.006215841594623751,0.005430854766371316,0.004328217752340317,0.0050898625218804274,0.007033529325883547,0.01296012757976543,0.7310252735039667,0.11394668189332285,0.051318974957714536,0.02479518444520441,0.01658131217162843,0.011920084718460641,0.00899517061613566,0.005463445565328146,0.004434660843190032,0.004917026688561224,0.0054854388494214815,0.00804918413999598,0.006582735817001783,0.0009086336769974359,0.0009863671366714974,0.004589824976399197,1.25,28,-33,18,3898
800_0671,0.2500296179895925,0.13265391059859388,0.1127398864474906,0.1473524435061622,0.13564835540882844,0.07678474812267089,0.04476244390473886,0.02989481870156936,0.021945223675277608,0.0140322107197744,0.008574930981275925,0.0054573347905237405,0.003718599150569271,0.002599914471173549,0.0019454559948242289,0.011860105536934512,0.4183530294799191,0.201969722927561,0.14307547918934352,0.07676058028357959,0.04271362773247975,0.035451274663582576,0.025067224028050988,0.017663910248463,0.011417542305829856,0.007801064662127003,0.004817740360995949,0.003170528713044401,0.0020731766934388336,0.0018864126977276067,0.0017597930396183,0.006018892974238515,0.6391248632782952,0.1474050457163028,0.0758599566762582,0.0496507334361118,0.031430192160195235,0.016723566604912976,0.012607932248133131,0.008844245488871893,0.00583573488618214,0.0038454390167796367,0.002975589491581334,0.0028849463319826503,0.0016327054392942413,0.00016664248047690026,9.507484763250968e-05,0.0009173318969892928,1.35,28,-33,18,3898
800_0672,0.24959935888613455,0.11641273736506473,0.13322174471318884,0.13279602740181526,0.10286883810939014,0.08331122076985192,0.06163112764825015,0.03497144121137357,0.02269522494147419,0.014314269771219197,0.009539580093980413,0.007506040858732319,0.006235219907517003,0.004946039105875835,0.004212553447258728,0.015738575768873102,0.404573259821997,0.1920873613982686,0.14277695958234451,0.09684650438357256,0.06126002194593935,0.03036127451163899,0.01911191614299345,0.013070616994472116,0.009849522996221891,0.007038484008157389,0.00561321460006135,0.004005805566376337,0.002161975610191143,0.0015595137717045364,0.0011944362661602467,0.008489132399900555,0.6017165166425575,0.18178806335563236,0.09948173472895357,0.044196866923179735,0.02648525409482469,0.013268363869223691,0.007719229826570706,0.006618216847285021,0.004194496382971836,0.0023773941850527584,0.001886660431841299,0.0017375795474239065,0.0015140132728230832,0.001022728999358974,0.0007437253353163808,0.005249155556984461,0.5,28,-33,18,3812
800_0675,0.565656063793406,0.0808995016470465,0.040264638388569966,0.046496968064760565,0.04618867672327703,0.0458721551040164,0.04180909543136455,0.02308292882940236,0.009954865046566308,0.0043515598110526405,0.002068001803063932,0.0011632768198603044,0.0008831996413250449,0.00475349464751179,0.024918941397999942,0.06163663285077664,0.6177348392778144,0.05852066069476977,0.0472683845687852,0.04190981311158671,0.05282445516662156,0.045788531077638986,0.02607671301533375,0.011174184828146295,0.00426298110240139,0.001674544978495578,0.0012396339789027427,0.002151901089567663,0.027070099285226527,0.0378884278220604,0.024386615839700837,2.8214162948269374e-05,0.6587176313359651,0.06228718263333216,0.05715704955497044,0.052297827492937383,0.04158412533011946,0.02266395539112372,0.008437989068429448,0.003685182571233467,0.0016009954727416505,0.0043562392332001584,0.040156763945063366,0.04135722840799012,0.005697444198716671,5.505202526491585e-08,2.202081010596634e-07,1.101040505298317e-07,0.35,28,-33,18,4234
800_0685,0.022244651640693492,0.06846817629596323,0.07255270625846838,0.08802653683784249,0.10735453218000074,0.09625397943564627,0.08795224412974749,0.13610402102194616,0.07423897731834539,0.04140432541560425,0.029798037241153638,0.020185623317747738,0.01822183499851029,0.02130328953467606,0.014778853812429825,0.10111221056122456,0.08123953048109525,0.1837362444257072,0.1551315424102085,0.16335518641826902,0.12495906881921555,0.06401603643475158,0.03763246343059118,0.02629810473493661,0.02188439118735988,0.01911706350735572,0.012274206870977213,0.00829826702830709,0.009229609665726305,0.00717399456834698,0.005209297890692664,0.08044499212645935,0.3112623066049878,0.24348902449793106,0.1548059647327918,0.06605758573967571,0.03915715679631565,0.030241866668839382,0.021963088057476075,0.02330440312704312,0.014109531289258974,0.008596126011002918,0.006689123855826233,0.008028126740332148,0.006402523012297081,0.003496987222865352,0.002013913188241152,0.060382272455115536,0.1,47,-33,18,3632
800_0686,0.12958572360051696,0.1840212762865163,0.13826500569568256,0.09562701944591677,0.05748928852744421,0.04275015475124302,0.024326636658174708,0.023718366831022655,0.02705033560815642,0.030265786773816993,0.029141706995945312,0.02811666581152521,0.027019781734134392,0.02622532595753639,0.02633240214667665,0.11006452317569147,0.3256680453161847,0.1845836327245974,0.09380633886635548,0.04202635824907254,0.028071578202833243,0.024126192234185148,0.024454605090903005,0.029035814425348243,0.030693706166201182,0.02990277371922014,0.028496524785853124,0.0305254671769916,0.03172818877295422,0.03230634514228636,0.025925430049905763,0.03864899907710785,0.4746263563993245,0.113978722172027,0.06510303867360734,0.03319215975481149,0.032598423662329366,0.03827070908549998,0.04376168066346058,0.03239943811700933,0.03947367841557629,0.046624413503248835,0.03247860292934029,0.01749300123602807,0.010668311767986985,0.007216769991977819,0.004327171763860284,0.007787521863911835,0.35,51,-33,18,4036
