,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_0569,0.003243968114747799,0.027991587610123318,0.06866278520527469,0.14579213148009132,0.17189111303964472,0.0931342637419214,0.020926733681864037,0.006483229281335447,0.01626839646002265,0.05956516277012103,0.1244272387291438,0.12998586924615502,0.06739466180329735,0.032292912448121734,0.014949570142776324,0.01699037624535939,0.20289396385372105,0.2669414349948989,0.05185443848145374,0.00930750828147616,0.007186298695993688,0.012616052421859706,0.04611710909043264,0.15462365995112698,0.161344631403569,0.0573647883723076,0.02027464244260111,0.0064476381470016785,0.002067864173000769,0.0007131164092690874,0.00019243435431351332,5.441892697436932e-05,0.5256153219915884,0.0185171340620313,0.012250396870050136,0.01837980678500797,0.11073549725962027,0.21379842128408189,0.09019514621707808,0.009758246738332659,0.0007125383630038058,1.9956359158532e-05,6.386034930730239e-06,4.596844109620473e-06,3.027861389570372e-06,1.2386705684606066e-06,5.780462652816165e-07,1.7066127832123914e-06,0.65,49,-29,18,3296
800_0580,0.0002358979282601644,0.0010634950240676444,0.012621860410525154,0.04902358076429388,0.0752635230345381,0.10140850056120036,0.1496016490503856,0.16120045014940018,0.08050640266064236,0.08000176827105153,0.09344929895649988,0.08612476462506598,0.03715373101888747,0.0239789280666015,0.024780898444648158,0.023585251033932088,0.0069622369531654816,0.07538072879632711,0.1772062484489092,0.2845953808267889,0.10796651801885818,0.08671982196615445,0.12185674956547435,0.10068225424390558,0.0301513060872786,0.008116375136831808,0.0003226599200776718,3.4572671866367154e-05,4.9546822738424265e-06,1.101040505298317e-07,5.505202526491585e-08,2.7526012632457924e-08,0.6016657586752633,0.20619507597069384,0.0957367656582824,0.0822306871439648,0.014154563845925675,1.4836520808894822e-05,4.954682273842425e-07,5.229942400167006e-07,4.954682273842425e-07,1.3763006316228962e-07,2.7526012632457924e-08,4.954682273842425e-07,0.0,2.7526012632457924e-08,0.0,1.101040505298317e-07,0.65,50,-29,18,2559
800_0584,0.005879914136457235,0.07011959942384753,0.11871363676101188,0.11364439122259318,0.0907520800306706,0.09841119304565199,0.1009716352147106,0.0965120633300882,0.06592837863637895,0.04548516689241667,0.03693704624744476,0.03542639114816284,0.04771367287514047,0.04665763740049621,0.012010893034135118,0.014836300600793762,0.19507288778041024,0.18364405980940107,0.1566437940182231,0.16419227998843464,0.1007864952537447,0.05549310209133836,0.045013976608174265,0.07427635764350025,0.015025156573465056,0.0015222710766128204,0.0010626417176760382,0.0010066538079816188,0.000934287920770887,0.0008170271069566161,0.0006911506511883862,0.0038178579521219135,0.6889769219708008,0.1502099464035503,0.10443900444798344,0.04921353777747047,0.0028986542862736143,0.0010325007338434966,0.0006286115504874416,0.00041115605069102406,0.00029640010402630693,0.00032904595500840204,0.0002828022537858727,0.00023116345408738165,0.00017977238850258272,0.0001311063981683971,0.00010878280192347371,0.0006305934233969786,0.65,50,-29,18,2717
800_0594,5.505202526491585e-07,7.825645391407788e-05,0.0009552076903715551,0.008408976651114836,0.03233483456536096,0.07485123841732914,0.12572470486058734,0.15825654309835882,0.12225210568491435,0.09672327042501704,0.08727370039234478,0.0680606812049523,0.04799377757968835,0.07213304466987393,0.05709896966831595,0.047854138117603896,0.0012864557263905535,0.02610302788341038,0.119785334536844,0.2665349033143301,0.22340596310325184,0.1508677080014155,0.10648520564904246,0.08091728345120706,0.02176878193430356,0.0023813304048592,0.00019923327943373046,9.5515263834629e-05,4.712453362676797e-05,3.352668338633375e-05,2.7553538645090386e-05,6.105269601879167e-05,0.5402183396353222,0.3230126108775315,0.11974379778378165,0.015772597920486818,0.0005989660348822845,0.0002649378715874076,0.00016419266535261154,9.29002926345455e-05,4.1316544961319346e-05,3.371936547476096e-05,2.320442864916203e-05,1.8387376438481893e-05,8.835850055018994e-06,5.97314474124337e-06,1.9268208842720547e-07,2.7526012632457924e-08,-0.05,50,-29,18,2621
800_0699,0.12918800024399058,0.14352109780785038,0.1607394720158444,0.11954572059687844,0.06869344918334724,0.04466235932280724,0.05463715320251945,0.041639480141523334,0.02549638209100364,0.020555930765692197,0.02820345532935535,0.054070337550391874,0.03563393728341157,0.02370732889995704,0.01910927364578073,0.030596621919646506,0.25981668446315137,0.2496339315580009,0.08991190354709007,0.04757956614159513,0.03685122014005676,0.060298015330447575,0.05815128913125483,0.0590899812140469,0.05643438161931789,0.03246891377289366,0.01598650256465365,0.012063054828073624,0.010800243946534355,0.0052258410242847705,0.0019010014844228085,0.0037874692341756814,0.4113659640633592,0.15659454998162364,0.08055091222306905,0.0531796508336308,0.07824921457275555,0.06808443615385412,0.07394425630108965,0.03279275731151453,0.0136319274440732,0.014224617548075282,0.01003199293396245,0.0038010395584034814,0.0014410142873218046,0.001029693080554986,0.0006899670326451904,0.00038800667406712686,0.35,28,-33,18,4036
800_0748,5.31252043806438e-06,0.0002617723801346749,0.0021294673892722103,0.005106460707497799,0.01694559142280638,0.0592313548149272,0.15844019665464254,0.24038172303590336,0.1803596559820962,0.13885918220436674,0.0878577748543929,0.011598938729077751,0.009298011807117965,0.02373334098189471,0.029637588113519037,0.03615362840191238,0.001770087768342839,0.08525885131967413,0.3861969213145807,0.2314157299931581,0.08803121625999001,0.0916904693273237,0.00858338146715409,0.010666962993367992,0.028218209272126343,0.03682556589628331,0.02559872380597112,0.005714317644460368,9.634104421360274e-06,6.413560943362696e-06,4.8445782233125954e-06,8.670693979224247e-06,0.6523611318167895,0.1861607631443867,0.04149372990463448,0.016272497835904887,0.04031991062193594,0.04956777003403757,0.013517666965635866,0.0003037220233865408,1.101040505298317e-06,3.8536417685441093e-07,3.8536417685441093e-07,2.202081010596634e-07,8.257803789737378e-08,2.202081010596634e-07,1.6515607579474757e-07,2.4773411369212126e-07,0.6,52,-33,37,3140
800_0868,0.2540257619255349,0.11984539629640804,0.057058864267910465,0.04546493527313181,0.03486513575058702,0.028980459613944368,0.033962144906179235,0.031102770239932145,0.02157252146423413,0.014598448325636691,0.01119193910629423,0.0081952371630238,0.006271967134381333,0.0035637102774864304,0.0020968215382901148,0.3272038867170253,0.35104036766825386,0.08149004472206324,0.049061263875587714,0.03525319747667941,0.028797907098165907,0.026082328321910767,0.03444082226585768,0.02244603194911255,0.014680723577395109,0.01057769613440093,0.008259565454545856,0.005538866839941081,0.003986564883546249,0.0021358534242029398,0.004624012284088709,0.32158475402424797,0.39898203850602904,0.06741536136479696,0.04749877729451887,0.0368351449486794,0.032480749958325617,0.03739802438100053,0.016008661004822778,0.012190445214536641,0.011104268756059852,0.006474668691406753,0.00450743962059025,0.003200697222889575,0.009666585116266576,0.024671042128232026,0.02079904050926206,0.2707670552825832,0.35,50,-33,18,4248
800_0887,0.06027704050882165,0.1095456027855444,0.12592680084533486,0.07118725087582267,0.03738918853094552,0.045859823450357065,0.05676507913508424,0.06123040395634681,0.05991146753504997,0.05419015828338096,0.057699697368006723,0.06305174516021131,0.055120042042130654,0.045930785510923534,0.03854996048365626,0.0573649535283834,0.22384227792948894,0.12347073731617855,0.056822663553511336,0.040375375537390346,0.058717334055028686,0.07066976183833246,0.06345076223933141,0.07037033387291658,0.0715135167035552,0.07068184575787811,0.059263257463568225,0.042887179242127385,0.023961972042819902,0.012980001360886064,0.006801815351543516,0.00419116573544331,0.3300819240198372,0.07716939662319686,0.05636132758179135,0.07500180570642867,0.08102240529345042,0.07443873359201914,0.08947567129889088,0.08245166597337816,0.06199554452949126,0.04133157416421667,0.02086868132122218,0.006688683439624114,0.002449649968212961,0.0003509291350512061,0.00010952600426455008,0.0002024813489243605,-0.05,28,-57,18,4249
800_0904,0.08893528061889046,0.12918552290285365,0.09406910218294492,0.07054025194889675,0.060502478552281476,0.07360191528197978,0.08105884973417579,0.0669313164326552,0.06295567937612402,0.07004525166372726,0.052334519667776434,0.049370546153526006,0.04479197931629349,0.022302786579373242,0.008518227395253063,0.02485629219324846,0.2422544828313653,0.10937560213152632,0.054859618436614965,0.06030652086835101,0.06332637218824534,0.07266578311836251,0.09132396046912253,0.07849510444360129,0.0751023031785498,0.041084170362676135,0.038533472402089416,0.033302511539455015,0.011952813147480632,0.005306189455158914,0.01845412701911561,0.0036569684082851978,0.33659623016943474,0.06556186977817778,0.07300768372127027,0.09027287967675213,0.10659949365349244,0.0894603393098546,0.08576827523546303,0.04646611140459957,0.03560938408014342,0.03228121389275293,0.010401336971464774,0.008016373132938091,0.018202759471756,0.0017496634669695555,5.642832589653875e-06,7.43202341076364e-07,0.35,28,-33,18,4036
800_0924,0.3418419449748401,0.10112646903576818,0.03920890570006468,0.0385331145639252,0.050155670611841605,0.0624976189999073,0.06010833357739731,0.04749398776832082,0.03346191467860958,0.01997692108996844,0.012061898735543064,0.007399350033768913,0.005079209954991666,0.008804965868845377,0.014428475197631262,0.1578212192085765,0.4268089379825723,0.04346704222424275,0.039221842926001935,0.036735831095101486,0.06180949621010848,0.07797010080466242,0.06511135152942234,0.03386720768860989,0.015812125274627033,0.008573719836720095,0.005922909768189134,0.0056014059406420255,0.0121393569350908,0.018503371055715076,0.02148898001589462,0.12696632071239966,0.4475573581546033,0.0476800360877036,0.04716659337407037,0.08305076963832361,0.09814399804102872,0.05046313617294616,0.0188767063650491,0.011405761172423165,0.00717793078815342,0.006348792235638522,0.007610281868571438,0.017515545040374055,0.024107529597620345,0.025818849328992886,0.026641822054678112,0.08043489007982324,-0.35,28,-33,18,4357
