,sqrtR0-31,R32-63,R64-95,R96-127,R128-159,sqrtR160-191,sqrtR192-223,powerR224-255,G0-31,G32-63,G64-95,sqrtG96-127,sqrtG128-159,sqrtG160-191,sqrtG192-223,powerG224-255,B0-31,B32-63,B64-95,sqrtB96-127,sqrtB128-159,sqrtB160-191,powerB192-223,powerB224-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1730,0.05901488180395154,0.12655109081183902,0.13751060026746476,0.13681474266811622,0.10345731673345945,0.3122081113448274,0.2957777790793016,0.7444990902446161,0.06132068927778128,0.20555058191091746,0.15482974720770623,0.37399204201731506,0.32775459104558025,0.3058461973982928,0.25967770422326786,0.6421438361825048,0.14609767022031162,0.28651537525992815,0.15440887447455592,0.3680953813050181,0.31203367107337976,0.24019747139337408,0.37364921539207036,0.5664187780325411,-0.6,74,-58,0,4100
800_1737,0.15410300803845944,0.2701626390971996,0.19964630725328048,0.14312623715663775,0.10823200641069824,0.20272862841600467,0.1825663659283648,0.6519479381449498,0.1007988819594293,0.33350805928618665,0.1387533722118076,0.3740645683076382,0.23744888311227258,0.1966375166112857,0.15698463854754308,0.6395711438323347,0.23168328283594564,0.29762258929933966,0.1808752732507274,0.25768957687616567,0.18661871364061083,0.14614097805684212,0.33569445177789947,0.6269813248063675,0.0,45,-16,22,4550
800_1743,0.19343300953922293,0.07438125927764257,0.1741351161674806,0.2562668197700191,0.045456209527127325,0.29588073553889876,0.398674438250832,0.6381662179615326,0.08726368092374656,0.2478263533604527,0.21134103650631922,0.30121714066989586,0.36348324735756393,0.4531761632824667,0.15918942493086571,0.051772120466718016,0.38326633685365347,0.20065987009043285,0.09563065287958428,0.45929158853640467,0.33077991126089806,0.008878879443902789,0.02015921602753392,0.012880592067803733,0.0,45,-16,22,3750
800_1746,0.26508832164715407,0.13719878559636428,0.15837003284844242,0.07222068749409567,0.060941711135857606,0.3373197425751166,0.5427745359337659,0.5516483363250805,0.10892103755891394,0.19356633405701051,0.14429380803446873,0.29647237789695724,0.450288148527111,0.47174982216367634,0.19299799952397098,0.22936037320547834,0.21306840390305648,0.23226664162166527,0.23810815697050025,0.5030773246555806,0.23606098478923992,0.08797295742303145,0.04926508875580152,0.0169518124918785,0.25,45,-16,22,3800
800_1747,0.29560695886721444,0.05064673467720465,0.08952042859543125,0.15018762280730535,0.18773258104373797,0.39830712844521154,0.3884803464321298,0.5945602782564053,0.1171611971745539,0.0667055756030564,0.19080767707098562,0.48145417368701693,0.37951831992317153,0.3907537923181808,0.3036070022392492,0.26081792919965685,0.15350670941052713,0.26647665827159983,0.22045288989000386,0.43529128290489516,0.38566275847041076,0.14609896942065106,0.038878128360832355,0.038878128360832355,-0.35,45,-16,22,4000
800_1749,0.27481590471437056,0.13891043563988842,0.2324436614089046,0.21788878676126516,0.2677418363902255,0.15807394176588446,0.13635886093388808,0.39323001263243196,0.12686499745989954,0.25590036596384313,0.24652252872009106,0.5517480571615798,0.16624196805594574,0.14842081254866005,0.09334419687748938,0.29820544949638006,0.31097898135696195,0.300583645056251,0.329378249032901,0.1646404830955213,0.13325561254675633,0.08772150242374675,0.22544276222006637,0.2501780818515623,-0.3,45,-16,22,4050
800_1750,0.053727324693802044,0.044357756467016465,0.1756061613345844,0.18597408172671337,0.21773926546064562,0.48409141464939415,0.3047807271275772,0.46361902195152804,0.014844613456608764,0.1980427243353514,0.21226803003374248,0.48184690398327634,0.5169884255386321,0.23664777237270382,0.10226361951055325,0.3074162258519488,0.17330438110623303,0.28094672527431874,0.2656422897766848,0.4913618471024728,0.15339385911576497,0.11037569018142002,0.23316786619353194,0.036988187832773196,0.35,45,-16,22,4050
800_1753,0.3239861662915747,0.1601040064882115,0.12670171315296383,0.15950583870769555,0.1680595196072192,0.27240439958334983,0.22463921815832144,0.6284599917796906,0.20013935319155307,0.17142735477881307,0.16019908133584398,0.4096983239827954,0.28330028928881645,0.24101573574038287,0.2084161380617803,0.586837733291785,0.32855549651531696,0.21165788843773142,0.18033053346073105,0.2967479070168613,0.22152461514027041,0.1911251827470818,0.3996316145068357,0.5323091614125915,-0.35,45,-16,22,4100
800_1754,0.28353372189891507,0.06370521270010585,0.11802331189020249,0.29868410245049776,0.23041020475169444,0.38121341302622014,0.20241929464336872,0.3872490937541231,0.12708812331829825,0.10869504899520145,0.3463344930225962,0.4769240830763255,0.3715236883023254,0.17984422613901813,0.11591374934042709,0.2851991409324496,0.19469564377728243,0.4170582333717009,0.2622993931725359,0.30020548104609945,0.14145478725338356,0.1178334686924292,0.2081129497653717,0.0854732619606608,0.15,45,-16,22,4100
800_1755,0.46157111805619433,0.09144006519040623,0.15958632476863285,0.2432598704427658,0.13337060538950518,0.3152009188870488,0.17989227891011744,0.4075284733676318,0.27017348434617683,0.17598508442448285,0.2536424897256405,0.3826524043221883,0.3114984976406578,0.16879747796115524,0.10866790911464945,0.3580950469982373,0.4202024196906561,0.28192590812169316,0.1705238684661779,0.29301969631717084,0.12349775567770528,0.11460346569602249,0.3075625046772519,0.25386473724545033,-0.35,45,-16,22,4100
