,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1730,1.1505873280367411e-05,0.0034712504010540038,0.04326604728000055,0.08328504353183845,0.07536289194014127,0.06214770832732349,0.06770386150319775,0.06911088116491848,0.05496986011720796,0.048487456616251486,0.049003321618996384,0.048470583170507786,0.04355592371903296,0.04392857087805117,0.03901572814341008,0.26820936571478776,0.0032985797238105955,0.058022109553970684,0.11692876752388542,0.08862181438703204,0.08950988613259303,0.0653198610751132,0.07093431434574303,0.06893573314653814,0.0627025226379433,0.044720549313512256,0.04474174434323925,0.04880015211975621,0.034379081419523075,0.033053428651143905,0.019857568299194103,0.15017388732700174,0.045401845652178224,0.10069582456813338,0.1525007988048866,0.13401457645504156,0.07831935085294305,0.07608952362161289,0.07093238752485874,0.06456182221322794,0.055760902668239534,0.04160410921529063,0.033129813336198966,0.0245650119275718,0.01138087765700342,0.008111117668419009,0.005386400255969897,0.09754563757842437,-0.6,74,-58,0,4100
800_1737,0.0003036944973739083,0.023444042589127582,0.0963717081916753,0.17379093090552433,0.13556720872358796,0.06407909852969253,0.05800110720633213,0.08512512995030562,0.0730329801268795,0.035199026283818734,0.022387511646255943,0.01871138513317856,0.017399990839343,0.015930487128946597,0.01325465591493273,0.16740104233302555,0.0013666940532141686,0.09943218790621514,0.16985410552680494,0.1636539537593817,0.07579367403783924,0.06295969817396836,0.08146483089449191,0.058459470368687816,0.0345147020837632,0.02186727000750249,0.020039102352505164,0.0186272105865485,0.017511278508416026,0.00713289823148672,0.006695675046832758,0.1606272484623419,0.05663298180046108,0.17505030103548455,0.20225681923931754,0.09536577006002213,0.08706984274278877,0.09380543050793863,0.04044465851118624,0.025959259519431045,0.018286355972120773,0.01654018830875554,0.01456437112199771,0.006792814345412702,0.0061106371743424965,0.006588571331679864,0.005298592275672356,0.14923340605338858,0.0,45,-16,22,4550
800_1743,0.008440851773743223,0.028975477405657892,0.042024514006226164,0.0323567452714164,0.06746881688132919,0.1066662992861514,0.1978093312742408,0.058457488495778274,0.012248029632963744,0.03320817989416358,0.04374315565695894,0.04380225400608083,0.07573319938808573,0.08320810832653074,0.08988622177730399,0.07597132692336912,0.026219050026656192,0.06104463089709038,0.08593004561170398,0.16189630774874872,0.2014084675299852,0.009932568976334016,0.025346282744118848,0.06538548308922898,0.06435821229778567,0.06776185881181435,0.11264406839751702,0.09272456656989987,0.025284789631897932,5.648337792180366e-05,2.532393162186129e-06,4.651896134885389e-06,0.12747332233907688,0.2557930145145766,0.1823629441294612,0.01829692596097164,0.042110174957538375,0.053520477922045895,0.07924053639170088,0.13170822690859316,0.09406340429833,0.015351945395437596,7.773345967406118e-05,1.101040505298317e-06,8.257803789737378e-08,8.257803789737378e-08,0.0,2.7526012632457924e-08,0.0,45,-16,22,3750
800_1746,0.026979428599615208,0.043292389674089805,0.07105413507873211,0.06614465051763217,0.0939189753100475,0.06445105753839493,0.035921914427572345,0.03629877306652333,0.028227733272497176,0.03271397786336043,0.04792884371588839,0.06585576501505452,0.09775442238424156,0.1968497744738733,0.058599192408810175,0.03400896665366705,0.0415264032816292,0.06739463427728473,0.08634593613656777,0.10722039792044276,0.09345761181231488,0.050836196222153865,0.03976308691239395,0.04813278394348227,0.07468121023729846,0.12807820646667514,0.20019068920511265,0.022357205506347608,0.02919323569159327,0.008054992128661427,0.0020204643792476767,0.0007469458787943782,0.0883660151516386,0.12470238875141787,0.10048436973909083,0.13178227188257444,0.0944070390400336,0.14370111793046664,0.22790299789106705,0.025183796691549448,0.026654428968463782,0.029070359571201982,0.006176754656685661,0.0015624865810688418,5.83551467808108e-06,5.505202526491585e-08,2.7526012632457924e-08,5.505202526491585e-08,0.25,45,-16,22,3800
800_1747,0.014787772240522738,0.07259570189020027,0.03382652424193912,0.016820210435265534,0.02373287303967996,0.06578755555575129,0.05912009467186681,0.09106752813543856,0.10028651276028873,0.08744606828344922,0.07438640664200483,0.08426216192826545,0.07840330519147204,0.07251367437255556,0.04941800099930437,0.07554560961199552,0.070683277110535,0.0464779200640189,0.02489620491156553,0.04180937069149087,0.08129791315388869,0.10950976391709694,0.15030089234928792,0.08149722901136032,0.059244980191180276,0.0847891749661265,0.09665679510450967,0.056031731106530286,0.06718783134437706,0.0249893804643264,0.0046176262491579795,9.909364547684853e-06,0.11340296056579388,0.04010374884473325,0.09563717654457816,0.17083948172702168,0.16794013929043225,0.052512750599571605,0.07579868377213833,0.11367981720085114,0.07808471912126398,0.0706510441497424,0.02006021480419426,0.0012846940615820765,1.5965087326825597e-06,6.881503158114481e-07,8.257803789737376e-07,1.45887866952027e-06,-0.35,45,-16,22,4000
800_1749,0.028750699986501243,0.04677308149747675,0.07028043391565897,0.06863000172422944,0.09124622700944847,0.14119743439945615,0.12437436125887688,0.09351442550238827,0.21864789913764304,0.04909393725258244,0.014056323506840437,0.010931047558563792,0.01081934699930128,0.007774391955886152,0.00592073521319117,0.01798965308195551,0.05201458482294938,0.07485041263695016,0.10872042797884857,0.14717993798499454,0.1563954818582657,0.09012704686182536,0.1963322028583452,0.10809371572323276,0.016320695884024322,0.01131569605908976,0.011588644000353214,0.010440093597251274,0.005696700996375596,0.0030164380943279016,0.0018461421412463207,0.006061778501919884,0.12927368872131542,0.18170529263564653,0.19482190559722748,0.10576173945902356,0.17224374878747914,0.15713450024542192,0.016421551194309648,0.010684937479616987,0.010394950936534043,0.007362107338677197,0.00478203912261165,0.002913022864867757,0.0016863536379149026,0.0008967699655528467,0.0007862254988208957,0.0031311665149799865,-0.3,45,-16,22,4050
800_1750,0.00016292646877151846,0.0027236989499817123,0.0107285386836268,0.03362921778338966,0.1054946270324382,0.07011153430214621,0.059162980199548174,0.1268111015271652,0.11802047671090135,0.09971878874974427,0.10153002790697263,0.132814469830279,0.0654016133326316,0.027489678295783082,0.02155369367159353,0.024646626555027036,0.0008526182412903842,0.01399199521531838,0.07781636802411014,0.12022635631124125,0.07084636873538233,0.14142166129836015,0.12237016475309495,0.10980627412517376,0.12101654555588122,0.1462604865850326,0.04157699609284767,0.014425172076115373,0.004944387545117886,0.005513460330281323,0.005151630894227663,0.0037795142165249,0.04089597501430802,0.132408406091925,0.1166431300907984,0.16430359518352033,0.12215246151918488,0.1434898282574999,0.17331993330337034,0.06811653148458356,0.017439353037407408,0.006090322977019743,0.006271939608368701,0.005910853374656118,0.0026502320222656817,0.00030556626623291544,1.7616648084773071e-06,1.101040505298317e-07,0.35,45,-16,22,4050
800_1753,0.037969161617111405,0.06699787433120047,0.0769520787534636,0.08315192773474789,0.07066918379206719,0.05603252936089664,0.0647835442449824,0.09472229446271316,0.09839811818965158,0.06966140141756763,0.04279026015164851,0.03141389676071681,0.0264420107289791,0.02402076760580284,0.02278069321069797,0.13321425763775285,0.08103355332856656,0.11910579986298653,0.0997322764959342,0.07169507828287887,0.06828633945651319,0.0919127418793308,0.09313921842419524,0.07471349825011632,0.04565040554624932,0.03460864836487778,0.0320578127742279,0.026030772100250173,0.021684717491724032,0.02175256911286304,0.015573061854914132,0.10302350677437193,0.203641019836566,0.12491447667875095,0.10158736459128606,0.11007052384644536,0.09430378896664926,0.08602674449408179,0.0534532318731848,0.03460608844570296,0.02722804354571157,0.021845111567333358,0.01762559403887862,0.01890324144122679,0.014743840724361338,0.010761982788975236,0.009474233339990958,0.07081471382085497,-0.35,45,-16,22,4100
800_1754,0.011640778268279087,0.06875059318557222,0.043490714595106665,0.020214498104999187,0.02806067790183079,0.08996263398837169,0.1584139368385912,0.14027016561190656,0.13852039204088648,0.09188981271080797,0.07841971069500099,0.06690395557609853,0.03099671251325928,0.00997685833065964,0.0063703726295423705,0.016118187009087327,0.05282896943269328,0.07425915388560497,0.04117500620436325,0.0675200427908382,0.1963164855051321,0.15001800751746416,0.13206218390503394,0.09539439711315988,0.0892172020402721,0.04881264892949135,0.024564241199218084,0.0077797044763242154,0.006579763007637477,0.006856234278517885,0.005488301554735256,0.0011276581595139035,0.12251682334840072,0.0721788204288817,0.22240740194298414,0.19465083142871675,0.13174494660944486,0.13055444656309104,0.055309861425244085,0.0348134694248759,0.010067336334182529,0.009942120502717476,0.0074674218630089795,0.006417304481080711,0.0017200730033896632,0.0001557697054870794,8.890902080283907e-06,4.448203641405201e-05,0.15,45,-16,22,4100
800_1755,0.11912278341278075,0.09392511361086454,0.04648452630705069,0.04495553888335555,0.06921124100697641,0.09037508376165644,0.12586784012627614,0.11739203031648968,0.08676474441877062,0.04660586097073456,0.054790583196932766,0.04456103607030716,0.024990481504831696,0.007370750506643787,0.0061424847709582505,0.021439901135370948,0.19131701840873666,0.0788564659374402,0.0804789592260478,0.09550612519843504,0.12435790070332264,0.12928458902231788,0.09375219519950743,0.05267066733404402,0.05674311337700354,0.04028820065538335,0.022058190431121217,0.006434398134925468,0.006126106793441938,0.005682607677907776,0.00507029152689875,0.011373170373466331,0.26742066287483,0.1527817568158261,0.1430902331321145,0.13883567498957866,0.09991350776310627,0.07061036070307161,0.049943252372356924,0.03591729005745009,0.00872637910277971,0.0065253165546504755,0.006930912350789744,0.00620304199874966,0.005476492895315931,0.003471663291243491,0.0014785322425398448,0.002674922855596996,-0.35,45,-16,22,4100
