,sqrR0-15,sqrR176-191,sqrR192-207,sqrR208-223,sqrR224-239,sqrR240-255,sqrG0-15,sqrG96-111,sqrG112-127,sqrG128-143,sqrG144-159,sqrG160-175,sqrG176-191,sqrG192-207,sqrG208-223,sqrG224-239,sqrG240-255,sqrB48-63,sqrB64-79,sqrB80-95,sqrB96-111,sqrB112-127,sqrB128-143,sqrB144-159,sqrB160-175,sqrB176-191,sqrB192-207,sqrB208-223,sqrB224-239,sqrB240-255,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,G16-31,G32-47,G48-63,G64-79,G80-95,B0-15,B16-31,B32-47,Exposure,Contrast,Highlights,Shadows,Temperature
800_1730,0.0033920308489704823,0.22016035785424173,0.20870055993943323,0.20959143798841395,0.1975239938422927,0.517889337324865,0.05743326321749963,0.26633496643464416,0.2625561523684755,0.2504047176830806,0.21147233699354687,0.21152244406501938,0.22090756465036732,0.1854159686206209,0.18180601929293735,0.14091688436519628,0.3875227571730488,0.3660800137333935,0.27985594660993546,0.2758432954081228,0.2663313491214632,0.2540901851965714,0.23613746561746515,0.20397085383772515,0.18201597000318123,0.15673229382476286,0.10668119636094929,0.09006174364522934,0.07339209941110757,0.31232296998207537,0.0034712504010540038,0.04326604728000055,0.08328504353183845,0.07536289194014127,0.06214770832732349,0.06770386150319775,0.06911088116491848,0.05496986011720796,0.048487456616251486,0.049003321618996384,0.058022109553970684,0.11692876752388542,0.08862181438703204,0.08950988613259303,0.0653198610751132,0.045401845652178224,0.10069582456813338,0.1525007988048866,-0.6,74,-58,0,4100
800_1737,0.01742683268336241,0.13678956514726756,0.1319090248593439,0.12621603356525904,0.11512886655801285,0.4091467247003519,0.03696882542378333,0.28542044582421194,0.2417839332310727,0.18578132867369423,0.1478758601243032,0.1415595364237435,0.13648153936173382,0.13233018744192887,0.08445648720783218,0.08182710459763781,0.40078329364176585,0.30881348749693904,0.2950759948602881,0.30627672211243645,0.20110857393752818,0.1611187745715286,0.1352270534032328,0.1286086634280737,0.12068293633317724,0.08241853156549625,0.07817056462852559,0.08117001497893088,0.07279142996034874,0.3863073983932855,0.023444042589127585,0.0963717081916753,0.17379093090552433,0.13556720872358796,0.06407909852969253,0.05800110720633213,0.08512512995030562,0.0730329801268795,0.035199026283818734,0.022387511646255943,0.09943218790621514,0.16985410552680494,0.1636539537593817,0.07579367403783924,0.06295969817396836,0.05663298180046108,0.17505030103548455,0.20225681923931754,0.0,45,-16,22,4550
800_1743,0.09187410828815278,0.2092898803241113,0.2751966558446627,0.28845815697693616,0.2998103096581303,0.2756289660456047,0.16192297559844987,0.1592051592886325,0.2557058526690951,0.25368920414118074,0.26031108084715554,0.33562489239851834,0.30450708788121805,0.15901191663487968,0.007515542423658033,0.0015913494783315603,0.0021568254762231896,0.13526613013231228,0.20520763864324928,0.23134493277797527,0.28149695627431015,0.3629162808535781,0.3066975779140259,0.12390296766194746,0.008816658078550012,0.0010493047723604029,0.00028736394675980804,0.00028736394675980804,0.0,0.00016590965201716845,0.02897547740565789,0.042024514006226164,0.0323567452714164,0.06746881688132919,0.1066662992861514,0.1978093312742408,0.058457488495778274,0.012248029632963744,0.03320817989416358,0.04374315565695894,0.06104463089709038,0.08593004561170398,0.16189630774874872,0.2014084675299852,0.009932568976334016,0.12747332233907688,0.2557930145145766,0.1823629441294612,0.0,45,-16,22,3750
800_1746,0.16425415854588038,0.25662378107855577,0.3126570363581181,0.4436775568742162,0.24207270066822936,0.184415201796563,0.20378028187641023,0.1994068376771317,0.21939185022120186,0.27327863113916984,0.3578801565701501,0.4474267417188122,0.1495232607534614,0.17086028119956162,0.08974960795826034,0.04494957596293514,0.027330310623817987,0.36301828036970046,0.3072572847631665,0.37907930295713405,0.4773918703654965,0.15869403483291186,0.16326184174038888,0.17050032132287019,0.07859233204763466,0.03952830101419541,0.002415680996754555,0.00023463168001128034,0.00016590965201716845,0.00023463168001128034,0.043292389674089805,0.07105413507873211,0.06614465051763217,0.0939189753100475,0.06445105753839493,0.035921914427572345,0.03629877306652333,0.028227733272497176,0.03271397786336043,0.04792884371588839,0.06739463427728473,0.08634593613656777,0.10722039792044276,0.09345761181231488,0.050836196222153865,0.0883660151516386,0.12470238875141787,0.10048436973909083,0.25,45,-16,22,3800
800_1747,0.12160498443946588,0.2902794548848841,0.2800059020654244,0.26928363183185783,0.22230159918296669,0.274855615936796,0.2658632676970156,0.38768659036557857,0.2854771952562241,0.24340291738428338,0.29118580831854857,0.31089675955935864,0.23671022602864095,0.2592061560695985,0.1580802975209953,0.06795311802381095,0.003147914317081209,0.41332733000253163,0.4098050015439444,0.22915660714797556,0.2753156075709082,0.337164377123164,0.27943643127062723,0.26580264135207987,0.14163408771970912,0.03584262911090754,0.001263530265835591,0.0008295482600858422,0.0009087245891763563,0.0012078404983772776,0.07259570189020027,0.03382652424193912,0.016820210435265534,0.02373287303967996,0.06578755555575129,0.05912009467186681,0.09106752813543856,0.10028651276028873,0.08744606828344922,0.07438640664200483,0.0464779200640189,0.02489620491156553,0.04180937069149087,0.08129791315388869,0.10950976391709694,0.11340296056579388,0.04010374884473325,0.09563717654457816,-0.35,45,-16,22,4000
800_1749,0.16956031371314823,0.10455165019531634,0.10401609009812511,0.08817251247348094,0.0769463138375788,0.13412551242010415,0.2280670621175916,0.44309389846661756,0.3287760875173752,0.12775247897408615,0.10637526055944474,0.10765056432900487,0.10217677621285218,0.07547649300527678,0.054922109339754076,0.04296675623370143,0.07785742419268624,0.3252103003581276,0.41502258828584154,0.39640194278714364,0.12814660040090664,0.10336797124649873,0.10195563219623545,0.08580272337564349,0.06915228935191987,0.053972426894366696,0.04106523636745444,0.029946117704184073,0.028039712887633062,0.05595682724190129,0.04677308149747675,0.07028043391565897,0.06863000172422944,0.09124622700944847,0.14119743439945615,0.12437436125887688,0.09351442550238827,0.21864789913764304,0.04909393725258244,0.014056323506840437,0.07485041263695016,0.10872042797884857,0.14717993798499454,0.1563954818582657,0.09012704686182536,0.12927368872131542,0.18170529263564653,0.19482190559722748,-0.3,45,-16,22,4050
800_1750,0.012764265304807733,0.36443719600265695,0.25573739134634105,0.16580011548784604,0.14681176271536803,0.15699244107608187,0.02919962741697887,0.34981447190345766,0.33137029759043546,0.34787432436999605,0.3824401738638772,0.2039043797784826,0.12010483785474826,0.07031633910491847,0.07425267894346521,0.07177486255108861,0.06147775383441477,0.4053437987480755,0.34950316381856245,0.3788005124831537,0.4163171066667455,0.2609914394852512,0.13205814263954876,0.07804052137844636,0.07919557821222534,0.07688207446899517,0.05148040425507245,0.017480453833722837,0.0013272772161373476,0.0003318193040343369,0.0027236989499817123,0.0107285386836268,0.03362921778338966,0.1054946270324382,0.07011153430214621,0.059162980199548174,0.1268111015271652,0.11802047671090135,0.09971878874974427,0.10153002790697263,0.01399199521531838,0.07781636802411014,0.12022635631124125,0.07084636873538233,0.14142166129836015,0.04089597501430802,0.132408406091925,0.1166431300907984,0.35,45,-16,22,4050
800_1753,0.19485677205863647,0.1772396591079909,0.16260999578432778,0.1549863465141457,0.15093274399777526,0.364985284138625,0.28466393050150657,0.3051871858781021,0.27333770001614544,0.21365955524209376,0.18603399787371602,0.1790469568974237,0.16134054698137779,0.14725731727735647,0.14748752188867723,0.12479207448758167,0.3209727508284339,0.3317687806989159,0.30708921988023163,0.2933031614116728,0.23119954989831792,0.18602711750092502,0.16500922260804568,0.14780091869583678,0.13276141773451586,0.1374890593510145,0.12142421803067681,0.10373997681210091,0.09733567352204923,0.2661103414391387,0.06699787433120047,0.0769520787534636,0.08315192773474789,0.07066918379206719,0.05603252936089664,0.0647835442449824,0.09472229446271316,0.09839811818965158,0.06966140141756763,0.04279026015164851,0.11910579986298653,0.0997322764959342,0.07169507828287887,0.06828633945651319,0.0919127418793308,0.203641019836566,0.12491447667875095,0.10158736459128606,-0.35,45,-16,22,4100
800_1754,0.10789243842030398,0.25865798958489283,0.1760588325340688,0.0998842246336209,0.07981461413514677,0.12695742203229918,0.22984553385413709,0.36340361019812933,0.3088598340884743,0.2986924874185357,0.2209358479955015,0.1567298350640939,0.08820263304643583,0.08111573834736066,0.08280238087469396,0.07408307198500381,0.033580621785695146,0.4411925106217429,0.3629668670959442,0.36132318852115075,0.2351804869142933,0.18658367941724135,0.1003361167984018,0.09971018254279487,0.086414245717989,0.08010807999871618,0.041473762831333055,0.012480773433048105,0.0029817615733461833,0.006669485468463966,0.06875059318557222,0.043490714595106665,0.020214498104999187,0.02806067790183079,0.08996263398837169,0.1584139368385912,0.14027016561190656,0.13852039204088648,0.09188981271080797,0.07841971069500099,0.07425915388560497,0.04117500620436325,0.0675200427908382,0.1963164855051321,0.15001800751746416,0.12251682334840072,0.0721788204288817,0.2224074019429841,0.15,45,-16,22,4100
800_1755,0.34514168599689715,0.21109485088534766,0.15808378001816537,0.08585307511466195,0.07837400570953516,0.14642370414441422,0.4373980091504037,0.30618980257269746,0.22950090922269573,0.23820813037552588,0.2007192084863413,0.14852000010477112,0.08021470024207202,0.07826944993700888,0.07538307288713943,0.07120597957263666,0.10664506727207936,0.3726065954724616,0.31609098019890775,0.2657261009066885,0.2234798701725883,0.18951857443915646,0.09341509033758791,0.08077943150734893,0.08325210117942816,0.0787593930826645,0.07400333029881784,0.058920822221380204,0.038451687122151676,0.05171965637547291,0.09392511361086454,0.04648452630705069,0.04495553888335555,0.06921124100697641,0.09037508376165644,0.12586784012627614,0.11739203031648968,0.08676474441877062,0.04660586097073456,0.054790583196932766,0.0788564659374402,0.0804789592260478,0.09550612519843504,0.12435790070332264,0.12928458902231788,0.26742066287483,0.1527817568158261,0.1430902331321145,-0.35,45,-16,22,4100
