,Exposure,Contrast,Highlights,Shadows,Temperature
800_1730,-0.6,74,-58,0,4100
800_1737,0.0,45,-16,22,4550
800_1743,0.0,45,-16,22,3750
800_1746,0.25,45,-16,22,3800
800_1747,-0.35,45,-16,22,4000
800_1749,-0.3,45,-16,22,4050
800_1750,0.35,45,-16,22,4050
800_1753,-0.35,45,-16,22,4100
800_1754,0.15,45,-16,22,4100
800_1755,-0.35,45,-16,22,4100
800_1757,-0.35,45,-16,22,4100
800_1760,-0.35,45,-16,22,4050
800_1762,-0.35,45,-16,22,4050
800_1763,-0.35,45,-16,22,4150
800_1765,0.32,45,-16,22,4400
800_1767,0.47,33,-48,22,4400
800_1769,0.47,33,-48,22,4400
800_1771,0.47,33,-63,38,4400
800_1772,0.47,33,-48,22,4350
800_1773,0.8,40,-48,22,4200
800_1777,0.47,33,-48,22,4250
800_1785,0.7,33,-48,22,4200
800_1786,0.65,33,-48,22,4250
800_1788,0.47,33,-48,22,4000
800_1791,0.47,47,-48,22,4000
800_1795,0.8,50,-48,22,4000
800_1799,0.5,33,-81,6,4250
800_1802,-0.25,59,-48,22,4200
800_1805,0.47,33,-48,22,4250
800_1806,0.47,33,-48,22,4250
800_1807,0.2,33,-48,9,4200
800_1811,0.47,33,-48,22,4100
800_1815,0.65,19,-48,22,4200
800_1817,0.47,33,-48,22,4250
800_1818,0.47,33,-48,22,4250
800_1825,0.47,33,-48,22,4200
800_1826,0.3,33,-48,22,4200
800_1827,0.47,33,-48,22,4200
800_1828,0.47,33,-48,22,4200
800_1830,0.47,33,-48,22,4200
800_1834,0.47,33,-48,22,4150
800_1838,-0.25,33,-69,22,4650
800_1840,0.47,33,-63,22,4650
800_1842,0.47,33,-48,22,4650
800_1849,-0.4,33,-69,22,4650
800_1851,1.1,52,-48,22,4700
800_1855,0.2,77,-48,22,3600
800_1863,0.47,33,-48,22,4150
800_1866,-0.7,33,-48,5,4300
800_1867,-0.55,33,-48,22,4300
800_1872,0.47,33,-48,22,4250
800_1874,0.47,33,-48,22,4250
800_1875,0.0,33,-48,22,4250
800_1878,-0.28,52,-48,22,4250
800_1879,0.47,33,-48,22,4250
800_1880,0.47,33,-48,22,4250
800_1885,0.47,33,-48,22,3900
800_1886,-0.1,33,-48,22,4770
800_1889,-0.1,33,-48,22,4770
800_1899,-0.75,30,-25,36,4750
800_1904,-0.75,30,-25,36,4550
800_1906,0.45,46,-25,36,4900
800_1913,0.45,46,-25,36,4800
800_1915,0.55,65,-25,36,4650
800_1917,0.45,46,-25,36,4700
800_1919,0.8,34,-25,36,4900
800_1936,-0.3,45,-41,16,4488
800_1938,-0.3,45,-41,16,3947
800_1940,-0.3,30,-69,16,4385
800_1941,-0.3,30,-41,16,4385
800_1942,0.5,30,-41,16,4385
800_1943,0.65,45,-41,16,4385
800_1947,-0.4,30,-54,30,4893
800_1952,0.44,30,-41,20,4116
800_1953,0.44,44,-41,20,4186
800_1957,0.44,30,-41,20,4186
800_1959,0.8,49,-41,20,4186
800_1961,0.44,43,-41,20,4100
800_1962,0.44,44,-41,20,4186
800_1964,0.44,30,-41,20,4186
800_1965,0.05,51,-41,20,4186
800_1974,0.58,30,-41,16,4186
800_1976,1.8,30,-41,16,4186
800_1977,2.1,30,-41,16,2830
800_1984,0.3,30,-41,16,4750
800_1987,-0.3,30,-41,16,4483
800_1990,0.1,30,-41,30,4643
800_1998,-0.7,30,-41,16,4385
800_2000,0.75,30,-41,16,4199
800_2002,0.75,30,-41,16,4199
800_2004,0.65,30,-41,16,3600
800_2006,0.65,30,-41,16,3600
800_2007,1.45,30,-41,16,3600
800_2011,0.55,30,-41,16,3600
800_2028,0.65,30,-41,16,2807
800_2030,0.65,30,-41,16,2800
800_2033,0.8,30,-41,32,2621
800_2037,0.75,30,-41,32,3169
800_2040,0.55,30,-41,18,2642
800_2048,0.55,30,-41,18,3364
800_2049,0.55,30,-41,18,3364
800_2050,0.55,30,-41,18,3364
800_2053,1.0,30,-41,18,3364
800_2056,1.4,30,-41,18,3364
800_2060,0.85,30,-41,18,3364
800_2063,0.55,30,-41,18,3364
800_2296,0.15,59,-22,36,5150
800_2458,-0.15,48,-22,36,5701
800_2459,-0.1,48,-22,36,5701
800_2464,-0.25,33,-22,36,5484
800_2467,-0.25,53,-22,36,5484
800_2473,-0.25,33,-22,36,5540
800_2485,-0.1,33,-22,50,5466
800_2493,-0.25,33,-22,36,5540
800_2501,-0.25,33,-22,36,5540
800_2507,-0.25,33,-22,36,5453
800_2510,-0.15,33,-22,36,4816
800_2512,-0.55,44,-48,36,5098
800_2517,-0.55,44,-48,36,5200
800_2526,-0.4,44,-48,36,5200
800_2533,0.0,33,-22,36,5161
800_2544,-0.1,54,-22,36,5459
800_2552,0.1,60,-22,36,5384
800_2558,0.25,59,-22,36,5528
800_2566,-0.2,60,-22,36,5390
800_2573,-0.2,47,-22,36,5390
800_2587,-0.2,60,-22,36,5390
800_2594,-0.2,60,-22,36,5390
800_2605,-0.3,54,-55,36,5179
800_2615,-0.3,54,-55,36,5179
800_2619,-0.3,54,-55,36,5179
800_2627,-0.3,54,-55,36,5334
800_2634,-0.15,54,-55,36,5334
800_2641,-0.15,54,-55,36,5334
800_2656,-0.1,45,-22,36,5369
800_2659,-0.1,45,-22,36,5369
800_2669,0.05,33,-22,36,5459
800_2680,-0.2,50,-22,36,5459
800_2689,0.7,46,-22,36,5158
800_2695,0.5,52,-22,36,5100
800_2710,0.75,33,-22,36,5679
800_2714,0.7,49,-22,36,5459
800_2718,0.95,33,-22,36,5459
800_2725,0.9,33,-22,36,5459
800_2727,0.9,53,-22,36,5459
800_2738,1.0,33,-22,36,5459
800_2739,1.0,33,-22,36,5459
800_2754,0.85,33,-22,36,5249
800_2760,0.85,48,-22,36,5006
800_2768,0.5,33,-22,36,4919
800_2770,0.5,33,-22,36,4919
800_2777,0.15,33,-22,36,4845
800_2783,0.45,33,-22,36,4679
800_2796,0.45,33,-22,36,4915
800_2807,0.45,33,-22,36,4915
800_2808,0.7,33,-22,36,4915
800_2825,0.45,33,-22,36,4915
800_2831,0.45,33,-22,36,4915
800_2836,0.45,33,-22,36,4915
800_2846,-0.3,50,-22,36,4971
800_2856,-0.3,50,-22,36,4971
800_2861,-0.1,33,-22,36,4720
800_2874,0.15,33,-22,36,4869
800_2879,0.05,33,-22,36,4869
800_2885,0.15,33,-22,36,4869
800_2893,-0.4,33,-22,36,4782
800_2903,-0.4,33,-22,36,4912
800_2909,0.35,76,-64,16,4928
800_2913,-0.1,57,-64,16,4977
800_2914,-0.1,57,-64,16,4977
800_2915,-0.1,57,-64,16,4977
800_2917,-0.1,57,-64,16,4977
800_2918,-0.1,57,-64,16,4977
800_2937,0.0,53,-27,31,4650
800_2941,-0.15,42,-64,30,4977
800_2946,0.2,42,-64,13,5002
800_2947,0.2,42,-64,13,5002
800_2961,0.2,42,-64,13,5354
800_2986,0.4,42,-64,13,4659
800_2988,-0.25,42,-64,13,4639
800_3002,0.7,53,-64,13,4578
800_3007,0.65,64,-47,18,4650
800_3011,0.15,64,-47,18,4813
800_3013,0.15,64,-47,18,4813
800_3021,-0.3,50,-47,18,4813
800_3024,-0.5,50,-47,18,4813
800_3028,-0.2,64,-47,18,4813
800_3029,-0.2,64,-47,18,4813
800_3033,-0.2,64,-47,18,4813
800_3035,0.2,56,-47,31,4813
800_3037,0.2,56,-47,31,4813
800_3040,0.2,56,-47,31,4813
800_3046,-0.35,56,-47,31,4813
800_3047,-0.1,56,-47,31,4813
800_3049,-0.1,56,-47,31,4813
800_3050,-0.25,56,-47,31,4813
800_3051,-0.5,56,-47,31,5114
800_3060,0.2,56,-47,31,4996
800_3064,0.05,69,-47,31,4813
800_3066,0.2,56,-47,31,4813
800_3070,0.2,56,-47,31,4813
800_3071,0.2,67,-47,31,4813
800_3074,0.2,56,-47,31,4813
800_3076,0.2,71,-47,31,4813
800_3077,0.2,56,-47,31,4813
800_3082,0.2,56,-47,31,4813
800_3087,0.9,86,-51,33,4751
800_3093,1.15,53,-32,33,4813
800_3096,1.0,46,-32,33,4600
800_3132,-0.4,25,-53,0,5174
800_3133,-0.4,25,-53,0,5174
800_3134,-0.4,25,-53,0,5174
800_3135,-0.4,25,-53,0,5174
800_3136,-0.4,25,-53,0,5174
800_3137,-0.4,25,-53,0,5174
800_3139,-0.4,25,-53,0,5174
