,Exposure,Contrast,Highlights,Shadows,Temperature
800_1730,-0.6,74,-58,0,4100
800_1737,0.0,45,-16,22,4550
800_1743,0.0,45,-16,22,3750
800_1802,-0.25,59,-48,22,4200
800_1851,1.1,52,-48,22,4700
800_1855,0.2,77,-48,22,3600
800_1875,0.0,33,-48,22,4250
800_1880,0.47,33,-48,22,4250
800_1885,0.47,33,-48,22,3900
800_3175,0.0,47,-13,17,3100
800_3177,0.0,47,-13,17,3450
800_3178,0.0,47,-13,17,3450
800_3179,0.0,47,-13,17,3250
800_3180,0.0,47,-13,17,3200
800_3181,0.0,47,-13,17,3200
800_3182,0.75,47,-13,17,3150
800_3183,0.7,47,-13,17,3250
800_3184,-1.35,47,-13,17,3700
800_3188,0.0,47,-13,17,3750
800_3190,-0.3,47,-13,17,3550
800_3191,-0.85,47,-13,17,3900
800_3193,-0.25,47,-13,17,4164
800_3196,-0.7,65,-13,17,4400
800_3198,-0.2,69,-13,17,4450
800_3199,0.0,47,-13,17,4450
800_3200,0.0,47,-13,17,2799
800_3203,0.55,47,-13,17,2850
800_3204,1.0,47,-13,17,2900
800_3205,1.0,47,-13,17,2540
800_3206,0.0,47,-13,17,2658
800_3208,0.0,47,-13,17,2658
800_3216,-0.35,47,-13,17,3850
800_3217,-0.35,47,-13,17,4750
800_3224,0.0,47,-13,17,4500
CAR_4206,0.35,31,-31,22,3643
CAR_4209,1.35,31,-31,22,4197
CAR_4213,0.3,31,-31,22,4197
CAR_4222,0.35,31,-31,22,4197
CAR_4256,0.35,50,-31,22,3472
CAR_4258,0.35,50,-31,22,3472
CAR_4275,-0.25,31,-31,22,4635
CAR_4277,-0.25,31,-31,22,4635
CAR_4284,-0.25,31,-31,22,4635
CAR_4293,0.6,31,-31,22,3115
CAR_4309,-0.35,31,-31,22,4398
CAR_4312,0.95,49,-31,22,4197
CAR_4314,0.95,49,-31,22,4197
CAR_4315,0.95,49,-31,22,4197
CAR_4391,1.35,31,-31,22,4489
CAR_4422,0.55,53,-31,22,3541
CAR_5119,0.75,49,-23,22,5314
CAR_5415,2.2,47,-13,17,4450
CAR_5417,1.6,47,-13,17,5050
CAR_5419,2.0,47,-13,17,4856
CAR_5420,0.8,47,-13,17,5350
CAR_5422,1.0,47,-13,17,3808
CAR_5428,0.0,47,-13,36,5200
CAR_5429,0.2,66,-13,17,4400
CAR_5431,0.2,47,-13,17,4350
CAR_5432,0.0,47,-13,17,4900
CAR_5434,0.0,47,-13,35,4400
CAR_5435,-0.65,47,-13,17,4600
CAR_5437,1.15,47,-13,17,4038
CAR_5439,1.15,47,-13,17,4038
CAR_5566,0.65,13,-17,13,3755
CAR_5571,0.4,32,-17,13,3993
