,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_4390,0.15145062637093307,0.12114789968816332,0.11166210542286673,0.10361319654299707,0.08463167112184357,0.07275783010460546,0.08157287049407431,0.06897916919447215,0.048442974579837435,0.0326155723681994,0.023930096920191518,0.021966749017156197,0.014040908939766256,0.00864462684526131,0.0059656576658073425,0.04857804472382491,0.2739071952776813,0.1654966000970237,0.11681728717272395,0.09184194497484012,0.10304899586206956,0.06840186613153162,0.03892849820937783,0.03231840153581938,0.024437621541108782,0.016236135973217408,0.01137468430416112,0.005562236424666038,0.005096688973013277,0.004354450042379049,0.003334611274346483,0.03884278220604035,0.5806677876727064,0.1485533759113037,0.08421553286286608,0.04800019114063172,0.03148378530679062,0.02116596225765273,0.013925602472848892,0.009877241690942777,0.011737256942555854,0.006992075150859065,0.0041406279762501155,0.0042868186293411,0.004546113668338854,0.00482627342491201,0.0043850039164010784,0.02119635097559896,0.6,17,-27,17,3650
800_4392,0.026806400084207583,0.08658717411127864,0.08349638825683046,0.051524842006192687,0.0626828415389111,0.08211711481584327,0.11289628925126825,0.06413181084388367,0.052416960075610655,0.041605375411871724,0.06354699317949447,0.10497278888495204,0.12187607282634234,0.02496766244035939,0.005320558033753057,0.01505072823920061,0.05196415716780672,0.12794982514375736,0.1088732799269966,0.0868147591837238,0.1167157987641481,0.06833833609437591,0.05716277496559799,0.056756986487370285,0.0731650224094774,0.11772047069922018,0.10235594591600956,0.009467324310820209,0.0059993495052694705,0.0030327885458315816,0.0019662381343617343,0.0117169427452331,0.1556167984869061,0.14774793725566535,0.14311751141063328,0.09586107313133058,0.09582834470231058,0.07626054273809836,0.08481254455085145,0.13618668163788142,0.03662641519488747,0.006138658655202339,0.0053966124066565395,0.003153792897363867,0.001966623498538589,0.0014273889110687384,0.0010721106660216038,0.008786963856583748,0.2,30,-27,17,4278
800_4399,0.09580359881695401,0.09396945801721544,0.06271254210654152,0.06799916056671876,0.06202095103915103,0.0654614824101072,0.09743960737776414,0.13625852453085216,0.08965351686650919,0.060749937405847276,0.05103787931671188,0.029825453149735563,0.018640340494574185,0.01356812214679116,0.012062559359846242,0.0427968663946803,0.17718389732665166,0.09871133668739633,0.1180491037640391,0.17053644785395095,0.1074973921855632,0.11352528616593252,0.07280327555146164,0.033286904290292414,0.022360426049825605,0.018180408349498443,0.015226151517707263,0.011028159331131106,0.008384918916074069,0.008793735255691333,0.011929581192818835,0.012502975561965569,0.5741719790035981,0.1689892932619184,0.1125683168107525,0.05437012335397197,0.04130636033664534,0.022965530385524933,0.015527010835780031,0.007334663904082636,0.0018776043736852199,0.00015387041061543983,0.00013740985506122998,0.0001450345605604208,0.00016050417965986216,0.00011786638609218483,6.864987550535006e-05,0.00010578246654653579,0.05,43,-27,17,3450
800_4400,0.08183849651597754,0.14098402522351672,0.09228871968587757,0.07548378618762303,0.07730997196971083,0.07485707393200723,0.07033248560554696,0.0725248224076717,0.053712829698321515,0.05522530151443717,0.07473436296769173,0.0568428125947583,0.018968780877304667,0.017820147896164838,0.0150604724476725,0.022015910475717763,0.18301316359986514,0.1612134424273627,0.0995584222001476,0.10704134120826864,0.08850766401264523,0.06956027084715598,0.06274394928695516,0.09416640663760066,0.05185410816930215,0.024133156315381158,0.023231459193567103,0.020399032493687186,0.010597212077357344,0.0029254646225776284,0.0009559508927126313,9.895601541368624e-05,0.3875731118421531,0.12589167765321585,0.09733368728115444,0.09764214377871376,0.1173797537148556,0.042796150718351855,0.033184562575324934,0.03332257800266408,0.03208555899496142,0.02609427461139326,0.006179562309974172,0.0005108552684457866,5.945618728610912e-06,1.101040505298317e-07,0.0,2.7526012632457924e-08,0.6,35,-27,17,3340
800_4403,0.06998144636644522,0.12627946411918192,0.07500464088572982,0.0717833817314038,0.0644206688204487,0.05429238989429791,0.05014911942083508,0.06212100809507001,0.056513684061712005,0.047948166976756385,0.04066313247345006,0.03651991705201249,0.04014790056899571,0.047835035064836974,0.044483192506582565,0.11185685196224136,0.15675177856578024,0.10417632370943188,0.10931804523911187,0.08804431864200307,0.08894868578704247,0.08829136460537937,0.05567818700027901,0.053999017651661166,0.0446806365951952,0.051653883953413665,0.04818376211887758,0.03543228171486618,0.022718869786325476,0.019836951315732397,0.010828155323343669,0.021457737991556786,0.4114504138701156,0.18088777006046253,0.1487742721626792,0.06995851719792237,0.05062427345089657,0.03421455844201888,0.021652677213019847,0.028156055535602256,0.027425872998501043,0.013985251342223427,0.0051817168260349395,0.0028422259603770755,0.00191534253700432,0.0018038071338176004,0.0005677515365570772,0.0005594937327673396,-0.3,49,-27,17,3340
800_4406,0.10726964195704224,0.09180709704284744,0.0735290814525543,0.06870567073295605,0.09091252915830518,0.08691360509508696,0.12631230265225246,0.14691800044878411,0.06639356824986749,0.041163280122981816,0.02673139169978413,0.012879035946550208,0.012221742290899746,0.012773914104306852,0.0106205816620823,0.024848557383698743,0.18633164463080898,0.14016686048649696,0.1656585081033278,0.20532065712739853,0.09962613619122344,0.09623454607072776,0.02484024452788374,0.012861804662642293,0.011688095483994285,0.013679574971939985,0.014834401305922125,0.011620904487158456,0.0077538024984370735,0.004944249915054725,0.0029156653620804733,0.0015229041749033672,0.6656567189125067,0.18628504309142224,0.059794344351298864,0.03254422494345607,0.02499959261501304,0.015806592546087902,0.009786378323243031,0.0027144502097372057,0.0004336448030117422,0.0003151177926163783,0.00025065187103116187,0.00022764012447042706,0.00021965758080701425,0.00018825040039337971,0.00018604831938278312,0.0005916441155220508,0.0,49,-27,17,3340
800_4410,0.0510634234564348,0.14945983503330318,0.14320746641991616,0.10186069789672636,0.07970597373930312,0.07053838018003772,0.0592901228518975,0.059924184552886166,0.05068042651666678,0.042885720363457884,0.026624755926845992,0.02348635007054366,0.03234144080839275,0.038093193830033255,0.029250599901919312,0.041587428451635364,0.21479403716099787,0.18111802515613304,0.12670782392776822,0.0945157392639192,0.07626043263404783,0.06647942188326812,0.047551131770545804,0.03321974081946921,0.027256065026571408,0.042246401194056406,0.04192632871916618,0.02793540701834047,0.010962537317015323,0.004999714830509127,0.0015997292761605574,0.0024274640020312,0.564134783653248,0.15273997232865005,0.10634314389784634,0.06235101545662682,0.056017555210024585,0.049532867050019615,0.006178075905292018,0.0011819119304124785,0.00042167098751662297,0.00028514196485963163,0.0001367217047454185,7.509096246134521e-05,7.86418180909323e-05,6.46310776610112e-05,5.587780564388959e-05,0.0004028982469012866,0.0,49,-27,17,3340
800_4415,0.09299834029154233,0.1154936713292796,0.06023225568626864,0.045339389129515184,0.047846733620205764,0.05359639466488621,0.07060837883016208,0.07220497014088254,0.07034644129395161,0.07307179180469127,0.08930492744253174,0.06799106791900482,0.04166015217701032,0.02807474369428597,0.025620359251900232,0.045610382723881716,0.1851805893605575,0.10488842165623358,0.0835089676446035,0.08707105388734462,0.10167850321911212,0.10613529497645867,0.0932207779996252,0.08631221677109302,0.06799007698255005,0.031732565408962785,0.015514761760158587,0.010519258409582224,0.008358218683820584,0.00825312436758986,0.004875820247650434,0.004760348624657274,0.4971602789067725,0.18848079311911345,0.13664102600239278,0.071243844357795,0.0469485873540213,0.0304227676238599,0.01273482716636876,0.0046975342638300045,0.00413192975625826,0.0034841876269912594,0.0019533009084244787,0.0004661805499433073,0.00024233901521615963,0.00022034573112282568,0.00017316614547079282,0.0009988914724192656,0.0,49,-27,17,3340
800_4418,0.059862691440665264,0.11174911514879793,0.08280289789456832,0.06198436896836247,0.05477610451428809,0.05724659167406384,0.057355869944214675,0.06499736631111132,0.06942569617139589,0.07499541967149796,0.06500510112066105,0.03483438919447657,0.03428048324227361,0.034451529884771716,0.03147442646249559,0.10475794835635573,0.13879592742733735,0.13071753818793835,0.08583821883356209,0.09146035186171636,0.09995449399591602,0.10049576550832068,0.08652568099905772,0.07434663155375093,0.030755226804434724,0.027966236152488826,0.03352260953646415,0.017837626914186444,0.012775813399178493,0.013758436998131977,0.013608282599221916,0.041641159228293916,0.4634776056068506,0.19661704203706587,0.1253374413888613,0.08052349631448713,0.048599239753551904,0.03836512330882931,0.02585735822066569,0.012181444208405829,0.004239969355840657,0.0015562106501886414,0.0007048035534540851,0.0004028707208886542,0.0002731130973392475,0.00020757366126136518,0.00017619400686036318,0.001480514115449382,0.0,49,-27,17,3340
800_4420,0.03241724744718254,0.07363384545663343,0.07881391072191042,0.056442419215006576,0.05947520776083815,0.0681318359476072,0.0588386136666873,0.06106574334877946,0.06708163598764104,0.0695950637271234,0.05452371850446108,0.05133961946718888,0.06386827679894054,0.05736649498509081,0.035581335073270944,0.11182503189163824,0.09084429217298932,0.1284990516738128,0.08991955577860189,0.09514206615535814,0.07883221552031099,0.08595732389022273,0.0826327596104871,0.05320632353987165,0.06297739740009102,0.07634053333080829,0.05173786581795528,0.03799613710949122,0.01802111531439441,0.012132778218071644,0.0091710067848318,0.02658957768270171,0.4398461659237212,0.1520564463829608,0.10979597939644924,0.08200987347062721,0.06743534524996812,0.0447958054320494,0.03464498270155262,0.02018944943350365,0.013349235294337855,0.010678221132534669,0.007853006247964452,0.0034536062269565986,0.0023682830748714147,0.0020377782411934928,0.001670884018815461,0.007814937772493763,0.0,49,-27,17,3340
800_4423,0.049864968392430216,0.07088091388123605,0.06080504448313745,0.05379904116988637,0.07186857474050126,0.0736535816076909,0.08132097995247467,0.07828183289772501,0.07991811671866147,0.05991719294567752,0.06127615218934197,0.05382791595713782,0.03446435700665843,0.034405478865637606,0.0332002248765128,0.10251562431529043,0.10612054103368763,0.10098691215172162,0.10590622349933132,0.10152708262362098,0.091015669127639,0.09816244046949248,0.0655473085174952,0.06597131921608558,0.05463318945670037,0.04743194413584726,0.0436311798375701,0.03447856042917678,0.024648140485721816,0.01640814602615764,0.008604631548906347,0.03492671144084583,0.4311342379775736,0.15388868788782775,0.09600833729891424,0.09363600790018584,0.06331167329749961,0.050280858917294016,0.024139927714488744,0.015818015841330375,0.011492385534177509,0.008197631926122825,0.00605164892927114,0.005000292876774409,0.005296417720674392,0.005006926645818832,0.003338712650228719,0.027398236881818052,0.0,49,-27,17,3340
800_4426,0.03628756997938192,0.07230659617952158,0.06983324631443208,0.06369819356688458,0.07860482312995427,0.07550010911311407,0.06770108137592187,0.05945918762148605,0.06552066333726697,0.07510992788404898,0.06935773444620635,0.05908232898253508,0.0518778080661787,0.03103483604075524,0.014028549760094284,0.11059734420221798,0.07858861030851375,0.10913183176365328,0.09357454231397756,0.096274596419108,0.08277652797446643,0.0723730990260416,0.08232350485856144,0.07224920444318289,0.055431278666965865,0.05224280299368509,0.0548893190042454,0.04452866547945139,0.012854042327079936,0.0091364891649907,0.006856151700479989,0.07676933355559673,0.20841708581443635,0.16267058695808714,0.1351282789261508,0.10203215742941396,0.07373709553001777,0.043281021430872604,0.04583758243215003,0.0502112181053339,0.05306588582342085,0.04314859378409785,0.007088416195072667,0.0040139532661155435,0.003496684436726395,0.002554771810456317,0.0024805341543865786,0.06283613390326126,-0.2,49,-43,17,3588
800_4431,0.05499675303154988,0.10897831919120207,0.10917345109475356,0.13518176196869566,0.10250395328593427,0.07659602978006276,0.07416325325759349,0.0712829312957331,0.06332678507843482,0.0449538873225976,0.032852103394750115,0.02783155137267821,0.020668814943497902,0.013718056337600159,0.006776904310111141,0.05699544433480527,0.12392133814297188,0.17505049371757295,0.16661883563204902,0.09574733564713324,0.09493997017061064,0.07095795919059429,0.07212864050785273,0.0518034327800458,0.0345616064092889,0.025394976260465663,0.016507900295937666,0.00900863083631293,0.00594011352608442,0.0050571891448857,0.004454975040512786,0.047906602697681364,0.35271686699364635,0.21513984645769946,0.11897466593880547,0.08105034419627236,0.06918104497111861,0.042095421014767376,0.02621508628083712,0.016027296115374953,0.01206644052762742,0.005973750313521284,0.005072438555884081,0.005105387193005135,0.0059213407854690845,0.004619745752130679,0.0036982849532465173,0.03614203995059411,0.0,49,-43,17,3523
800_4435,0.09388156745888,0.1224497424556154,0.1366844620503268,0.1297006722292701,0.10992802167904714,0.10015147014231388,0.09244903118344898,0.08444551269841025,0.047400564481446264,0.01234723338249112,0.006438416932769807,0.0057458074029119,0.0055431058458864785,0.004100439997806727,0.004678706471189404,0.04405524558818575,0.251664250249771,0.19656730253223906,0.13997233415522334,0.11383756877924775,0.08334144433172236,0.07222418329769999,0.0587034334186493,0.012109491211384585,0.007365245304117297,0.0046399223193902715,0.005753459634423724,0.0044930710419961075,0.005009101200816796,0.004251034812918905,0.002633110842408293,0.037435046867991185,0.5986508620376428,0.15876258131459392,0.0623089281833118,0.03734748662180734,0.027407650778138358,0.03803811427875571,0.009956791867450578,0.0053841981749593,0.008046624220821159,0.0058299544235293245,0.005962987642581993,0.0046386010707839135,0.002047577501690648,0.000975824673833266,0.0006734238990530831,0.033968393311046806,0.5,49,-27,17,3340
800_4438,0.019445146051921988,0.044287510082778425,0.0489913753295139,0.06870889127643405,0.08572833499113333,0.14022455500897454,0.09773355766666617,0.08042173264578492,0.06755976282706684,0.06059887464852035,0.06442077892449923,0.04831665770786709,0.038442553982364416,0.0514911776927432,0.04918994798464445,0.0344391431790871,0.08253680393045035,0.12731133175473486,0.18544004955563104,0.1154745132244874,0.097140647354563,0.10490287281286563,0.07062817003324481,0.04354114225024933,0.03609863142867272,0.061038107232096475,0.0545097352900438,0.0180132153487689,0.0025343475090830337,0.0006771399107584651,7.528364454977242e-05,7.800871980038575e-05,0.6285172463681629,0.166429731925264,0.11949636645622845,0.05366738425146532,0.018931813442339282,0.005237209267501975,0.002434070245062989,0.0021511854132392192,0.001716522147760076,0.0011037655805489304,0.00029240883219460047,1.4616312707835156e-05,2.1195029726992604e-06,1.899294871639597e-06,2.1470289853317184e-06,1.513930694785186e-06,0.2,49,-27,17,3340
800_4441,0.04249639244078439,0.06034775483527442,0.06144796956019378,0.06884817290035429,0.05971016980466881,0.06896672743676227,0.07890771937296184,0.09278958301173776,0.08542681504875738,0.060436553752026737,0.0403318293854058,0.04074692165590326,0.026382609593718256,0.014847255953821482,0.010391069768752866,0.18792245547887665,0.09627624797986592,0.09507330617580226,0.08239834808690909,0.08218714099198024,0.10328615998691083,0.1125461033185581,0.08743051608631189,0.05485042474839573,0.045637881210501545,0.027155347346349248,0.019081031956819837,0.008913941352857278,0.006084542514366928,0.0055209749317299845,0.004348697105738865,0.16920933620690226,0.3132606675960917,0.11836138637735433,0.13573569544691125,0.09817485470118972,0.06810397962282316,0.039726725049706466,0.024178243924073133,0.012216209562360622,0.011738715821225373,0.010492916015492959,0.00643365493258439,0.0063578482937946025,0.006468007396349697,0.007039392366574259,0.008164600710963877,0.1335471021825045,0.0,49,-27,17,3340
800_4442,0.08718561715192091,0.10503136423983392,0.11644901664971433,0.10151381508553213,0.09846558444661374,0.07961315602470646,0.08350395791030439,0.07090065003229352,0.05456173192790651,0.050580424512773066,0.04816394338978221,0.038999873160133786,0.02262247369008661,0.006683838861400801,0.002549954758245637,0.03317459815875198,0.23238932505996815,0.14955584576536518,0.11282309758367852,0.10993135232657568,0.11267825570520655,0.10423399070589688,0.06281314968271316,0.036131057071553764,0.032696911735528314,0.011512094159222348,0.0027796042816382338,0.002725212880676497,0.0017511773976643407,0.0010050297732363037,0.0006766169165184483,0.026297278954557638,0.6648200932845558,0.14176020372772674,0.07888768043576541,0.06215494766864583,0.021801813149462505,0.0046567131870960685,0.002052064241749739,0.0010402905954184825,0.0008991096766266057,0.003487903638696641,0.0035619210866653203,0.0042918283636402075,0.0041543634565537136,0.003960910639772798,0.002025171327407827,0.00044498552021631486,0.0,49,-27,17,3340
