,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_4477,0.023872017033537037,0.039881724026839836,0.06293173174513379,0.07659245139842054,0.08923214866513153,0.06979724228990881,0.04302673612617396,0.058065242815765764,0.0748515412034681,0.11017091121451594,0.1512193252867825,0.03945438268072093,0.031300902478860575,0.03649503353659275,0.021628949790130667,0.07147965970801727,0.050857969298146136,0.0854740772124473,0.10732656575116616,0.11076291316820222,0.0652684700095284,0.07828177784569974,0.11838918765011312,0.18415053844183832,0.04770205689780957,0.04822895983162008,0.02896859590249978,0.01318680429379372,0.015994264900216004,0.014754851129414319,0.007886780665464476,0.02276618700204067,0.20817851786295088,0.16740351967416248,0.14610609318017714,0.26473841809987275,0.10891225676088416,0.03008166527531848,0.024431180454152785,0.025317215274778967,0.012955255475529484,0.002961083282924029,0.001275115009185981,0.0014406289231449507,0.0014458313395324849,0.0006101966480363272,0.0005871023234376951,0.003555920415911445,0.0,49,-27,17,3340
800_4572,0.2607660291128322,0.10240191435710576,0.06626144338923169,0.04603923800069542,0.04977776598441059,0.032674312879157064,0.024649324104265014,0.025938284697805118,0.02912364993165841,0.041816114564585824,0.0587785794331359,0.07282543399163077,0.08535612824831723,0.060744294573257626,0.022424148769069747,0.020423337962841643,0.3965157903521985,0.06623278881008131,0.053250089899957255,0.04357513687585041,0.03183298030304599,0.035383340464405666,0.038951124591761706,0.056793348350057775,0.06969355180032234,0.07071350067240544,0.07061347114249908,0.03763562892204391,0.01635169017424847,0.005757616062331225,0.004070766956188938,0.0026291746226018518,0.5202538603030636,0.07209588455282011,0.03584159352271083,0.030306112382323544,0.039486202751324063,0.06745312705412869,0.08186682078297633,0.07209348978972108,0.037085631663634766,0.023216650198770842,0.010177027494522874,0.0045724560624281155,0.003755071117307277,0.0017415432932429804,4.844578223312595e-05,6.083248791773201e-06,0.0,32,-37,13,4050
800_4580,0.11786247739839102,0.11041192898112574,0.17436815139042694,0.10789880402778232,0.0744407429909413,0.056333030840805175,0.06945982842706014,0.0719054871234414,0.04774458458732672,0.043061886844305605,0.025462112205276232,0.017426993857735436,0.016701380638731212,0.011550823258996215,0.010382123814647318,0.04498964361300716,0.137957237348439,0.18243676889534147,0.15590796864853226,0.12673413879584486,0.1132055440031939,0.04883034815561402,0.04128392663634988,0.0433545434106139,0.0389020181852254,0.021499742686833908,0.017372960294937918,0.012554807043752487,0.009422759696368264,0.008464248884480812,0.007467394336996349,0.034605592977475584,0.19695594230459668,0.2254376856216662,0.12313018548788975,0.1310830836356974,0.0869217803208388,0.05013733828742838,0.053216563216570915,0.03017373978757405,0.022216795315909442,0.013809525277577816,0.009389315591019827,0.010082117802966159,0.006692647185443186,0.004543361067075608,0.004019761254780993,0.032190157842964764,-0.9,56,-37,13,5500
800_4598,0.08756429250770563,0.0923713527758002,0.10598280086647484,0.07422851743354505,0.03808276147124556,0.041116623531569814,0.056703751178939124,0.08206415476753842,0.12610618786966055,0.10624206837945996,0.08687212339404984,0.031863011182828,0.02143222137784649,0.013828242966167888,0.012497607989502241,0.02304428230766639,0.09535063075307428,0.15768009334180988,0.10723895045295706,0.06788773526758257,0.10586834770594908,0.16708286915300696,0.14202434334494785,0.033140713637201426,0.02039537153400707,0.017928049865684068,0.017560715227103917,0.014995538583872531,0.014269677630754615,0.0069104605234038274,0.012989222575117938,0.018677280403526945,0.09719795651286378,0.17076931792082153,0.14437079829180172,0.2371192574406666,0.17702270499667594,0.036014154095903715,0.020991667545664,0.013432391378500509,0.012529675794219052,0.0173484346176824,0.014662281148931363,0.01494882694043525,0.010931102610589058,0.01413207509360496,0.01468152183176145,0.003847833779878661,-0.65,52,-37,13,5186
800_4625,0.385439515550986,0.17209018116300265,0.10450256201115178,0.042760064115790704,0.03960079354191298,0.04570165898177096,0.04590625983366802,0.033537748843412006,0.032945581733649934,0.03298766900696496,0.01730954036183274,0.01040995261341873,0.012144366669389908,0.006914892211437653,0.0042319592861646115,0.013517254075446378,0.4810050694106945,0.19044898560037207,0.07820954958855217,0.06829853348010938,0.05765678431431271,0.0545579058121506,0.022763461926790057,0.01148277895576878,0.006986432318269411,0.00469390083016252,0.0042639445128435285,0.006347883877221652,0.0026510578026446552,0.0019436392779904864,0.0024361346960104237,0.006253937596107073,0.5793337119444617,0.18247987463112392,0.10019559434056373,0.07958695126068037,0.023539915691126432,0.007065789812688787,0.00365721614239889,0.002744646245595012,0.0013960092566677362,0.002708752325122287,0.00554580339512446,0.002931052403142017,0.0022499487465644785,0.0020184825063381396,0.0016367792891638455,0.0029094720092381703,-0.1,52,-37,13,4372
800_4638,0.3694238629389546,0.2861550872805819,0.04661956892502553,0.00737209928126278,0.003568444751659213,0.004512559458939887,0.007061413176680227,0.01280031155042138,0.022174405256455452,0.043102955655153236,0.07574809096091989,0.06276682340345273,0.034793100175527884,0.013576324898555632,0.005599754379884078,0.004725197906525625,0.14870176864540527,0.4045920050365997,0.14244400493354228,0.013627220495913049,0.005687507308156354,0.006993946919718072,0.010906384251245113,0.01368469481028962,0.016016203132284072,0.03669022049216951,0.06905781101256309,0.050664846793516814,0.029847969428068912,0.02325345247766044,0.01332107618341485,0.014510888079452843,0.06890388554992237,0.2476920814708316,0.3084493407960391,0.07950230877183556,0.01757775382892341,0.014959314351248216,0.013168141657228915,0.01184314951315292,0.02761087532940379,0.054842084366568095,0.05246036859753204,0.0331196562375376,0.02285955523688997,0.019546028888219942,0.011727044791869213,0.01573841061279731,-0.1,52,-37,13,5596
800_4641,0.4343614702766409,0.25556581480630824,0.061631265278313314,0.02166872487838457,0.017922076720942825,0.015771001411754138,0.02204690476594191,0.0377941237027816,0.03395234564568208,0.03189389536900161,0.028754305894156094,0.014835419768389525,0.009709030227745823,0.007066120124840376,0.00403663470052469,0.0029908664285923483,0.21267326799171754,0.3646158943124431,0.16778156193165664,0.03744658026728419,0.01721030908629273,0.019915813341924386,0.036864047261943485,0.027985284153230486,0.022204518714275364,0.018992590878231748,0.020695680331827185,0.017753672575657447,0.00881484770738043,0.007975909894368376,0.0062936301063230785,0.012776391445443774,0.14561373539222036,0.2145117028494268,0.30062991628348623,0.1053144968057714,0.04682331647053098,0.04475002967304162,0.027980797413171398,0.01721229095920226,0.015032450966812657,0.014881443261510991,0.016812943567930564,0.013900333593252295,0.007510692754867205,0.006990698850227442,0.00665325746136614,0.015381893697181709,0.2,52,-37,26,5596
800_4644,0.03359585625607912,0.21050438335235566,0.5393601886654926,0.07911468746194529,0.026161823446393312,0.01869949389572133,0.01862247611237572,0.01484431067046981,0.01228662110267445,0.007855813901252963,0.0055053952085800115,0.004234078789137311,0.004016898549467218,0.0036510227895565866,0.0041109549346323255,0.01743599486386625,0.050845885378600485,0.5622187529659278,0.2467974034822388,0.03895082180562275,0.02236348143722781,0.0189961142078487,0.010504807252950185,0.00868550297402051,0.007233505807658355,0.004238042534956385,0.003753612238637758,0.0040608575916412535,0.004355413452821185,0.005016395594164397,0.0054943297515017645,0.006485073524181822,0.19826323522255,0.6306919389961901,0.0745625180708273,0.024811287162594398,0.019335564995632173,0.009274889956506698,0.0073954963920003685,0.005996817112107282,0.003595970764291671,0.0034879862167345385,0.004005557832262645,0.004715040807864248,0.0057854999131279035,0.00533514682044826,0.001554393933354899,0.0011886558035074306,0.1,52,-37,13,5400
800_4694,0.2919773068945615,0.2583403267756095,0.1944079969452732,0.11946402339138533,0.050437977397400094,0.01975269419106444,0.009381690885520634,0.006078624421650949,0.006449977858075439,0.008361384175273316,0.008508345556718009,0.007731699110293209,0.0042396665697017,0.003240692519244537,0.001569175402138529,0.010058417906089613,0.2601749079915502,0.280105667958334,0.2281394188135672,0.11471421722956628,0.04406265008558388,0.016270791223121674,0.00881319614662248,0.008057799781949938,0.007164718302089841,0.0067229257993388905,0.006106370642384466,0.004087612875920002,0.0025188228379583273,0.0012919609289170453,0.0008364054198498665,0.010932533963245946,0.27761145337566906,0.2980740434325246,0.22041947331066805,0.10488484327459137,0.03420486928557225,0.012887128594264151,0.009818886544161964,0.008786220654242673,0.006217190369242742,0.004538764222965988,0.003358063437109337,0.003407830467948821,0.0020095090262199585,0.00170099747663537,0.0010936635339128184,0.010987062994270843,-0.1,52,-37,13,5400
800_4727,0.1824905547240253,0.268586582191903,0.12233468372281173,0.09260862700469197,0.07300853702766189,0.06510829614202013,0.05333982470113907,0.04689279212641529,0.024793725566534888,0.010695672624543646,0.007626412111974058,0.006422699579556672,0.0051095160949000025,0.005624555317265923,0.0019899655572509127,0.03336755550730552,0.4740176736819829,0.17007412094577615,0.09710965306433886,0.09301614962171552,0.06713715595512071,0.03397852288369555,0.010057454495647477,0.006076009450450865,0.005697939666944056,0.0058738584136780935,0.004587732999439129,0.0015535956789885575,0.0005704215597824256,0.0005394272695582778,0.0005269029338105097,0.02918338137907085,0.6964966157317989,0.15464898388274886,0.08122535458458953,0.013846134874378984,0.00798180046107172,0.006515572346178586,0.005852718435976367,0.005306795027436828,0.0019367302488197398,0.0008804745660744318,0.000884520889931403,0.0009328015160887342,0.0009288652962822928,0.0010022221199477931,0.001016040178289287,0.02054436984038656,0.35,52,-37,37,3773
