,Exposure,Contrast,Highlights,Shadows,Temperature
800_4477,0.0,49,-27,17,3340
800_4572,0.0,32,-37,13,4050
800_4580,-0.9,56,-37,13,5500
800_4598,-0.65,52,-37,13,5186
800_4625,-0.1,52,-37,13,4372
800_4638,-0.1,52,-37,13,5596
800_4641,0.2,52,-37,26,5596
800_4644,0.1,52,-37,13,5400
800_4694,-0.1,52,-37,13,5400
800_4727,0.35,52,-37,37,3773
800_4784,-0.4,52,-37,13,5400
800_4829,0.25,21,0,0,4800
800_4831,-0.7,42,-57,23,3695
800_4833,-0.7,42,-57,23,3695
800_4834,-0.85,42,-57,23,3933
800_4836,-0.85,42,-57,23,3933
800_4837,-0.65,58,-57,23,3933
800_4839,-0.65,42,-57,38,3933
800_4845,-0.15,51,-4,40,3817
800_4850,-0.15,51,-4,40,3817
800_5807,1.55,31,-31,21,5350
800_5808,1.55,31,-31,21,5500
800_5809,1.55,31,-31,21,5400
800_5810,1.55,31,-31,21,5697
800_5812,1.55,31,-31,21,5638
800_5814,1.3,31,-31,21,5600
800_5816,1.55,31,-31,21,3450
800_5817,1.55,31,-31,21,3450
800_5818,1.75,31,-31,21,3400
800_5819,1.7,31,-31,21,3400
800_5820,1.55,31,-31,21,3400
800_5821,1.55,31,-31,21,3450
CAR_6818,1.55,48,-19,16,4700
CAR_6820,1.55,28,-19,16,4500
CAR_6828,0.4,49,-23,17,4550
CAR_6836,0.0,29,-23,17,4550
CAR_6839,0.85,43,-23,17,4700
CAR_6840,0.85,43,-23,17,4650
CAR_6841,1.8,63,-23,17,4650
CAR_6845,0.85,59,-23,17,4500
CAR_6846,1.4,57,-23,17,4450
CAR_6850,0.9,29,-23,17,4550
CAR_6971,0.75,43,-21,15,3850
CAR_6973,0.6,42,-51,15,3850
CAR_6974,0.55,21,-21,15,3900
CAR_7000,1.35,48,-23,17,4312
CAR_7002,1.35,48,-23,17,4312
CAR_7004,1.1,66,-23,17,4312
CAR_7039,0.85,48,-23,17,4393
CAR_7040,0.85,48,-23,17,4393
CAR_7041,0.85,48,-23,17,4393
CAR_7043,0.85,48,-23,17,4393
CAR_7044,0.85,48,-23,17,4393
CAR_7131,0.43,48,-23,17,4996
CAR_7215,0.2,48,-23,17,4788
CAR_7307,0.4,48,-23,17,4750
CAR_7329,0.4,48,-23,17,4825
CAR_7524,1.25,52,-4,40,3541
CAR_7554,0.3,50,-4,40,2966
CAR_7555,0.3,68,-4,40,2966
CAR_7557,0.3,50,-4,40,2966
CAR_7559,0.3,50,-4,40,2966
CAR_8105,-0.2,42,-40,0,4039
CAR_8113,-0.2,42,-40,0,4039
CAR_8114,0.15,42,-40,0,4039
CAR_8115,-0.75,42,-40,0,4039
CAR_8117,-0.85,42,-40,0,4039
CAR_8118,-1.15,42,-40,0,4039
CAR_8121,-0.3,58,-40,0,4039
CAR_8122,0.25,61,-40,0,4039
CAR_8128,0.8,26,0,18,3100
CAR_8130,0.0,28,-29,16,3868
CAR_8132,0.0,38,-27,19,3669
CAR_8134,0.0,38,-27,19,3669
CAR_8136,0.0,38,-27,19,3669
CAR_8137,0.0,38,-27,19,3669
CAR_8138,0.0,38,-27,19,3669
CAR_8140,0.0,38,-27,19,3414
