,Exposure,Contrast,Highlights,Shadows,Temperature
800_4394,0.35,40,-27,17,4996
800_4473,-0.4,69,-27,17,5045
800_4817,0.0,78,-41,21,4350
800_4821,0.0,53,0,0,4050
800_4822,0.45,34,0,0,4900
800_5353,-0.65,43,-45,15,5200
800_5478,-0.2,53,-58,0,5757
800_5570,-0.3,60,-22,17,4673
800_5571,-0.3,60,-22,17,4673
800_5573,0.45,24,-22,17,4673
CAR_6847,0.65,29,-23,17,5750
CAR_6848,0.65,29,-23,17,5900
CAR_7663,0.85,52,-57,14,6003
CAR_7969,0.55,24,-22,17,4673
CAR_8070,-0.15,71,-31,17,5090
CAR_8103,0.6,52,-31,17,5279
