,Exposure,Contrast,Highlights,Shadows,Temperature
CAR_2802,0.95,37,-23,27,6790
CAR_2804,0.95,37,-23,27,6790
CAR_2805,0.95,37,-23,27,6790
CAR_2810,0.5,37,-23,27,6790
CAR_2812,0.25,53,-23,27,6790
CAR_2814,0.2,37,-23,27,6790
CAR_2815,0.5,37,-23,27,6790
CAR_2819,0.25,52,-47,27,6790
CAR_2821,0.35,37,-23,27,6790
CAR_2823,0.5,37,-23,27,6790
CAR_2826,-0.35,59,-23,27,6558
CAR_2834,0.35,37,-23,20,6790
CAR_2836,0.5,37,-23,27,6790
CAR_2838,-0.17,22,-23,5,7159
CAR_2839,0.5,37,-23,27,6790
CAR_2841,0.5,37,-23,27,6790
CAR_2842,0.0,59,-38,27,6790
CAR_2846,-0.35,51,-43,0,6018
CAR_2849,0.5,37,-23,27,6790
CAR_2852,0.75,37,-23,27,6790
CAR_2855,0.5,37,-23,27,6790
CAR_2859,1.15,37,-23,27,6790
CAR_2860,1.15,37,-23,27,6790
CAR_2862,1.15,37,-23,27,6790
CAR_2864,1.15,37,-23,27,6790
CAR_2867,0.95,37,-23,27,6790
CAR_2868,0.95,37,-23,27,6790
CAR_2870,0.95,37,-23,27,6790
CAR_2871,1.45,37,-23,27,6790
CAR_2872,0.8,37,-23,27,6790
CAR_2874,0.95,37,-23,27,6790
CAR_2875,0.95,37,-23,27,6790
CAR_2877,0.95,37,-23,27,6790
CAR_2878,0.95,37,-23,27,6790
CAR_2880,0.8,37,-23,27,6790
CAR_2889,0.95,37,-23,27,6451
CAR_2892,0.95,37,-23,27,7228
CAR_2894,0.95,64,-23,27,7228
CAR_2903,0.7,51,-23,27,7228
CAR_2906,0.75,37,-23,27,7610
CAR_2909,0.45,37,-23,27,7482
CAR_2911,0.45,49,-23,27,7349
CAR_2912,0.45,49,-23,27,7349
CAR_2921,0.45,49,-23,27,7349
CAR_2934,0.5,0,-21,37,3662
CAR_2938,0.5,0,-21,37,3662
CAR_2941,0.5,14,-21,30,3475
CAR_2949,0.5,14,-21,30,3475
CAR_2955,0.5,14,-21,30,3475
CAR_2959,0.5,14,-21,30,3475
CAR_2972,0.0,51,-34,36,6010
CAR_2977,0.0,51,-34,36,6010
CAR_2980,0.0,51,-34,36,6010
CAR_2983,0.6,51,-34,36,6010
CAR_2986,0.6,51,-34,36,6010
CAR_2991,0.6,51,-34,36,6010
CAR_2993,0.6,51,-34,36,6010
CAR_2996,0.6,51,-34,36,6010
CAR_3008,1.65,19,-13,16,6165
CAR_3020,0.7,39,0,0,6250
CAR_3023,0.7,53,0,0,6000
CAR_3028,0.7,39,0,0,5900
CAR_3030,0.7,39,0,0,5900
CAR_3034,1.15,39,-13,19,5750
CAR_3039,0.35,55,0,18,5600
CAR_3049,0.35,55,0,18,5600
CAR_3054,0.8,40,-46,28,3823
CAR_3056,0.8,40,-46,28,3823
CAR_3065,0.8,40,-46,28,3823
CAR_3069,1.3,42,-18,13,4001
CAR_3083,1.3,42,-18,13,4001
CAR_3107,0.0,24,0,0,3713
CAR_3108,0.0,24,0,0,3713
CAR_3117,1.7,24,0,0,3713
CAR_3121,0.6,29,-17,21,3636
CAR_3125,0.6,29,-17,21,3636
CAR_3151,0.45,35,0,0,6200
CAR_3155,0.45,39,0,0,6600
