,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_6665,0.025172235766243816,0.18001084635001768,0.19788480760087895,0.038279599987580265,0.0023946254689606768,0.0016847846551948525,0.0032184515010375107,0.006974210768660599,0.014388920317478425,0.02980439575007173,0.05535238911476123,0.07468550429526911,0.1067168370453446,0.08837160293220299,0.08702225026694728,0.08803853817935026,0.0114989091991714,0.1243995750864482,0.2515929028250277,0.05859401751843527,0.0038789106481407053,0.002286172979188793,0.005280012217145447,0.015235262627888609,0.031781451607398016,0.054549565430322966,0.07459400782927883,0.10206216078318332,0.08711314116065964,0.08763894305396486,0.08196649247471846,0.007528474559027772,0.008084224754077099,0.06330440643016462,0.25631812825756595,0.11534838903460548,0.006419231301964983,0.00687219936584471,0.024379761862555357,0.04105185482384563,0.058375488504146186,0.06724156212103563,0.09778803164566577,0.09174904468220556,0.0965217249605222,0.0629739015964867,0.003455698203916665,0.00011635245539739964,-0.4,27,-30,22,5950
800_6671,0.06159905984353334,0.2965087767241799,0.2970407169183021,0.051633404600015115,0.002844730827526629,0.003557379294580965,0.0064097348276067855,0.009627553230353749,0.007193840823454981,0.007461613874343531,0.01438000188938551,0.026993164079918804,0.04372586932102576,0.0575544976513705,0.06601505805015856,0.04745459804424377,0.021426220707092616,0.2521518185115298,0.34546882745131796,0.08814432064589678,0.004303609497046899,0.004704333188950222,0.009110119244888805,0.010120296382487378,0.010693332913469888,0.01656242932696256,0.02449239830624737,0.043033535051294175,0.05515956939627086,0.06418749596743915,0.04109674975044917,0.009344943658656304,0.013674455133590346,0.14929310997478834,0.3791861560011442,0.1613674504680413,0.011400200917871408,0.008773063220204358,0.014687605080553225,0.015250759773000682,0.016324659629843394,0.026474023481670647,0.04393985654323048,0.05863343476852495,0.059523818699147066,0.03578733975181226,0.005482163253918218,0.00020190330265907892,-0.3,27,-30,22,6065
800_6681,0.056948540009279576,0.22606494839753466,0.1960601632754986,0.09715430025682872,0.10380026332484724,0.037572731983178745,0.012284969541916504,0.009748337373784973,0.012888917785085259,0.016222703279052772,0.043891355708972096,0.05506454960066362,0.0353395190522948,0.03499362717755533,0.03555259791608266,0.026412475317424473,0.0541395654721625,0.2207092121196373,0.2298873481417409,0.166907170614374,0.05317177839401791,0.012395569060673718,0.010969914288400823,0.011970622477653832,0.017060484999534258,0.0604701079614257,0.045325103128958925,0.0369369086173816,0.03879290507115034,0.025262410983627748,0.012116620448656391,0.003884278220604035,0.04520302526293398,0.2030619275828043,0.3733521552537579,0.10681078332645916,0.01442784209934072,0.009536221920439255,0.013738866003150295,0.046714643772658035,0.050508884405941305,0.04203665297779708,0.03613025881718742,0.035216174989688764,0.01675329469855603,0.005772700317253811,0.0005768351207257882,0.00015973345130615337,-0.3,27,-30,22,5508
800_6747,0.02999782104084002,0.013377201723172432,0.017376098260378017,0.023604601820812702,0.03960866598152586,0.06859727329520944,0.05756352618351394,0.04946358407622371,0.050380915973213015,0.06802580574694699,0.10058665640203306,0.1471960682283972,0.14535565149777846,0.0907865150724738,0.05007372567223477,0.048005889025246634,0.03799902734081762,0.010363763964221468,0.016962382290512182,0.02826194810619932,0.04861253481765338,0.06783683967022516,0.054073007573617216,0.054348102543866,0.06491897222713408,0.09349394614898973,0.14218283812568552,0.1851507236368513,0.10300250442673337,0.05360456989063805,0.03696960952038896,0.002219229716466655,0.04144533917442662,0.017040391010312562,0.040565552758668,0.06402316567202337,0.0681478560869593,0.06540122796845475,0.07560170762574048,0.1078076929259689,0.17584247215303406,0.21338319138352124,0.08767602059298077,0.031212488926285118,0.004785424822165442,0.003481269869652219,0.002308964517648468,0.0012772345121586802,0.65,27,-30,22,5247
800_6770,0.18951643181839706,0.2500730815635392,0.13580734565779354,0.06485731395883737,0.04176709073608742,0.04153645027624005,0.060129996549339065,0.054438938385553116,0.034591279450906696,0.02552611018464669,0.02501357582943033,0.0234075981484022,0.019021410613457933,0.013218294052245252,0.007006746515592165,0.014088336259531984,0.2710014117541359,0.2639856091803877,0.09980299082238696,0.06818460331382363,0.06743336337705859,0.05369623151270413,0.04205471004208397,0.030813692055266063,0.0276473472961418,0.02506656340374781,0.0193766338064798,0.012987405858284196,0.00704891636694509,0.003257373282899806,0.0016870417882307136,0.005956106139423879,0.399876771546647,0.2002350336114635,0.10975072663168148,0.07503010244741486,0.04961068308773157,0.04224973184158493,0.03573025080161254,0.03432422207634659,0.02377198750363068,0.01201551740425737,0.005553813464800507,0.003378983206710005,0.002126191793768948,0.0013613540067634715,0.0009797608936397077,0.0040048696819468335,-0.2,30,-22,38,4450
800_6893,0.06405718782363709,0.14104639916814188,0.1239660679134996,0.06832740826736082,0.053726867964764065,0.0744354855225285,0.07526825750871087,0.06524832096828144,0.06357928119231236,0.06511476475498876,0.06939095834345373,0.06258223396273947,0.028941923196258924,0.016096661667208745,0.010892015672650971,0.017326166073462743,0.04508163554722484,0.15552392572028415,0.1464050807293909,0.10696597498568096,0.06560117692421692,0.07140814712719815,0.06396024120714558,0.04803022202041373,0.06353939600000792,0.06279999224867484,0.05087054868591917,0.046954147608573055,0.021207113646538253,0.01720640039249892,0.014666960571078882,0.019779036585153703,0.04511981412674606,0.14991340866946082,0.15993452882843345,0.14968100654480498,0.08682056717238926,0.06877891745257103,0.06427511126564826,0.06618382003360816,0.05411415896250275,0.04568866670380843,0.03392713181811075,0.02134501896982686,0.020277395043864357,0.01254767780648068,0.008757070606864899,0.01263570599487928,-0.6,49,-22,38,5450
800_6930,0.4254588145889629,0.12102595945220153,0.1120258066277794,0.05743478702243194,0.01817922473095525,0.01325947296714341,0.012178388821003623,0.011638741343344286,0.014194834402406962,0.010903741754032395,0.004643308018944062,0.016047307526558748,0.06315529801973463,0.06834034549329808,0.005168807126110318,0.04634516210509256,0.43889087565531176,0.10684141977851908,0.13823026786774034,0.05796562617604889,0.017337369160604153,0.01622366668949491,0.014409096884738015,0.003886425249589367,0.0028694491868705763,0.003417602202433344,0.010568006977954306,0.051215890040405984,0.08768871008480435,0.004066638054294068,0.004922091474885596,0.0414668645163052,0.4410447035657637,0.1154036062159462,0.13969864301161886,0.06668424294326625,0.01872060634741043,0.009005272662771773,0.002936392449592714,0.002883735187426822,0.004971390563510329,0.02979963374988632,0.10644757758977387,0.0178327548099505,0.008963846013759923,0.008304763167288351,0.008272117316306256,0.019030714405727702,-0.6,46,-22,38,5450
800_6931,0.2319852431945237,0.22425101169106829,0.152513873660887,0.027568292587861386,0.007083516564824091,0.005041691999773626,0.009845531724390184,0.04495944757714936,0.060604765215223684,0.0356834015281121,0.04947294292051875,0.046830473233815416,0.03718712007221064,0.026713169479421442,0.01845732003658097,0.02180219851363936,0.22202836874903525,0.3394385387078497,0.07773852446038555,0.0071850875514378595,0.010415265133856795,0.015105009536111816,0.03482604881264893,0.09909568240178332,0.07949603284095537,0.04251552301956395,0.0170592463289658,0.006716016770168145,0.011363673899108136,0.016608783132235624,0.010084622670115713,0.01032357598577808,0.3907996284648919,0.2062991518244572,0.04486734553888115,0.020223003642902616,0.02551697154845272,0.04355063872460753,0.06850566672516861,0.08907169953749693,0.03927403224595307,0.012071615418002321,0.013870522921571343,0.01501981652701436,0.011778876273656131,0.0076177689440074655,0.005068061919875521,0.006465199743061189,0.95,44,-22,38,5200
800_6935,0.3342693186915499,0.3190955767018948,0.10290588812239344,0.01891411421621661,0.015797619065969718,0.01695704224406148,0.019740665323544057,0.022313439146262003,0.01891818806608621,0.018265215994419045,0.019018520382131518,0.0230629449442312,0.0191566459135212,0.011186406377755106,0.011442178087135905,0.028956236722827808,0.4336332420864365,0.29457193637130963,0.04744424826349397,0.026089760345321532,0.024724717852865317,0.026765799215574704,0.023064513926951247,0.018716504971528197,0.013542715637131402,0.007963247928557446,0.009576464950907908,0.01648744846855175,0.01402232888123935,0.011021553088099316,0.011268819259576686,0.021106698752455046,0.6182392259332915,0.1302104264572106,0.050629723601397794,0.038972237043450805,0.027736476525045697,0.02098401531415218,0.01575558684467996,0.008560672506732312,0.006131061475715781,0.0035950899318874328,0.011402210316793577,0.015291470745684087,0.013637790484763912,0.010644116402883052,0.009111523071533059,0.01909837334477828,0.15,45,-22,38,5150
800_6941,0.3502863751302256,0.21932096519853192,0.11069313472617894,0.0917035992353494,0.0914751333305,0.04549526893905279,0.032307583812854826,0.009606330674614123,0.00417057627799423,0.0021542132746287896,0.0007300173810254166,0.0005039462392750397,0.0015720931594775695,0.0043850039164010784,0.002497214918041848,0.033098543785848505,0.4720565003339456,0.16436569386801916,0.0980590802920576,0.08530578317121246,0.07323158030802268,0.03305158440829753,0.022238072923674333,0.004146766277067154,0.002247498931440189,0.002024565755129913,0.001135310391025727,0.0008919804393547992,0.0012931995994855056,0.0049206050702034435,0.00238614745706988,0.03264563077399404,0.5618674659927124,0.13862130240319706,0.0980749352753339,0.07850641763479323,0.02942753711112075,0.02888877046586565,0.014214708183527597,0.0034465045156974244,0.0017150357430779234,0.0018253875277214476,0.0015894895994612828,0.001459539293823449,0.004769845099015472,0.0036273228926800407,0.0006526968115408424,0.031313041450431484,0.6,44,-22,38,5026
