,Exposure,Contrast,Highlights,Shadows,Temperature
800_7699,0.3,47,-26,0,4879
800_7704,0.3,51,-26,40,4965
800_7708,0.65,62,-51,40,5235
800_7712,1.2,62,-51,40,5235
800_7717,0.4,51,-26,40,4965
800_7722,0.5,51,-26,40,5174
800_7727,0.65,51,-26,40,5174
800_7732,0.5,51,-26,40,5174
800_7737,0.7,63,-45,40,5174
800_7743,0.5,51,-26,40,5174
800_7749,0.2,66,-26,40,5233
800_7750,0.2,66,-26,40,5233
800_7752,0.3,69,-26,40,5233
800_7759,0.35,45,-26,40,5233
800_7775,0.55,45,-26,40,5233
800_7788,0.55,45,-26,40,5233
800_7795,0.55,45,-26,40,5233
800_7796,0.15,45,-26,40,5514
800_7802,0.55,45,-26,40,5233
800_7803,0.7,45,-26,40,5233
800_7808,0.3,45,-26,40,5233
800_7811,0.15,32,-48,27,5233
800_7813,0.55,45,-26,40,5233
800_7814,0.55,45,-26,40,5233
800_7829,0.05,45,-26,40,5233
800_7836,-0.45,45,-26,40,5233
800_7845,1.2,21,-52,21,4350
800_7846,1.2,21,-52,21,4350
800_7854,1.2,44,-52,21,4350
800_7869,0.52,21,-52,33,4350
800_7874,0.52,21,-52,33,4350
800_7884,1.2,45,-52,21,4300
800_7897,0.4,26,-23,14,4700
800_7902,-0.35,26,-23,14,4700
800_7907,0.75,26,-54,14,4862
800_7909,0.75,26,-54,14,4862
800_7910,0.75,26,-54,14,4862
800_7912,0.25,26,-54,14,4862
800_7914,0.75,26,-54,14,4862
800_7918,0.75,26,-54,14,4862
800_7920,0.75,26,-54,14,4862
800_7925,0.75,26,-54,14,4862
800_7932,1.25,33,-54,14,4862
800_7933,1.25,33,-54,14,4862
800_7937,0.95,33,-54,14,4862
800_7939,0.75,56,-73,14,4862
800_7941,0.75,56,-73,14,4862
800_7945,1.2,47,-60,0,5205
800_7947,1.1,53,-60,0,5205
800_7959,0.75,34,-68,0,5238
800_7962,0.75,34,-68,0,5238
800_7963,1.0,34,-68,0,5238
800_7975,-0.45,31,-42,0,5215
800_7981,-0.05,28,-84,0,4895
800_7988,0.3,27,-42,25,5076
800_7990,0.5,27,-42,25,5076
800_7992,1.05,49,-42,0,5076
800_7994,1.1,49,-42,0,5076
800_7996,1.1,38,-42,0,5897
800_7999,1.1,62,-42,16,5814
800_8001,1.1,62,-42,16,5814
800_8011,0.55,42,-42,16,4922
800_8013,0.55,42,-42,16,4922
800_8018,0.2,42,-42,16,4922
800_8022,0.4,51,-65,32,5076
800_8030,-0.05,51,-65,32,5076
800_8035,0.2,37,-65,32,5076
800_8051,-0.2,51,-65,16,5076
800_8055,-0.2,51,-65,16,5076
800_8101,-0.1,60,-47,31,5300
800_8110,0.45,34,-47,31,5300
800_8119,0.11,39,-24,16,5550
800_8155,0.0,49,-44,30,5455
800_8171,0.0,49,-44,30,5455
800_8182,0.0,62,-44,30,5455
800_8183,0.0,49,-44,30,5455
800_8184,0.0,49,-44,30,5455
800_8195,0.1,49,-44,30,5455
800_8197,0.1,49,-44,30,5455
800_8207,0.4,61,-44,30,5455
800_8226,0.2,69,-44,30,5455
800_8228,0.15,49,-44,30,5455
800_8233,0.15,49,-44,30,5455
800_8241,0.25,48,-44,30,5455
800_8252,0.25,48,-44,30,5455
800_8258,0.2,49,-44,30,5455
800_8259,0.2,49,-44,30,5455
800_8282,0.15,61,-44,30,5455
800_8289,0.3,49,-44,30,5455
800_8301,0.3,49,-44,30,5455
800_8309,0.3,49,-44,30,5455
800_8322,0.2,49,-44,30,5455
800_8325,0.3,49,-44,30,5455
800_8332,0.25,65,-44,30,5455
800_8339,0.3,49,-44,30,5455
800_8341,0.3,61,-44,30,5455
800_8349,0.1,49,-44,30,5455
800_8368,0.3,49,-44,30,5455
800_8376,0.25,49,-44,30,5455
800_8382,0.0,49,-44,30,5455
800_8392,0.3,46,-44,30,5455
800_8398,0.25,49,-44,30,5455
800_8408,0.35,53,-44,30,5455
800_8415,0.2,49,-44,30,5455
800_8422,0.2,49,-44,30,5455
800_8428,0.2,49,-44,30,5455
800_8439,0.2,49,-44,30,5455
800_8442,0.2,49,-44,30,5455
800_8452,0.2,49,-44,30,5455
800_8461,0.0,49,-44,30,5455
800_8472,0.05,49,-44,30,5455
800_8485,0.25,49,-44,30,5455
800_8496,0.0,49,-44,30,5455
800_8507,0.0,49,-44,30,5455
800_8509,0.0,49,-44,30,5455
800_8517,0.0,49,-44,30,5455
800_8518,0.0,49,-44,30,5455
800_8529,0.0,49,-44,30,5455
800_8530,0.0,49,-44,30,5455
800_8532,0.1,49,-44,30,5455
800_8551,0.2,49,-44,30,5455
800_8554,0.2,49,-44,30,5455
800_8565,0.15,49,-44,16,5455
800_8571,-0.3,30,-44,30,5455
800_8575,-0.2,30,-44,30,5455
800_8588,-0.3,53,-44,30,6681
800_8597,-0.3,53,-44,30,6681
800_8605,-0.05,41,-44,30,6681
800_8616,-0.05,41,-44,30,6681
800_8633,-1.38,30,-44,30,5455
800_8638,-0.58,14,-44,30,5455
800_8647,-0.58,35,-44,30,5455
800_8651,-0.45,51,-44,15,5455
800_8657,1.4,59,-39,19,6681
800_8661,1.25,41,-39,19,6681
800_8665,1.6,46,-39,19,6681
800_8673,0.8,35,-39,19,6681
800_8675,0.8,35,-39,19,6681
800_8679,0.8,35,-39,19,6681
800_8680,0.8,35,-39,19,6681
800_8686,0.55,55,-39,19,6681
CAR_0118,0.9,54,-24,19,5669
CAR_0123,0.9,54,-24,19,5669
CAR_0415,0.55,45,-26,40,5233
CAR_0420,0.55,45,-26,40,5233
