,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_7699,0.10734299878070774,0.11856194090539443,0.11839183014732582,0.11308820061134173,0.09053723950207423,0.07883105942778043,0.08994765983749964,0.0968821505699316,0.032168192084884056,0.01911020953021024,0.015233693645168557,0.012189949746309258,0.011556989085825886,0.010052444761348369,0.010270230573296377,0.07583521079090162,0.07919547630902155,0.1536741501453704,0.11498479793374335,0.1257883450017936,0.11120855931272172,0.10290660379872188,0.07676881056135669,0.04435794914910489,0.03288885062161444,0.020871626604573854,0.016325485410222367,0.01397071760755349,0.011957767829754476,0.010678854230825216,0.010051839189070455,0.07437016629455168,0.3490478421918281,0.2309057555571166,0.10486505207150862,0.08290298247649994,0.07820175972697717,0.04027033627318489,0.030764062654489745,0.022977008732792664,0.016092257505187554,0.013680125492192632,0.008550074991868816,0.0059119819411740495,0.004588228467666515,0.003466130562704367,0.0029764152719603076,0.004799986082848013,0.3,47,-26,0,4879
800_7704,0.1018142615134154,0.2357839430418534,0.22490403881476076,0.13742427869184934,0.07799930590406548,0.050615162340715225,0.037232207680902615,0.030042688441430918,0.025534973560714342,0.014721379498053253,0.010843129474215724,0.00879593733670193,0.007304054978035344,0.006151678459177492,0.005348331780499207,0.02548462848360958,0.0835447514610257,0.2407687662995284,0.2307786954828052,0.14887636614353295,0.08180678654942494,0.047562500013763005,0.03385399520254631,0.027684589991233514,0.024534513105575032,0.01741548798445507,0.010731786753117431,0.00875035425978258,0.007162048278864492,0.005957977908282885,0.00505685883273411,0.02551452173332843,0.5596359872006244,0.2232619470051588,0.0727543893530264,0.03678562565195361,0.024145185182901544,0.017666993161877836,0.015015962885245815,0.015516220638828106,0.009576464950907908,0.0043895457084854326,0.0033298217481484357,0.0026941910644397173,0.0023000185635429194,0.0021279809845900573,0.002103290151258743,0.00869637574901033,0.3,51,-26,40,4965
800_7708,0.20312064056774934,0.2979672975555359,0.18450521111460752,0.08814239382501253,0.05668635473895541,0.04080701094147992,0.03379420870310861,0.029250297115780362,0.021453498985611386,0.007572295971138645,0.005814319648354088,0.004763101225920521,0.003964956963629768,0.0033314457828937504,0.0028488322034088656,0.015978134656813383,0.17238352587962674,0.31403219420416684,0.20266423175229056,0.10217289793200372,0.054907155860431225,0.03307165087150659,0.026450598844920428,0.02597277479163359,0.023666315141134674,0.008993106165188227,0.0057072985112390905,0.004619387913966456,0.003747941880035471,0.0031183944451185263,0.0026143381017929568,0.015878187704944927,0.6288480815139924,0.19303742172427787,0.05372301432299552,0.02957314971794645,0.023052595163481397,0.01584870734541556,0.019685888558405463,0.02019410132963853,0.004922559417100347,0.00232421392864685,0.0017306154662278946,0.0013594822379044645,0.0011304382867897821,0.0009820730787008338,0.0008944853065043527,0.002693172601972316,0.65,62,-51,40,5235
800_7712,0.3462478961868545,0.2526088879512917,0.1215800580864929,0.07816325083530437,0.0546699366835647,0.04655502042540242,0.039888935842149545,0.01463648927509475,0.0077745020599366815,0.00618938909648396,0.005131729587094396,0.0042882499819979865,0.003704230571975128,0.0031967059510578685,0.002830142040831427,0.01253457542446763,0.32946302915180903,0.26331182744317033,0.14487303791829353,0.07890950856378294,0.04377794853692637,0.03671931548752202,0.03774141138859045,0.02016569448460184,0.00782399383064984,0.006077027912918266,0.004873205276450351,0.0041437384156775845,0.0035327985653001797,0.003125661312453495,0.002815856040275181,0.012645945671578557,0.7221474187536706,0.1123921778559174,0.0463834507886643,0.032648741213421505,0.02373568069296847,0.031545058210910484,0.018191556384614588,0.0034875458005324193,0.002360878577473284,0.0017243670613603266,0.0013265060747707801,0.0009841925816735332,0.0007282832422295718,0.0005607324033358004,0.00047958571809531437,0.0013038246403616345,1.2,62,-51,40,5235
800_7717,0.0644898692162067,0.21115941987497025,0.2502466605991995,0.17542157189387114,0.08987400022769518,0.05077872190777729,0.034043264065407086,0.025194256576349786,0.01801183904813727,0.01320381536960058,0.010564318492261558,0.008628716809959748,0.007157148648615916,0.00615288960373332,0.005596203524254491,0.029477304141960238,0.06307343565816569,0.19145038193994088,0.23934842404769355,0.1911992896527076,0.10549041555250543,0.053529946870391455,0.033482696818147084,0.02511269700091981,0.018758867504969547,0.013136431690676322,0.01049569614276884,0.008574793351212763,0.007103390345944725,0.006031224627897856,0.005255376435839397,0.027956932360219053,0.45756177002390797,0.2673272946399807,0.12006249395804022,0.04885071740496204,0.026682312819260458,0.0172059599762968,0.013781724004819034,0.010367672658015277,0.0064820731888048854,0.0050288648778869,0.004123864634556949,0.0034599647358746965,0.003000060116811589,0.0027330577942767478,0.002680125271984531,0.0106520438945212,0.4,51,-26,40,4965
800_7722,0.23947215347447645,0.27217864426240085,0.1737880131481853,0.09155773889441,0.05687603649200568,0.0417854781125259,0.03319948167417173,0.028685793648713907,0.014042009980271556,0.009101971545149598,0.0071608371343086655,0.005760809079796589,0.004684294251753793,0.003875304740485854,0.003312535412215252,0.01451889814912889,0.19796873441339533,0.3037144262070542,0.19142560852857168,0.0971732106275072,0.053334814966839963,0.03457509415547881,0.02828063826877676,0.02700822080882876,0.018788375390511543,0.009038524086031782,0.007144486682804985,0.0056597610874228365,0.004602046526008008,0.0037394088161194095,0.003086849634641729,0.014459799800007004,0.6584058992429025,0.1643338462714034,0.05372810663533252,0.031234262002277392,0.02198373256695042,0.016199829162555197,0.020064976804379683,0.013332994946884705,0.0039831791839924574,0.002805698941613804,0.002173096119294656,0.0017579487967719256,0.001518087122692687,0.0013835399729452329,0.001370933059159567,0.005723869170843832,0.5,51,-26,40,5174
800_7727,0.2604097324053177,0.30569484023792165,0.1585174071200766,0.07856477278157405,0.05066671856237582,0.03912291443660088,0.031411006529390405,0.026674990899900226,0.01237979665543532,0.006414524353804832,0.005161127368585861,0.004191798833733856,0.003436622677162372,0.002838234688545369,0.002419426406342522,0.012096086043232576,0.22367803021211105,0.3269439035277117,0.17925627576572412,0.08857854349517381,0.047929284132090515,0.03012372502262088,0.025356082004616,0.025272650660327026,0.017578937447466605,0.006486202090699753,0.004964536586364847,0.003946762269279714,0.003159380677928256,0.0026203938245720967,0.002202741634899813,0.011902550648413763,0.6802012162533838,0.16186663470713095,0.04699562930961017,0.02734555209363953,0.021740457667304758,0.01561091012228376,0.021242869936947816,0.013709633377734629,0.002889790910205963,0.001877356639571528,0.001374318758713359,0.0010530351392673103,0.0008587840681200549,0.0007229982478041397,0.0006374198745298282,0.001873392893752454,0.65,51,-26,40,5174
800_7732,0.18841145509329227,0.3061671315626693,0.20442812616779107,0.09547331419137714,0.05602264752236158,0.03879945626215686,0.031144912565272437,0.02624115341480005,0.011147732330006505,0.00752307946055181,0.005944820474244571,0.004882619172770652,0.003976297680834342,0.003312260152088927,0.002841179971897042,0.013683813977885382,0.16499791132616146,0.2966227068904656,0.22505133050835704,0.1177204982252328,0.05447494241007637,0.03263899700494962,0.026454480012701603,0.026569208433353687,0.01474444629663925,0.007262710907061391,0.00573562277823789,0.004581346964508399,0.0037667696726760725,0.003136368931367521,0.002656948369348001,0.013585711268863302,0.6369515744769122,0.19971413134840688,0.05464623678668815,0.028116610759499942,0.021598753754272858,0.015896740237459205,0.020902373160684308,0.010284654203915784,0.0031978895696010644,0.00211647511130969,0.001512664498204093,0.0011323100556487893,0.0008665739296950403,0.000696380593588553,0.0006147934921459478,0.0017518380219675195,0.5,51,-26,40,5174
800_7737,0.22170799348800604,0.284787099504774,0.19194053764688707,0.0926057642993782,0.056112905317783415,0.03944378516585744,0.03327283849783723,0.020553233216454213,0.010807675969945118,0.008296863201662836,0.006744643823305901,0.005404567424307318,0.004509586649575582,0.0037913779279694897,0.003292331318943028,0.016728796547313143,0.22190136372674904,0.291249464068534,0.18901532075842312,0.10271989485503592,0.04992717718097957,0.0321784868136086,0.02851138883267465,0.025952598224374,0.01115420094297513,0.008308589283044263,0.006550392752158646,0.005322209594511004,0.0044083459751134025,0.0036685018075781977,0.003166840227351652,0.01596522495688876,0.6747283292657227,0.16938547516173735,0.05148019481370285,0.028654083682161317,0.019136662028350036,0.016465097346294196,0.020354467879235238,0.005362672833080718,0.003477939222123691,0.002470377055725201,0.0018732002116640266,0.0014636131436930528,0.0011559549005000706,0.0009327464640634693,0.0008107511760764157,0.002248434815869693,0.7,63,-45,40,5174
800_7743,0.18700878454156747,0.29172302158986285,0.2206719694245456,0.10396164833691136,0.055646201773600086,0.0384440679130592,0.03053672531615828,0.021386252936750286,0.00956171100813691,0.007184399401122048,0.005732842650962012,0.004657979383677162,0.0038735706016900092,0.003270503190925488,0.0028221594971680137,0.01351816243386325,0.1734931545008664,0.3029255857370332,0.22776137655607298,0.1108201397484651,0.05090085482582751,0.0320682451330156,0.0277058675989984,0.024355731653527217,0.010016523314863012,0.0070828834665335435,0.0056834334582867505,0.004580603762167322,0.00380236080700984,0.003167748585768523,0.0026782535031255237,0.012957237348439022,0.6374085062866109,0.20320624646703628,0.058144462680121974,0.029522281646601676,0.017327404744031206,0.017777592680635054,0.018985957109187324,0.005308887004396895,0.002931933235546256,0.0021403126382493983,0.0015967839928088842,0.0012288437819508188,0.0009668236677024519,0.0007690217409256094,0.0006830580034744433,0.0020018843207207674,0.5,51,-26,40,5174
