,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_0206,0.00433743896657219,0.010834431254223866,0.060445499706132284,0.1428313234572936,0.041134818225919856,0.04154858924781096,0.034414122033604194,0.03056637083176343,0.050131778032876634,0.1254312500399127,0.16193044000441298,0.08638048128242151,0.06663788913799319,0.06057432144525219,0.04446510791628305,0.03833613841752733,0.0057597355653039245,0.012831333366658159,0.11014949597668787,0.12046423611241094,0.04688065315484439,0.04095702771032681,0.024657196543877897,0.052202092021001685,0.11178608258376332,0.17053306215439715,0.17443495702308595,0.08064240868905934,0.03767122005637768,0.010347385986705156,0.000500175175544393,0.00018293787995531536,0.006167753650554848,0.025755319291837168,0.17268697264288702,0.07836286947891496,0.054839441869355375,0.048725859411661215,0.08660459807727497,0.17818975288026692,0.2243253869772012,0.11215630745366986,0.011178561464154857,0.0005850653985028933,0.00011940784279960249,0.00010355285952330672,7.156763284439061e-05,0.00012758306855144248,-0.2,30,0,35,4716
800_0208,0.011941582534326587,0.0263886653164974,0.10392157046251847,0.2116529612814702,0.06231980095830161,0.08038715997391856,0.048157750036939916,0.020228866683593333,0.0335522550520693,0.07093552549029884,0.06224104903616015,0.03872241095279862,0.06873327932362641,0.07084623110531915,0.04276149546844759,0.047209396323713834,0.01620632530153646,0.03042001502259665,0.19299128812710584,0.14869097844845336,0.09616278575579494,0.0588058852376673,0.02035270621442676,0.028389861486902358,0.05586090467213326,0.13531917182375688,0.11371235294778273,0.0609020186256416,0.03781143756472742,0.0037169751158239563,0.00019328766070511954,0.00046400599494534326,0.017442160690695922,0.05084822508967424,0.2745536712103672,0.11172343337901183,0.08796110750581515,0.029782237309902607,0.06611316075918064,0.16079358815667982,0.15821228127004586,0.03773797063701139,0.0033031215158949513,0.0004431688033825727,0.00036948166756548266,0.00020074721012851564,0.00019342529076828185,0.0003222195038755525,-0.05,30,0,39,4716
800_0215,0.0016762240652661575,0.008281366056550762,0.0362262420232368,0.07149028474889339,0.10710657785820757,0.10589284585719196,0.07076557988830605,0.059006962759947414,0.07124915687823306,0.05618298654594565,0.04670693648912095,0.05421699614569761,0.06855394735132593,0.07933376699648703,0.10012554063841413,0.06318458569717554,0.0012541677135726804,0.012632210191274959,0.05706750743587705,0.09291455110908912,0.13445546059937566,0.10531606578849144,0.06686866722790373,0.07753973159715394,0.0432161426190979,0.04475019482911741,0.04946809834229544,0.06367664069899336,0.0744292921696862,0.09625031847596616,0.07393737479793154,0.006223576404173472,0.00406743630866041,0.032095771145648065,0.08032850204099877,0.1407427321967806,0.13926527346873346,0.09234294593076348,0.07678419760241824,0.04613070694067308,0.05112546708890836,0.06388451714639369,0.08033051143992095,0.1007735305017948,0.08349900322803055,0.007549697114767397,0.0006085450872783798,0.0004711627582297823,0.25,44,0,39,4716
800_0216,0.003197999673651594,0.014358008605292173,0.05310260552427255,0.10751264159656157,0.1436945392134475,0.10236010234391704,0.04830941836654475,0.05075537984906496,0.048217041068150224,0.05368257861043844,0.05831330724160946,0.0674254083594078,0.07786316224558533,0.09814435587919296,0.0562831812319278,0.016780270190935836,0.002411388810653844,0.020463691097360827,0.07515864892640843,0.14084383524117966,0.15741565093844986,0.0699934752339656,0.05989649338417793,0.04479049291161133,0.049319182613953835,0.05212556970588345,0.06314670990379329,0.07168445324200276,0.09108486952339699,0.08451548382252196,0.013898792136544878,0.0032512625080954004,0.003968617923309887,0.04234989900155445,0.1076473263763722,0.18000886447710815,0.12758075636638136,0.07020691193591769,0.05132423242612734,0.05562060258185191,0.06361836813025044,0.07785372082325237,0.09305873236325793,0.09993525331308592,0.023645395371534008,0.0022512149431455713,0.0002760583806909205,0.0006540455861598327,0.25,44,0,39,4716
800_0218,0.009095282724079909,0.03299744074144949,0.11646677092786226,0.22211006595452834,0.1424205252447668,0.06558958847289867,0.0718097516515057,0.06378506566275262,0.049554117131771866,0.054542271036975364,0.0489715290744059,0.06694177631745553,0.03338792475665353,0.004347045544980918,0.0033284454475168124,0.014652399310396313,0.008524998794360647,0.047204083803275766,0.158109141300712,0.26214447677344044,0.09271782269680494,0.08724749562831867,0.059642373235555074,0.04088515729134347,0.052592025515953086,0.0500165816700098,0.05847986714404847,0.06324748263604071,0.013750371876430663,0.003693082536858983,0.0008765383462679901,0.0008685007505793125,0.012140292819520304,0.08945899053523561,0.2372188465543708,0.21123709828261905,0.10121727735144266,0.06742532578136991,0.04730931574956966,0.061789209538798365,0.05483173458581829,0.07572890533011506,0.034879008860953783,0.004793132105702531,0.0008344785989655945,0.0002584967846314124,0.00017484523224137275,0.0007030418886456079,0.4,33,0,39,4716
800_0226,0.00498708039071083,0.01326035379954765,0.08802427970480664,0.07040820966629885,0.038439636225025366,0.05137391687892893,0.031513981342648434,0.04781678531846165,0.11568962901321005,0.1266356231966333,0.0625718291299644,0.06207999433624764,0.08192668986045193,0.0726189613708747,0.09205761128381544,0.04059541848237421,0.0066252910325315635,0.02013937961652521,0.1256999865012434,0.050074716608689535,0.064220609760636,0.029174380372940036,0.03698747390258742,0.11780035118787956,0.1812035484773821,0.15045699236692658,0.08757508270465755,0.10526654649176563,0.02216336732538984,0.002568947706962033,3.52608221821786e-05,8.065121701310172e-06,0.007561533300199355,0.05978091165713423,0.11940652155099613,0.07674808347384446,0.042754311179150524,0.094052696679416,0.20895475141918612,0.23216474032289994,0.14240307375275782,0.015274789982028816,0.0007396790114594094,5.059281121845767e-05,5.915340114715208e-05,4.506008267933363e-05,2.697549237980877e-06,1.4038266442553543e-06,0.0,44,0,39,4716
800_0230,0.016051188694339927,0.03331575155153123,0.12619779443970142,0.21216274303542332,0.16555115665406125,0.10047856175042537,0.06507000745844839,0.04533267278243285,0.025586392152311774,0.027672395967637337,0.05518737066902965,0.036917695460564136,0.02124314519707414,0.023512802568683457,0.02783661615900258,0.017883705459333182,0.016473960722361847,0.043050270866974716,0.1841246639899638,0.238972281085071,0.1375537335292598,0.10321731742931706,0.039439738842000464,0.030262153340149513,0.02635180798558253,0.05464430996580388,0.07565296106126211,0.037685808843072884,0.0065783316549805895,0.003839631028114189,0.0015166557700357992,0.0006363738860497947,0.0180424755001972,0.0856147626630118,0.2425260269459845,0.23606850696044776,0.13941608849194667,0.04817176077736983,0.043275543754358735,0.055813780138506484,0.07749205654327453,0.04043948362081134,0.006674094652928911,0.004173136197169049,0.0014496849813010288,0.0002686263572801569,0.0002484222640079328,0.0003255501514040799,0.25,44,0,39,4716
800_0236,0.019029310579083445,0.057496803128892875,0.10380037342889778,0.16499441552255711,0.10106715047854524,0.04836036901592743,0.06078442749967574,0.07207309301436042,0.0718365344617971,0.07338801063781293,0.059753055332350175,0.04868357945625775,0.042960728747881316,0.03549732568271668,0.02124765946314586,0.019027163550098116,0.01590414473485733,0.07254689826980293,0.13066570670615146,0.18147718456896136,0.17390681541870698,0.11758914409295072,0.10429969529805057,0.07315335138012125,0.04185514645049865,0.03127491792293553,0.027608590670355298,0.018033474494066386,0.0072584168490907285,0.0025423300527464463,0.0010673211398235561,0.0008168619508808212,0.06653419864840672,0.2041078334847998,0.24449047588952516,0.16391445994293527,0.11486651865746167,0.08509955828457008,0.043784362097869726,0.0289229852995678,0.02701518489002477,0.01534919279417435,0.004082988505797749,0.0009592815402411588,0.0004526928037534031,0.0002671124265853717,0.0001221604440628483,3.0994290224147634e-05,0.25,45,-17,18,4400
800_0238,0.015893574746006472,0.04863557409022674,0.09892810403687692,0.1654152607296948,0.11643599684573915,0.05779848822734461,0.05669590626533887,0.07071581285746656,0.07351504318611174,0.0743053975868275,0.06276470390048003,0.046805121776180916,0.04007011205729639,0.03299829404784109,0.020337869693617863,0.01868473995295034,0.014272622914106291,0.06468257883064654,0.13130268616447915,0.1837017543318787,0.19603646337862207,0.11413570302206992,0.10507246057669417,0.07307933393215256,0.04001971192816636,0.0286609376593068,0.024124458095389302,0.014444577915021253,0.006535721387425545,0.002212045427169584,0.0009587034939758773,0.0007602409428958555,0.06070531773937006,0.19737199798553628,0.2520986933071491,0.1839890708517363,0.1117851466993338,0.08487045928143014,0.04213081946701271,0.026618645152041584,0.0228417734327294,0.012516077943978618,0.003401141646879134,0.0008884846357504769,0.00037438129781406027,0.00023383347731273008,0.00013322590114109637,4.093118078446494e-05,0.25,45,-17,18,4400
800_0243,0.028497515722307895,0.11562417215517007,0.2365028399137753,0.16939307234122392,0.0781781974601638,0.05591711278992874,0.05458116529282502,0.060248743767835476,0.057772696353507985,0.038003018612649334,0.02803158290647828,0.0229140292158896,0.01847207397935197,0.01254126424553732,0.008031705121974368,0.015290810121380909,0.06896730548302757,0.26108610158772244,0.20019578151744966,0.14775611248141718,0.0975358383179272,0.05114597396831954,0.05072355977846185,0.040127090903445566,0.028844536163565294,0.02195851873937909,0.014818298588532137,0.008737857450047444,0.00421123219865237,0.0020321354086038387,0.0011969411333098007,0.0006627162801390571,0.25625517626667554,0.310707795080507,0.15100971470058636,0.09161598393714028,0.05993161657629693,0.053122644461468985,0.0314614617105457,0.0202821845700624,0.014067058651767094,0.0075787921101199045,0.0024072048567337105,0.0008591694322969093,0.00047688816885733357,0.0001551090811839004,5.9814025450331065e-05,9.386370307668152e-06,0.25,45,-17,18,4350
