,rgb0_7,rgb8_15,rgb16_23,rgb24_31,rgb32_39,rgb40_47,rgb48_55,rgb56_63,rgb64_71,rgb72_79,rgb80_87,rgb88_95,rgb96_103,rgb104_111,rgb112_119,rgb120_127,rgb128_135,rgb136_143,rgb144_151,rgb152_159,rgb160_167,rgb168_175,rgb176_183,rgb184_191,rgb192_199,rgb200_207,rgb208_215,rgb216_223,rgb224_231,rgb232_239,rgb240_247,rgb248_255
test_800_0206,0.0004762825965794195,0.004380407072291457,0.005588633870780565,0.007678573905912566,0.028121097499559034,0.09145864524893314,0.08012095590575005,0.031443927640498824,0.018665664426196042,0.029605685464878018,0.025510337779408296,0.013270015429981642,0.011312970983839148,0.014845384184962474,0.022110985323350273,0.038507019903949634,0.06092505789821497,0.07275056323727049,0.08486734884200267,0.09631671121843564,0.08926275759117881,0.05802978931149515,0.03707674076155448,0.030495491349234852,0.020920017334781715,0.016701380638731212,0.008329976994859682,0.0009001006130813741,8.238535580894657e-05,5.656595595970104e-05,5.293252229221659e-05,0.00013559313822748774
test_800_0207,0.0005714400222498265,0.004780029723689481,0.005693122614733375,0.008451284132530924,0.03293955353688342,0.0959621761757296,0.07474377686401203,0.028982992007106557,0.01733654338022518,0.027634630278305605,0.02303778616868513,0.011276333861025346,0.011426515785948036,0.014992097832293475,0.02214547541717874,0.03755709720800351,0.06280379083841812,0.07511204738702168,0.08564958306899186,0.09856938504025074,0.08893244543958932,0.05985861759079565,0.036867790799661494,0.029130476382791266,0.020581942847629868,0.016015267247854566,0.007691703813938248,0.0009284248800801734,8.692714789330213e-05,4.5307816793025744e-05,5.0207447041603255e-05,0.000145227242648848
test_800_0208,0.0020323005646796337,0.012344508307240508,0.01437353327641688,0.017265718949721866,0.052822748553838346,0.16105585600504188,0.09980582600168812,0.03075638289696529,0.037527314062335185,0.06131430324285056,0.038367187759776746,0.016389923805794952,0.010629472564162586,0.010450388325975814,0.013086692185849472,0.02023940914643156,0.025255419376419102,0.04137809312556552,0.06925272270801353,0.06437511326954198,0.05530972379518092,0.04332445747880662,0.03505209242838667,0.024220083463274464,0.024261207326147356,0.016023937941833793,0.0022251202831700015,0.0001605317056724946,0.00010330512540961459,0.0001074890793297482,0.0001464108611920437,0.00034272638328673363
test_800_0215,0.00014266732347402943,0.0012354224989699766,0.0031406629893381845,0.01116237616872697,0.027378941146962703,0.03262828938603559,0.037736016290114485,0.05853643310000817,0.06690849736818288,0.06758883029640671,0.06381215125918295,0.03590027898164323,0.029177490812367503,0.0368917109046391,0.044921241471615504,0.036075427000023565,0.023616382954219396,0.020284028812908774,0.022792116505940443,0.022982403831268625,0.026518230257958377,0.03046664408799604,0.033629713251617045,0.03706595056460256,0.038796125614628335,0.0393810809090807,0.05138327572322396,0.060648669205372464,0.030780963626246074,0.00618369121186904,0.0016441562605493444,0.0005901301848272655
test_800_0216,0.00021814365011222907,0.0016220253463928482,0.0049744734769251635,0.016651145665676978,0.034363033754158355,0.043199489381455264,0.06239924103075889,0.08348108379380682,0.08274534100215386,0.07270982473857444,0.04029411874809933,0.02363862397242642,0.028982413960841273,0.032697352151730426,0.025931182986545946,0.020593256038821808,0.024511914249203782,0.02885403263792349,0.02805542043341799,0.030284614566457594,0.03267764352668559,0.03456223950757945,0.03723008817792991,0.0402332036821437,0.04861349822809551,0.05608515909704989,0.040594427545919444,0.014915437887112078,0.00479547181677629,0.0025364945380683653,0.000862279871724377,0.0006873245354324744
test_800_0218,0.0010421623642774896,0.006289914094617695,0.013547642793392612,0.03708386999882629,0.06766237980216064,0.09962426442236443,0.14445467005229282,0.11468066302016731,0.053714343629016295,0.03289859483008633,0.04107115055870098,0.04658904257701613,0.03534444620855601,0.026515780442834088,0.022125353901944415,0.02169069063646527,0.027219400377744975,0.0319162740172718,0.024471395958608803,0.02283483687754602,0.03147117839300496,0.035852053407511165,0.03283743203001701,0.0126068036816152,0.003444192330636298,0.0037520707819303396,0.005140923275313637,0.0023544925425425535,0.0007041154031382737,0.00020743603119820293,0.00013028061778942336,0.0007221449414125336
test_800_0219,0.0011083899506711833,0.006679434699379608,0.01363889152526921,0.03766981622973342,0.07152389401031763,0.10385256274884892,0.1492228360645377,0.114245339130385,0.051369209930768774,0.035412710719884506,0.04554319172704589,0.049931140926798644,0.037235565854443764,0.0264681329149673,0.021204333519262375,0.02194442542091127,0.027324219433849377,0.02694741584692366,0.019607356844365063,0.023360363510724905,0.03224534749829284,0.03568560360912269,0.02573525282862811,0.00665873513788,0.0025394948734453033,0.003464286319857992,0.0052879397087835945,0.002416866487167703,0.0006634594824801334,0.0001818093134373846,0.0001371896469601703,0.0006947840848558705
test_800_0226,0.0012097407291838933,0.00482167658080239,0.006145870470512044,0.016554391731273887,0.06531333741011931,0.06197269793900632,0.02640831888951697,0.021347909201153273,0.03176482589576802,0.03162480106950671,0.016218464273107372,0.013231011070081448,0.0170634853349112,0.02739424560998635,0.05248748171997501,0.08710780111420895,0.0885870215070646,0.0850091628590851,0.0702469622842979,0.05567463614464942,0.03969383146461069,0.047002565864793545,0.069212920093747,0.03741643928345165,0.01609211987512439,0.008974388476598155,0.0013348464565984147,3.8398787622278806e-05,2.9617989592524727e-05,1.5304463023646606e-05,3.385699553792325e-06,2.339711073758924e-06
test_800_0230,0.002419426406342522,0.012255984650614523,0.017947510756615215,0.02678660888112484,0.07976818252785248,0.11235171461734769,0.12104602591541058,0.12027515993163859,0.07370736743637472,0.058418814448029675,0.058145315986513575,0.0411932834767512,0.02528148651038204,0.015089457338974478,0.014490518830104826,0.01529609511580634,0.01194628948248674,0.014994685277480924,0.02687271024863917,0.037655970645379296,0.04130980108822439,0.023842729356096097,0.02031926210907832,0.013177858339688172,0.003996501774106567,0.002906691881962292,0.0038639364972686487,0.002493609010386996,0.001261296950844487,0.00034344205961517755,0.00019133331380821503,0.0003509291350512061
test_800_0232,0.0013117796580124149,0.007619971025018063,0.01253680503149086,0.017266296995987147,0.04587193489591534,0.10332455877453312,0.10545584288063906,0.11025772825835871,0.09202199262346904,0.05227836660200623,0.052142745937766105,0.0599315890502843,0.0396200617507557,0.02349298383958809,0.017526940809603892,0.016618389710644353,0.01815505689186395,0.017019856604888754,0.01567014610146881,0.024686759481445154,0.03747162893877973,0.04270545250672791,0.035280530807223445,0.023699016044142034,0.015332319348430655,0.0049994670963954355,0.002279539210144371,0.0017357628305901644,0.001473054566025986,0.0012421663720649288,0.00045483983273873475,0.0005164155229975432
