,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1730,4.7344741727827635e-06,6.77139910758465e-06,0.00029218862409354087,0.003179061776960464,0.011135868618561914,0.032130178661438635,0.044220594346068925,0.03906444918576953,0.03737022310824175,0.03799266883189952,0.032460931229230244,0.029686777098093236,0.033769683025853085,0.03393417847734466,0.03627317387477514,0.032837707290143334,0.02752893038979697,0.027440929727411,0.024198337913294826,0.02428911870295667,0.024156801160232444,0.02484652045876394,0.02614924405862028,0.02232133911188752,0.021259963590792567,0.02229596012824039,0.02283797484298612,0.021090596035065055,0.01982302315334037,0.019192704990069715,0.01643426821214584,0.25177509750264193,2.3920104977605935e-05,0.0032746596188329893,0.02047585759494437,0.03754625195902632,0.06360097169026674,0.053327795833618685,0.04455668696031123,0.0440651274267208,0.0457956603149108,0.043714225817682216,0.033065457518664285,0.032254403556448916,0.031246868916063063,0.03968744542967995,0.035719653286749045,0.0332160798597891,0.03215065801483718,0.030551864623106124,0.02326305905606917,0.02145749025744309,0.021458068303708368,0.02328367603953088,0.023577378594319204,0.02522277352543701,0.019239664367620687,0.015139417051902391,0.017051126155239224,0.01600230249590468,0.011491449649748004,0.0083661186494461,0.007566460456460564,0.1426074268705412,0.011825064922853394,0.033576780729324816,0.04025175621465798,0.0604440683534754,0.07280393617576482,0.07969686262912178,0.0758305313687541,0.05818404508628745,0.041598053492511486,0.03672129736043155,0.03708414525895262,0.03900537836266029,0.03715001500718209,0.033782372517676656,0.031100045164681532,0.033461777048546415,0.029612677072086663,0.02614822559615288,0.020973638007389744,0.02063047120790089,0.01893583224018362,0.014193981096015357,0.013332086588467832,0.01123292533910396,0.006388209485728203,0.0049926681712752176,0.0041395819877700826,0.003971535680648927,0.003230590472608425,0.0021558097833614728,0.0018038346598302328,0.09574180291859412,-0.6,74,-58,0,4100
800_1737,4.624370122252932e-06,0.00029907012725165536,0.003613284626237487,0.01983075796289009,0.03765946644898362,0.05871224174269168,0.08384434458251737,0.08994658632300696,0.08235623328758143,0.05321097543600654,0.03426782127646268,0.02981127725322985,0.0270950929046968,0.03090601430163533,0.04033964677299341,0.04478548317731222,0.043244632042172486,0.02978834808470701,0.02047533460070436,0.014723691683114375,0.011700784975817849,0.010686726670438098,0.009751750599351398,0.008959634533827155,0.008760401254393426,0.008639589584949571,0.00798515863461288,0.007945328494333716,0.008000518149661793,0.005254137765270937,0.0037191496708219203,0.16368189266220365,5.505202526491585e-07,0.0013661435329615193,0.028938427392654606,0.07049376051356053,0.08329498042239877,0.08655912510440616,0.10083006893174187,0.06282388482763981,0.0435252597409604,0.032268414296878836,0.029034107812565033,0.033925590361403336,0.039865346049323534,0.04159948484516838,0.030951294592415725,0.02750817577627209,0.019357998695927626,0.015156703387835571,0.011355471147343662,0.010511798860158829,0.010374554161173392,0.009664548191331772,0.009736996656580402,0.008890213929968098,0.010170393725478451,0.0073408847829375705,0.0039444776102312215,0.003188420621255499,0.0032974236312800324,0.003398251415552725,0.003150324619772177,0.1574769238425697,0.007402405421171115,0.049230576379289966,0.08428988062298634,0.09076042041249822,0.12058565335413272,0.08167116588518482,0.05071744900365743,0.04464832105636469,0.04225443878974509,0.0448154039530437,0.054113140500035344,0.03969229000790327,0.024835234793584637,0.015609423717601609,0.0137356454596723,0.01222361405975875,0.009700855001993984,0.008585500970126789,0.008376110592031681,0.008164077716723858,0.00954324105366053,0.00502113006833718,0.0035718029252003727,0.003221011420212329,0.0030552222461270352,0.003055414928215462,0.003242536762090911,0.003346034569588953,0.00278852270973115,0.002510069565941205,0.0022288087688627505,0.14700459728452586,0.0,45,-16,22,4550
800_1743,0.0015340522100195126,0.00690679956372371,0.011696380813796654,0.01727909659186124,0.025512649964469426,0.01651186404175674,0.014188365789438337,0.01816837948197806,0.02920342031626728,0.03826539656506192,0.04686094452979955,0.05980535475635185,0.09269860953998747,0.1051107217342533,0.05029811772721457,0.008159370768563708,0.0047082969347692965,0.007539732698194449,0.014429053243896546,0.01877912665026704,0.021517717173082908,0.022225438483876037,0.02133901829907299,0.02246323570700784,0.03230513399773054,0.0434280653903552,0.03950381939940883,0.043704288927121915,0.04611119099771666,0.043775030779587325,0.0397374326686205,0.03623389425474862,0.004946699730179014,0.021272350296477182,0.035917317583462734,0.025127313313627643,0.031383508042770576,0.054546537568933386,0.0643870045069992,0.09750930324174953,0.14931892937463762,0.052089538155347566,0.004948433868974858,0.004984135107359157,0.007572846491391293,0.017773436252727554,0.028087350608071642,0.03729813248115734,0.03749040167939506,0.02686781061839059,0.028650257566405407,0.03911160124540894,0.05287887409359593,0.05976519430392109,0.05113204580592752,0.041592520763972365,0.02093193609825157,0.004352853533646365,5.485934317648865e-05,1.6240347453150175e-06,1.1836185431956907e-06,1.3487746189904385e-06,1.0184624674009432e-06,3.633433667484446e-06,0.032538912423018,0.09493440991605888,0.09261498551361008,0.1631780290009665,0.13755830284735682,0.044804641282104415,0.009131039014489473,0.009165886946482163,0.01711292205359909,0.024997252903939282,0.0227034552192513,0.0308170227027946,0.03143217403310476,0.04780836235859612,0.0587473649348107,0.07296086197378246,0.054834322031005744,0.039229082267324265,0.01205672384516816,0.003295221550269436,7.575158676452422e-05,1.98187290953697e-06,8.257803789737376e-07,2.7526012632457924e-07,0.0,8.257803789737378e-08,2.7526012632457924e-08,5.505202526491585e-08,0.0,0.0,0.0,2.7526012632457924e-08,0.0,45,-16,22,3750
800_1802,1.0459884800334012e-06,9.435917130406576e-05,0.002247939347642309,0.011271709490903094,0.023836178165089573,0.024125916974058824,0.01596891344258151,0.010530681704824692,0.013489452802687596,0.026101266218601902,0.04580521184129426,0.04447430160450229,0.04233897117453937,0.04069385150354788,0.04064584613751688,0.04301132155909978,0.04448900049524802,0.049188048689772806,0.04980672334969993,0.05043181157057042,0.05311623090052561,0.04764714250260781,0.04206459188061902,0.03740573166453762,0.03653054209288862,0.03259834108429148,0.015166172336181137,0.011778931325681394,0.010838147265929248,0.009395233683735805,0.008611513052064463,0.11629487097897255,7.707283537088219e-07,3.9885192304431536e-05,0.006252065827248065,0.02481618679284297,0.035895902345634674,0.02670237928246952,0.02504517569193239,0.05120862317307102,0.05436965541175722,0.05269172473370785,0.058594705668751086,0.060760865232862366,0.05797759999154401,0.048121553330328234,0.05523760564208388,0.0621272014479123,0.05376097269441568,0.04243946864666047,0.03583245488651686,0.027980439575007173,0.038661082996653495,0.030888920647790575,0.011460207625410165,0.008789854087910156,0.007964679281214334,0.009017301530292158,0.00730289888550478,0.005379188440660192,0.00426744031644785,0.0038560915836683978,0.003510144656903667,0.08904695365214034,0.0016186671728516885,0.00986824068481196,0.03663139740317395,0.053843275472186716,0.07301453769841576,0.0684201709299322,0.08353140134489896,0.08165294366482212,0.06478434249934874,0.05999814694882957,0.0659425820588973,0.05777222841129324,0.04929724438188577,0.038175992076031694,0.032624435744267044,0.041256042785553206,0.025610174627226225,0.014942440905504518,0.012204621111042356,0.012360032978365215,0.009364294445536922,0.005632647964979864,0.004190532637152761,0.004327336919936078,0.0038415303229858283,0.003166620019250592,0.002454714754537333,0.002064588577497507,0.001924618803261458,0.0020979776308206787,0.0020517889816234138,0.07533443004307931,-0.25,59,-48,22,4200
800_1851,8.918428092916368e-06,1.7286335933183574e-05,6.108022203142413e-05,0.00022359380061345567,0.0010692204346951957,0.004071152320365792,0.010244438699459764,0.013432666638626837,0.010555152330054949,0.009375057116476213,0.015995063154582344,0.030635158337331943,0.04962180359683508,0.062034328681290385,0.06209295908819752,0.06027602204635425,0.05786881718962054,0.05385720363457875,0.05161220957028812,0.04969659177315747,0.0466206424395182,0.04916495436517418,0.057267979385879235,0.057600796404618286,0.051225744352928405,0.044759333465311385,0.04074056314698516,0.03592981439319786,0.028131502332334104,0.018250874941837532,0.01077321340212928,0.016785857971500232,2.1415237828052263e-05,0.00045211475748812137,0.0036174135281323546,0.01601485435766508,0.024782054537178726,0.03159424719548468,0.0601998300433876,0.0759354330028964,0.07030517980101555,0.060593424498019126,0.046669611215991336,0.02844769363944315,0.024034613190156963,0.023434931478946232,0.02032391400521321,0.02942640854460282,0.04349054943903087,0.04900178016228897,0.061765151803757586,0.06766656375608078,0.0526827787796023,0.04321875759029798,0.042341806353840515,0.03809834119439553,0.03165491452732661,0.022747661995539025,0.012346022237935293,0.007382614218088378,0.00529762886523022,0.0036488207085459898,0.0020827282198222965,0.0007207411147682782,0.06278121950805951,0.08498562811828432,0.08947275354155182,0.08272700867774062,0.0551729195123976,0.02536849623631324,0.011661477829778695,0.009932568976334016,0.013863586366387964,0.01692731415041843,0.01584122026997954,0.016839148331956662,0.023509416869129662,0.036218617317737616,0.04601842833514528,0.05914164753975802,0.06971609560466832,0.0613474170360474,0.04756869336660531,0.03994387776336394,0.035742279669132924,0.03437831069116937,0.02660394626129585,0.015181724533318475,0.008636148833370511,0.005441397229209548,0.003100722745008488,0.0013544449775927249,0.0004192211723923342,9.51849516830395e-05,8.147699739207548e-06,9.358844295035694e-07,1.1,52,-48,22,4700
800_1855,0.0002154461008742482,0.0016440461564988145,0.003541276577190977,0.006142704979059311,0.0100284696043455,0.017729201950427192,0.018104491606658123,0.015579200155731169,0.01572913434654017,0.023038033902798818,0.035855026216875474,0.0501411644031843,0.06042766284994645,0.06781691083707926,0.07399256445325962,0.07733914954310123,0.0773114859004056,0.0722428459342648,0.06627209595612045,0.06191076441058329,0.05625130610929941,0.04756307806002829,0.03693371559991624,0.02677146957417699,0.018843620097864885,0.013425537401355029,0.008624092439837494,0.005106185447371475,0.005079567793155888,0.005809777856269732,0.005389510695397365,0.015140463040382425,0.0010877454411968401,0.00716716811721413,0.012823323296982114,0.025290900406702344,0.03548364525443835,0.04248717122655252,0.045039080331695056,0.05955781332474815,0.0705882022629025,0.08260972033791374,0.10038345937678024,0.1160415215587034,0.10371625393429297,0.08635223959346061,0.07173631224980231,0.05138082590809967,0.036329794882760114,0.02328874082585525,0.01231340391296583,0.005119865875649807,0.002543128307112788,0.0017810706473831899,0.0013674923075805098,0.0011103167715554552,0.0009344530768466816,0.0008090996153184682,0.0006727357487372718,0.000524700852799913,0.0004002557496885707,0.00030966764211515165,0.00022106140745126957,0.0005288297546947817,0.011346993135452866,0.03879890574190421,0.05759490583791495,0.06734137144284091,0.07438618643390378,0.08106355668233595,0.10872846557453723,0.14255215463717522,0.14163000568797526,0.1088830241354685,0.07072189610625834,0.04951266295674739,0.02560433911254814,0.008458798733979584,0.0036062104409909455,0.0022733458573020674,0.001606197889129185,0.0012174755387336141,0.0009544644880304787,0.0007069505824394169,0.000564916357255934,0.000470061717724484,0.0003989345010822127,0.000340882140440359,0.0003150076885658485,0.0002512849693217084,0.00019617789203152763,0.00014151123094346618,0.0001015985126264022,7.489828037291801e-05,5.240952805219989e-05,0.00010440616591491291,0.2,77,-48,22,3600
800_1875,0.00519685613298279,0.04139270943827336,0.07363824961865463,0.06622819196597167,0.04415155910638672,0.024807901463040603,0.02469898103105397,0.01898320450792408,0.01709125908165735,0.021295196886962117,0.025727683175154184,0.053038057024649435,0.06623983546931521,0.04260955187871642,0.0243435926819563,0.027916716855763038,0.027362865955585347,0.02401239969796257,0.023555054998074282,0.02420191629493704,0.023019894260474037,0.021555317706338846,0.021580971950112292,0.012781015815566026,0.012588911773404102,0.014263291595823888,0.014768173719528429,0.015189239134767137,0.015065482181971606,0.01408214290668968,0.013568177198816426,0.14504559849148646,0.015406914842664612,0.10526098623721387,0.08003378102374306,0.060995111600364575,0.03152091789783181,0.024086637354032308,0.024309267744203628,0.04169285308001768,0.06382742819619397,0.06595177574711654,0.03356158637035171,0.028583396881721162,0.030469561845335082,0.02592895337952272,0.024482984409927067,0.022968172882737645,0.020770440982136942,0.020155840172079414,0.0212643952788264,0.012612418988192221,0.013806552468213513,0.01454141442746224,0.013724882788733008,0.01292789461897282,0.011497615476577676,0.011519828968772069,0.01107715563361688,0.010932258703119622,0.012230495562916869,0.012161708057348355,0.011289298612975236,0.11040746976707927,0.04497599071074146,0.12185581368104488,0.07618503888544753,0.06468040427564857,0.07079863862947762,0.07313543194589751,0.06730979910635149,0.03369594083801074,0.03004489052244152,0.033941087506515415,0.028563578152625793,0.02368010567346353,0.02247793459775357,0.02158022874777122,0.024124210361275614,0.015790159516546328,0.014818078380431076,0.017635035461211555,0.017880567493893083,0.017655239554483778,0.015787214233194652,0.013421573655535956,0.012985589141450454,0.012834526384123524,0.012108472748917182,0.010406456809814413,0.009379681486598464,0.007810946500662054,0.006314659979974276,0.005404787632408379,0.004866736663481724,0.06785118072280667,0.0,33,-48,22,4250
800_1880,0.01927894398764721,0.06378988271496329,0.061550724165350734,0.04479797998704736,0.032662284011636684,0.026898226862349457,0.02957978348699088,0.03221515146243503,0.024698017620611832,0.01947302990271867,0.01725925033675324,0.017134447395477675,0.017447032794931868,0.018811579819160703,0.028408881961631383,0.03392016773691474,0.027007670288576112,0.02819971179163733,0.027795712504230748,0.029559359185617588,0.031057545001177005,0.038225759106871184,0.04392975449659437,0.04297256493331328,0.040487103622665485,0.036644279577085936,0.030734141878758264,0.025530927236857376,0.02409313349301357,0.027338505434405618,0.02986740279298743,0.02863104440958795,0.0437192080259687,0.13056303467903238,0.06110287593982065,0.061073505684341826,0.039866061725651984,0.022603177955231254,0.01968707217694866,0.016217087972475747,0.01737375854930426,0.01809246273913774,0.030044147320100443,0.04288120609738615,0.02686277335807885,0.02924173652585166,0.031841128002785185,0.03489648787897539,0.04151583329277834,0.04124112368670641,0.04005067869237787,0.039691244019423234,0.03638085563619332,0.030547763247223893,0.02599052906978153,0.0234568697110143,0.023129089952586997,0.025835447514610255,0.027339578948898286,0.013195254779671886,0.0035789872144974437,0.0007186491378082115,0.00030264850889387483,0.000959721956443278,0.12410075269331025,0.14742863550912882,0.06224220512869071,0.03282201746294283,0.027469006260296105,0.02946343103159348,0.04246143440474117,0.04151930157037003,0.031357385856782376,0.03543065768012087,0.04146108405365238,0.044009552407215866,0.040205264779321764,0.04166923576117903,0.04248183118010182,0.03814287828283485,0.03146608608066796,0.025876186013306296,0.02192950632206448,0.0203261986642617,0.020186806936290932,0.021283966273808075,0.019709423299206216,0.01131836608231511,0.0033843507791733343,0.0006383557589593318,0.0002140147482173604,0.00017074385635913652,0.00017247799515498138,0.00014313526568878122,0.00012505067538925638,0.0007906571868547214,0.47,33,-48,22,4250
800_1885,0.003608852938203661,0.008981930604059449,0.014654683969444804,0.01804374169677829,0.01930046932952579,0.023889330895482848,0.03210956167797692,0.0338752728103112,0.02921266905651178,0.02320285966644198,0.024591491951724217,0.0276117286357954,0.026650933164859454,0.02434251916746364,0.022329624441689885,0.027477153960035312,0.034774988059215715,0.039902671322453134,0.04480766914349398,0.04425079038192673,0.04384926843565706,0.04995517113582678,0.06232318665785541,0.06665060615582938,0.059751238615516435,0.04617205101164703,0.03394695054720612,0.03514716727601919,0.03747724424535675,0.02098654770731436,0.007040906297269046,0.013080719041108227,0.012000075311170562,0.03413897201133015,0.03497003738472932,0.044842654705549836,0.04257913563475756,0.026187890580356248,0.022243385444112397,0.031236298927212195,0.0325894501822112,0.03073912408704474,0.03204245325917899,0.04302954377946247,0.05101244528103949,0.04792691689500412,0.03935856463074735,0.03466496658672378,0.04819617635057482,0.0766941875411101,0.08435222704159885,0.06423470307910381,0.05063107237601679,0.059771910651003415,0.030521448379147262,0.008129229784731167,0.004694313720352007,0.003146581082054163,0.002403020902813577,0.0022564173595331057,0.0020214002636771804,0.0012461576438966351,0.0006572936556504628,0.0014819454681062698,0.11804560796043476,0.06466119111883112,0.036708332608481664,0.03606282008623789,0.04431423784104455,0.05135957582634741,0.061536135378655536,0.07257632357730702,0.0737810545721918,0.059170990269224226,0.05740426067442255,0.08222614535188043,0.0919777032691434,0.06860423737640545,0.03736224056457834,0.016540491094894496,0.00867207027985587,0.005749000420377265,0.004238895841347991,0.003191778794796659,0.002341004796352649,0.0012846114835441786,0.0006114628446174204,0.00041781734574807884,0.0003215588795723735,0.00028049006872474626,0.0002311909801000141,0.0001608069657988192,9.177172611661472e-05,4.216985135292554e-05,2.180060200490668e-05,1.222154960881132e-05,0.47,33,-48,22,3900
800_3175,0.008309442589435868,0.02129616029740425,0.02532726226938982,0.02931476303736557,0.03465390112964554,0.045410103455967965,0.054342294555200565,0.05693194182366219,0.06556008058735667,0.07599271463518455,0.07716160676162187,0.06855036896968374,0.06019743528028858,0.057017933087126,0.05659648230771042,0.056955421512437675,0.06758896792646987,0.0615006543483723,0.02688884049204179,0.01056346518586995,0.006136621730267538,0.004318198283742102,0.0033040574003244546,0.0026125489109718467,0.002121760105735122,0.0018109088450767746,0.0015823328361768438,0.0013996977423604855,0.0012459374357955755,0.0011172258007262023,0.0009802013098418267,0.013210669346746062,0.06517879026037186,0.07737405252711918,0.07406220526521974,0.08573711578916307,0.11683330731207606,0.1366809662467225,0.107617460652666,0.06581846726793755,0.046852934460123515,0.050137613547554714,0.032436818442164214,0.03348159577764179,0.048452773840334584,0.03417880215160932,0.013073176913646936,0.0021107497006821385,0.0010301610227697376,0.0008192567139798452,0.0006535501179324487,0.0005290224367832089,0.0004606478214041834,0.00039067669729247535,0.000346112082840526,0.00029882239313796323,0.00027080091227812107,0.00026972739778545517,0.0002750123922108872,0.0002734158834782046,0.0002660113860800733,0.00025227590577647693,0.00024911041432374424,0.00358856626689354,0.2979927040651957,0.20173112745006289,0.1426721405262401,0.10315508111475506,0.05608430579065829,0.034820543610122434,0.0298139472764552,0.020717425881806827,0.029513858686736137,0.03665597813245473,0.026498659262976697,0.01457648256755599,0.0036670704549213095,0.00029037190725979864,0.00010096541433585567,9.141388795239277e-05,8.111915922785351e-05,7.487075436028556e-05,6.735615291162455e-05,6.61450083557964e-05,5.915340114715208e-05,5.593285766915451e-05,5.213426792587531e-05,4.9188984574202316e-05,4.764752786678466e-05,4.654648736148635e-05,4.2830475656104525e-05,4.42893543256248e-05,4.6904325525708315e-05,4.8776094384715445e-05,5.183148178691828e-05,0.0007831976374313254,0.0,47,-13,17,3100
