,Exposure,Contrast,Highlights,Shadows,Temperature
800_1838,-0.25,33,-69,22,4650
800_1849,-0.4,33,-69,22,4650
800_1886,-0.1,33,-48,22,4770
800_1889,-0.1,33,-48,22,4770
800_2139,0.0,25,-45,24,5153
800_2141,0.0,25,-45,24,5153
800_2159,-0.05,25,-45,24,4443
800_2160,-0.05,25,-45,24,4443
800_2182,0.4,25,-45,24,4676
800_2183,0.4,25,-45,24,4676
800_2198,0.8,33,-22,49,5459
800_2203,0.8,33,-22,49,5459
800_2211,0.85,33,-22,36,5563
800_2217,0.85,33,-22,36,5563
800_2222,0.85,33,-22,36,5563
800_2227,0.85,33,-22,36,5563
800_2233,0.25,63,-22,36,5093
800_2235,0.25,48,-22,36,5093
800_2250,1.15,33,-22,36,5587
800_2256,1.15,33,-22,36,5587
800_2261,0.85,33,-22,36,5587
800_2268,1.15,44,-22,36,5587
800_2272,1.15,44,-22,36,5587
800_2281,0.25,53,-22,36,5230
800_2282,-0.12,61,-22,36,5150
800_2293,-0.12,61,-22,36,5150
800_2296,0.15,59,-22,36,5150
800_2297,0.15,59,-22,36,5150
800_2308,0.4,48,-22,36,5620
800_2315,0.15,33,-37,46,5780
800_2319,0.15,33,-22,36,5596
800_2325,0.15,33,-22,36,5596
800_2329,0.15,33,-22,36,5596
800_2333,0.15,53,-22,36,5596
800_2337,-0.25,33,-22,36,5314
800_2338,-0.25,33,-22,36,5314
800_2349,-0.05,41,-22,36,5527
800_2361,0.55,52,-22,36,5314
800_2370,0.2,37,-22,25,5468
800_2379,0.2,37,-22,25,5468
800_2382,0.2,37,-22,25,5468
800_2393,0.05,52,-22,36,5459
800_2396,0.05,52,-22,36,5459
800_2424,0.05,52,-22,36,5459
800_2427,0.05,52,-22,36,5459
800_2458,-0.15,48,-22,36,5701
800_2459,-0.1,48,-22,36,5701
800_2464,-0.25,33,-22,36,5484
800_2467,-0.25,53,-22,36,5484
800_2473,-0.25,33,-22,36,5540
800_2485,-0.1,33,-22,50,5466
800_2493,-0.25,33,-22,36,5540
800_2501,-0.25,33,-22,36,5540
800_2507,-0.25,33,-22,36,5453
800_2510,-0.15,33,-22,36,4816
800_2512,-0.55,44,-48,36,5098
800_2517,-0.55,44,-48,36,5200
800_2526,-0.4,44,-48,36,5200
800_2533,0.0,33,-22,36,5161
800_2544,-0.1,54,-22,36,5459
800_2552,0.1,60,-22,36,5384
800_2558,0.25,59,-22,36,5528
800_2566,-0.2,60,-22,36,5390
800_2573,-0.2,47,-22,36,5390
800_2587,-0.2,60,-22,36,5390
800_2594,-0.2,60,-22,36,5390
800_2605,-0.3,54,-55,36,5179
800_2615,-0.3,54,-55,36,5179
800_2619,-0.3,54,-55,36,5179
800_2627,-0.3,54,-55,36,5334
800_2634,-0.15,54,-55,36,5334
800_2641,-0.15,54,-55,36,5334
800_2656,-0.1,45,-22,36,5369
800_2659,-0.1,45,-22,36,5369
800_2669,0.05,33,-22,36,5459
800_2680,-0.2,50,-22,36,5459
800_2689,0.7,46,-22,36,5158
800_2695,0.5,52,-22,36,5100
800_2710,0.75,33,-22,36,5679
800_2714,0.7,49,-22,36,5459
800_2718,0.95,33,-22,36,5459
800_2725,0.9,33,-22,36,5459
800_2727,0.9,53,-22,36,5459
800_2738,1.0,33,-22,36,5459
800_2739,1.0,33,-22,36,5459
800_2754,0.85,33,-22,36,5249
800_2760,0.85,48,-22,36,5006
800_2768,0.5,33,-22,36,4919
800_2770,0.5,33,-22,36,4919
800_2777,0.15,33,-22,36,4845
800_2783,0.45,33,-22,36,4679
800_2796,0.45,33,-22,36,4915
800_2807,0.45,33,-22,36,4915
800_2808,0.7,33,-22,36,4915
800_2825,0.45,33,-22,36,4915
800_2831,0.45,33,-22,36,4915
800_2836,0.45,33,-22,36,4915
800_2846,-0.3,50,-22,36,4971
800_2856,-0.3,50,-22,36,4971
800_2861,-0.1,33,-22,36,4720
800_2874,0.15,33,-22,36,4869
800_2879,0.05,33,-22,36,4869
800_2885,0.15,33,-22,36,4869
800_2893,-0.4,33,-22,36,4782
800_2903,-0.4,33,-22,36,4912
800_2909,0.35,76,-64,16,4928
800_2913,-0.1,57,-64,16,4977
