,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1838,0.046268006691683766,0.06431708843491278,0.059450186615355234,0.055891320916092134,0.05018333425453722,0.0445924432507208,0.03984596773643028,0.040258582665790826,0.04304688516742092,0.04677968774050854,0.04921097785829565,0.049799098644200734,0.0441543392336626,0.03476389507612484,0.02648002415242453,0.021988439515110567,0.016601819051039614,0.013954146947948751,0.012565734870767571,0.011352608442029887,0.010348872391387308,0.00986656159804138,0.009493033606618928,0.009505860728505651,0.010007797568858523,0.010568419868143794,0.009118404574691177,0.00809724455805225,0.007711522543033617,0.006889843539942116,0.005830449891756708,0.13105740186591133,0.04899533907533297,0.07110054393603042,0.06489483191405541,0.059888097950325014,0.055307439136132425,0.04981922015943507,0.047626965935348216,0.04957222924808402,0.05453888533742157,0.059803400409454935,0.059998064370791686,0.04858016422679761,0.033903211713133145,0.024714202916039717,0.01924324274926291,0.018157258972874547,0.018731947064615003,0.016641484035242984,0.013191538767966506,0.01291644379771772,0.010110304439901796,0.008365595655206082,0.008224634944515266,0.005754450570878492,0.005157025992703625,0.005149208605116007,0.005073622174427277,0.00548766845644471,0.0056037181257031525,0.005533526793490384,0.0049232475674161605,0.10299248495813514,0.061371474771088175,0.09557320609122033,0.07793426193621496,0.0630955940983348,0.059981163399035364,0.059602488043250634,0.060748285845089324,0.06717558226875561,0.07092608406796591,0.06081448590547039,0.04879368350678758,0.03660367870845306,0.024559671881121098,0.01642752433905089,0.014585483573686806,0.012593068201311605,0.010385894878377966,0.009589347124819896,0.008440879299755856,0.006172983592955014,0.006197206484071577,0.006242321618776176,0.006510865398018435,0.0059258825775534395,0.0062242645544892845,0.005882281373543626,0.004485776648648506,0.004359845140855011,0.0037808629911438908,0.00388141551529026,0.003778715962158559,0.07735572020270598,-0.25,33,-69,22,4650
800_1849,0.05685261185525545,0.08301275621487818,0.07078883936898048,0.059973401063473,0.05677311673077291,0.0709839987985446,0.06892678719243259,0.05370793006807293,0.04188454423199012,0.03312034438785341,0.026759385654631342,0.022082165588124092,0.018064799096442118,0.01583632063973096,0.01404217513634735,0.012133879258576941,0.009851009400904042,0.008830730216669356,0.008267245212070309,0.008317535237149811,0.0082560421249289,0.008838602656282241,0.010139537065317466,0.011707914213089652,0.012194436486368348,0.01294063916282165,0.01521098468474678,0.0200159805018939,0.02414064339081719,0.027795519822142317,0.029334058772220926,0.07921606576647063,0.06024645910878699,0.08253663877437456,0.07285783210849918,0.0762622768768942,0.0848843323917969,0.08234106645462094,0.06578744545170076,0.050478908578184566,0.03628751492735665,0.02814424687618293,0.023276381646183283,0.01917203295458274,0.015937864100332096,0.01344962266240843,0.010841285231369348,0.009903831819145729,0.009736693870441444,0.01008952230036429,0.01045069111211477,0.011897651018165187,0.011862335143957743,0.01275742602274001,0.014864982705956785,0.01720395057737463,0.02256442132944475,0.026561115785639744,0.02858636969108547,0.030318333931932357,0.022740890596431442,0.010404722671018564,0.00697566964733012,0.02057748363358341,0.12232342558364505,0.11111097959793964,0.07856518567176353,0.09365673498769808,0.08684633152021322,0.0721926384872232,0.05425500956914303,0.03902690370453887,0.026602982850853715,0.01931087416230086,0.014869607076079037,0.0120900853724787,0.011167385903026078,0.011088716558922513,0.012073789973000284,0.011494147198985984,0.01163697967853581,0.013288760644584344,0.014804397952152744,0.019998804270011244,0.02653306677876727,0.03129258962304557,0.03121675545824315,0.03157976851284,0.014507309697810625,0.00753549369224905,0.00273947135522011,0.0015902603278149918,0.0013972754532488292,0.0009138636193976033,0.0010244631381548194,0.013265941580112038,-0.4,33,-69,22,4650
800_1886,0.0058613340779303255,0.019225736205228664,0.027053776359735483,0.049292289699611934,0.0624353826853453,0.06416547515733319,0.0570806098178901,0.052458689510761464,0.05222920514344466,0.05213685537106276,0.05598664349783833,0.06355208549183149,0.07407665642185178,0.08088078395845642,0.04757766684672349,0.030248693119972237,0.02724566019379634,0.02291207486899269,0.017262470880231237,0.015548563703671244,0.013000866078461468,0.010859397347681508,0.008967094083250554,0.008191989093533171,0.007156047608110617,0.00501116565176423,0.004609753809545096,0.003246748242023677,0.0017553062995592091,0.0022479118216296766,0.003467149025171768,0.05425591792755991,0.0025501474403340644,0.020228591423467,0.024716570153126102,0.038322457989249,0.06261132895809197,0.07617920337076944,0.07781265201240478,0.0795679032599387,0.0793655595410775,0.07394299010450857,0.07741203842455198,0.0950154189712362,0.07029386660982362,0.03894449082271728,0.030449770642252343,0.02477137444427733,0.018835747658251998,0.012696290748683321,0.008800781914925242,0.006589865054273589,0.004882866906884344,0.00348250854022068,0.002716349504608845,0.002819627104005828,0.0024343730312019465,0.0016252458898708456,0.0017547007272812956,0.0014099374190597598,0.0011999414686867384,0.00195778764848357,0.0037178834742408275,0.05289172874149529,0.027065474915104276,0.07298871829856651,0.07252765758697284,0.08023909755196856,0.09445355800138247,0.09580577337195197,0.07913230411003007,0.08323720332188325,0.10557249812217542,0.06005441011865033,0.04162156070729961,0.0320390675596252,0.025099759774982557,0.0162322272794236,0.010444910649461956,0.0086313042551472,0.007847666201513755,0.005947352867406757,0.0047537148556128506,0.003916043239181891,0.00299972980466,0.002267042400409235,0.0019823408517517225,0.0018336453315111847,0.001591664154459247,0.0014023952915984664,0.0012417534818754418,0.0013646020762541015,0.0018663737605311773,0.0035411939991530795,0.002123136406366745,0.050175819653088566,-0.1,33,-48,22,4770
800_1889,0.04628479755938957,0.09340671621495747,0.06838810312521539,0.06461915889754136,0.06942608153557275,0.0731313580960279,0.07465599640972713,0.07819853918349919,0.10072285511253844,0.08868080263210339,0.0444686312459,0.03450281084630598,0.026094797605633283,0.02024678611781706,0.01399188511126785,0.010307941210602843,0.008348969943576078,0.0065504478041839105,0.005709885956426543,0.004140655502262748,0.0023975707523123503,0.003942027795106932,0.004140820658338543,0.0016088403863419008,0.0010348404449172556,0.000639759585603587,0.0006483752275575465,0.0006782684772763957,0.0004931835683357487,0.0005529425417608149,0.00044358169357205945,0.051542568758328,0.02649062166728802,0.09523590233242217,0.07395708342297637,0.09427436365914517,0.09765216324731198,0.08936787943342217,0.09623374781636143,0.12003948221147948,0.08929141217032921,0.04680795695548207,0.030861146901044426,0.02092775214433144,0.015456791977554628,0.013411526660925108,0.007942548367057836,0.004784433885710674,0.00446981156132168,0.00330221315747808,0.002540623439963234,0.0016171807681695355,0.0015267853426845438,0.0037209113356303975,0.002880569695974089,0.0007324947221623378,0.00048784352188505184,0.0004332594388348877,0.0007578737058094642,0.0005710546580729722,0.0004728968970256272,0.0005664027619380868,0.00042629535763887585,0.052758970782568936,0.05685704354328928,0.13396717666128846,0.1274234727301995,0.1207960346686826,0.12057846906483564,0.1408997130468235,0.0707858940856288,0.043685626290557104,0.03209073388533632,0.022721925173727675,0.015189872233057684,0.010521653172681248,0.00975510877289256,0.009650564976914484,0.006923397749341083,0.003934403089607741,0.002919931894038505,0.0026010430376914788,0.0024207476549488803,0.001952117289881284,0.0030668382234579324,0.003175510921330876,0.0007409452080405026,0.0004429761212941454,0.00041624836302802873,0.00035910436080304614,0.00036279284649579546,0.0002564048076713456,0.00023620071439912142,0.00024200870306457007,0.0003826941536290625,0.05464334655536175,-0.1,33,-48,22,4770
800_2139,0.034986167628131934,0.05053040974781989,0.03502440125967842,0.036742189604019586,0.039818001307595705,0.034071285546266934,0.033396237612468536,0.04355749270175301,0.058164446565293126,0.06334616339132808,0.0720700926789835,0.08212757470064361,0.07832111251775152,0.07358952857629518,0.06021816236780081,0.03884096548920661,0.024751060246954577,0.01909319845440338,0.01352231886177075,0.010800904570837534,0.010457792823373944,0.009515219572800687,0.011570504358028423,0.01118836072465201,0.006421185648861886,0.005250669487679246,0.0060221685697417785,0.006251900671172271,0.00493423044645651,0.0040601969673380745,0.004028844838949704,0.017327212061942782,0.05505070401630949,0.07913855251489763,0.03786368193670382,0.034642257626302006,0.04260701948555424,0.05577012388247141,0.08266141418963749,0.09555713089984297,0.08631973137254167,0.07249214903067698,0.06449680577139008,0.05504203332233027,0.04242314572116942,0.030438374873022506,0.02267207556485029,0.01759735234991772,0.015774937631560574,0.012253094419288115,0.009756622703587344,0.008943559342449801,0.007253324536753723,0.006561816047401115,0.009166547570785343,0.0045038061869227645,0.002599419002946164,0.0021525892398834745,0.002322699997952065,0.002939227628893857,0.0033851765595523087,0.0026010430376914788,0.002298614736898664,0.032714968799815204,0.045503802002968836,0.08693650673759716,0.05298372067571296,0.0546009014438825,0.08595982875737229,0.103055629631114,0.0853601745721742,0.0842009716021835,0.07227637261765113,0.06039364069833274,0.04792576080247355,0.03329436383971581,0.024545110620438525,0.01823078095261584,0.014810839039108738,0.014851164647615291,0.013836280561856566,0.011085413437406618,0.009397050400569549,0.008053175411827686,0.006403871786916072,0.008652526810886824,0.0067308532909770395,0.0021329356668639,0.0016651310821752772,0.0013825215104778315,0.0011505873280367412,0.0008791257914554412,0.0006089304514552342,0.0004493896822375081,0.00034624971290368826,0.04229638843299695,0.0,25,-45,24,5153
800_2141,0.03834486416353182,0.0518694126323258,0.03586284360446309,0.036186797247134486,0.03888720919042914,0.033511654183436435,0.03446391659045631,0.04554968786602715,0.059553711948865926,0.06657700159805019,0.07687742820720438,0.08396119250614216,0.08001368703452136,0.0722288627198475,0.05583183720279338,0.03573363650116633,0.024834326435167763,0.01915904067662022,0.013019060772811522,0.010837431589600805,0.009620754305233532,0.008245306980002242,0.010727575273184664,0.008028429526471106,0.005363168301308102,0.005952500231769026,0.0064113863883647326,0.00531857616084352,0.004661227453167793,0.0044537088439316926,0.0035375330394729633,0.014376230825654859,0.06265903153798402,0.07769778596168951,0.03790673262046099,0.034452878659390694,0.04405797066343636,0.05892196243293836,0.08372719387275362,0.08879354917984594,0.07784097627940356,0.07469395478114728,0.06965072132466624,0.05940380528406955,0.043651906925082334,0.031360578874247744,0.02312886974448593,0.01846665135486337,0.015895886931067596,0.011416633947412984,0.009091759394462957,0.008410050165607502,0.005988614360342811,0.007853474190179203,0.008487040422940488,0.0033687985820359955,0.0022443059139748245,0.0017759232830209203,0.0014709901150785517,0.0016079045019123973,0.001559128407527682,0.001967614434993357,0.002066405294331249,0.03038090055864593,0.051128742684411616,0.08481551736021575,0.052224883559461366,0.05757789476210809,0.09006971017751195,0.09627822985277547,0.07503863551133091,0.08198986205944342,0.0770547783065953,0.07013707844186913,0.05043296766310098,0.034658085083565666,0.0253645600165068,0.01820474134466554,0.015762000405623318,0.015800701979384556,0.013302330968812144,0.01041686164258948,0.008691586222812282,0.007527070732383517,0.006363601230434786,0.0096741547697405,0.004425054264781304,0.0018547302571876477,0.0014452532932672033,0.0012285685218244946,0.0011419992120954145,0.0006999589752307726,0.0005044967595276889,0.00036672906630223697,0.00029059211536085834,0.03552862275907979,0.0,25,-45,24,5153
800_2159,0.031645307948917886,0.06971144370853344,0.046207256781803936,0.0424582413872758,0.05284592545647488,0.04891435754616828,0.05662794454014933,0.06492522063200165,0.07386247651755863,0.07036152554887419,0.06514823638634983,0.06762161377745196,0.04913720814444066,0.03395292369194736,0.03337498753071628,0.031277450316097716,0.02166159564111277,0.019031898024270896,0.018600317672206587,0.022791318251574103,0.01934107019815866,0.011084973021204498,0.0074046075021817126,0.005146345899802231,0.004134186889294121,0.0038860674114251452,0.0030952450684946287,0.002501564028037776,0.002609245789455952,0.002704017850949505,0.002316699327198189,0.015618727509871378,0.07409408038784812,0.0962845333096683,0.052011942325736665,0.06606633901169283,0.10943932485077047,0.11319599247681045,0.09326644365458243,0.047544002533274,0.03251488221398986,0.030644737389728036,0.02969170425435445,0.029467009413235695,0.026665274217440967,0.0293987449019072,0.03802603035921006,0.0314340733279764,0.0182992656720454,0.013674345029539816,0.011724897762883879,0.008609999121369677,0.0066778932426721895,0.005768130999156823,0.010373838484844949,0.003230838206722117,0.0036913483980631377,0.002856924851122808,0.002173756743597835,0.002635285397406257,0.0022280655665216738,0.0013727773020059415,0.0014028357078005858,0.0055346828860209476,0.11573411104962412,0.13009129387453733,0.13265971858725933,0.1237927090859404,0.10161654216467646,0.050980405002335305,0.03534419847444232,0.03083315294619722,0.03011824734610702,0.03065960143654957,0.03704007611272805,0.03671152562594703,0.0312591179916845,0.0177666923796326,0.008355080718380484,0.004833760500348039,0.003561067780273715,0.003752676354208254,0.009687835198018831,0.014148067706944416,0.0043380445388501035,0.004388417141967502,0.008373330464755803,0.008324994786573208,0.0058477362276898905,0.010568667602257486,0.003790744829678943,0.0016190525370285427,0.0007303476931770061,0.00042381801650195466,0.0003934843505809861,0.0022554814751036024,-0.05,25,-45,24,4443
800_2160,0.03091685955061252,0.06945545179105157,0.04633084857852368,0.04186329415023786,0.0533367968397495,0.04913464822526584,0.055924820073465824,0.06397882126567249,0.07263627523282053,0.07105369466252999,0.06426489911496162,0.06817769428465288,0.052054167229114864,0.0348574009410373,0.032641088981909684,0.03205717967593735,0.021884170979258814,0.018633651673504496,0.017802393618016898,0.020581887795604603,0.021345899802231103,0.01099369676331527,0.007333893175728926,0.005212325752082233,0.0040878881360463274,0.003883590070288224,0.003243610276583577,0.0024962239815870795,0.002555239752671069,0.0027317640716830213,0.0024696889054093897,0.016060134648445475,0.07215933201193793,0.0975464358327907,0.05200536360871751,0.0640812730846905,0.10762483762405148,0.11415100748509355,0.0947040171903252,0.050261287922312346,0.03266492650884939,0.03029364309860104,0.02970323765364745,0.03025276696984184,0.026530672015668246,0.02765345807094621,0.0362147912019817,0.0321929930222659,0.017883347621168957,0.012927261520682276,0.011539152229640054,0.008976728187671914,0.00716224096095292,0.005141281113477859,0.012130823871174735,0.003646233263358539,0.0036667676687823533,0.003070444131112784,0.002147139089382248,0.002557139047542709,0.00248469058229408,0.001509003538523976,0.0013627303073950946,0.005754973565118509,0.1138855190932535,0.12998498841375075,0.13118124139674475,0.12382741938786992,0.10407216527763066,0.05269103658339204,0.03559047370946492,0.030804002898819443,0.030349438326207036,0.0302656216177412,0.035565590194045184,0.0352148537410824,0.029770263494407482,0.018329736968029527,0.008496839683437642,0.0050007883450017936,0.003654903957337764,0.0035290550275821654,0.008410875945986477,0.015123782276727154,0.0054427735298411715,0.0036210194357872076,0.007803101587061804,0.009117606320324831,0.005939645583869668,0.01111018684877583,0.0052552388057762345,0.00199216763826151,0.0008310103213739048,0.0004916145856156985,0.0004051553799371482,0.002241883624863168,-0.05,25,-45,24,4443
800_2182,0.03953866733140152,0.07139559526543775,0.042320693902151416,0.041358191818432255,0.05056011031545031,0.05117250904449723,0.06078643689859791,0.06653518958486149,0.07386104516490173,0.06802368624397429,0.06784377622540852,0.06406258292211306,0.04359143227532883,0.03371928289672306,0.03465778229742671,0.027440984779436264,0.022641824476967224,0.02317893956146437,0.02434675817340904,0.018352473454463936,0.013569140609258562,0.009118762412855395,0.006593223227814749,0.00515719114877942,0.003966938836539306,0.003386415230120769,0.0033971503750474274,0.0031720976957644517,0.002915224945878354,0.002562258885892346,0.0021101166023915923,0.018663517397210717,0.09033384979473302,0.08860755591248842,0.0495886622776256,0.07318151049104425,0.11439475032695398,0.11033788400714444,0.0797129928725244,0.04036755814980272,0.03218201014322555,0.02946420175994718,0.030499400043028663,0.02959852870159358,0.026881656202744717,0.03809066143687107,0.042917375277985205,0.02630553675834737,0.015539397541464637,0.012219402579825988,0.010901209360870207,0.009254713389247106,0.01041708185069054,0.004946672204166381,0.004980584251729568,0.0038595598612600882,0.0034080231500372483,0.003218313870974348,0.003183631095057451,0.0027146428918256326,0.0024732122350263445,0.0028893229679912108,0.001955640619498238,0.005574457974274849,0.12831253541221524,0.12904065349836902,0.13304698205898538,0.12268605327406505,0.08894722690837295,0.04575183890279992,0.034485552036385425,0.031024706468106487,0.03048558198468717,0.03729293006476981,0.039904240305173186,0.03469995214877964,0.02974180159734552,0.012858418963088498,0.006613757633238564,0.0044061714201154385,0.0032509046699311784,0.006569660961001366,0.016952032509762373,0.008917657364562659,0.0031819520082868712,0.00740413955996696,0.01262976037615067,0.011483026689882473,0.006628979518224313,0.004950057903720172,0.0025059681900589693,0.0015693405582143235,0.0009969371255223614,0.0005931305202042034,0.0005601268310578863,0.002507922536955874,0.4,25,-45,24,4676
800_2183,0.03820555501359895,0.07183780065837818,0.04360863603322412,0.04299186066816863,0.05294991873220031,0.05195799134097705,0.06057977159575341,0.0667518743563042,0.07462390107899768,0.06980230707623318,0.07320006302355853,0.06827755865848344,0.04406636609728926,0.034111941466925075,0.03564453479827506,0.0268779952430646,0.02114738219912582,0.01968203491663692,0.02478122875679975,0.015963380714042383,0.01040331884437431,0.006801925455594046,0.005044444601036872,0.004303747127110061,0.0034439445965226056,0.003110384375442481,0.0031687945742485558,0.003043331008669813,0.002772970512593812,0.002497710386269232,0.002117218313650766,0.0162301077764509,0.08861925446785722,0.0901612616955275,0.05004625471162758,0.07434894373881205,0.11674461849937427,0.11274621743039608,0.08289673407163238,0.04090960039056109,0.03363912714793734,0.031235335516770057,0.03162923275754053,0.02947331287012853,0.025896472684616416,0.0378202458887698,0.03971381534978185,0.022155467359764324,0.012272335102118205,0.0102925541695413,0.010268523960513164,0.008767915855842088,0.013079893260729256,0.006663827450217004,0.004777001862299911,0.0036023843252350326,0.0032307831546968518,0.0029936465558682264,0.003114320595248922,0.0024889571142521104,0.0021424596672347303,0.0025198413004257282,0.0015526873205716867,0.004196973724108757,0.12743872214119786,0.12947369272910286,0.1347081493953416,0.127237176676703,0.09249634839916418,0.04749905255464519,0.03559790573287568,0.03205762009213947,0.030828335893986536,0.03436881421681117,0.034907250549914684,0.029834426629853743,0.02571138777567577,0.009968600526869905,0.0053493227169539755,0.003958901240850628,0.003180410551579454,0.009398509279239069,0.01882520519541377,0.008865578148662049,0.0034714430831424307,0.008364604718751315,0.013430767343755196,0.01343674048849644,0.008277512414782218,0.004297663878318288,0.002168196489046078,0.0013216339705348348,0.0007983644703918098,0.00044696739312585185,0.00046700633032228115,0.0018136889723526528,0.4,25,-45,24,4676
