,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1838,0.046268006691683766,0.06431708843491278,0.059450186615355234,0.055891320916092134,0.05018333425453722,0.0445924432507208,0.03984596773643028,0.040258582665790826,0.04304688516742092,0.04677968774050854,0.04921097785829565,0.049799098644200734,0.0441543392336626,0.03476389507612484,0.02648002415242453,0.021988439515110567,0.016601819051039614,0.013954146947948751,0.012565734870767571,0.011352608442029887,0.010348872391387308,0.00986656159804138,0.009493033606618928,0.009505860728505651,0.010007797568858523,0.010568419868143794,0.009118404574691177,0.00809724455805225,0.007711522543033617,0.006889843539942116,0.005830449891756708,0.13105740186591133,0.04899533907533297,0.07110054393603042,0.06489483191405541,0.059888097950325014,0.055307439136132425,0.04981922015943507,0.047626965935348216,0.04957222924808402,0.05453888533742157,0.059803400409454935,0.059998064370791686,0.04858016422679761,0.033903211713133145,0.024714202916039717,0.01924324274926291,0.018157258972874547,0.018731947064615003,0.016641484035242984,0.013191538767966506,0.01291644379771772,0.010110304439901796,0.008365595655206082,0.008224634944515266,0.005754450570878492,0.005157025992703625,0.005149208605116007,0.005073622174427277,0.00548766845644471,0.0056037181257031525,0.005533526793490384,0.0049232475674161605,0.10299248495813514,0.061371474771088175,0.09557320609122033,0.07793426193621496,0.0630955940983348,0.059981163399035364,0.059602488043250634,0.060748285845089324,0.06717558226875561,0.07092608406796591,0.06081448590547039,0.04879368350678758,0.03660367870845306,0.024559671881121098,0.01642752433905089,0.014585483573686806,0.012593068201311605,0.010385894878377966,0.009589347124819896,0.008440879299755856,0.006172983592955014,0.006197206484071577,0.006242321618776176,0.006510865398018435,0.0059258825775534395,0.0062242645544892845,0.005882281373543626,0.004485776648648506,0.004359845140855011,0.0037808629911438908,0.00388141551529026,0.003778715962158559,0.07735572020270598,-0.25,33,-69,22,4650
800_1840,0.11436909608318052,0.1178980685327248,0.10086210921044604,0.088463870126547,0.06989900595861101,0.056699925063183214,0.049586955664842385,0.04091295856410225,0.0359601205331062,0.037589440272846636,0.041490234101030164,0.035883378009886904,0.029985709595281733,0.02473958189968684,0.018866714422463515,0.014991161947863969,0.010979328184721127,0.0071786189384692315,0.005370159908516746,0.0045357363615764175,0.004472454058534396,0.0051004325107312926,0.004941249579677788,0.003854274866834656,0.003253822427270219,0.003130863728841029,0.003087950675147028,0.003002454879910613,0.003087813045083865,0.002773658662909623,0.0027993679587083385,0.05423348422726445,0.11084466542572062,0.10521413696371344,0.09020469774346153,0.08973939802592246,0.07834123403298585,0.07177892251735735,0.06441978798804446,0.054307501675233134,0.055410661683504135,0.05577207822936832,0.04369636143548376,0.03308918494155347,0.023811542383783524,0.017096378920006986,0.011088606454871985,0.007430261745955163,0.005507101821363224,0.005211087081513772,0.005368811133897756,0.0043775443669776815,0.003770485684381455,0.003372404489690848,0.002916959084674199,0.002528236734278628,0.0024212981752015287,0.0024375935746799443,0.0026347348771536077,0.0030682420501021877,0.003845631698868065,0.0040704091180247155,0.0034410543651961977,0.032782985577030015,0.17545694282010385,0.16200343898991426,0.09159814708095444,0.06691917746108428,0.05554955794324753,0.05696180754736841,0.06318973306153781,0.0694569106697211,0.06585813225214092,0.05000474548457783,0.031368313683797465,0.01713282336073236,0.009440046032301443,0.007297916677218305,0.006880429643621815,0.005546766805566597,0.004375727650143939,0.003819619616930392,0.003800681720239261,0.003779459164499636,0.00433977867764595,0.004632297613891079,0.005373573134083171,0.004733675918416422,0.0031716022275370672,0.002231561370125997,0.0019588886889888683,0.0018841280386791125,0.0016603690819898618,0.0012996131604288686,0.0009949827786254566,0.017279151643886506,0.47,33,-63,22,4650
800_1842,0.11017856344602776,0.12815723364894294,0.07680698914087791,0.061008874606680814,0.05123160739361912,0.045369254853221394,0.04921323499133151,0.0629871140825503,0.0722866948723883,0.06950816410524274,0.06714500086872095,0.05199319711113396,0.039176012114968885,0.028404230065496493,0.019628524348079417,0.011755644318994335,0.007603372839400691,0.0057629561087819215,0.0033855068717038982,0.003294120509764137,0.003171354493423375,0.0031599311981809052,0.003344245378767843,0.002843877521135023,0.0021679762809450193,0.0018656030321774683,0.0018079635617251012,0.0016353204104943256,0.0014181401708242324,0.0012127685905734635,0.0010214077507526163,0.01145511531307316,0.10905572233872454,0.13363246034767776,0.07202101379845982,0.06704926539678527,0.0651198845933384,0.06084592061189665,0.07227246392385732,0.08872789963971753,0.0906868709067443,0.07974684986806231,0.05269263309212472,0.035855384055039685,0.020285597795628826,0.009033046409517922,0.0055241128971700824,0.0045901277625381535,0.0037780828638680135,0.0033990221439064343,0.0037556216375599274,0.0033498331593322323,0.002673656659015903,0.0024512464769456434,0.0019810746551706293,0.0013808424237072518,0.0009301865448886506,0.0006086551913289098,0.0007602134168832231,0.0012868410905674081,0.0017170176159874606,0.0014198467836074448,0.00040031080171383564,0.002968295098233733,0.11688343218107974,0.14725257913233164,0.07044963631531069,0.05536249116139735,0.07218267407065025,0.09842869958968624,0.11032772690848304,0.11189794829910163,0.0906918806410434,0.053996017316284235,0.023261049657146995,0.010331393373365695,0.006865538070787656,0.0058401665742159655,0.005062088775134277,0.00360100802460341,0.003050873136131107,0.002490581148997425,0.00185979504351202,0.0013242489417349187,0.0015343274701458372,0.0019305368959774366,0.0017498010970327178,0.0005199939046397627,0.00010013963395688192,6.094259196826185e-05,4.7564949828887296e-05,4.519771274249591e-05,5.023497305423571e-05,5.923597918504946e-05,7.79811937877533e-05,0.0026642152366829703,0.47,33,-48,22,4650
800_3046,3.358173541159867e-06,0.0003285229607683853,0.0047913704408940536,0.011608380151410686,0.02347429367701065,0.05327026646721685,0.024931988727987724,0.013132110106693028,0.019669372950825992,0.026668852599083186,0.029361392102764963,0.03636816614436975,0.039929454132744534,0.045477046718690094,0.050551246939382656,0.06593770995466136,0.06911690936168498,0.0567871825232281,0.04967404796881149,0.048439726510346816,0.05213506618024165,0.051084095491921784,0.0501401459407169,0.03391400191008507,0.02283681875045556,0.02422850642314,0.02364236751014444,0.020637903231311653,0.015101541258520128,0.012928830503402327,0.008260088448785872,0.015569235739158218,0.0002136018580278735,0.0023115244368232873,0.004069060343405725,0.011601856486416793,0.02513634184577109,0.032778251102857224,0.057655490591718976,0.04779804010385895,0.04273358409163828,0.057985555009194785,0.07038797804701401,0.07595051725781897,0.06424874134554638,0.0710108917128865,0.07343582332175552,0.07929000063640143,0.0647194361615614,0.04799074971829879,0.03771179339899792,0.023244148685390667,0.022051694292139958,0.01776333420609144,0.013623862322371888,0.009964939567189786,0.007875027058070418,0.0067365787016045895,0.00832480210448478,0.007112886820302922,0.004767835700093303,0.003317958036703846,0.0026714545780053066,0.005516240457557201,0.00027402145575611866,0.004889390571878236,0.007638330875443912,0.011558200230381715,0.019620404174352846,0.02706641079953377,0.045113593247891125,0.07540211650814252,0.09644459707312604,0.10281469444254207,0.10933354238422394,0.07495564458324405,0.07623323693356696,0.08331865279326267,0.062162957738321874,0.04359476292285736,0.03508878460322574,0.026267660964965116,0.01988795701714034,0.011798006852435691,0.007122300716623223,0.007446942509610431,0.007836820952536567,0.008393039089800644,0.00812243085961095,0.008136221391939811,0.0063093749855488435,0.004149876716494622,0.002857943313590209,0.0015889941312338984,0.0011846370056630914,0.0033884521550555705,-0.35,56,-47,31,4813
800_3051,0.010253549809641108,0.02241506518490104,0.03101094346179026,0.07376396091834705,0.1386700234455565,0.16089325984842195,0.10594569580144628,0.0423075364681131,0.012513462972778534,0.0040644084472708395,0.0037488227124397103,0.004505154961541756,0.006451822100921813,0.01195818071994396,0.014221864946812037,0.01858773828443356,0.022658918130811983,0.017144742124202212,0.014185888448301412,0.018745021920615418,0.020946359728870982,0.02226736060111526,0.02571210345200421,0.025993887243322685,0.0249211985310358,0.023934501082212716,0.02295754784186152,0.020830557793726227,0.01977077878136397,0.019618394775430682,0.017324211726565838,0.02167703773419957,0.011016185515635988,0.02810394879368901,0.0245941069229243,0.05565443205137719,0.12222190964905655,0.15076195306088158,0.11516099194060372,0.06875111617981225,0.0303327850885644,0.012363776516083228,0.010046691824708184,0.014560297272128106,0.01532389638856512,0.02320913559732218,0.031702176691016534,0.029167966811996675,0.029433482729849362,0.03055538795272308,0.02984615271123517,0.027201343313458085,0.02715768705742301,0.025952598224374,0.02208106454761879,0.017119886134795103,0.013716845193044329,0.011642952823277054,0.009057902398925032,0.006437013106125551,0.0034313652087495728,0.0014427209001050172,0.0005585853743504686,0.0013936420195813446,0.0034161983757890887,0.015254613414769224,0.01777613380196554,0.016646851607706313,0.019671464927786056,0.04286287377297293,0.09463467916450403,0.115494689791747,0.10888822655185604,0.09569079721718618,0.07309306941245616,0.05306759243620406,0.047521596358991176,0.03255501514040799,0.031628544607224716,0.027967557401095185,0.025973793254100992,0.02806161378626029,0.026944498089584615,0.025681687208045343,0.021603846066609863,0.016587973466685488,0.014202486633918788,0.012828360557293854,0.011056731332243596,0.008990243459874451,0.005825164897331276,0.002990728798529186,0.0012831250788620265,0.0005291325408337387,0.00030308892509599424,0.0009676219220687936,-0.5,56,-47,31,5114
800_3060,0.03351828795248085,0.11226324601274697,0.06354553430082496,0.018487020604211396,0.00976898188325932,0.029677500831836106,0.043243751209768255,0.026812703541100408,0.012652551914610346,0.007843812559745209,0.0076701234200344,0.009755466611056779,0.012943722076236484,0.01767326909275804,0.022806870448711443,0.0240606803241199,0.0409291989115554,0.043988192221413085,0.03763733553482712,0.02710852559886144,0.028351490225292705,0.028040831646722785,0.03480675307779358,0.04768116465422153,0.045186454603329235,0.041634773193363186,0.03927141727475299,0.03689691332102664,0.028481413004917907,0.02006844508197136,0.017315320824485555,0.02987824804196462,0.04192652140125461,0.13128377579380066,0.042111771466271056,0.026254448478901533,0.0469117850751317,0.04229740689546435,0.021887253892673656,0.01381271829504318,0.024749133426070304,0.022950060766425487,0.03512704576078485,0.035303597605809436,0.032700655273246323,0.023984158009001662,0.025688320977089767,0.028536767816321782,0.018105702751213957,0.02084057726232444,0.022486550239707533,0.02777793070007018,0.04232003327784823,0.04730152588799468,0.04375444132213825,0.03769095620743515,0.03766142079588052,0.0290393377549652,0.02082403412873234,0.015614130665761759,0.017698758180455694,0.01751513215018457,0.005401456984879851,0.00044259075711729104,0.025923998697248873,0.06875235485038071,0.09109431094572994,0.08046651746833793,0.059163861031952425,0.034499039782575326,0.03308915741554083,0.03930750387731414,0.03455899143808882,0.03721189348357985,0.02459870376703392,0.019673914742910345,0.020992575904080883,0.02734819459085225,0.018226954836859932,0.02038188378781716,0.02719459944036313,0.04615093855995793,0.047674145521000265,0.049428323254041534,0.04123793066924104,0.036814032496990313,0.02444998072078075,0.018845904756913383,0.01706078778567322,0.015898859740431905,0.016749413530774852,0.014668089137596813,0.007754490648752884,0.0006523940254018853,4.043571255708069e-05,8.981737921971021e-05,0.2,56,-47,31,4996
CAR_4316,0.015759908428663254,0.04841635692562185,0.05917470628092961,0.05221869020661906,0.036353054363434535,0.03823197998572611,0.057614476832896624,0.08086242410803057,0.09723211629454066,0.11027625326486036,0.09597120470787304,0.04877320415338904,0.03577767812137826,0.04140171044440417,0.03755134427136332,0.026494255100955502,0.017101526284369256,0.011625831643419664,0.00779509151738576,0.00538251908818872,0.004045718284693401,0.0038465125312723033,0.005459096455332218,0.006686316202537722,0.00782118617736133,0.009777680103251174,0.009616515299288132,0.003440090954754061,0.001336415439318465,0.0010446397054144107,0.0010545490699620957,0.02185694775276532,0.006350251114308043,0.037800179425560736,0.04007751655469452,0.041332950464848285,0.05952068073370698,0.05457246707283317,0.03918564621939025,0.06482139251235203,0.07268472101505365,0.058394976921089976,0.05781882995067999,0.05590637764500208,0.06453468156477234,0.08161853614903156,0.09823070498082097,0.0657578825141335,0.020809693076150826,0.005651943699835218,0.00393393514739299,0.005714372696485633,0.007374163732210212,0.00846634086144088,0.01129708847455022,0.009883490095810342,0.002102904787081888,0.0016408531390334493,0.001321221080345348,0.0012324496896056712,0.0024762125704032825,0.002718992001821561,0.0027123857587897713,0.01405615835076464,0.02816029454154765,0.0648399450448663,0.05797220489306805,0.0744069960994539,0.07891242632112197,0.07858393088636624,0.06842468519600392,0.040199649472744736,0.04924054079586291,0.05701906165364393,0.06063011667285818,0.07902919166670888,0.10121246029923198,0.0701067723019608,0.01593747873615524,0.006172735858841322,0.008456789335057415,0.010337394044119574,0.01299866399745087,0.007608382573699798,0.0017902918616150636,0.0021373948809103576,0.0019621642844921306,0.001798577191417433,0.0031603716143830244,0.0034247039136925178,0.004432486288192068,0.004942075360056761,0.005681947053604597,0.00041101842062786167,1.7616648084773071e-06,7.487075436028555e-06,0.35,54,-31,22,4197
CAR_4803,0.00031451222033846424,0.003196458216944177,0.0056027822412736475,0.008958918857498714,0.01504648923325521,0.030929493990410818,0.045223945032534636,0.04698459137854455,0.054087321100186096,0.06299699592108535,0.07021929864160227,0.08048140904117207,0.08884664685821395,0.09324301901783223,0.09131589534742122,0.08595608521965427,0.07281783681214421,0.05507946869951042,0.031001144201293105,0.014578464440465528,0.006636851957837195,0.0031940359278325205,0.0021008403361344537,0.001966293186387,0.0018311129383489985,0.001774271722262973,0.0020768927051442155,0.0023259480674426946,0.002511968860812845,0.0027181662214425875,0.0029504582420479,0.013032383362925632,0.002845226295754013,0.01331389189411778,0.023787512174755387,0.03886623436880321,0.059125462244330136,0.07266575559234988,0.07882767372822665,0.07792022366977241,0.0768323405985124,0.08528161533212117,0.09891588248726813,0.09418592258055708,0.08307733224051392,0.0634679659972267,0.051067332150228614,0.031528294869217315,0.010047379975023998,0.0035263299523315525,0.0024309598056355213,0.001896156906199497,0.0017637017334121094,0.0017891082430718675,0.0019487591163401237,0.002017353939820209,0.002259114908771087,0.002494820154942824,0.0027241118401711987,0.0026469839527750515,0.0027362508117421127,0.0027308557132661514,0.0023506389007740096,0.004928807821967916,0.012574240408671002,0.03713173773479413,0.054714914188206135,0.07838428471674301,0.09292002878560296,0.09805343745946794,0.08703304046389919,0.08755796152480018,0.09919045446327687,0.0977894079462974,0.08188410711890952,0.06356408683333924,0.04553256668616976,0.01958696006900441,0.008555332460281615,0.005642364647439123,0.002550064862296167,0.002079893040521153,0.002070919560402972,0.0022612068857311533,0.0023891202664341857,0.002443676823471717,0.002491159195262707,0.002528236734278628,0.002433987667025092,0.00219184133389736,0.0018470229736505593,0.0015784241423830348,0.0011725806121300753,0.0007987498345686639,0.0005098643319910182,0.0005383262290529796,0.2,24,-64,30,4977
CAR_4805,5.6786164060760706e-05,0.0006792594137311642,0.0028337479484862784,0.007043989210683881,0.0117557819490575,0.017975724919563486,0.028401422412207982,0.044350874963858346,0.06262938602237887,0.08266873610899772,0.10267546787064713,0.11238843431819938,0.11396297729280125,0.09774621963247708,0.07964359979467797,0.0636368105587142,0.0470060891944105,0.030866899837684612,0.01710199422658401,0.008938164243973841,0.005270460690761984,0.003251730450310152,0.002636579119999982,0.002794495854472393,0.0031848422396132795,0.0037796243205754296,0.004554151264027531,0.005726484142043914,0.006808669328688998,0.007017288978430397,0.006652238998898739,0.015961068528981256,0.001852473124151786,0.01632190702858015,0.02380606470726966,0.039982028816872524,0.06200349954714205,0.08531494933341907,0.09913801740921203,0.10034291356017264,0.1110337691325056,0.11788452573450962,0.10090948147818653,0.06912918596331906,0.04778636907450279,0.0279397561283364,0.015765606313278176,0.009001143760876905,0.005906724472761249,0.004015604826873492,0.002930336726813573,0.002631073917473491,0.0027259836090302056,0.003328995967769461,0.00408714493370525,0.004865195206774306,0.0053987869616545035,0.006147549557282622,0.006389916098511415,0.005946031618800399,0.0053145848890118145,0.004436917976225893,0.003305901643170829,0.004357560481806517,0.012058017567761887,0.04304099460071757,0.06538870363270698,0.09477120818716103,0.11723628813701525,0.11707627942558275,0.10774922767513756,0.1196954345795864,0.10892445078448036,0.06943623863423412,0.042223472025533566,0.022024856429823308,0.011119353010982441,0.006546511584377469,0.004652198921024347,0.0037637142852738697,0.003681549137565983,0.00392061255727888,0.004468958254930074,0.004878022328661032,0.004900868919145971,0.005558933303150143,0.0056380155374431955,0.005106212973384107,0.0045522244431432605,0.0037355551743508647,0.0028688986666179275,0.002149010858241255,0.0015801858071915122,0.0008075306325984183,0.000352966059986008,9.350586491245956e-05,0.2,24,-64,30,4977
CAR_4808,0.0023042025174630533,0.0078058817143376825,0.009289726477315591,0.013228919093121379,0.020574097934029617,0.03339249407475052,0.0431311698181015,0.04797027036490024,0.04902971906511091,0.05476038716107496,0.0657551574388829,0.08818514172263071,0.10684725529319718,0.1038226970251427,0.0872259702864401,0.06465362146535719,0.051270666805544575,0.038287665109281575,0.02801960909098316,0.018933465003097227,0.012291355576847232,0.008419932004142554,0.0059169090974352575,0.004227169759966564,0.0034508536256933533,0.0029150873158151915,0.0027676855181683795,0.0029506509241363273,0.0031012182132358727,0.00313513026079906,0.0031522239146438173,0.01318366632835362,0.009896509899785496,0.021886125326155723,0.029863989567421007,0.043602112368230216,0.061480147468961126,0.06287208287575925,0.06722840468699731,0.06942509059911797,0.07605338196702648,0.10522836791224444,0.1339367879433422,0.11057837877951422,0.06811724716091201,0.04308924770086227,0.02543813704827336,0.014618872627009975,0.00773450676358172,0.0048987769421859045,0.004008172803462729,0.003486499812052386,0.0031653813486821314,0.0030252188923576557,0.0028182508033742053,0.002780622744105635,0.002822599913370133,0.00293936525895702,0.0029608906008356016,0.002918720749482676,0.0027367738059821288,0.002658792612194376,0.002321296171307809,0.005409246846454837,0.025895564326199542,0.04317683547305875,0.05483660669005423,0.07449472150171355,0.08162987686623613,0.086169549447619,0.0877172545599042,0.1084744280039523,0.1418587743789636,0.1200925798898475,0.06587907954775422,0.03520109073476617,0.019607522000440858,0.009383590180392276,0.005883685200187882,0.0040050073120099965,0.0033950308720747282,0.0030794726632562305,0.0028289859483008628,0.002834876515004209,0.002922959755428075,0.0030324031816547268,0.002982223260625757,0.002897525719755684,0.002750178974134136,0.002550670434574081,0.0020026550490744766,0.0015245282096486821,0.0010417494740880026,0.0007846014640755808,0.00046417115102113796,0.0006018012141834276,0.2,24,-64,30,4977
