,power1_4_R0_7,sqrt_R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,sqrt_R136_143,sqrt_R144_151,sqrt_R152_159,sqrt_R160_167,sqrt_R168_175,power1_4_R176_183,power1_4_R184_191,power1_4_R192_199,power1_4_R200_207,power1_4_R208_215,power1_4_R216_223,power1_4_R224_231,power1_4_R232_239,power1_4_R240_247,power1_4_R248_255,power1_4_G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,sqrt_G80_87,sqrt_G88_95,sqrt_G96_103,sqrt_G104_111,sqrt_G112_119,sqrt_G120_127,sqrt_G128_135,power1_4_G136_143,power1_4_G144_151,power1_4_G152_159,power1_4_G160_167,power1_4_G168_175,power1_4_G176_183,power1_4_G184_191,power1_4_G192_199,power1_4_G200_207,power1_4_G208_215,power1_4_G216_223,power1_4_G224_231,power1_4_G232_239,power1_4_G240_247,power1_4_G248_255,power1_4_B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,sqrt_B64_71,sqrt_B72_79,sqrt_B80_87,sqrt_B88_95,power1_4_B96_103,power1_4_B104_111,power1_4_B112_119,power1_4_B120_127,power1_4_B128_135,power1_4_B136_143,power1_4_B144_151,power1_4_B152_159,power1_4_B160_167,power1_4_B168_175,power1_4_B176_183,power1_4_B184_191,power1_4_B192_199,power1_4_B200_207,power1_4_B208_215,power1_4_B216_223,power1_4_B224_231,power1_4_B232_239,power1_4_B240_247,power1_4_B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1730,0.04664637914545822,0.0026021912127252773,0.00029218862409354087,0.003179061776960464,0.011135868618561914,0.032130178661438635,0.044220594346068925,0.03906444918576953,0.03737022310824175,0.03799266883189952,0.032460931229230244,0.029686777098093236,0.033769683025853085,0.03393417847734466,0.03627317387477514,0.032837707290143334,0.02752893038979697,0.16565304019972285,0.15555814962031023,0.15584966699661784,0.15542458351313812,0.15762779088334627,0.40212843586222113,0.3865272005662878,0.38184809571427547,0.3864172849742631,0.3887446252486182,0.3810853146916213,0.3752256097869112,0.37220658041598853,0.35804498295568427,0.708358636333787,0.06993438665189736,0.0032746596188329893,0.02047585759494437,0.03754625195902632,0.06360097169026674,0.053327795833618685,0.04455668696031123,0.0440651274267208,0.0457956603149108,0.043714225817682216,0.1818390978823429,0.17959511005717532,0.17676783903205656,0.19921708116946185,0.18899643723295168,0.18225279108916026,0.17930604567285838,0.41808003645014563,0.3905410646016021,0.3827319613568881,0.38273453894801446,0.3906275655220339,0.39185363453883487,0.398518245916367,0.3724340441212336,0.35077391358633564,0.361358493427351,0.35566867657065926,0.3274113304713966,0.3024342725547186,0.2949328799875493,0.6145193124080666,0.32976220882606594,0.033576780729324816,0.04025175621465798,0.0604440683534754,0.07280393617576482,0.07969686262912178,0.0758305313687541,0.05818404508628745,0.20395600871882025,0.19162801820305805,0.19257244158745201,0.1974977933108628,0.4390255022255984,0.428718808106772,0.41994291152267826,0.42769803042498483,0.4148292942758941,0.40212452027387807,0.3805558847036674,0.37898959510956487,0.37095488908559604,0.34516444695433873,0.33980090516078987,0.32555413665050903,0.2827123543727686,0.2658172591106438,0.2536524854332465,0.2510380872226107,0.23840780925162197,0.21547783811133847,0.20608632833708346,0.5562568861694537,-0.6,74,-58,0,4100
800_1737,0.04637278154448683,0.01729364412874439,0.003613284626237487,0.01983075796289009,0.03765946644898362,0.05871224174269168,0.08384434458251737,0.08994658632300696,0.08235623328758143,0.05321097543600654,0.03426782127646268,0.02981127725322985,0.0270950929046968,0.03090601430163533,0.04033964677299341,0.04478548317731222,0.043244632042172486,0.17259301285019335,0.14309204939724765,0.12134122004955436,0.10817016675506166,0.10337662535814418,0.314246642618798,0.3076610895764035,0.30593629271506373,0.3048760282496714,0.2989309532829239,0.2985574855002195,0.2990745987170383,0.26923118578683464,0.24695107102715455,0.6360630385002463,0.027239135817192284,0.0013661435329615193,0.028938427392654606,0.07049376051356053,0.08329498042239877,0.08655912510440616,0.10083006893174187,0.06282388482763981,0.0435252597409604,0.032268414296878836,0.170393978216852,0.1841890071676465,0.19966308133784658,0.20395951766261947,0.17592980018295856,0.16585588857882644,0.1391330251806796,0.35087400002149105,0.3264384368245447,0.3201984760075302,0.3191481715082822,0.3135417579504135,0.31412771500316145,0.3070633989713561,0.3175663237331182,0.292709691468516,0.2506094098580763,0.23762596980010536,0.23963137873722676,0.24144258744514985,0.23691296433477108,0.6299473171377787,0.29332104043352164,0.049230576379289966,0.08428988062298634,0.09076042041249822,0.12058565335413272,0.08167116588518482,0.05071744900365743,0.04464832105636469,0.2055588450778635,0.2116964901764876,0.23262231298831879,0.19922923984170415,0.3969785741758485,0.353465244875568,0.3423436432108209,0.3325063222277432,0.31383581461855775,0.30439773068849624,0.3025245340463013,0.30059156017341976,0.3125532171161487,0.266195290610038,0.24446791702187703,0.23823088613011303,0.2351043701418904,0.2351080768550258,0.23862790429171743,0.24050970514588413,0.2297965723384848,0.22383162079327454,0.21727922419463494,0.6192025399912334,0.0,45,-16,22,4550
800_1743,0.19790648944989928,0.08310715711491827,0.011696380813796654,0.01727909659186124,0.025512649964469426,0.01651186404175674,0.014188365789438337,0.01816837948197806,0.02920342031626728,0.03826539656506192,0.04686094452979955,0.05980535475635185,0.09269860953998747,0.1051107217342533,0.05029811772721457,0.008159370768563708,0.0047082969347692965,0.08683163420202598,0.12012099418459933,0.13703695359379175,0.146689185603721,0.1490819857792216,0.38220257524190077,0.38714002926073576,0.4239531697633032,0.45650193292707103,0.44582023019740324,0.4572261013025994,0.4633952576265366,0.45741101111072685,0.4464778840087315,0.4362935103670923,0.2652032776765689,0.021272350296477182,0.035917317583462734,0.025127313313627643,0.031383508042770576,0.054546537568933386,0.0643870045069992,0.09750930324174953,0.14931892937463762,0.052089538155347566,0.0703451055083071,0.07059840725794851,0.0870221034645296,0.1333170516202918,0.16759281192244385,0.1931272442747458,0.19362438296711254,0.4048629820476961,0.41141690490626914,0.44470949187882314,0.4795352641155898,0.4944382765489305,0.47552493220594766,0.45159987238011323,0.380366578567659,0.2568582465633771,0.08606224105392338,0.03569840638070604,0.03298397101155225,0.03407884335067989,0.03176773543557754,0.043659555418669775,0.42471808900911473,0.09493440991605888,0.09261498551361008,0.1631780290009665,0.13755830284735682,0.044804641282104415,0.009131039014489473,0.009165886946482163,0.13081636768233204,0.15810519568926026,0.15067665784470832,0.17554777897425702,0.4210596305863878,0.4676015766904293,0.49231956805049,0.519723661039876,0.48390835389000175,0.44504306413114586,0.33136552929488255,0.23959136113795296,0.09329275829091643,0.037520528781823985,0.030145059117148144,0.022905291663286052,0.0,0.016951812491878503,0.012880592067803733,0.01531769173247981,0.0,0.0,0.0,0.012880592067803733,0.0,45,-16,22,3750
800_1746,0.29722988489413305,0.1384719566183241,0.020397903927169253,0.02289448574692056,0.03280996106940982,0.038244174009322285,0.03241061367813811,0.03373403683949406,0.04508741600987765,0.04883155930016984,0.038309685919387534,0.026141371619007397,0.01841600349161965,0.01750591093595269,0.01882958183142233,0.017469191235100996,0.01447904048283709,0.11725481989948253,0.12300239942941196,0.13260613710521785,0.14682657382636652,0.16239088932048784,0.4188273281242731,0.43279275917158566,0.449326673577818,0.4886022627989268,0.5526421567262668,0.5672977627298385,0.46146750788915664,0.3392800222645051,0.33887314756452447,0.3798656485303881,0.311795222718439,0.032075401896300045,0.02783097332641293,0.039563660950871785,0.04717132784824315,0.039174608288324635,0.052197522702904696,0.055022875217538084,0.05234247468542722,0.04111513712688765,0.1644926219731221,0.15420237851136218,0.14802507129457818,0.13361012379542575,0.1418208282534215,0.16739067063906457,0.18495630032900023,0.44852812273616655,0.46869255614752375,0.5315336887717504,0.605168022962039,0.5069871597727276,0.32674167420061606,0.3235545460825426,0.3454779532982236,0.34965760749901986,0.2811459083822729,0.20618217844956035,0.16866697052896706,0.18655160735433884,0.1642406499110548,0.06627737979243568,0.4074993915221921,0.060791501684922276,0.0603394144534468,0.06436297429797108,0.04630646053133132,0.05417790920775952,0.06747825830366212,0.06430401357891234,0.22420527261729295,0.2100929193729264,0.2456718621748229,0.2886978594759952,0.6215080885402853,0.5296501958333466,0.35017511406608975,0.31738739900296703,0.3312894726950181,0.34765895243311135,0.3539951111989038,0.34002395942121977,0.26137118884618826,0.19712057786624404,0.18531296067912928,0.13991150704432237,0.04897476917047175,0.016951812491878503,0.012880592067803733,0.012880592067803733,0.012880592067803733,0.0,0.0,0.01531769173247981,0.25,45,-16,22,3800
800_1747,0.2723532153708558,0.09636209123636738,0.02151190918441746,0.05108379270578282,0.02479598269957075,0.009030541542368369,0.008893434473446095,0.007926775961819439,0.0072754279248975874,0.016457445114782372,0.0328481947009563,0.032939360854795,0.03377573874863223,0.02534435592323457,0.04337059107597862,0.04769693705945993,0.04940110002754804,0.2255779526743265,0.21301332699554268,0.20511311709819838,0.18430396874415017,0.2010434125933007,0.4544291713333727,0.45166762583326353,0.4409610849132189,0.44886414134789976,0.45883712124854636,0.40975511747567084,0.382964961482925,0.4087266923185852,0.4312442710570977,0.44987351506531154,0.3347997156915582,0.05811891854039905,0.03300189995549594,0.013476020108522956,0.016342166173877636,0.00855403873768789,0.012587150108595627,0.02922222058289525,0.036243886197334214,0.045054026956554485,0.2308503289734137,0.23710312003422396,0.2772913685335423,0.2709435167817882,0.21798318559634355,0.18433816698836503,0.1705854610291546,0.41668312584322414,0.44560277516081465,0.4615023769339231,0.4664545703852846,0.4712447380340263,0.4161063666384734,0.40175679211626014,0.44088690879961207,0.4140956778170964,0.3627526300068238,0.29597134889165316,0.2532759456945569,0.14972665660364035,0.047244958292073966,0.04711390305393619,0.5445960323271916,0.02544039418130922,0.01329071499148125,0.026813033853252004,0.04010047324922999,0.05553670329534817,0.07326986899159442,0.09756961273542723,0.34042344086490683,0.2281491183417756,0.17120774811363013,0.1523176207319146,0.4119287166684581,0.4656261745975949,0.48723593531025533,0.4893049126975903,0.4575789622651064,0.4301802168641188,0.4653409766016219,0.3926123310707982,0.34005161347853496,0.28598025836990904,0.18806783292365506,0.07618705401061125,0.03155087815105961,0.02789597186921703,0.02230983989300473,0.025761184135607466,0.02445804075232291,0.026154598440355677,0.022905291663286052,0.03298397101155225,-0.35,45,-16,22,4000
800_1749,0.37942195530280837,0.08958752513225014,0.018450713793549182,0.02832236770392757,0.02974003993253705,0.04054039398312193,0.03715978674166661,0.03147021498256282,0.04368196533087699,0.04756426167857148,0.07053295755554914,0.07066447684390703,0.06932305167028946,0.055051309588587415,0.0417580897299566,0.05175633577243166,0.12568787505568513,0.3048934634949689,0.18321181342543985,0.12460886274235974,0.08884504465934795,0.0785040224849587,0.2739697140524824,0.26978029638898215,0.27584935413816214,0.2663024838066946,0.25351871233473866,0.24568619690426974,0.23470087995652733,0.2317876862904697,0.2268074617091758,0.35194961061818075,0.4001231260016814,0.02638305000992037,0.03603353240879696,0.03881688022815321,0.054456499981612616,0.05426392799723595,0.05350905462680342,0.09367088335819117,0.08458410617201467,0.07181137568625102,0.22026404342394387,0.2039872496906616,0.2044904943969267,0.3930850296814236,0.29339347652665915,0.14837110114450688,0.09842246639678984,0.2853902854332974,0.27588672077463894,0.27260425468510285,0.2777594414602401,0.2740008301128989,0.2672033926145986,0.27035567947778594,0.24257525263386273,0.21741126223812302,0.20117677427131342,0.19268485040884095,0.18051692999336136,0.16734647166897557,0.15653257179098343,0.2718480163046799,0.502124830218622,0.06570448204962652,0.08402441975715891,0.09768087287848763,0.10178337732724177,0.0930385282699857,0.05455317133797782,0.05120856812104575,0.22566774475616952,0.3483070739507647,0.336499173424237,0.20952996570950705,0.3120145250507057,0.28866981057700986,0.2740747300820354,0.2664764880841533,0.2704639166440736,0.26649685122999606,0.2556724523580207,0.23575301864208126,0.2249692125025929,0.21707768744404138,0.2016232318823287,0.18842167412985902,0.178666033928441,0.16072793807567642,0.14947590894480814,0.14120503377555088,0.140436193771192,0.14117814013872035,0.14276525498752773,0.2282822815758307,-0.3,45,-16,22,4050
800_1750,0.07088072648007412,0.011733930082779363,0.0006084625092404824,0.0021152364407412295,0.0043430542731492106,0.00638548441047759,0.01144603172890445,0.02218318605448521,0.043752019033026585,0.061742607999411614,0.040449200303270594,0.02966233399887562,0.027384804187653416,0.03177817601189476,0.05460357146710785,0.07220753006005735,0.0650913951702638,0.23006321205407337,0.22519398119245507,0.2213740264449208,0.21978696032093734,0.2307026657406788,0.5046899566691307,0.5105349267647334,0.4559585145066299,0.3859137179984092,0.35423190979815733,0.32919829772979975,0.32397103434883345,0.32039533393105923,0.30535063502567106,0.3553950412021248,0.06613510194917063,0.000833487662510826,0.003877561873521715,0.010114433341796665,0.02279996141954069,0.05501640660456945,0.07416980444860001,0.04605655186264123,0.03725486158929912,0.033591507146083194,0.233278469637323,0.29496239913254835,0.2657414314758066,0.22748990384253132,0.23565344654267348,0.23296722356961097,0.23459043986922237,0.5068266555569994,0.5430388448922028,0.49347263820067483,0.3950508445802028,0.3622533754742568,0.31729846929668204,0.2559117535191987,0.22202161518173558,0.22393096553530217,0.2294658119972403,0.22881030799571295,0.22421783165560433,0.2263335414697764,0.21136244076521263,0.20550998552787714,0.2888210251517823,0.033937481598860564,0.06374617140690295,0.06866223468502204,0.05342757762941135,0.06321555246138706,0.08731080545737332,0.07699278972614701,0.24388730132892036,0.2503426567121178,0.2625490232486499,0.27305281292944006,0.5421906020423266,0.5429457425161693,0.4639364900803551,0.3842041028272943,0.3293644434158768,0.2744223605716124,0.238357517762006,0.2313048636792319,0.23574934226774746,0.23752589826325896,0.23435947733285603,0.23194281157654473,0.20744168192897802,0.16809905535646463,0.12798009493002496,0.0781485006345682,0.03584871878429022,0.018215907993683347,0.0,0.018215907993683347,0.35,45,-16,22,4050
800_1753,0.3227449625820879,0.16467834696051917,0.030805158991350005,0.03619271533985047,0.037286626607876974,0.039665452145586616,0.04183975940943711,0.04131216832531079,0.03802399343427526,0.03264519035779192,0.030084390350569094,0.02594813901032754,0.02758596428797142,0.03719757995701097,0.04607257200199332,0.04864972246071983,0.04942813057195311,0.22129163476665467,0.20009701392308005,0.17211213332195482,0.15201588998288798,0.14029051765660788,0.3589363936054652,0.3488815500206884,0.34295806108839216,0.3350866871660313,0.3317925162354621,0.33029574488863106,0.32889948972159244,0.324432281290361,0.31412593894077,0.5927846380705334,0.38602992591997026,0.058826860059293225,0.06284835545287007,0.05625744441011645,0.053290855924665925,0.046441420571268266,0.03648980359419258,0.035205274688686304,0.03161183631755682,0.03667450313895638,0.21087097191162318,0.2178214293506914,0.214657918914012,0.21693592665047595,0.2105133948275085,0.17434910050904717,0.15613350020285618,0.3819054322686377,0.36754354857650917,0.35763874827679,0.3590889748932667,0.35245097167853084,0.3430216744387325,0.3322501370182266,0.32389369800432977,0.3214658196745922,0.3276324648071489,0.318030930939459,0.30148424751724884,0.29241702496755534,0.2846460690562296,0.557295288307516,0.5376743443410806,0.1200658521315814,0.06958193381909772,0.05533254285965323,0.04829901353376968,0.05328835105751637,0.05825916357476142,0.05181136027168395,0.22216906925193455,0.21200163592382576,0.2227045867772032,0.19086490385211463,0.41384891111757316,0.3940869834476716,0.36855996012017583,0.35651163558561755,0.3463320786996563,0.3366277404135291,0.32844304435962424,0.31786050432752677,0.30773478900796375,0.30503277952195673,0.31106115778137167,0.31253428364938435,0.29922394539535685,0.28639186812681766,0.2765824367053619,0.26471085905915626,0.26019864750427407,0.2644466864332873,0.2684794302885768,0.5061245745646493,-0.35,45,-16,22,4100
800_1754,0.16538274643769055,0.10436798501913386,0.03226535890947664,0.0364852342760956,0.02651239474328029,0.016978319851826372,0.01084959808718435,0.009364900017814835,0.011325357689523755,0.016735320212307038,0.03098361013124623,0.05897902385712546,0.08343605123714012,0.07497788560145108,0.06991431042163465,0.0703558551902719,0.06870008295239168,0.2642353289938626,0.2353724745986748,0.1910225403247066,0.19465621693966131,0.20131733134963942,0.44496856784471167,0.40796638817399944,0.3723944745943455,0.3293442186978386,0.2763629610343347,0.2537123404521297,0.24264320122803207,0.2321399947322791,0.23246551251627787,0.3389422694737313,0.2063632998229262,0.0510154180904038,0.04947665893222413,0.024782494953380845,0.020784947190794243,0.020390059013569,0.025428833256003588,0.04209120953483461,0.09454056772731366,0.1017759177778184,0.2826389130876195,0.264826834603507,0.25729313553789646,0.25663675946775744,0.2289490079164495,0.20730834254133,0.212151676344036,0.458540129514545,0.40026731881426125,0.3900410287814782,0.35457881053073115,0.3059081713721313,0.25058317307142536,0.24888258543636313,0.24098463078642068,0.23797548353782727,0.2415246848563822,0.2424155173614635,0.2394766997737099,0.21655850205823135,0.16696338367682295,0.13683133479391074,0.486694898472202,0.06640851487472693,0.032573732828998066,0.03960508759988364,0.08022753662666292,0.14217986531632126,0.11377731433759533,0.08087351709112145,0.252125414821234,0.2611086398621569,0.2827668537020367,0.22493855385536293,0.41318099276514686,0.40218916574905395,0.39119584004102936,0.3267150389617202,0.2683171338756193,0.26436143249928074,0.26434206203185434,0.2667005891793193,0.2477224045741159,0.2466590314517279,0.24446414896261143,0.23096602966657717,0.19235502663395074,0.1368796594826353,0.1059682833954714,0.0738058041464019,0.04782161364746043,0.043742010092679154,0.04062979441885149,0.08038633366566479,0.15,45,-16,22,4100
800_1755,0.45208966956217184,0.27811782907584987,0.05024012041859798,0.04368499319226656,0.026414815028498236,0.02006971127855246,0.02036024834188805,0.024595290541467498,0.033380685415331186,0.03583055559164522,0.037947085754980174,0.05242799800667627,0.06075533250432324,0.06511250762195289,0.05959381734927141,0.05779821296721827,0.04922686036758458,0.1937469588179026,0.1549643221992404,0.1503060870891947,0.16335732594767935,0.1676453615706573,0.3975968531672259,0.37402591954675996,0.35856871586197203,0.30327778388386156,0.2529313229015605,0.23927853351102854,0.23683478197671354,0.23396286146375136,0.23020153766890689,0.369456187809744,0.5392997405418077,0.10672666383185438,0.0491882964238865,0.029668169513553694,0.03257998123386563,0.04789897799218217,0.04394896765341183,0.0515571575450232,0.06234303291296341,0.06201486779035925,0.2595180181039806,0.2488674090790111,0.224479499166097,0.20823340186830183,0.16582194558352467,0.15866237643795267,0.17509804732327328,0.40187654704498954,0.3821939471406527,0.37102968564981614,0.358192267131148,0.2735181758360906,0.24109617309245457,0.23511178339284947,0.2360638375626751,0.23443749119172175,0.23157242453584415,0.23017389162658897,0.22632404452584673,0.22240167781067735,0.21507709751473555,0.30998441696680795,0.6385870896905704,0.10112514778716182,0.07791648013205439,0.0748652766837717,0.07194099567973726,0.07114923745237725,0.0713583250443334,0.06747734994524525,0.22877413005231007,0.2181190160942301,0.20210097515060207,0.17252697338748899,0.4008451016290858,0.39411441507190215,0.38222833281083224,0.3474430719538279,0.26332246981512225,0.2501960984368416,0.23877513916883786,0.239218736171358,0.2419028144799885,0.24334583754796055,0.23833413916319598,0.23357393920838107,0.2308167600947135,0.22663326751686813,0.21272014857434215,0.19426123114661367,0.175038656987761,0.15242659954006763,0.14173970836728136,0.2183076990431094,-0.35,45,-16,22,4100
