,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_6689,0.00015758642232082163,0.003285312185721751,0.014569133122183124,0.017877924996680363,0.012562101437100088,0.008837143777612721,0.012788612995052585,0.021993999769662327,0.03709485287786664,0.05274242764897684,0.0483235392110252,0.037878188145361126,0.033500643778383445,0.03125008945954105,0.05274187712872418,0.08160215817151524,0.06186939281359671,0.027149952247873286,0.02566178590091208,0.031748613074327504,0.035688411262411214,0.04306997949201955,0.03734030233251027,0.03098091258200825,0.028873713736955693,0.025298607690239432,0.023318936861713057,0.02343947327103059,0.0255102552013704,0.026155134625323626,0.024107144233443487,0.06258179354653735,0.004031955278377172,0.03366169847829596,0.016698517933417437,0.01098037417320116,0.01457838186242763,0.038786931926409085,0.08448553552077785,0.08972613048783361,0.07131354022178038,0.08204846494033792,0.0875190672689505,0.05155396452755783,0.027414257021170143,0.023790402406081795,0.03210034046374505,0.03984737156307454,0.037580494318741095,0.041792524771759806,0.04344532420027575,0.03770039762976808,0.03771132545678317,0.03388149368916613,0.028467760102652208,0.018299595984196983,0.006139154123429724,0.0015129948103556822,0.00036023292732097683,0.00031842091413227327,0.00030077674003486774,0.00030110705218645725,0.00025910235690932646,0.00339236084884938,0.05598334037632243,0.05068466552261218,0.1456867894297469,0.1970553387362125,0.08127754390454067,0.05055091662723107,0.058490051768722476,0.038227575823704917,0.035928300462503074,0.03910119641263387,0.04472979805375677,0.041049432534733976,0.0352736217780527,0.04047936881311577,0.04591916953359264,0.030932962268002507,0.007340059002558599,0.0002964826820642043,0.000226676714028291,0.00015265926605961168,9.978179579266e-05,8.332124023845013e-05,7.448539018343114e-05,5.172137773638844e-05,4.420677628772743e-05,4.3078209769796656e-05,3.437998977793995e-05,3.215038275471085e-05,2.926015142830277e-05,2.6314868076629777e-05,2.4195365103930515e-05,7.115474265490374e-05,0.0,27,-30,22,3454
800_6696,0.0028683206203526453,0.032490549218822766,0.03705606872606751,0.020965903197840027,0.02156916329069297,0.028095167995659257,0.053480647781766734,0.0724764867294891,0.05260383417537241,0.04249229106490216,0.0472083503352338,0.07378177024852026,0.07722293471776698,0.04316838498718058,0.03177352411575988,0.03926255389868533,0.041954845668253415,0.04272549144392434,0.04066514187237223,0.036551847226666136,0.0354004891702757,0.0302099089681731,0.023098095662362848,0.020477261421588632,0.01664104361904086,0.008762217971227169,0.005674377400130671,0.0037140023064596494,0.002030126009681669,0.0011029398001699566,0.0009783020149701869,0.013497958340591023,0.03274527493972354,0.060430085139058114,0.023285327600288824,0.03660400902060465,0.09440491953706093,0.09879966766193388,0.07752150937679125,0.10205360019325464,0.08487100980168279,0.04089801193924282,0.03468178498044222,0.0376023774987839,0.04471127304725512,0.05050849904176445,0.04847314308968261,0.0406378085418282,0.038905981931044484,0.025784028923012826,0.010974731340611504,0.002801294779592611,0.001484064971078969,0.0012599757022381294,0.0009527578752472662,0.0008625551318507017,0.0007046383973782905,0.0006258314232115634,0.0006053520698130147,0.0005564933973904019,0.0005167458351491327,0.0005461160906279652,0.0004973950482685146,0.004693735674086726,0.12352020156087905,0.1744919083432225,0.20384966701232002,0.08718605756812302,0.05922161060645531,0.058975638157571675,0.05830650831648925,0.0634353201462446,0.04682529834344052,0.031195477850478263,0.030384974408515536,0.0341740401514239,0.023120666992721462,0.0028346012548778853,0.0002720120568339492,0.0001880577183049525,0.0001771023652772343,0.0001738267697739718,0.00017311109344552792,0.00016804630712115564,0.00016925745167698382,0.00015400804067860208,0.00013782274525071683,0.00012433499906081244,0.00010013963395688192,9.455185339249298e-05,0.00010151593458850483,0.0001001671599695144,9.400133313984382e-05,9.091841972500852e-05,6.991607208644311e-05,8.923933295442859e-05,0.25,39,-30,22,3454
800_6697,0.00018714935988808145,0.0006706712977898372,0.001152844461072603,0.003374909356840401,0.004954214331627675,0.003303754614185497,0.002628899362475527,0.00429499385509294,0.008140515449910473,0.01223949656904768,0.01365017719044852,0.019775871093700968,0.033056841876710326,0.038299088404524034,0.040604419488505024,0.040159654176389774,0.05479694170585087,0.06492114678213205,0.055119849360042224,0.04085730096655942,0.03802757181591748,0.03851990207786162,0.03629070794482202,0.03756560274590694,0.03952226182787258,0.03367840676796386,0.031457057548524514,0.03218792823594153,0.03190102460627342,0.030613302683301775,0.028053163300382128,0.17999433074243826,0.00047196101259612365,0.002633000738357763,0.0066764618900153035,0.004459158994432918,0.0030964011610251922,0.008286348264837236,0.016617343722164318,0.02081252825545197,0.038150502988334035,0.05142976715856018,0.0596329042872095,0.08144173656989329,0.08613632555037161,0.06639224700126113,0.04984311273840005,0.046122091298719116,0.05000196535730195,0.04325635812355392,0.03736226809059097,0.033141566943593034,0.031016889080518868,0.03167280643553772,0.02687810534711513,0.02425952823937677,0.026318996978524644,0.023792246648928168,0.02333936116308634,0.02008452027334872,0.014320710858175191,0.005320833293879382,0.0045572341774423675,0.06247471735739709,0.004800041134873278,0.009844127897745927,0.014996171682163082,0.0377270428099963,0.07460405482388968,0.1103646668174358,0.11568002243480136,0.10268375320044948,0.10303512275170283,0.07171228204077418,0.05375736678676082,0.04289224402845177,0.028698868504714325,0.01961696342277379,0.014894325435422984,0.012385852378214459,0.01270113532690663,0.014916070985402626,0.015808877205136396,0.016567824425438527,0.018785732893298827,0.02081894181639533,0.017646844120630882,0.016471042965022806,0.008266391905678705,0.0013793835450377314,0.0006523940254018853,0.0006563577712209593,0.0006563027191956942,0.0007149331261028297,0.0007623053938432897,0.035502555625116845,-0.35,27,-30,22,3553
800_6700,2.4002683015503312e-05,0.000440608884207754,0.0026159070845130066,0.00860826498257383,0.013800799531573328,0.01072325368920137,0.008557314333191152,0.015141041086647704,0.028523582856270838,0.026564143647029314,0.023644459487104502,0.025077463704750263,0.0267081322191097,0.035219092747027794,0.04876797421098887,0.0546322810982835,0.052177869129885125,0.046310231595061965,0.04395045405809398,0.04171710349714687,0.04099438050946906,0.040795312386111116,0.03755949197110253,0.028898129310160687,0.026976813628415124,0.02790457788419212,0.02473793033892889,0.0195779590628736,0.015628168932204308,0.014674062282338056,0.013380064428486207,0.19566912874004191,0.00012653708007140908,0.0032418486117751,0.013557111741738178,0.016022479063164268,0.011283215364183459,0.019868633756272357,0.045248718443903865,0.03700800830801124,0.039072514307470836,0.04603689828962166,0.05952310302281862,0.06084314048462078,0.06765525056488883,0.06192337132436895,0.0629406501732267,0.05593555521839248,0.04141192259509082,0.031169878658730076,0.02784088269096061,0.029832279600868414,0.02426478570778957,0.016692407158613032,0.014017704511117095,0.015036166978518041,0.0149556533915681,0.01248687284457558,0.008115631934490733,0.0067742342868857925,0.008059588972771049,0.00804392667158318,0.007151891180203116,0.13385913706170605,0.005996156487804104,0.027266167073207524,0.037398244589101584,0.07198211954261016,0.06629455718242852,0.07023182297735006,0.08168011183929037,0.08857232261631888,0.09371170443492507,0.07444440395062142,0.047545874302132994,0.032454269934173184,0.031399886020286885,0.02848020186036208,0.02391264542818254,0.019322847977795973,0.018437528833498237,0.01795849363565557,0.014665198906270403,0.011604636613692671,0.015256787969767191,0.009912887877301808,0.007100913004807805,0.005874188725829684,0.005123003841089907,0.004430862253446752,0.004235400037743669,0.003920640083291512,0.003257786173089293,0.002843216896831844,0.0026635821383924237,0.07202153679269982,-0.7,27,-30,22,3781
800_6702,3.0526348009395836e-05,0.0006022416303855469,0.0021529746040603293,0.0043491925739662495,0.008121302293093019,0.014801700402914763,0.017501148935767274,0.017064586375416496,0.02204239049987019,0.023316597150639298,0.023316542098614036,0.02474905084803241,0.02271820916202229,0.022379997044807285,0.02653747094078846,0.02529618540112777,0.020463691097360827,0.02011215639003171,0.01925827195216023,0.02390559876894863,0.032782847946966835,0.032704839227166466,0.03502974130612912,0.03796236269199119,0.03547805747387396,0.02979077037381866,0.0264944202570313,0.025839576416505125,0.026626847903806056,0.0299816907974374,0.030859908230475963,0.3177291028567817,0.0001405202944886977,0.0029000581129178696,0.006782629720738693,0.01399009592044674,0.023561110720853425,0.03384433357211232,0.030148223173863762,0.029985984855408057,0.027297243941469568,0.03210303801298303,0.039601399114190895,0.03499101220635525,0.034977111569975856,0.03081093945400282,0.028981478076411767,0.03465101089831913,0.03711332283234302,0.03933516752000976,0.03963313660675612,0.03027547593026362,0.020955993833292337,0.0193293991688025,0.018849015196340847,0.02289382512261737,0.030750051914059825,0.030195925753755813,0.025167666448146827,0.017890724592554457,0.014231306369144969,0.012001781923953774,0.01057565920946613,0.22603535793395474,0.003186466274358594,0.027175248653482517,0.050202079469139925,0.04397960410547176,0.037007788099910184,0.03918787582641348,0.05254082713245672,0.051927382414929765,0.04306574048607415,0.03673657429744257,0.037809923634032634,0.044573642984092825,0.04059324392737625,0.030934696406798357,0.0227735914994388,0.022716557601264342,0.02780746611162481,0.03377846382388285,0.038538151824236935,0.02677683714664032,0.01807162554757497,0.015855010802308396,0.014311654800019112,0.013444557876084057,0.01241519510768066,0.010308436678830229,0.008239856829501015,0.007521482951819128,0.007608052261548208,0.008030934393620659,0.008941329735426573,0.16393970129651925,-0.85,44,-30,22,4188
800_6728,0.005882033639429934,0.017933059599983175,0.021916706726190383,0.02662131517526693,0.01878298029203558,0.014101356063507138,0.025537808740015492,0.040167278881888965,0.04888669390347266,0.05462030728278838,0.05221010209067773,0.05019957460199037,0.05770999209673125,0.07126671847429257,0.07338250543528646,0.08570691975330527,0.04899503628919402,0.024854447950402092,0.02274603796079371,0.022042830916072308,0.0217390538406605,0.0230052779477662,0.0227054095661482,0.019276466646510285,0.016807988885656724,0.01672543837377198,0.01738639298910256,0.017767408055961043,0.01668392914672224,0.013466908998341612,0.010226546791248663,0.02064547288478558,0.035149644617156105,0.041663427772513584,0.029229102086053362,0.02943075765459875,0.060622629597422165,0.09001520867249968,0.08723863225225102,0.11124907760331668,0.11577317046154954,0.13142627796119888,0.04311280996767565,0.01759490253479343,0.01757643258031705,0.022532050738588983,0.025329904766602532,0.02596176438658061,0.02518965973224016,0.02493881517912057,0.0243856524292587,0.018337086413402398,0.013821856931237156,0.0071438260585018065,0.0009723839222542088,0.00014021750834974068,0.00011002147249193433,8.893654681547154e-05,7.104463860437391e-05,6.487881177470335e-05,5.942866127347666e-05,5.309767836801134e-05,5.1611273685858615e-05,0.0006656890895033624,0.2201137969403846,0.2854429067557423,0.19425963173718427,0.08298123893041402,0.0338701804979742,0.038095285806993326,0.05235766904440034,0.04698803213012361,0.029554789867520605,0.01359129904942769,0.0019156177971306446,0.0002016280425327543,0.00011924268672380774,6.570459215367706e-05,3.8756625786500764e-05,3.143470642626695e-05,2.848942307459395e-05,2.323195466179449e-05,2.6507550165056984e-05,2.9507885541994897e-05,2.612218598820257e-05,3.066397807255813e-05,3.02235618704388e-05,2.6232290038732403e-05,2.5681769786083245e-05,2.4360521179725266e-05,2.334205871232432e-05,2.6094659975570113e-05,2.5378983647126208e-05,1.3845584354126333e-05,1.1643503343529703e-05,1.45887866952027e-06,0.25,39,-30,22,2886
800_6731,0.013506766664633412,0.01491400653445519,0.024650893086985058,0.02231423740062834,0.0234075981484022,0.0451226493060472,0.05608215876167296,0.0575962270865213,0.06376747654068048,0.08520509301700292,0.1017253800186252,0.11084887690565337,0.0728170660837905,0.045725056092508536,0.03171547175511802,0.02761594011572816,0.0211561905231682,0.018063477847835758,0.017009204037999992,0.015360533511378924,0.013375577688427115,0.012201345515539095,0.01100324828969873,0.00970955322198584,0.008686108546298423,0.007493076106782431,0.006005322650010713,0.005376958833636964,0.0052963901946617604,0.004990190830138297,0.004171071746221614,0.04308685293776325,0.02812442814708756,0.04595093455217049,0.024318791744574457,0.06748249730960752,0.10715860202208292,0.10995370344883322,0.12369744155621945,0.1359674369472639,0.10827186407699003,0.052375533426598814,0.029146936938345483,0.02654049880217804,0.02061420333443511,0.018338022297831897,0.01560397356710038,0.011428249924743882,0.009114826193048957,0.007846757843096883,0.007355501095645406,0.006483752275575464,0.004846945460398986,0.004215250996496709,0.004109000587735422,0.004081722309216656,0.0034967119627390283,0.002536329381992571,0.001956163613738255,0.001802898775400729,0.0018070552033082304,0.0018152579550727028,0.001358601405500226,0.012200106844970634,0.1417094182344199,0.2680398605289971,0.19320816558063705,0.12498733803418907,0.11129160529283384,0.06220840318517805,0.03487322839830096,0.014917089447870025,0.010915467835413823,0.008567086067675677,0.007207438673695414,0.006093653624548271,0.004570419137493314,0.0026215499171026602,0.0015313271347688992,0.0009131754690817916,0.0006223631456198737,0.0004767505387941713,0.0004267632998536277,0.0003863551133091793,0.00032048536507970764,0.0002275850724451621,0.00020069215810325077,0.00022370390466398555,0.00015824704662400062,0.0001436582599287979,0.00015331989036279064,0.00012205034001231843,6.141053418301363e-05,5.3978510772249986e-05,5.422624488594211e-05,0.002713184013156113,0.25,39,-30,22,2886
800_6738,0.013928024761960549,0.0187906325235474,0.02748978839983361,0.04320364580936276,0.05336922248263053,0.05327926747334767,0.04248794195490623,0.0284733478832166,0.024296578252380064,0.025082060548859884,0.03014238765918568,0.038603140740062165,0.051172453992471965,0.056693318820151425,0.05162112799838103,0.04082630667633527,0.03175535694742245,0.027628326821412773,0.026610057036100254,0.025199871882926803,0.02582542804601204,0.027336220775357127,0.028000175726064645,0.02550128172125222,0.02430935032224153,0.025280412995889377,0.023167075850019786,0.019829822078460586,0.017787667201258534,0.011280215028806523,0.0057882800404037826,0.05524121154973873,0.01887615584479645,0.036050928848780674,0.0399429143529218,0.04855544586745366,0.05249794160477535,0.04987237288982835,0.049784399753455014,0.04160468726155592,0.036035762015820184,0.05001892138108356,0.06462480173013099,0.0653441114922424,0.037230776328245715,0.03074520733583651,0.02822963256736882,0.02628673649171941,0.023943914978533008,0.023655332262094327,0.02579531458819213,0.025671695265459763,0.027380840441834343,0.02667837659945401,0.019145305196316624,0.015886500560759933,0.015226922246060972,0.014223186195418394,0.013985526602349752,0.011830680229430415,0.011369206627647259,0.007843702455694681,0.00408389686421462,0.05757880312052496,0.04055908414569937,0.05931764886452996,0.054941645954259696,0.051101657087981284,0.052581978521342235,0.06875089597171119,0.07939113120681306,0.07273283648513518,0.059061271582871236,0.04229319541553159,0.033499157373701294,0.031033542318161512,0.02908392989542978,0.027065805227255862,0.02732333860144514,0.03140217067933539,0.034304320769213324,0.029189794940014214,0.020772037490869626,0.016016560970448294,0.013669170139164914,0.012654423683469352,0.011304190185809394,0.010072758958671123,0.007925399661187816,0.005668431781402061,0.004230115043318237,0.003910923400832255,0.0033791758887984323,0.0021883455302930373,0.0020811592371022467,0.06249390298820191,-0.7,42,-30,22,5757
800_6740,0.003360485726220993,0.015091246529795587,0.022366234038491056,0.02995683480803028,0.04114580110496021,0.04783101626699263,0.0467766048270937,0.04006543263514887,0.031151436230266324,0.025249611387753654,0.0307194980400378,0.03525677585832163,0.03491974735964982,0.03392016773691474,0.030408206363177332,0.02792742447467706,0.03112980078433722,0.0320578953522658,0.03545532098743955,0.03474872824316436,0.03539352508907968,0.032413531435477164,0.031238638638285958,0.03218082652468236,0.03471905520154656,0.03711037754899135,0.04602789728349085,0.03575634546158811,0.012586792270431402,0.006388815058006117,0.005371563735161003,0.06127436299852086,0.008731498941129345,0.026404905663950547,0.02837009780983225,0.04460001290419472,0.052827235293897434,0.06230441391724007,0.050858106928209294,0.04545210815124509,0.043436873714397584,0.036829116751912895,0.028850041366091782,0.02660631349838224,0.023241368558114792,0.024308634645913083,0.03080686560413322,0.03107532680533758,0.032700214857044205,0.031315491265555766,0.02839082489734449,0.032123076950179456,0.03100196998167208,0.030214368182219564,0.025119716134141087,0.02632857603092074,0.02554441498304728,0.02690422753310333,0.03629844275437174,0.026679835478123536,0.009500768416168648,0.004570529241543843,0.0047333180802522,0.0638713046603301,0.03611360557954478,0.06065400925182316,0.0590597026001512,0.055595223598204783,0.061353692966927616,0.05394724122189952,0.05226097016202252,0.04135086989907202,0.03345756556861365,0.028713457291409526,0.03057402306327525,0.03403076725567195,0.03353370251955503,0.029038594552624118,0.030195127499389476,0.029262436087351268,0.029971506172763382,0.03021739604360913,0.028290767841425507,0.02711540710201955,0.025438274678336526,0.02373755246182748,0.019651921458817008,0.020981207660863668,0.01758405728581624,0.01406826979632292,0.011324889747309002,0.004874691681132504,0.0036274054707179384,0.003969966697928877,0.004039827717990055,0.06596586906558435,-0.7,42,-30,22,5757
800_6751,0.014717498330272074,0.01947936088562413,0.03015959141708097,0.034467632602161694,0.02595923199341842,0.02243471875792061,0.027642998186145868,0.038130353947087074,0.052600751261957575,0.0709862834575931,0.08235108592321916,0.07864077210245225,0.0601475856714112,0.04576463849867402,0.04166262951814724,0.04136793602690415,0.0434865031151739,0.04677836649190218,0.045774905701385926,0.04275926586142436,0.03665906104586957,0.02554568117962837,0.015205589586270815,0.010177357806674465,0.008728003137525024,0.006982551150488235,0.0050166708542907215,0.004188192926079003,0.0039076202793163605,0.003895178521606489,0.003970214432042569,0.010411769330252476,0.018723083688547356,0.045986030218276866,0.039857914025912766,0.027049262093663755,0.030516273488772363,0.033441270169135236,0.045423508624119965,0.06877233873555187,0.07460243078914436,0.05955489556740912,0.0543575990182242,0.057438888398314174,0.06550122997234847,0.06621553000016075,0.056670334599603314,0.053716077767812134,0.04761050537979401,0.031889628837043583,0.02589099500810256,0.02268633403939391,0.018479698684851158,0.013238030203302723,0.0073774393277134765,0.003938229205363653,0.0035908509259420336,0.003068076894026393,0.0032898264517934733,0.003012474348508828,0.002700136683168328,0.0024998849412671965,0.0026703260114873764,0.010230895901244595,0.03979303521413807,0.06321136850746692,0.04548725886937674,0.053068500794620936,0.058291231379478226,0.05003469378632195,0.06162798968281005,0.058357458965871925,0.05260463242973875,0.054765947415626716,0.058636324999851365,0.0678042213452557,0.07704643792476766,0.07444608303739199,0.05379094852217242,0.02960059315254102,0.01968649413068338,0.017921168362525955,0.014841943433383416,0.009482601247831226,0.007062954633387644,0.003371633761337139,0.002013472772039032,0.001946832295455852,0.0021139151921348714,0.0013952660543266595,0.0014237004253759887,0.0017778501039051925,0.0020613955600321415,0.002013637928114827,0.002101060544235513,0.012219347527800722,-0.35,45,-30,22,6018
