,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255
800_4390,0.07944054039948832,0.07201008597144473,0.06547896142812881,0.055668938260034495,0.052276302151058794,0.059385803271807924,0.05783897899192695,0.04577421755107011,0.0435579881699804,0.04107368295186317,0.03626120005928002,0.03649663004532543,0.03944887747819444,0.042123993015879865,0.036691624318813766,0.032287544875658394,0.02750701968374153,0.02093595489609591,0.017699804168935726,0.014915768199263667,0.012473632832499368,0.011456464087692152,0.011285637653295117,0.010681111363861077,0.008299753432989243,0.005741155506777015,0.004753164335360202,0.0038914625099011066,0.003307388047852982,0.002658269617954359,0.002065441883889113,0.046512602839935795,0.1458115373189972,0.1280956579586841,0.08435525490298842,0.08114134519403526,0.06020833558129103,0.056608951591432935,0.0465807021951885,0.04526124277965163,0.05110680445234355,0.05194219140972602,0.03959669216603074,0.028805173965500877,0.0204268612924586,0.018501636916919226,0.017460520541121773,0.01485788099469761,0.013157048674138035,0.011280572866970744,0.00838772656936258,0.00784840940385483,0.006934022790217211,0.004440661513943908,0.0029651020807683675,0.00259713434389767,0.002620971870837379,0.002475717102175898,0.002257848712189994,0.0020966013301890554,0.001869786986097602,0.001464824288248881,0.0013421133239333836,0.03750066888210697,0.4294709786642573,0.15119680900844917,0.08160262611373,0.0669507497975737,0.04732657455949021,0.03688895830337586,0.027011166092180433,0.020989025048451286,0.01760329796864633,0.013880487338144292,0.011378840732068619,0.009787121525584107,0.008105667517917782,0.005819934954931109,0.004751540300614887,0.005125701390327888,0.005766506964411508,0.005970749978144346,0.0044674167982226565,0.0025246583526364083,0.002193602998705837,0.001947024977544279,0.0021585348586120857,0.0021282837707290144,0.0021684442231597705,0.002377669445179083,0.0024754693680622063,0.002350804056849804,0.0022705932560388217,0.0021144106603622555,0.0018982488831595634,0.019298102092439397
800_4392,0.005979475724148835,0.020826924360058743,0.040361392322973054,0.04622578178830559,0.04562076003064416,0.03787562822618631,0.026864810283013654,0.02466003172317904,0.02814512770858717,0.03453771383032393,0.039363711995109615,0.04275340282073365,0.051045889386387926,0.06185039986488031,0.03621586471647436,0.027915946127409323,0.027362398013370596,0.02505456206224006,0.0201238549454005,0.021481520466471223,0.028969504260916653,0.034577488918577835,0.04668717281205084,0.05828561607290121,0.05859162275533625,0.0632844500710061,0.020306710247317922,0.004660952193041468,0.003402655577573919,0.0019179024561791385,0.0013791358109240394,0.01367159242827657,0.011407715519320068,0.04055644164848665,0.05964575893510886,0.0683040662086485,0.06082084441438849,0.04805243551260813,0.04255020579548085,0.04426455338824296,0.04744353258716552,0.06927226617698257,0.04111755941599931,0.0272207766783766,0.027860481211954922,0.029302293753643068,0.026675734102241302,0.030081252385128994,0.03223923672348843,0.04092578568598897,0.04863785874927524,0.06908261194994493,0.0718842095156765,0.030471736400333044,0.005566860794788291,0.0039004635160319206,0.0030952450684946287,0.002904104436774841,0.0017356527265396345,0.0012971358192919473,0.0010599992204633223,0.0009062389138984123,0.0007905195567915592,0.010926423188441541,0.06282146253852816,0.09279533594837794,0.07050956044481156,0.0772383768108538,0.07064124488924524,0.07247626652138804,0.05572809166118165,0.04013298147014892,0.04490067954017906,0.05092766516213152,0.04766800722018322,0.02859253551791514,0.03442326066979817,0.05038928388105327,0.05888791275531202,0.07729876888256941,0.033528114738990644,0.0030983004558968316,0.002822765069445928,0.0033158935857564116,0.002802698606236866,0.0025939138004196726,0.0018510692975075307,0.0013027235998563362,0.0011126014306039494,0.0008540220679346396,0.0007900516145768074,0.0006373372964919308,0.0005449049460721371,0.0005272057199494667,0.0005795877219890341,0.008207376134594714
800_4394,0.015727868149959075,0.003870983156502558,0.0030141259092667755,0.003680778409212274,0.004584539981973765,0.010312400424649303,0.06732631471393095,0.25526316629741436,0.08561630411971921,0.03869716959921465,0.040747279494067486,0.06500281646161256,0.07737743822667296,0.07770265806592547,0.08564663778564019,0.02707018186326442,0.0016461381334588812,0.0010695232208341528,0.0013951834762887625,0.002265143105537595,0.003630405806094876,0.008218386539647697,0.012033767150632691,0.01325779388037283,0.019361687181620374,0.023508425932674895,0.017234229191270333,0.006983679717006165,0.0038660284742287154,0.0023314257439565537,0.004003438329289946,0.017554081458059496,0.00018643368355963753,0.004755999514661345,0.007435684370443757,0.012736093362949855,0.040479974385393684,0.2371216522037656,0.08051185281114359,0.01807209348978972,0.022071402917184797,0.09687576453500087,0.11492569958462145,0.054089743389297756,0.04049252624715408,0.02775219387825883,0.020070812319057756,0.020120083881669856,0.05086132747168729,0.07962512984020159,0.017894770916411427,0.002617613697296219,0.0031989906101063626,0.004045112712415487,0.0051528420387834915,0.004252961633803177,0.004084750170606226,0.004401106633791065,0.003123376653405001,0.0030000050647863243,0.007992260345872056,0.006029683171190439,0.0016549739835139002,0.004367084482177347,0.002539467347432671,0.01080277633969654,0.1300944318399774,0.17865309825090908,0.03588524977874591,0.026497420592408238,0.048999385399189944,0.07111166444513393,0.02408093946941739,0.01630971300498397,0.017238027781013614,0.012419516691663956,0.0321857812069562,0.06968600967286105,0.039956787463288554,0.032301528090075686,0.027034370520829593,0.02032531783185746,0.020771074080427485,0.03944499631041327,0.06742232544599297,0.040606428887427194,0.005762020224352417,0.004306362098310145,0.0036733739118141426,0.006114353186047879,0.006755654228358884,0.004089980113006393,0.0006556145688798829,0.00036298552858422264,0.0003044927517402496,0.003608852938203661
800_4399,0.031592458004663565,0.06421114081229043,0.05941098957336662,0.03455846844384881,0.030477131498809006,0.032235410607732516,0.03721627011958841,0.030782890447130347,0.030832492321894035,0.031188458717256982,0.030435925057898217,0.03502555735220898,0.044445591973326634,0.0529940154044375,0.06717536206065455,0.06908316247019759,0.05360534061899176,0.03604817624751743,0.03196149925602693,0.028788438149820343,0.026487566279885816,0.02455031303682606,0.018534640606065543,0.01129081254367002,0.009621332351498814,0.00901900814307537,0.006704978839102528,0.006863143307688632,0.006812908334634396,0.005249651025211846,0.0038609636879043435,0.03893590270677596,0.08086451608499064,0.09631938124166099,0.0535631432416262,0.04514819344577012,0.052298680799328985,0.0657504229647101,0.08490145357165428,0.08563499428229665,0.0588582947657195,0.0486390974198437,0.05576475631000809,0.05776052985592445,0.04655204761603811,0.026251227935423532,0.01812447549182929,0.015162428798463124,0.012539420002690944,0.009821006047134663,0.010263486700201425,0.00791692164929702,0.007307055313412281,0.007919096204294982,0.006284546522154366,0.004743612808976739,0.004181283896908256,0.004203635019165812,0.004224086846551728,0.004569648409139605,0.005040315699142003,0.006889265493676834,0.004576254652171395,0.007926720909794174,0.4318658518673317,0.1423061271362663,0.09015407740623044,0.07883521585568794,0.07267398587012698,0.03989433094062551,0.027489788399833612,0.02688033495413836,0.024402168036838173,0.016904192299807164,0.012492295469064175,0.010473234916460754,0.008446962548547628,0.0070800482872324004,0.0046229662956086765,0.00271169760847396,0.0016763892213419525,0.00020121515234326743,7.990801467202536e-05,7.396239594341444e-05,6.96132859474861e-05,6.779656911374387e-05,7.154010683175814e-05,7.349445372866266e-05,7.795366777512085e-05,8.255051188474131e-05,7.588921682768651e-05,4.1977169264498334e-05,3.4352463765307494e-05,3.4297411740042574e-05,3.063645205992567e-05,7.514601448661014e-05
800_4400,0.035769778155752746,0.04606871836022478,0.062233038966484105,0.07875098625703263,0.05371993140958068,0.03856878827629687,0.037635463765968116,0.03784832242165491,0.039047548214013204,0.03826242375569761,0.03733220968479633,0.0375248642472109,0.035803552573252774,0.03452893303229418,0.03741225532953151,0.035112567078140186,0.0287762716522368,0.02493655804608471,0.02524036264750915,0.029984938866928025,0.0369451388951587,0.037789224072533024,0.03403663029636267,0.02280618229839563,0.010155915042833778,0.008812865834470891,0.009102990007616997,0.008717157888547836,0.008028869942673225,0.007031602504999275,0.006287133967341817,0.015728776508375945,0.06451621161029596,0.11849695198956918,0.1001543603736403,0.06105908205372241,0.05020265751540521,0.04935576468474238,0.05031529395909723,0.056726047249171414,0.04926952568716488,0.03923813832548034,0.037353707500662275,0.0322065633464937,0.02967871197639193,0.033065237310563225,0.04627282374389446,0.04789358289370621,0.03737148930482284,0.01448261886447931,0.012911103751267023,0.011222052564114139,0.011329982059646007,0.011901477133921099,0.011111920987571675,0.00928711150611551,0.006887724036969417,0.0037094880403879273,0.001819056544815982,0.0011064080777616462,0.0005465289808174521,0.0004094219118951792,4.3959042174035305e-05,5.499697323965093e-05,0.24716388481442733,0.14040922702772574,0.0707198316553109,0.05517184599790494,0.050730578911683116,0.04660310836947132,0.04511794235788705,0.052524201420826706,0.06443145901740062,0.05294829469745499,0.024659095838749534,0.01813705487960232,0.016351387388109512,0.016833175187215423,0.016906917375057777,0.0164156606276063,0.015968225292265697,0.016117333702695722,0.015304986017886624,0.010789288593506636,0.004800096186898543,0.0013794661230756289,0.00045164681527336964,5.9208453172417e-05,5.367572463329296e-06,5.780462652816165e-07,8.257803789737377e-08,2.7526012632457924e-08,0.0,0.0,0.0,2.7526012632457924e-08
800_4403,0.020919191554402743,0.049062254812042475,0.07732888234038932,0.04895058177879259,0.03880011688646004,0.03620452399926979,0.037082879062371524,0.03470050266903229,0.03283699161381489,0.03158367720663381,0.029032236043706024,0.025260153850591886,0.02324957130987926,0.026899548110955816,0.03082660175519069,0.031294406339879316,0.028839388799203024,0.027674295262508978,0.024463220732856963,0.02348494624389941,0.02107295186096765,0.019590180612482407,0.018488864847057765,0.018031052204954726,0.018796082674048628,0.021351817894947084,0.02396885354597802,0.023866181518858953,0.022464061487386812,0.02201913101919576,0.021390354312632524,0.09046649764960883,0.04230379293039508,0.11444798563538515,0.05569954718608179,0.0484767765233501,0.055500754322850177,0.05381729091626169,0.045536062489774085,0.04250825615222898,0.041513713789805645,0.04743497199723683,0.04901909402423478,0.039272270581144596,0.029518648212934186,0.026159538787344817,0.027476080445542648,0.026522937206118525,0.02347019230112841,0.02121044429406678,0.023792549435067128,0.027861334518346527,0.02665908086459866,0.021524681254278918,0.01979392815798786,0.015638353556878322,0.011455748411363707,0.011263121374961766,0.010951719594050769,0.008885231721681623,0.00642110307082399,0.004407052252519676,0.0037953691998011962,0.017662368791755586,0.29801461477125113,0.1134357990988644,0.09553483482961068,0.08535293523085186,0.08476778725431107,0.0640064849083681,0.03829517971073024,0.03166333748719215,0.02861282218922526,0.022011451261671304,0.019259070206526573,0.014955488235492306,0.009823455862258952,0.011829221350760897,0.014085253346117148,0.014070802189485107,0.01584689062858182,0.011578982369919222,0.007411186219200869,0.006574065123022559,0.0031946965521356995,0.0019870202738992405,0.0017672250630290638,0.0010750008973480119,0.0007902167706526021,0.0011251257663517178,0.0010679542381141025,0.0007358528957034978,0.0003465524990426453,0.00022119903751443188,0.00013284053696424196,0.00042665319580309784
800_4406,0.013482240987377892,0.09378740096966436,0.057961001805926636,0.033846095236920795,0.03669203720900325,0.03683704424355104,0.03367221341512156,0.0350334573178345,0.04203483626096333,0.04887769289734185,0.04410154434143354,0.042812060753653416,0.05331136280407711,0.07300093984817532,0.0854744075245989,0.06144359292418521,0.04149783128051671,0.024895736969350775,0.019036604972431048,0.022126675150550775,0.018722230382155744,0.008009161317628384,0.006389723416422988,0.0064893125301272205,0.006253607283955484,0.005968135006944262,0.006404504885206618,0.006369409219100234,0.005801162214315773,0.004819419447766528,0.004772184810089231,0.020076372573609513,0.08545690098056466,0.10087474365024435,0.06170731965121679,0.07845954083528016,0.07563372037843202,0.09002478772489578,0.1155008831445893,0.08981977398280923,0.052120339763483285,0.047505796427740145,0.049858609883512116,0.046375936187215645,0.017430792447478718,0.007409452080405024,0.006883897921213506,0.005977906741428785,0.005782224317624642,0.005905871166369643,0.006450913742504942,0.00722866122943504,0.007574222792022917,0.007260178513899205,0.006042317610988736,0.005578586876169718,0.004861231460955232,0.002892571037481841,0.0024786899115402036,0.0024655600035145215,0.0020445496403010775,0.000871115721779396,0.00038836451223134885,0.0011345396626720183,0.4820448920638982,0.18361182684860847,0.11565356993666154,0.07063147315476072,0.0383947137724092,0.02139963057888966,0.01690997276245998,0.015634252180996084,0.013586619627280172,0.011412972987732868,0.008867119605369466,0.0069394729407184375,0.006663056721863295,0.003123321601379736,0.0017135768644084032,0.0010008733453288027,0.00023909094572552953,0.00019455385728621262,0.00017746020344145625,0.00013765758917492208,0.0001311063981683971,0.00011954547286276477,0.00011660018951109177,0.00011103993495933527,0.00011384758824784598,0.00010580999255916827,9.636857022623519e-05,9.188183016714455e-05,9.463443143039034e-05,9.141388795239277e-05,9.149646599029014e-05,0.0005001476495317605
800_4410,0.015042745695537197,0.0360206777608976,0.06925583314744099,0.08020400188586217,0.07581963106775165,0.0673878353521645,0.05438212469547972,0.04747857320124664,0.04176700815804952,0.0379389655812536,0.03733933892206813,0.03319904125796961,0.030879506751470276,0.028410616100427225,0.028638806745150302,0.03128537780773587,0.027097955610010573,0.02358247090665621,0.022540143386302922,0.02034557697715495,0.014183879049379244,0.012440876877466743,0.011410220386469622,0.012076129684074044,0.01510514716617498,0.01723629364221777,0.02039204088647854,0.017701152943554718,0.014878470452146688,0.014372129449772625,0.01212694270339356,0.029460485748241803,0.06862518467201875,0.14616885248897912,0.1036935449738712,0.07742448018226183,0.06870523031675393,0.05800259361101428,0.04866290742077078,0.04585283184314841,0.04027127215761439,0.03598916047643344,0.03455406428182761,0.03192535760144051,0.026371846922778965,0.021179284847766836,0.019550295420177978,0.013669445399291238,0.012898414259443458,0.014357650767127951,0.018376200877353116,0.02387020031670329,0.022493596898941436,0.019432731820224747,0.017733055592195738,0.010202351426144736,0.006586561932757694,0.004375975384257631,0.002932070865609418,0.0020676439648997097,0.001032803519982454,0.0005669257561781034,0.0003585263145377645,0.002068937687493435,0.4322557027842452,0.13187908086900282,0.08142274362117688,0.07131722870747313,0.06266269249766414,0.0436804514001822,0.034700034726817534,0.027650980729809285,0.027821531904079995,0.028196023305944583,0.03057762897093011,0.0189552380790895,0.005241228065346314,0.0009368478399457055,0.0006946189287800758,0.0004872930016324027,0.00022821817073570867,0.0001934528167809143,0.00016900971756329166,0.00011613224729633999,8.128431530364825e-05,5.543738944177026e-05,3.815105350858668e-05,3.693990895275853e-05,3.9747562241269246e-05,3.889425584966305e-05,3.495803604322156e-05,2.9673041617789644e-05,2.895736528934574e-05,2.692044035454385e-05,2.848942307459395e-05,0.0003744088238266927
800_4415,0.04653572469054706,0.04646261560099525,0.06536145288020084,0.050132218449078746,0.034338948493104954,0.025893307193163684,0.022536675108711234,0.02280271402080394,0.023846582997864643,0.024000150622341124,0.02487057819380471,0.0287258164710815,0.03467118746557872,0.03593719136458336,0.037566345948248016,0.034638624192634526,0.0332035279980287,0.03714291329592291,0.03703514895646684,0.03603664284822443,0.04185099002259115,0.04745393741994059,0.03767430296979251,0.030316764949212305,0.023407075154162186,0.018253077022848133,0.015111340519017281,0.012963403175268692,0.01277143676316993,0.0128489224887303,0.01046244471950883,0.035147938004372895,0.07344562258225268,0.11173496677830483,0.0599223403100398,0.04496608134619378,0.042937221533093206,0.0405717461115103,0.0414834902279352,0.045587563659409414,0.049688746859557216,0.051989756359554905,0.05321650816454566,0.05291878681191299,0.05059195791206606,0.042628820087559145,0.04350442254939763,0.04280779422169539,0.035848447499856315,0.03214162948269374,0.020120331615783547,0.01161223379317923,0.008860788622464,0.0066539731376945846,0.00553773827342315,0.004981520136159073,0.004281368478839873,0.004076850204980711,0.0043069951966006916,0.003946129170989169,0.0028461071281582523,0.0020297131194921825,0.0012907773103738496,0.0034695713142834242,0.37127215210918624,0.12588812679758626,0.09294419662469428,0.09553659649441916,0.07469758821481476,0.061943437787578014,0.042379984933361724,0.02886385942443328,0.022737945313079766,0.02421064204094153,0.017869419458776934,0.012553348165082967,0.008198732966628123,0.004536094199740639,0.0025009584557598623,0.0021965758080701426,0.002150800049062365,0.001981129707195894,0.001795191491863641,0.0016889961351276182,0.001306384559536453,0.0006469163488880262,0.0003234306484313806,0.0001427499015119268,0.00012411479095975278,0.00011822422425640679,0.00011280159976781258,0.00010754413135501311,9.928632756527574e-05,7.387981790551707e-05,6.471365569890858e-05,0.000934177816720357
800_4418,0.019482856689228455,0.040379834751436805,0.05047117376863484,0.061277941380163084,0.04664714998968325,0.03615574790488507,0.03171654526961069,0.030267823698751795,0.026859029820360838,0.027917074693927256,0.02977648437326242,0.0274701073008014,0.028533134382654295,0.028822735561560387,0.030305176497894038,0.03469218981321728,0.03380791665739957,0.03561777951399632,0.037018660874899995,0.03797675879659796,0.0400088942052018,0.024996206915459247,0.01712566659744792,0.017708722597028645,0.017490000900651132,0.01679048234162248,0.016895273871714248,0.01755625601305746,0.016407127563690237,0.01506729889880535,0.011209665858429533,0.0935482824979262,0.045474459273502646,0.09332146815383474,0.07702868364661973,0.05368885454131864,0.045277015184890024,0.04056120364867207,0.04341664209511272,0.04804370976660364,0.049579275907317935,0.05037521808859809,0.052919887852418294,0.047575877655902384,0.04468677489601223,0.0418389061030455,0.047560683296929265,0.02678594825682166,0.015200442221908549,0.015554784582526179,0.014108210040652618,0.013858026111836208,0.01560978155576583,0.01791282798069832,0.010705692093141862,0.007131934821044583,0.006457987927751483,0.006317825471427008,0.006865125180598169,0.0068933118175338055,0.006793970437943265,0.006814312161278651,0.006672002675968844,0.034969156552325076,0.30892760526552804,0.15455000034132255,0.11009796728103993,0.08651907475602594,0.06559850690099157,0.059738934487869724,0.046951945527562454,0.03357155078692466,0.02404903682077637,0.02455020293277553,0.021392694023706284,0.016972429285123027,0.01560397356710038,0.010253384653565312,0.007277519901857653,0.0049039243065481745,0.0028198197860942547,0.0014201495697464016,0.0009416373661437532,0.0006145732840448881,0.0004251943171335776,0.0002796092363205076,0.00021343670195207875,0.00018943401893657544,0.0001564853818155233,0.00011662771552372423,0.0001063054607865525,0.0001012682004748127,9.408391117774118e-05,8.2110095682622e-05,7.20906270844073e-05,0.0014084234883649748
