,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_4477,0.011387153587883624,0.012484863445653409,0.016834138597657557,0.023047585429182286,0.031215819573813645,0.03171591217132014,0.03604657973878474,0.04054587165963579,0.04207769426263208,0.04715445440249945,0.04234593525573537,0.02745130703417344,0.0203189042709141,0.022707831855259857,0.02676502848722099,0.03130021432854476,0.03559785068085042,0.039253690522617686,0.04879806014279615,0.0613728510717198,0.08437526631417222,0.0668440589726103,0.02409899653370428,0.015355386147016653,0.01528714916170079,0.016013753317159783,0.016736476304837596,0.019758557231755156,0.014345842107708624,0.007283107682422042,0.005740715090574895,0.06573894461744237,0.020637710549223226,0.030220258748922906,0.03990462566935005,0.045569451543097265,0.0535390579805728,0.05378750777059337,0.06016470685126859,0.05059820631693363,0.033231797213002234,0.032036672796526174,0.036554792510017815,0.04172698533568193,0.0514617523852391,0.066927435264874,0.09380207233439744,0.09034846610744084,0.027779747416903918,0.019922309480905644,0.021965565398613,0.02626339443300708,0.02222516322374971,0.0067434326787500715,0.006379401161685817,0.0068074031321079045,0.007679702472430497,0.008314562427785506,0.007677940807622019,0.0070769103217923,0.004280873010612489,0.0036059076548519893,0.004136554126380512,0.01862963287566016,0.09807388928685386,0.110104628576097,0.09062229488110854,0.07678122479305394,0.06302647628061471,0.08307961689956242,0.12684413274232414,0.13789428535754858,0.0659363061280171,0.04297595063286707,0.018802496234991996,0.011279169040326487,0.01189690781582411,0.012534272638328674,0.012197767133896873,0.013119448140882095,0.008828500609646128,0.004126754865883357,0.0019512364574770448,0.001009846825446984,0.0006353829495950263,0.0006397320595909546,0.0006751855638615603,0.00076544335928339,0.0008972654337802311,0.000548565905752254,0.00032444911089878157,0.0002857475371375457,0.00027859077385310665,0.00030851154958458837,0.00036499492750639216,0.0031909254884050524,0.0,49,-27,17,3340
800_4572,0.15980903773684207,0.10095699137599014,0.06451271580669164,0.03788919855041411,0.03401105863062712,0.032250384758604575,0.025154288806007445,0.020884949194687964,0.022007817828003817,0.02776994815640677,0.01930206583825847,0.01337224704089859,0.012277207206354149,0.012372116897910864,0.012581782536132294,0.013356502161672824,0.014347686350555004,0.014775963581103415,0.01801007738332879,0.023806037181257032,0.028365143127558407,0.030413436305577492,0.03673935442471845,0.036086079566912316,0.04006614831147731,0.04528997993683991,0.03621817690153549,0.024526117671722133,0.014570316740726319,0.007853832028343425,0.005857645592237577,0.014565692370604068,0.3065238962123986,0.0899918941398,0.035421243783800564,0.030811545026280737,0.02410356585180127,0.029146524048155986,0.027576935755827973,0.015998201120022443,0.015150399930942741,0.016682580372103246,0.01948638001884541,0.015896960445560264,0.01608014605962927,0.02287097853213244,0.028030289183884557,0.028763059166173218,0.03230458347747789,0.03738896832284445,0.033392962016965275,0.03732053865544016,0.04257464889469847,0.02803882224780062,0.020962627602336758,0.01667300131970715,0.011665771887749359,0.004685918286499107,0.002942998692624504,0.0028146173697067203,0.0027203132504279195,0.0013504537057610186,0.0013993949562215286,0.0012297796663803227,0.4499396794959172,0.07031418080714638,0.043704343979147166,0.028391540573672925,0.01830311931381394,0.01753847420889689,0.015565684883528632,0.014740427498794912,0.016826899256335227,0.022659303494988837,0.02831727539159056,0.039135851662538135,0.0441018471275725,0.03776497365540383,0.038063906152592315,0.03402958363712876,0.02167362450863315,0.01541200715500162,0.013073617329849055,0.010143032868921787,0.007038428956132123,0.00313859853839075,0.0020097567603336503,0.0025626993020944648,0.0025825180311898352,0.0011725530861174426,0.0011466511082302998,0.0005948921850126807,4.7069481601503055e-05,1.3763006316228963e-06,8.533063916061957e-07,5.2299424001670054e-06,0.0,32,-37,13,4050
800_4580,0.044018360731258255,0.07384411666713278,0.04890973317604603,0.061502195805079714,0.09253851825051712,0.08182963313990987,0.0601558985272262,0.04774290550055613,0.03945496072698622,0.03498578226395508,0.02929142097865325,0.02704160986215193,0.03186356170308065,0.0375962667239795,0.038111223368307516,0.033794263755133884,0.025768063835686004,0.021976520751640714,0.020825878371578708,0.022236008472726897,0.016723649182950873,0.008738463022325359,0.008430199206854462,0.008996794650880975,0.00865505920404901,0.008046321434682206,0.006232632462329551,0.005318190796666665,0.0048587541198183105,0.005523369694829007,0.004551040824600064,0.0404386027884071,0.06916326316695802,0.06879397418148098,0.0684486603530068,0.11398810854233468,0.09314739364994708,0.06276057499858516,0.05848322531758963,0.06825091347825522,0.0703354859409239,0.04287005806227,0.02815988165135817,0.02067046650425585,0.019863844230074302,0.021420082406275583,0.02118701965731656,0.022167523753297343,0.02543654053954068,0.013465477645684723,0.010741916325766177,0.010757826361067736,0.010289443730113831,0.007083516564824091,0.006235054751441207,0.00631975229231128,0.00522829083940906,0.004194468856959204,0.004032781058756146,0.004431467825724665,0.00464674877052312,0.002820645566473229,0.002291815811778447,0.032313777165697125,0.08923319465361157,0.10772274765098512,0.12797633269392242,0.09746135292774376,0.06703192400882682,0.05609826147906295,0.060822275767045374,0.07026080786865202,0.05482036634260108,0.032101413978237715,0.023400056020940908,0.026737282266487482,0.02611888286668668,0.02709768034988425,0.017479348333762367,0.01269439145381168,0.012984956043159909,0.009231839272749532,0.0068582987294653185,0.006951226548112498,0.0049610958347857895,0.004428219756234036,0.004614653439793674,0.005467464363172485,0.004038506469383697,0.0026541407160594905,0.002349317652167652,0.0021940434149079558,0.0020898299310814707,0.0019299313236995227,0.0017663167046121926,0.03042384113835257,-0.9,56,-37,13,5500
800_4598,0.03503246638137973,0.0525318261263259,0.04704479076817174,0.04532656200762845,0.05096388939475583,0.05501891147171901,0.045646579430493404,0.028581938003051643,0.01978619334843814,0.018296568122807416,0.018878357925807047,0.02223826560576276,0.02697700631050355,0.02972674486843557,0.03329830005952225,0.04876585470801617,0.06587112453010344,0.06023506333955715,0.05087035600383074,0.05537171237562922,0.05469933446505617,0.032172788928993674,0.01723709189658411,0.014625919286243887,0.01265147840011768,0.008780742977728814,0.006970412178917321,0.006857830787250567,0.006869969758821481,0.005627638230680757,0.005590835951791162,0.01745344635587523,0.01842583027812944,0.07692480047494482,0.08795161103145695,0.06972848231035292,0.06041813884957563,0.04682081160338143,0.03693999153079643,0.03094774373678614,0.04241130953573746,0.06345703817021163,0.08541332730256747,0.08166954185043951,0.08095273695547768,0.06107160638947017,0.01945255054932012,0.01368816308788131,0.01084868972876748,0.009546681805239588,0.009062884607211507,0.008865165258472562,0.008551203558386747,0.009009511668717171,0.007867072040419637,0.007128466543452894,0.008625468740469117,0.005644208890285498,0.003481765337879603,0.0034286951855242247,0.005715996731230947,0.007273225843886991,0.008744794005230823,0.009932486398296116,0.03917714068148682,0.05802081583137698,0.08012147889999006,0.09064783902083147,0.06185518939107836,0.08251560890072336,0.11279158029921435,0.1243276771414522,0.11542218627447312,0.06160051872220285,0.021741531181797426,0.014272622914106291,0.011909542255622407,0.009082125290041595,0.007408075779773401,0.006024315598727109,0.005733778535391516,0.006795897258827537,0.008342033388392699,0.0090064012292897,0.00800439931744297,0.006657881831488393,0.006684967427918732,0.008263859512516519,0.006708034226504732,0.0042230683840843285,0.005727502604511315,0.008404572489093643,0.009776083594518491,0.00490543823724296,0.0005003678576328202,0.003347465922245841,-0.65,52,-37,13,5186
800_4625,0.1869055895202084,0.1985339260307776,0.09676018280795716,0.07532999835504549,0.06282707784510518,0.0416754841660466,0.02459914418323604,0.018160919932554663,0.018511573807479545,0.021089219734433437,0.022365903726339464,0.023335755255431488,0.023639119440653802,0.02226714039301421,0.01742702138374807,0.01611072745966393,0.0161631094617035,0.016782472271946434,0.01737439164759481,0.015613277359370153,0.010865563174511176,0.006443977187321564,0.0049700693149039715,0.005439883298514764,0.006241165526245613,0.005903201143144294,0.00408166725719139,0.002833224954246262,0.002277667441285364,0.001954291844879248,0.001833893065624877,0.0116833610098215,0.3565609021837817,0.12444416722691275,0.10715945532847453,0.08328953027189755,0.04418348928104037,0.034026060307511805,0.03332965218791062,0.03496888129219875,0.03283077073495995,0.024826013579352758,0.02667254108477593,0.027885364727374663,0.015008283127721359,0.007755178799068694,0.006356224259049287,0.005126554696719494,0.004024660885029571,0.0029617714332398405,0.0024425757829664193,0.002251325047196101,0.0018004214342638078,0.00246352307857972,0.003285257133696486,0.003062626743525166,0.0015761394833345408,0.0010749183193101144,0.0009697414250414928,0.0009738978529489937,0.0011140603092734695,0.0013220743867369542,0.0011176937429409539,0.005136243853166119,0.4402913991780513,0.13904231276641052,0.10758131899807956,0.07489855563304433,0.05097740466695837,0.04921818967360535,0.04655603888786981,0.03303091237281056,0.015551701669111344,0.007988214022015085,0.004411373836502972,0.0026544159761858147,0.0019719084929640212,0.001685307649434869,0.0014964241507509426,0.0012482220948440695,0.0008143020317060028,0.0005817072249617334,0.0007219797853367389,0.0019867725397855482,0.002936199767504287,0.0026096036276201736,0.0016685167817290696,0.0012625356214129478,0.0011564503687274547,0.0010934983778370236,0.0010453003297175897,0.00097318217662055,0.0008628028659643938,0.0007739764231994518,0.0010657796831161383,0.001843692326122032,-0.1,52,-37,13,4372
800_4638,0.152779664838866,0.21664419810008856,0.18167567464605405,0.10447941263452787,0.035549377372604656,0.01107019155242087,0.004861011252854173,0.0025110880284086065,0.0017613069703130851,0.001807137781346128,0.002095335133607962,0.002417224325331925,0.003020842256349095,0.004040570920331131,0.0054455261311044155,0.007354785419316962,0.009740630090247886,0.01243377516620757,0.01771998073619532,0.025382974918957912,0.034869182074443984,0.0408789088864759,0.036287982869571404,0.026478840533881328,0.020513210394086618,0.01427988978144126,0.008521502990756323,0.005054821907799308,0.00336279791128212,0.0022369564686019576,0.0015840394489600562,0.003141158457565569,0.0220859091258421,0.12661585951956314,0.20294552007538166,0.20164648496121804,0.108504183623608,0.033939821309934316,0.00932542771569989,0.004301792780213157,0.003012804660660417,0.0026747026474959372,0.002956981907041793,0.004036965012676279,0.0049532509211855395,0.005953133330059573,0.00682796506354435,0.00685672974674527,0.007570231520191211,0.008445971612092859,0.014225168068327932,0.022465052423841583,0.03195962748716792,0.03709818352539517,0.0289480890230886,0.02171675777042821,0.01656011714190144,0.013287852286167473,0.012104894367274962,0.011148558110385476,0.008140570501935741,0.005180505681479111,0.0034149597052206275,0.011095928374232216,0.01382535273484148,0.055078532815080905,0.10146176339564417,0.1462303180751874,0.17667152812751105,0.131777812668528,0.060047748823593275,0.019454559948242287,0.009220526081557594,0.008357227747365815,0.007745654798697866,0.007213659552550352,0.00722012816551898,0.005948013491709936,0.005335862496776704,0.006507287016376216,0.010698370173781628,0.016912505155622166,0.024493113982575813,0.030348970383992282,0.028349012884155787,0.02411135571337625,0.018906186724578458,0.014213469512959138,0.011780390204350916,0.01107916503253905,0.010490053310179184,0.00905597557804076,0.00685807852136426,0.004868966270504952,0.00326626418498009,0.012472146427817216,-0.1,52,-37,13,5596
800_4641,0.2209358062556277,0.21342566402101315,0.15833945144840778,0.09722636335790047,0.043562474910039485,0.018068790368273826,0.01143719587884943,0.01023152899953514,0.009485519005170268,0.00843655771577256,0.007836270432283916,0.007934730979470221,0.009385434423238649,0.01266147034270326,0.017633851842668358,0.020160271860113245,0.017320826027012046,0.016631519618670036,0.016102166869735236,0.015791728499266376,0.0158737560169111,0.012880549877244992,0.008537743338209475,0.006297676430180049,0.005327136750772215,0.0043818934769736095,0.003802030494858251,0.0032640896299821263,0.0024338500369619296,0.0016027846635627602,0.0012763536797544414,0.0017145127488379071,0.06731720360374961,0.14535606438796791,0.17306432675006533,0.1915515675623778,0.1184605901268817,0.04932097180477495,0.02348494624389941,0.013961634023384779,0.009190963143990332,0.008019345942302395,0.008757263288953326,0.01115855005297106,0.016423450489181285,0.0204405967727622,0.01448578435593204,0.013499499797298442,0.012475917491547864,0.0097286012227275,0.009512439445524807,0.009480151432706935,0.0096249657851663,0.011070714546660886,0.010783150292689598,0.00697052228296785,0.004782782324952727,0.004032065382427702,0.0039158505570934645,0.0040600593372749115,0.003383469946769096,0.0029101601595539817,0.002822297127231176,0.009954094318212595,0.0595289385374967,0.08608479685472364,0.08940567264876652,0.12510603020066022,0.16297516228786527,0.13765475399562094,0.07026766184579751,0.035046834959973884,0.023546824720297174,0.023276491750233802,0.024000370830442184,0.020749658842599432,0.01654255554584193,0.011438241867329463,0.008928915503729335,0.008283375455472931,0.0076335964012711295,0.007398854565541528,0.007458035492701313,0.007423407768809682,0.008031595017923839,0.008781348550006727,0.007894102584824711,0.006006231008427584,0.004090420529208513,0.003420272225658692,0.0033733403741203517,0.0036173584761070906,0.003530211120112729,0.0031230463412534114,0.0027558218067237896,0.01262607189045792,0.2,52,-37,26,5596
800_4644,0.010303289314467959,0.023292566941611158,0.04914775060727889,0.16135663274507675,0.3194836934800125,0.2198764951854802,0.054473235797293164,0.02464145166465213,0.015032616122888453,0.011129207323504859,0.009511255826981615,0.00918823806873972,0.009593118188550544,0.009029357923825173,0.00828078801028548,0.006563522660184328,0.0064887895358872036,0.005797831566787245,0.0041200660448136705,0.003735747856439292,0.0030900701781197268,0.0024153250304602856,0.002103565411385067,0.0021305133777522432,0.0021116305330863773,0.00190526801638084,0.0018263509381635835,0.0018246718513930036,0.001981955487574868,0.0021289994470574587,0.0022390209195493928,0.01519697394431686,0.016335449826795318,0.03451043555180517,0.1524644369421991,0.4097543160237288,0.19474574112027349,0.0520516623619653,0.023383540413361437,0.015567281392261312,0.012211777874326795,0.010151703562901012,0.009281606303589018,0.009714507904259685,0.00589642974403671,0.0046083775089134724,0.004461829017658268,0.004223673956362242,0.004102174136602572,0.003131331671055781,0.0023551256408331,0.0018829168941232844,0.0017967329485710586,0.001956879290066699,0.0020996567175912578,0.001961200874049995,0.002084132046466552,0.0022712814063546327,0.002411251180590682,0.0026051444135737154,0.002762675783869272,0.002731653967632492,0.0022692169554071988,0.0042158565687746225,0.04921521686424105,0.14904801835830894,0.4066686224816176,0.2240233165145726,0.05456390648290448,0.019998611587922814,0.013794165762528905,0.01101712140006549,0.01015561225669482,0.00917995273893735,0.005239989394777853,0.004034900561728845,0.0036944588374906045,0.0037010375545097627,0.003510557547093154,0.002486259565014129,0.001826378464176216,0.001769592300115455,0.0017235412809813529,0.0017644449357531857,0.002009591604257856,0.001995966228004789,0.002235800376071395,0.002479240431792853,0.002835041671080004,0.0029504582420479,0.0028940023901387287,0.0024411444303095308,0.0011440636630428488,0.0004103302703120503,0.0003736656214856164,0.0008149901820218142,0.1,52,-37,13,5400
800_4694,0.16328948182611533,0.12868782506844614,0.1361715423309336,0.12216878444467592,0.10490779996912684,0.0895001969761464,0.07091856946651724,0.04854545392486808,0.031345164307173566,0.019092813090226524,0.01229672314931056,0.0074559710417538795,0.005195920248553288,0.004185770636967347,0.003041404187785541,0.0030372202338654073,0.0030204293661596077,0.0034295484919158303,0.00423944636160064,0.004121937813672677,0.004018550110225165,0.004489795446492846,0.004246410442796653,0.0034852886674965576,0.0023641266469639137,0.0018755399227377856,0.0016464684456104707,0.0015942240736340654,0.0008571600333747398,0.0007120153687637891,0.0005477401253732801,0.00951067778071633,0.12995996726826786,0.13021494072328232,0.14083535722928886,0.13927031072904514,0.1243566620327542,0.103782756780813,0.07060906698047789,0.044105150249088385,0.027046647122463668,0.01701600296312021,0.009894170188711736,0.006376621034409938,0.004815373123909557,0.003997823022712925,0.004172833411030092,0.003884966370919847,0.0033573752867935252,0.003807343015296315,0.0036205239675598244,0.003102401831779068,0.0029775163124656067,0.00312885432991886,0.002569195441075725,0.0015184174348442765,0.0012479743607303776,0.00127084847722795,0.0007939603083706164,0.0004980006205464288,0.0003520577015691368,0.0004843477182807296,0.0005939838265958097,0.010338550136650138,0.12100790238791465,0.15660355098775444,0.15596420429234034,0.14210983914018427,0.12243818153030978,0.09798129178035828,0.06607982675788274,0.03880501651670862,0.02268542568097704,0.011519443604595215,0.007167993897593103,0.005719134696671048,0.005403548961839918,0.004415337582322046,0.004425274472882363,0.00436094618136031,0.0032224978248944817,0.0029946925443482602,0.0026881628676732085,0.0018506013552927788,0.0015430807421629588,0.0018149826949463781,0.0019671464927786056,0.0014406839751702153,0.0009903308824905713,0.0010191781437293868,0.0010256742827106473,0.0006753231939247228,0.0005743302535762346,0.0005193332803365837,0.0004679972667770497,0.010519065727493795,-0.1,52,-37,13,5400
800_4727,0.05856307828023639,0.1239274764437889,0.15450315106782211,0.11408343112408087,0.06724453493039992,0.055090148792411815,0.048985870126987414,0.04362275687770457,0.039551824765439836,0.033456712262222035,0.03369324328877275,0.031415052853247374,0.027537463453713027,0.025802361247426044,0.022341350523071308,0.024551441603343997,0.015858203819773764,0.008935521746761124,0.006199270935019012,0.004496401689524635,0.00399564846771496,0.003630763644259098,0.003440090954754061,0.002982608624802611,0.0025952350490260306,0.002514281045873972,0.002975947329745556,0.0026486079875203666,0.0011227310032526938,0.0008672345539982193,0.0008031264705772249,0.032564429036728286,0.2663626455272762,0.2076550281547068,0.09849679894493894,0.07157732200083723,0.05388068332335424,0.043228969740984634,0.04150424484146008,0.05151190478025544,0.03782809080237005,0.02930906515275065,0.02546285540761731,0.008515667476078244,0.006075596560261378,0.0039818579353860985,0.003114953693539469,0.002961055756911397,0.0028798264936330128,0.0028181131733110427,0.0027319842797840816,0.0031418741338940124,0.0028523830590384525,0.0017353499404006774,0.0011027746440941616,0.0004508210348943959,0.00029397781491465063,0.00027644374486777496,0.00027085596430338597,0.000268571305254892,0.0002638093050694768,0.00026309362874103287,0.00026835109715383235,0.02891503028191702,0.5605280502180171,0.13596856551378186,0.08052214753986812,0.07412683634288075,0.05338860079552379,0.027836753789065742,0.008535871569350468,0.005310263305028518,0.004332814596449937,0.003648985864621785,0.0033493376911048482,0.003166234655073738,0.003038844268610723,0.002813874167365644,0.002912692552716168,0.0023941024747206607,0.001186205988383142,0.0007505242604365978,0.0004388747454119092,0.00044159982066252246,0.0004397555778161478,0.00044476531211525515,0.0004718233825329613,0.00046097813355577285,0.0004612809196947299,0.0004675843765875628,0.0004837146199901831,0.0005185074999576099,0.0005172413033765168,0.0004987988749127701,0.00048283378758594454,0.020061536052800616,0.35,52,-37,37,3773
