,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_5148,0.029728203747105088,0.03973473511938252,0.05030857761201489,0.06471010484327899,0.07493577080212342,0.08136681076350773,0.08606979517783896,0.08845533706263092,0.08708035767961439,0.08068686319946075,0.06972572970908969,0.05620624602662008,0.04278717723823368,0.031486152543877016,0.022404715404151232,0.015779809735796527,0.011317182463771914,0.008388387193665758,0.00655884323803681,0.00535452513334151,0.0046102492777724815,0.0041641902430635,0.0036736766979531,0.003175153083166654,0.003081537114203665,0.0031811812799331625,0.0030736922006034144,0.002990728798529186,0.002780650270118267,0.0023384173511651982,0.00195431937089188,0.011890879619057602,0.010240227219526995,0.034339966955572364,0.04705918687277851,0.05951410201668781,0.07190009202496543,0.08062553524331564,0.08533939243263669,0.08623971325381913,0.0845948137909287,0.08066269536036946,0.0738140307353255,0.0636367279806763,0.05158831699132314,0.0407500045693181,0.030796157985219192,0.022273498901932302,0.015648373025476534,0.011029205319611138,0.00790863631949465,0.005615031316895092,0.004099283905276164,0.0035781063820932053,0.0034421003536762307,0.002904682483040123,0.0026873921393195,0.0029987388682052307,0.002513042375305511,0.0016453674051051725,0.0012884100732874582,0.001446547015860929,0.0015482281065252285,0.00827239257643258,0.10972410897746587,0.1093745561430463,0.09892548906567684,0.10162543306675674,0.10288265616773162,0.09874392748635316,0.08845440117820143,0.07374108680184949,0.05808272183378736,0.041177263337399114,0.027727117680750663,0.017214988508440245,0.010997220092932223,0.00782096596926027,0.00601121321671406,0.0049701794189545,0.004233693424960456,0.0036893940511662326,0.003316939574236445,0.0031809335458194703,0.0030874827329322755,0.002868788562567397,0.0025920970835859305,0.002324186402634217,0.0021484328119759735,0.001424085789552843,0.0010854883081609784,0.0012569203148359266,0.0015085631223218565,0.001563890407713097,0.0015000300584057946,0.006745744863811199,0.0,52,-57,14,5470
800_5150,0.03314203488580779,0.04035822683152032,0.05033315834129569,0.06428859901183817,0.0736377266244146,0.07966944672053984,0.08450037204158674,0.08718547952185775,0.08611152461298976,0.08010317410158949,0.06960238564648362,0.056406222508394874,0.04325368810032857,0.032106809076713684,0.02287929138794744,0.01616189831714767,0.011669708107555802,0.008686438858450012,0.006773573662582614,0.005535894030576776,0.004698993142499525,0.00420685556264381,0.003718654202594536,0.003245894935632071,0.003093373299635622,0.00319615543080522,0.0030710772294033307,0.002935704299276903,0.00284418030727398,0.002498260906521881,0.0021016385905007953,0.011983559703591088,0.010345789477972472,0.03400178236436998,0.046280393397368384,0.05873060159311753,0.07102316831452059,0.08009524660995132,0.08489691177956993,0.08590158371464203,0.08403548521423716,0.08022971118166089,0.07415158222823733,0.06397356379725969,0.05216584026236474,0.04117718075936122,0.031432229085130034,0.022990579057020462,0.016319374635417962,0.011515232124662449,0.008146020652436966,0.00576193764631452,0.0041929824522770505,0.003607283955483611,0.0034823433841448845,0.002893534447923977,0.0026998889490546358,0.0029482561610373035,0.0025332464685777355,0.0017091451763745775,0.0014228746449970152,0.0015444570427945814,0.0016206490457612256,0.008171124375957767,0.10543294123812884,0.1080844945090009,0.09801944283386686,0.10091146335109603,0.102439790150488,0.09834722259229416,0.08881829506520253,0.0747854787731502,0.059175477009283314,0.042875453160745966,0.029005811071578864,0.017967632271849544,0.01138588739130253,0.008202889394535623,0.006302163170239139,0.005300188784405038,0.004441790080461838,0.0036696303740961283,0.0033311705227674253,0.003221204102300756,0.003070719391239109,0.002850841602331035,0.0025442843996433514,0.0022884025862120218,0.002177445229290584,0.0014756695372260696,0.001148467825064042,0.0013369384335584814,0.0015930679811035026,0.001606335519192347,0.0014922126708181765,0.006697188977527543,0.0,52,-57,14,5470
800_5153,0.03195577384539938,0.041769402921148543,0.05351425704319095,0.06860732028982029,0.07976680622722085,0.08609360517876602,0.08917555518315919,0.08795056504297691,0.08103652613793087,0.07282122251169801,0.06339653599444547,0.052112797636022,0.04056626843499644,0.029776979841489807,0.021157704453862988,0.014795974992287209,0.010686066046134918,0.007997848126436445,0.006385319254401795,0.005479135392528647,0.0051831757047044605,0.004893959889975224,0.0043734705171080785,0.00408064879472399,0.003999612213534035,0.003880534682886021,0.003558810647237853,0.0034487065967080213,0.003501253754823383,0.0032528865428407155,0.002658076935865932,0.012123199165675549,0.01106270447698484,0.03636255083779273,0.0507855208328975,0.06556569589393367,0.07781873526119654,0.08296618220150406,0.07980476459864101,0.07953646855351244,0.07685821505038691,0.07348179176285173,0.06858042737547837,0.060261598415734835,0.0507364970043991,0.041617046441227885,0.03295634440458922,0.02443541946009818,0.017348792455846626,0.012067926932309571,0.00834976819794242,0.006164065164862098,0.005065557052725967,0.004452139861211642,0.0040308542378718745,0.003725343023664223,0.003469488736245527,0.003551378623827089,0.0031497465735068953,0.0023827892835287198,0.0016684892557164374,0.0015228766488907348,0.001591058582181333,0.00862976279843978,0.10407673459572764,0.11320686525180025,0.10350545972955362,0.10484245321513737,0.10535553809060637,0.09957493780772704,0.089319736437328,0.07312582536748878,0.05305121445868775,0.0363877096133388,0.024056634000262932,0.015930129290782375,0.01037039773326589,0.0076457904248673075,0.0059566841856891605,0.0049490119152401394,0.00427473470979545,0.003875414844536384,0.003788873060819936,0.003811884807380671,0.0037212416477819866,0.003501804275076033,0.003396765010870573,0.003228360865585195,0.002548605983626647,0.0017835755145327438,0.001446189177696707,0.0014490518830104825,0.0015887463971202065,0.0014846705433568831,0.0014414271775112918,0.007303531983795327,0.0,52,-57,14,5470
800_5156,0.03934009467627097,0.04606552534275941,0.05420810524361732,0.06554287682946137,0.07303680624263542,0.07782126765435872,0.08160738811391541,0.08494544013984097,0.08355521134582604,0.07645157326576761,0.06581166834281732,0.05419478265350322,0.041939376049153966,0.03105773768326544,0.022220291119513763,0.015909842619472255,0.011617298579503605,0.008759162583824967,0.006953813993299948,0.005807272989120179,0.005084467423404466,0.0046331233942700535,0.004375617546093409,0.004136774334481572,0.003714635404750197,0.003531972784921206,0.0036763191951658157,0.003741032850864724,0.0033242890196093114,0.00263487250721677,0.002208879935716851,0.012092480135577724,0.015437083352509791,0.0421838070413302,0.052367605934960655,0.06186922765752091,0.0713938611266419,0.08034077864263288,0.08338259572060787,0.0805304328696705,0.07706066887329864,0.07464047173860243,0.06899111548395465,0.06059733319181292,0.05166467415036558,0.042728409201263376,0.032930249744613664,0.02351404123925192,0.016351442440134777,0.010881913626014856,0.0076608196277646295,0.005618912484676269,0.004320978411017981,0.0036957800860969634,0.0036565004660704453,0.003791625662083182,0.003548873756677535,0.0031244226418850342,0.002418077631723532,0.0019495298446938329,0.0016889961351276182,0.0015618534827782954,0.0015569263265170852,0.008540991407700104,0.10246593986248884,0.10674163798272644,0.09617374110882268,0.09926994958775942,0.10117678658686033,0.09844455457296254,0.08885702416497639,0.07622616274832042,0.060436471173988836,0.04309464279933823,0.028307944073308163,0.018379559050894275,0.012669150100227716,0.008969103482172723,0.006834240994424552,0.005616325039488818,0.004812014950368398,0.0041102392583038825,0.0034802514071848177,0.0032594652598598732,0.0033433370203509727,0.003357457864831423,0.003330454846438982,0.0025414767463548408,0.0016524691163643467,0.0014263704486013372,0.0015476500602599466,0.001597004200909944,0.0015343274701458372,0.0016335587456858482,0.0016562401800949936,0.007054449095484214,0.0,52,-57,14,5470
800_5157,0.03645627691080625,0.043369490035473315,0.052149214550734735,0.0647276664393385,0.07361322847317171,0.07857831557978921,0.0832189260494953,0.08652992000500312,0.08369396997550625,0.07466009778560935,0.06499103532820588,0.05402500220758622,0.042326226630690536,0.03204625184892227,0.023630366168636684,0.01727604120445904,0.01262709035292532,0.009358513982884105,0.0072276152409550065,0.00592948848520829,0.005228896411686972,0.004785589978241239,0.0042642748249951175,0.0039836471262072095,0.0037459875331385672,0.0036005125563760266,0.003676621981304773,0.003739629024220469,0.0034596619497357394,0.002810873831988706,0.002237176676703018,0.012032390850001068,0.01337998185044831,0.03882023840169437,0.049972127159608366,0.0606443751474018,0.07212503460019787,0.0829882580636353,0.08379430229155156,0.08024708009563197,0.07798876344122722,0.07437558891904028,0.06813255162393565,0.05983978979815505,0.05083517775968646,0.042888940906935874,0.03412336476216754,0.025073885323108044,0.017717365764995236,0.011925810129088192,0.008263831986503888,0.0060645586291957635,0.004506283528059687,0.0038164541254776595,0.0034635981695421807,0.003341960719719349,0.003689036213002011,0.003442210457726761,0.002794138016308172,0.002132357620598618,0.001805541272613445,0.0016303932542331154,0.0015451176670977606,0.00863188230141248,0.09611544101406712,0.10377229689601268,0.09476614340083664,0.09781643849070247,0.0999875527370876,0.09662797536928347,0.0890663319650336,0.07851907960060417,0.06407210692248387,0.04413666753355256,0.030130799207867417,0.020796976058314633,0.014157811915416306,0.009827529712128556,0.007017619290581986,0.005713464338068762,0.004861286512980497,0.0040766024708670185,0.0036145232968059476,0.0033877089527144947,0.003239563952726605,0.003246060091707866,0.003268246057889627,0.0029402460913612576,0.00211468592048858,0.0015250512038886988,0.0014448954551029814,0.0016227410227212919,0.001647679590166299,0.0016519185961116974,0.0016584147350929574,0.007176141597332311,0.0,52,-57,14,5470
800_5167,0.02516309713004984,0.03316303723344635,0.042340237371120464,0.05531043947150937,0.06609948033090231,0.07299504928147198,0.07866964688970371,0.08289761490403663,0.08464491113391978,0.08131374061115235,0.0731683255309933,0.062230313891233485,0.05049993845183575,0.03883658885319805,0.02904698998647702,0.021464647020727527,0.015831365957457117,0.01152420560478063,0.008576472437983342,0.006881998626341866,0.0058592145749576255,0.005241255591358946,0.004848459391093771,0.004579640351725187,0.004274486975681759,0.0039172268577250865,0.003658124500815761,0.0035425152477594367,0.0035894195732851463,0.003700266826156054,0.003418648190913377,0.012712641200187,0.006625511240632623,0.02545872650572244,0.040206475923877584,0.05107916833566056,0.06271534975983004,0.07388829591740786,0.07858420614649256,0.07850080232821621,0.0777109158697152,0.07565128197449153,0.07207931389321537,0.06659618722885502,0.05796191016434351,0.04841242070581541,0.03966080024945174,0.03152389070719611,0.02377542825520974,0.017420194932615218,0.012820735851794662,0.009684036608275551,0.0071775729499891985,0.005167678559592386,0.0041771549950133866,0.0037946810494853852,0.003935889494289893,0.003884636058768257,0.003659335645371589,0.003538881814091953,0.00310914570487402,0.0022263589537384622,0.0015004429485952814,0.00747256922737125,0.07791039688326262,0.09007031574978988,0.08597108689653897,0.0926600455962894,0.09689236272061824,0.0939766423065125,0.08957201234310448,0.08176643341490575,0.07022251918508028,0.05491612934054941,0.03953605236020144,0.02649780595658509,0.018132623191568498,0.01252975837225695,0.00881754525661841,0.006759728078228488,0.005489264965177392,0.004707746414516646,0.0041679337807815145,0.0036460956332953773,0.0032729805320624093,0.0031992108182074225,0.003394865715998933,0.0035976223250496187,0.003557984866858879,0.0033916726985335683,0.0028768536842687076,0.002199383461358653,0.0016965382625889118,0.0012308531808729885,0.0011462106920281806,0.0061933253162904005,-0.2,52,-57,14,5470
800_5169,0.02373356118999577,0.03408595691100003,0.044500781628654715,0.058043882629962976,0.06963420571708676,0.07782823173555474,0.08354651312583418,0.08665285117741968,0.08523096746887744,0.07954023961724309,0.07034710191825479,0.05945241622237848,0.04717386024140533,0.03570517460410437,0.02647925342407081,0.019356099401055985,0.014079858247641188,0.010327842517736113,0.007998701432828052,0.0066295025124643294,0.005821916827840646,0.005386207573881471,0.005120966916155104,0.0046457853600809845,0.0040677115687867355,0.003775825730832151,0.0036936605831242642,0.003877451769471185,0.0040537283543694465,0.0038024158590351047,0.003095107438431466,0.012312220294422636,0.006750782124122939,0.027644154278676437,0.042481886232127085,0.05432690751413901,0.06743870342350929,0.07831114810117858,0.08091136535849107,0.07985370584910152,0.07800825185817101,0.07485677114586826,0.07143837068906858,0.06468670773254141,0.05523281611588583,0.04591875664340315,0.037518285530191736,0.02952415341546068,0.021661430485036968,0.015627095417711647,0.011291418115947931,0.008177482884875865,0.006027646246255637,0.004947470458532723,0.004429816264966718,0.004250732026779947,0.003875249688460589,0.0036048616663719546,0.003806379604854179,0.0038755524745995463,0.0027596479224797016,0.0016791968746304633,0.0013209458202190234,0.007762308036340502,0.08106630928359919,0.09307827583222696,0.08858545252434456,0.0936404671142323,0.09747459293981997,0.09504707388576353,0.0908207023801633,0.0819718600471818,0.06842705243309033,0.05167496887909012,0.036596219159029664,0.024746738662971283,0.01644525109118619,0.011151861231901372,0.00835403472990045,0.006550145018044953,0.00530748317775264,0.004637197244139656,0.0041428851092859785,0.0036199734473071742,0.003395140976125258,0.0036021090651087093,0.00393652259258044,0.0039100425684280155,0.003566352774699146,0.0031349651047232656,0.002637019536202102,0.0018093949143819892,0.0012509196440820506,0.0012454144415555589,0.0013133486407324651,0.0068602255503495925,-0.2,52,-57,14,5470
800_5178,0.02211723372821784,0.032720061112152206,0.042958609244908616,0.056154331966795264,0.06623551388533191,0.07322458870081404,0.07832752607869489,0.08313761420817901,0.0851104310595599,0.08115920957623374,0.0719439134370763,0.06118336200075795,0.049770361487012464,0.03920739176936989,0.030111806259151018,0.0226311168580532,0.016985861979287666,0.012651230666003987,0.009612166189292205,0.0075786820060693766,0.006396302133442146,0.005634739941939932,0.005054794381786676,0.004275257704035467,0.0036681990214392406,0.0033745239926635468,0.0032208187381239017,0.003312535412215252,0.003570701884695074,0.0035597465316673563,0.0029128026567666982,0.012198565388263216,0.006390384040726167,0.02593539446647871,0.039471476334565686,0.050330653474146135,0.062293761350351314,0.07459945797978006,0.08162316051915383,0.08162117864624427,0.08020314857947057,0.07827773152184278,0.07502278052805463,0.06763867990528409,0.05694647555833213,0.046726590062140534,0.03776665274217441,0.029498058755485113,0.02218263553423256,0.016357222902787592,0.012052209579096435,0.008879423733016175,0.006531840219644368,0.005062391561273235,0.0044110435243513825,0.0038080036395994944,0.0034723789675719353,0.003317847932653316,0.0033341433321317318,0.003014236013317305,0.0022263314277258294,0.0017413230851419208,0.001464466450084659,0.007798917633141672,0.07457242743537497,0.08867204936008627,0.08387853189020689,0.08998033321449436,0.09433668255174504,0.0931103436369438,0.0898512086892355,0.08383517842031077,0.07227670292980272,0.05752969671398865,0.04116914316367253,0.028230540925785686,0.019198678134810958,0.013424849251039216,0.010132765666209879,0.007658424864665606,0.005997780522549421,0.00480433519284394,0.004037653162992091,0.003648435344369136,0.0033369785114328748,0.003349915737370129,0.0034714155571297987,0.0035074471076656857,0.003224176911665061,0.002623807050138522,0.0020364294665745023,0.0016506799255432366,0.00148015627728516,0.0012238890996769767,0.0009811647202839628,0.006768178564106653,0.0,52,-57,14,5470
800_5185,0.026302646527020964,0.03579796479268839,0.04669823826912909,0.06142627906223939,0.07385752183528478,0.08196748341117323,0.08696452821845702,0.08954553231895206,0.08764954056882836,0.08035525732527754,0.0693436961797638,0.05656042323116193,0.04376858969263133,0.032516974190949934,0.02333669113986099,0.01646234474503095,0.01157303675119061,0.008436888027924149,0.006630658604994892,0.005615802045248801,0.00503445265845129,0.004485336232446386,0.004037377902865767,0.003822675004332594,0.0037659163662844657,0.003854660231011511,0.00383024465780652,0.003830354761857049,0.003910290302541708,0.003586969758160857,0.0028586314639060203,0.012172993722527664,0.007396597432505665,0.02766245907707702,0.042319262549494516,0.05561851060489184,0.07088396926863824,0.08220489527012817,0.08362611835436724,0.08212242733628132,0.07916170189152152,0.074088547659309,0.07070221500722614,0.06343680655092676,0.05426359768508436,0.04524277282517525,0.036124726088648286,0.02736732516963181,0.02000838332240734,0.014342401356129568,0.010450085539836857,0.0076293849213383644,0.005435286454405142,0.0041972765102477145,0.003673043599662553,0.003474966412759386,0.0036033477356771696,0.003742464203521612,0.003915547770954508,0.0037170026418365883,0.002620751662736319,0.0016431377980819437,0.001314614837313558,0.008010372462184213,0.0895223278903029,0.10104788226970253,0.09529345922483666,0.09880558575464986,0.1004581374490521,0.09510586944874644,0.08829640186569111,0.07864594699282716,0.06462144355658984,0.047147407743265535,0.03260538774352539,0.021414522151723826,0.013813544075422157,0.009206763075241363,0.007364749835889912,0.005803089035200045,0.00481328114694949,0.004133801525117266,0.0037190946187966546,0.003465194678274864,0.003085005391795355,0.003018447493250071,0.003283165156736419,0.003302570995642302,0.0032016331073190787,0.0030872074728059513,0.002973029572406516,0.002099051145313344,0.001302585969793174,0.0011796547973766168,0.0010926450714454177,0.007091113744310648,0.0,52,-57,14,5470
800_5191,0.022657156466003504,0.032655732820630154,0.0434163668349864,0.05860530318361457,0.0721046928768625,0.08070695718868245,0.0865466007686584,0.08945838496295769,0.08811360161579898,0.08177017695262377,0.07117467148804964,0.058928320941856474,0.04622335949919393,0.03445876922609405,0.024828380816439156,0.01759038826872171,0.012493561665645268,0.009065279370310531,0.006942418224070111,0.005788637878568004,0.005099579204339685,0.004683193211248494,0.004305646421981701,0.003993061022527509,0.003748217140161796,0.0036710892527656493,0.003790497095565251,0.003840924750707914,0.003984665588674609,0.003812820691810174,0.003147874804647889,0.012393669765802078,0.006902973447967799,0.0255594441859446,0.0394607962416643,0.053461572255012434,0.06911211983548693,0.08125524783430838,0.0827009415437777,0.08093803806473192,0.07903615574790489,0.0754175310752167,0.07143283796052946,0.06466141132693218,0.055518260866884425,0.04650164748690808,0.03746386660321737,0.028772610692556683,0.021149309020010092,0.0151086429697793,0.01097613516725576,0.008078058927247427,0.005929681167296719,0.004477271110745076,0.0037356652784013952,0.003354457529454485,0.003448596492657491,0.003552039248130268,0.003886149989463042,0.0038763782549785203,0.003027696233494577,0.0020071142631209347,0.0014175070725336858,0.007779842106387378,0.08520542332915451,0.09792095476066792,0.09356141240595188,0.09724667755522323,0.09973200123580786,0.09508084830326356,0.08889968948455669,0.0801321039408662,0.06602381132217568,0.048767175956622534,0.03404117208844702,0.022909735157918932,0.015226509355871488,0.0101510979906231,0.007653470182391764,0.005988999724519666,0.004974308320849369,0.004301187207935243,0.003733545775428696,0.003399958028335938,0.003101906363551684,0.002974130612911814,0.0031501044116711173,0.003287486740719715,0.0031602615103324947,0.003051946650623773,0.003023099389384957,0.002478166917300187,0.0016552217176275927,0.0012006571450151825,0.001107949534469064,0.006858986879781131,0.0,52,-57,14,5470
