,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
CAR_2802,0.14975937310276954,0.10834029374439433,0.07370271554023984,0.051800955438908884,0.0445547050874017,0.05001030573912959,0.04462641035030925,0.04529518235322744,0.038350644626184635,0.035050991387881376,0.02978606342565852,0.022712924167596862,0.022681406883132697,0.022139364642374336,0.020980959926749976,0.016205994989384867,0.01284848207252818,0.013691163423258249,0.01163981485783695,0.010159493424475998,0.010697847179541609,0.009643077901478456,0.008890434138069158,0.012327579809471549,0.019946147007845357,0.02437087096047507,0.015948571719246126,0.006767793199929798,0.004984878309700233,0.0045260472051297925,0.004722637987350806,0.0528368693983188,0.09838980533383658,0.09288143731589228,0.06431505150997796,0.06713781657942389,0.061374667788553536,0.04101541038312025,0.03884074528110555,0.03975582004505898,0.03393979378392168,0.03927444513614256,0.038363554326109266,0.027852113304114655,0.02067142991469799,0.02087393878963498,0.017589122072140615,0.022046023933537672,0.01879335759879801,0.016351359862096883,0.015325603001348338,0.012542585494143676,0.017300649459752456,0.01703392239734394,0.014916951817806862,0.01343495129767533,0.008794891348221897,0.007388394680741194,0.006549897283931261,0.006509131259222591,0.012235532823228607,0.01820408072036236,0.01204461239960988,0.0782529030584483,0.14800092883777027,0.08306921206678736,0.05424072356858679,0.05489884300461622,0.05207004973840379,0.043227593440353006,0.047738308656446515,0.03983261762030354,0.04113721298901888,0.042089172609899805,0.03149608943443733,0.021185092836432284,0.021525837346809483,0.016567549165312202,0.0189406492923943,0.021228418780315773,0.016688195678680268,0.017035133541899766,0.018288723209207162,0.01971922255970337,0.017258672290487956,0.01496115859409459,0.010051040934704112,0.007498361101207863,0.00658584625642925,0.005851920181610025,0.009346347485300558,0.016315768727763108,0.012065834955349505,0.006218979560063852,0.0056294549475145,0.07923704058809658,0.95,37,-23,27,6790
CAR_2804,0.2024308111651673,0.13459025548323678,0.07196147503313581,0.046581583027592736,0.04140677523072854,0.04645840412106249,0.04979893348812495,0.0438671878698808,0.036329684778709584,0.030149159058293268,0.015466371029950726,0.011228356021006972,0.011064356037742787,0.012652441810559816,0.015129535213367337,0.0161767623639692,0.01566720081811714,0.0146003200944957,0.013395671677648812,0.01299081908385062,0.013375908000578706,0.013048458554302988,0.012990213511572708,0.013336710958590087,0.014079087519287475,0.011623959874560658,0.006653284987378772,0.005027185791116321,0.004313326179506157,0.003772302401215197,0.00346414868979483,0.056369310125454763,0.11006499111790624,0.14720644553515966,0.0842265983199443,0.06762667856377634,0.06094449126313349,0.03573415949540635,0.031719765813088684,0.037133086509413125,0.0349977560794502,0.03245974761068705,0.02614995973494872,0.026921458817011253,0.02011763406654557,0.010254458168057978,0.010451544418506377,0.010845386607251584,0.015103357975353868,0.015612396526965912,0.01756589011747882,0.015522303887619878,0.015176797377057266,0.01474210658556549,0.013588298714050751,0.01141366113804868,0.011633428822906224,0.009753842576311466,0.009208800000176166,0.009899372605099271,0.009015099449281559,0.006663965080280165,0.005537105175132604,0.07270941184838496,0.2351847843248827,0.10568331784903368,0.056391358461573365,0.04061039263324627,0.05075675614969659,0.04392193710900676,0.0345483663972127,0.03250464253729059,0.034458879330144576,0.02911063012768326,0.027285930750277628,0.023016315878831812,0.00943291679502964,0.008606723525866415,0.009795296751335949,0.013125503863661236,0.015095375431690457,0.019773889220791437,0.02044156018320433,0.016938049295345085,0.01522353654650718,0.012012517068880431,0.011117205981997108,0.01093481862229444,0.010343504818923979,0.010589146955656034,0.009765954021869748,0.008066332845866,0.006729256782244356,0.00563303332915672,0.00517835865249378,0.06772370775830576,0.95,37,-23,27,6790
CAR_2805,0.17494504156317806,0.13155914602417576,0.0758449549993735,0.04861762712999038,0.04785419316962916,0.06459702798338486,0.06937890194992072,0.05305027857425824,0.03503188833511445,0.019267245432278413,0.012836618361083593,0.01272665194061692,0.012921205797903134,0.012375227337338332,0.011096010952270115,0.009981537752807156,0.009185402889438577,0.009818033237770358,0.01139150269787955,0.010479620951391485,0.008965167262366281,0.007582976064040039,0.005998083308688377,0.004676339234103012,0.0041169005533609375,0.0038944628452780455,0.003934072777456153,0.003274384358706665,0.0023921481278237557,0.0025685623427851786,0.0035204393856282062,0.1161183466599606,0.10033088469265224,0.1501952750388172,0.07127032438194743,0.06374501531437239,0.06364980283667672,0.04450870912029286,0.05184199672374387,0.058741887258296835,0.041075747402810614,0.0288034948787303,0.029059459270199525,0.018099096508182158,0.010584880423698005,0.010516285600217916,0.011155357035505692,0.012331460977252724,0.011587763167948977,0.011109884062636874,0.0114968722742366,0.008965249840404178,0.010016220528724057,0.0092853223152944,0.007835417125892311,0.0069990942840803426,0.006058447854391357,0.005300849408708217,0.003950781067124053,0.003429961382105317,0.003326380996569378,0.003164968458492645,0.0034397331165898397,0.128123376653405,0.2249549068861055,0.11426694705030148,0.05546684227528699,0.054660192475092816,0.043351653179287485,0.051929556969927716,0.059924239604911424,0.03733253999694792,0.024468257993168704,0.02812577692170655,0.020722022725916445,0.011955648326781776,0.00991448438603449,0.011505818228342148,0.013506161092355496,0.01210139856367064,0.010758046569168796,0.010352505825054792,0.010282369544867291,0.01039894220836575,0.009345989647136337,0.007422444358367543,0.0061668177661253435,0.005906036322445438,0.005795464329700854,0.005192451970961597,0.0051525117266319025,0.003901234244385629,0.0034388247581729685,0.003166840227351652,0.0026986778044988074,0.1258343960209277,0.95,37,-23,27,6790
CAR_2810,0.11405411592062732,0.10748770302911656,0.061262113922899424,0.05321681095068462,0.04902850792055508,0.04185214611512171,0.037169365794062714,0.03725648562404443,0.04218446766563338,0.04344620503267999,0.038599424728356785,0.04012876999021616,0.03942066331524617,0.03524257243580328,0.03300594627935292,0.026976455790250903,0.021744916881351214,0.020426200668155425,0.016929268497315332,0.008650214625825698,0.005760671449733428,0.0057944733932460855,0.005231896747063911,0.004281698790991463,0.004483547041625277,0.00455558261668442,0.00412769075031286,0.0036155692852859814,0.0034280620872336773,0.0034330442955201523,0.0036848247330692452,0.0835205836219344,0.06235197886706896,0.11397197829893205,0.06274400433898042,0.045246598940931165,0.038929571723870494,0.04153185343213043,0.046589758253344576,0.04472195314015651,0.0400412097440323,0.03846168456114397,0.035290412645758495,0.03330074987464654,0.0335230774786789,0.032347441479146616,0.03493353789197868,0.03226921255124518,0.030567196612142408,0.025800737212680728,0.018378568114439508,0.017621575241034283,0.01652818696724779,0.014294478568136459,0.008130853819476482,0.005940939306463394,0.005071254937340886,0.0049297161803847885,0.003976352732859607,0.0044047125414459175,0.004927761833487883,0.0053734079780073775,0.0047247024382982405,0.09307453229450896,0.13009030293808255,0.10748572115620704,0.04895399500435902,0.03397505460610386,0.031469939722436495,0.042015265265981656,0.04979318055148477,0.0498842916532982,0.042976638783182884,0.04011935609389585,0.03894658279967735,0.03734624795123888,0.035730828847877816,0.03847797996062239,0.029629110101628237,0.028350939705040056,0.023127658599930104,0.017026407795895274,0.016195425000534006,0.014833575525543147,0.01103300390935442,0.006330322281162144,0.005271699361330443,0.005223060897008892,0.0037734584937457604,0.003901564556537219,0.004688285523585499,0.004924733972098312,0.00404973708253774,0.004113101963617658,0.0043379069087869405,0.08592462298721537,0.5,37,-23,27,6790
CAR_2812,0.04811219448603319,0.08908862803526589,0.06714029392056081,0.06206331357259238,0.05230492920419655,0.04587061364730898,0.04264217020368589,0.04051812543890227,0.0360344958192391,0.039469989929883535,0.04181476578996683,0.04199027164651139,0.0379398188876452,0.03160434924212078,0.02446239495247799,0.022829882195272176,0.018597427440880183,0.01768488507008894,0.018700925248378217,0.016222372966901183,0.01044463538933563,0.007941640008640966,0.006932563911547691,0.006355095692531356,0.006031912778213668,0.006058200120277665,0.005961638867963003,0.00543146033864923,0.0038541647627841264,0.0031589402617261363,0.002900746263233681,0.13983715390718535,0.014472792077969525,0.06768302431163498,0.05909009131809743,0.060648889413473524,0.05458994609085478,0.045566341103669784,0.04370420634908402,0.04996406203790706,0.04582896679019608,0.028959264584217374,0.031146784334131438,0.0393915132678684,0.037451892787722256,0.03504245832396531,0.032678524359089835,0.0261077073055579,0.02369645612496721,0.02068549570715317,0.01874141601296057,0.01494175275518871,0.015290562387267215,0.015480078984241688,0.013817149983077008,0.008806204539413836,0.007303642087845856,0.006999562226295094,0.006246698254784737,0.005819824850880579,0.0058015200524799936,0.00587190406678119,0.005491797358339578,0.15267947015288388,0.08350326975998859,0.0817615613106698,0.04936176535549625,0.05238786508025815,0.044692445254614514,0.04384566252800221,0.04854958282676295,0.038450178687863615,0.036532991908012916,0.04014459744747981,0.04358069713040217,0.03751421168032214,0.03562419307493968,0.029264665694374494,0.025820803675889792,0.020845724626686712,0.019180896330650392,0.01780030164105683,0.017409239579587503,0.016458270895161345,0.013500793519892168,0.009189834577472402,0.007439262752085976,0.006465832841351734,0.0056607520238776046,0.005739118581842213,0.006054291426483856,0.005879253512154056,0.00537109579294625,0.004914576873436935,0.0043280250702518895,0.14272823853998504,0.25,53,-23,27,6790
CAR_2814,0.07920004562711852,0.1052416629763459,0.07876450152923516,0.0635432771677891,0.052846503502740165,0.04418128720002977,0.03878938174153338,0.04292392646899173,0.041658638246315535,0.04239372041366532,0.038017222035167685,0.033509341998375304,0.029099729826680812,0.0298138646984173,0.027237870332221355,0.02267934243218526,0.019801497811461788,0.015622140735437802,0.00995973715080225,0.008191383521255256,0.007183601146755706,0.007070304078760511,0.006705584411380442,0.005940443838236009,0.005006733963730405,0.004631802145663696,0.0041730811451437845,0.003618294360536594,0.00349214264464204,0.0027917157271965154,0.002336930946483045,0.12357429017570185,0.024377394625468958,0.0932623422787002,0.07098449426677199,0.06657124866141001,0.055169616390881714,0.050732368102504234,0.05027463803843909,0.03833393633651674,0.032745687829913016,0.03807023713549778,0.038078109575110666,0.034292236849667666,0.033885705169098904,0.03073829830666577,0.028432664436545824,0.024962542602009752,0.02373207478531362,0.021566575845505517,0.019127330710067628,0.01584386276719225,0.013561956319961491,0.0098575881179232,0.00784480349619998,0.0064585935000293975,0.005773085681430665,0.006138080608937058,0.007002012041419382,0.006619125205701892,0.005322127016473107,0.004369754505402695,0.004060334597401236,0.13181117419583854,0.091914448492114,0.08736924318219204,0.06532927497143351,0.053727638693117766,0.0466655098401091,0.04294115775289965,0.04051443695320952,0.044282362718416166,0.04337846351559151,0.04134759430356876,0.035856430043519724,0.036086795243240766,0.033180296043366905,0.028360078341234038,0.024313892114325882,0.022862995988469026,0.021561593637219045,0.02041051084095492,0.016089147065760083,0.011855673848900688,0.009030844328507323,0.00801326269351062,0.0063355522235623105,0.005880684864810944,0.006724219521932617,0.007106528311384825,0.0066581846176273505,0.004705269073379726,0.003669575322070864,0.003319416915373366,0.003240362207092947,0.127268556331104,0.2,37,-23,27,6790
CAR_2815,0.17544796933998566,0.11969312239452527,0.05956417183366625,0.04572778116775916,0.03584806213567946,0.02857505649989353,0.02597233437543147,0.025335299865078497,0.026672128194586447,0.033013350776751035,0.04062773402120472,0.03863215315737679,0.034378007905030414,0.03248460360009416,0.027730641010367617,0.021472244200214086,0.017527849168020762,0.018903902065529967,0.017188013016060436,0.013056523676004298,0.00785870413257937,0.005516295509582466,0.005694609019415528,0.006066347820016873,0.005787068895847954,0.005112131066100086,0.0038472006815881135,0.0029520547507805826,0.002325287443139516,0.0020481004959306643,0.0018950558656941985,0.1130461959160646,0.07941590461818228,0.11587983376050034,0.07633489049821862,0.06119951977017321,0.04409771822567763,0.039573487737381584,0.03201123876085378,0.02664774014739409,0.02533565770324272,0.024810709116329117,0.027204701486999244,0.03335786635085889,0.03699171290853282,0.036910538697279706,0.03041288578532485,0.027663725273658117,0.023878981114733046,0.01854680710364909,0.017071192618448285,0.015086099165433318,0.017114876400496,0.015079465396388898,0.011113792756430685,0.008594529502270236,0.005798547243115689,0.00532485209172372,0.00549606389029761,0.005096441238899585,0.004958012921370954,0.004687872633396012,0.003939577979982643,0.12036475710275725,0.2743815785793891,0.05443830528726257,0.026766790152029468,0.02429506432168528,0.024793808144572785,0.03040135238603185,0.03170347041361027,0.02960282275956424,0.029366869779278812,0.03353772131739937,0.03733408145365533,0.03956165155194962,0.036926779044732856,0.0297372873312738,0.02439842449912016,0.018335682586758138,0.016236466285369,0.01631422727105569,0.01657547665695035,0.016756212455895068,0.014584520163244668,0.01150683669080955,0.0078114144428768064,0.0056365016067484106,0.005195644988426964,0.0051253986041889295,0.005119205251346628,0.00512438014172153,0.004503393296733279,0.0035219257903103592,0.0030929053574208693,0.11731380138858825,0.5,37,-23,27,6790
CAR_2819,0.030508758887323694,0.05528420718147063,0.07370552319352837,0.08478174294271572,0.0834232241152534,0.06813409308064307,0.05882619943499005,0.0629271624270368,0.06011521508055542,0.05375307272879016,0.05543180166120587,0.055435958089113384,0.05043514221809895,0.040365190912716335,0.031597027322760554,0.022186516702013742,0.018334168656063358,0.016675396082806174,0.01570686580232051,0.012283125299070129,0.00782611333362254,0.0048232730895350715,0.003264199734032656,0.002935731825289535,0.0031270651390977503,0.003409371924656239,0.003229214171976801,0.0038741761739679225,0.005025644334408904,0.004690762864722421,0.003028246753747226,0.004855808836466639,0.0066088029509647215,0.032987421272851265,0.046137533391805916,0.06557040284209384,0.08435156641729567,0.07533886173111314,0.06933612652628987,0.07321096332456098,0.06612224434334935,0.0565797464920299,0.044419552365376334,0.04794728614435213,0.04543831761891623,0.04146047848137447,0.04691137218494221,0.038830120240229415,0.032024038356727874,0.01916677548616994,0.016050968486238864,0.014984665808882709,0.014136203995499828,0.015508017887063632,0.012916774109869307,0.007973625235319881,0.004790627238552977,0.002164783263479653,0.0013820260422504475,0.0012077588562743565,0.0013567846886664836,0.0016962079504373225,0.0014257648763234233,0.011964181390697838,0.01681754041204019,0.057962405632570886,0.06837362444257072,0.07362214690126463,0.07245889760741696,0.07146347441258938,0.07053273734744807,0.0727688129836458,0.07479626897010212,0.05231753611798221,0.04302954377946247,0.03955036588677032,0.04211094568589208,0.04775182392864905,0.04532383693237784,0.03415876321441288,0.019906454497629348,0.0164198996335517,0.015269642617666546,0.01388940576623721,0.014935614454371669,0.010851745116169684,0.0048501109518517185,0.002468918177055681,0.0015125819201661954,0.0013213311843958775,0.001609803796784037,0.0018312505684121609,0.0020555600453540605,0.0030270631352040307,0.0036359385346340003,0.0033759553453204345,0.25,52,-47,27,6790
CAR_2821,0.14394425520004914,0.11352536874397046,0.08088827103389244,0.0569193899619018,0.04983945177871993,0.0538324852752348,0.050783263699861636,0.04158621730707954,0.031347861856411544,0.028959347162255275,0.031041194549673325,0.02957953575287718,0.028039950814318548,0.023809560510873986,0.01866348987119808,0.011966548627784228,0.008898389155719938,0.008760896722620811,0.008977196129886665,0.008808626828525493,0.006816569294314514,0.005779526768386661,0.00475930263617724,0.003404554872445559,0.0031538204233764987,0.003132707971687404,0.002847731162903567,0.002510620086193855,0.0024844428481803874,0.002675335745786483,0.0033003964406443376,0.12896369076704867,0.1142655432236572,0.09234831350322682,0.07353599048172504,0.06713151312253106,0.06260469518904756,0.046855411801260426,0.04190306923849176,0.045243488501503684,0.032319034634109935,0.030965993483161456,0.027733558767706657,0.022762388412297392,0.025022989725750632,0.026891703197355562,0.0244148300026491,0.022994900641003763,0.02010277001972404,0.015834614026947746,0.010540288283233421,0.008109878997850548,0.007958816240523619,0.00625245119142492,0.006649486397635494,0.007643918656008302,0.007315863637454669,0.006876273215714314,0.005088155909097215,0.003239563952726605,0.002544807393883368,0.002341637894643196,0.002285925245075101,0.13022212501257938,0.1466909658965916,0.0994694030752942,0.06845300946300273,0.06317508922281735,0.052402206132839656,0.05372857457754728,0.049461519625276285,0.036599054338330814,0.032377582462979164,0.02838234688545369,0.0218690591983236,0.024621770565619924,0.02741629394610495,0.028120134089116896,0.024612136461198558,0.020892601426199787,0.015814987979940805,0.012641734191645791,0.00936619374040856,0.008955725840033348,0.008090858523121521,0.007348041546222011,0.00588445592854159,0.0039724990910910635,0.0029039392806990464,0.003435824422796031,0.003588483688855642,0.003528064091127397,0.0034148771271827307,0.0033856720277796928,0.0024429060951180084,0.12695398905874028,0.35,37,-23,27,6790
CAR_2823,0.13597029965257768,0.10588111977581054,0.07380007504692082,0.0585251749608415,0.05061541007482891,0.05457238449479527,0.06046881423883198,0.06174836093605179,0.061738011155301975,0.04676917280368294,0.0357104595985298,0.029750967759552133,0.027442030767916296,0.022772050042731383,0.017158752864632136,0.011068484939637656,0.008135368085548204,0.008471708433904206,0.00796366081874693,0.0068625927874359826,0.005181826930085468,0.004022458804018974,0.003802278228971943,0.0030760594376898053,0.0023659433637976558,0.0021201360709898072,0.0017502690392474695,0.0014771284158955895,0.001536061608941682,0.0016678561574258904,0.0021087953537852343,0.08546628735087232,0.10239715235692033,0.07972006705777092,0.07112991419150927,0.059586743164024875,0.06707191930518178,0.056728799850434664,0.04717730099298439,0.05089713881412212,0.04767249396024231,0.05408558696139025,0.04718809118993631,0.03350078140844661,0.02891913165779925,0.025544194774946218,0.024851722875151475,0.022454344804927556,0.018217238154400676,0.015155602347330275,0.009939450479492127,0.0068709056432509855,0.005956381399550203,0.005139491922656749,0.005332614427286074,0.006788575339467303,0.007126814982694947,0.006916103355993481,0.004415117374220986,0.002464321332946061,0.0017335332235669351,0.0014698340225479884,0.0013390304105185481,0.08220960221828832,0.11747631496717027,0.09501029913288657,0.06392836608451719,0.05908948574581953,0.0636789528840545,0.06791248115293914,0.060062117402187414,0.05466399106483609,0.053375663569586534,0.0449223425121208,0.032705527377482266,0.029409480046833858,0.025253272347433773,0.026406887536860085,0.02540177518558588,0.02043206370884613,0.014841007548953912,0.01111310460611487,0.007496214072222531,0.006763031199744383,0.006967081531388793,0.007021995926590547,0.004810198233534655,0.003316746892148017,0.0025959507253544745,0.0029396129930707115,0.002808176282750725,0.002589151800234257,0.002625678818997529,0.0021104469145431814,0.001284198593354692,0.08098838314183669,0.5,37,-23,27,6790
