,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
CAR_3091,0.24801237415382285,0.1983093412937094,0.1033167413869455,0.05229336827889092,0.04497973424845948,0.04130688333088536,0.04094640266945068,0.0576497376550788,0.058712379372754836,0.043655072416535066,0.02541050093159037,0.013347501155542013,0.010418265469233736,0.007397918681112023,0.0042076813430227825,0.00368487978509451,0.005341587907404255,0.006650312178014467,0.00579755630666092,0.0043850039164010784,0.0023009269219597906,0.0009061288098478824,0.0006608445112800497,0.0006127840932237782,0.0005337018589307267,0.00046529971753906887,0.000424919057007253,0.00042464379688092837,0.0004114313108173486,0.0003920254719114658,0.00043460821345387817,0.016609443756538802,0.316052025485124,0.21229673966491813,0.07401351174887293,0.052959194998457436,0.040936768565029334,0.031204396278571175,0.03590787616112979,0.05728490788364821,0.050358840111081785,0.03508473827936877,0.016583018784411645,0.010573622284531329,0.007951962263378137,0.004855340894251886,0.004271018698090069,0.0030545616218238558,0.003993253704615936,0.006402110122107594,0.0046505198342537656,0.004374268771474419,0.003448018446392209,0.0012461851699092676,0.0006289143366263987,0.0006082423011394228,0.0005747706697783539,0.0005696233054160844,0.0005147914882522283,0.00048806372998611155,0.0004898529208072212,0.00045511509286505936,0.00044443499996366564,0.017723311383723846,0.5042935900284486,0.1074193559397502,0.05346226040532824,0.04267184324530368,0.03754724289548109,0.05046696228870207,0.054582624171494544,0.04002849272619611,0.025676484791657808,0.01397459877533467,0.009246070221280515,0.00626095672932835,0.005334403618107184,0.004995696032664789,0.006835699873094072,0.00557021896832945,0.004821814210865552,0.0029211980906195967,0.0010674587698867183,0.0007470284568322756,0.0005991862429833441,0.0005687975250371107,0.0005349405294991874,0.0005193883323618486,0.0005551996747966764,0.0005283893384926624,0.00047633764860468436,0.00048412751017967004,0.00047416309360672013,0.0004739979375309255,0.00044853637584590185,0.01641293555235569,1.29,41,-20,0,4892
CAR_3095,0.025278513701017736,0.031859680535299466,0.04268734039041575,0.05798428881261369,0.07361661417272551,0.08234395668594735,0.07585491941594646,0.06088354867116522,0.04706009523119538,0.03945796106236316,0.037076960969655536,0.03755316098819707,0.03760336843523867,0.034831223703023835,0.030796295615282358,0.02819706929442462,0.028369409659516436,0.0287352303674018,0.027449600421390226,0.02708920233799345,0.025964104097654362,0.021783728559162982,0.019248913107865195,0.018614466042699673,0.016396557574839373,0.011592635272184921,0.007252966698589502,0.005176184097495816,0.0037298022377106814,0.0025887939620700354,0.0017498010970327178,0.011173606781881014,0.012570111506776132,0.038478337798786615,0.06707241477340918,0.09339532044572764,0.10434770066408157,0.09774577921627496,0.07548882344793477,0.054695260615186564,0.04668285122806755,0.04188545259040698,0.03686724027940885,0.032837376977991745,0.02684031213177077,0.022884080914145486,0.02104751782529526,0.023108528021150543,0.026765826741587336,0.025166097465426782,0.022668634813271242,0.024331205976271697,0.028175103536343917,0.02434158328303413,0.016304125224419583,0.011380354662763405,0.005310455987116945,0.0025679017184820005,0.002198447576929149,0.0022826496495718385,0.0019376661332492435,0.0011328881019140708,0.0007072533685783738,0.00878269732462572,0.09913705399876993,0.1331287343165038,0.12203365924866318,0.09493201515295983,0.06661870350718836,0.0524354025040744,0.04657547225278833,0.042831191332432975,0.03903984093047612,0.03295125209225222,0.025707396503844064,0.02410268501939703,0.02594582682526641,0.02644068948037274,0.026403143999142068,0.02881395476353063,0.028879576777646413,0.025570041700808097,0.019919143989452912,0.01216253383772733,0.006381217878519559,0.0035230818828409227,0.002411719122805433,0.0022018057504703094,0.001620759149811755,0.001003295634440459,0.0006838287318281523,0.0004960462736495244,0.0003609486036494208,0.00029601473984945247,0.00026491034557477505,0.0071280536532634066,1.29,41,-20,0,4892
CAR_3102,0.011793354956300805,0.01554685709088803,0.023390917384746933,0.03625704363137252,0.05487079399774375,0.07201707757865337,0.0731727296930145,0.06187932970415703,0.05988201470153325,0.06785131835286982,0.07103076549400715,0.06268553908814907,0.051542899070479584,0.04077970513694852,0.033420267821496666,0.028130979338094084,0.024047192577929997,0.024330848138107482,0.02796045568983601,0.029306697915664263,0.0256525646866802,0.021113057261373143,0.01857584704697633,0.01694468306438951,0.012840802315003723,0.007853116352014982,0.005287471766568843,0.00414962898238093,0.0030181171810984807,0.002024015234877264,0.0014642737679962318,0.01117963497864752,0.004576997854512471,0.01942667609744561,0.04108785884836889,0.07700214857044202,0.12848647228603974,0.14848860720357954,0.10201707317449137,0.06397072861795855,0.044841939029221387,0.03499277387116373,0.028879659355684314,0.027935021654163616,0.027448196594745962,0.0227159245029738,0.020339768988489503,0.02219246232074235,0.019458275959947667,0.020599201657550414,0.024358319098714668,0.027279049247119512,0.0276671935512498,0.022648540824049542,0.014449229811156138,0.0074173795720431715,0.0034448254289268444,0.002692594555707034,0.002539357243382141,0.001966458342462794,0.0011191250955978418,0.0008414702061742388,0.0006341993310518307,0.008482471104843499,0.09390546003784496,0.1496184399180914,0.1533753002262198,0.11264029733378635,0.06655993547021806,0.042113202818927935,0.0331259321684178,0.034228073714221416,0.0346938964260005,0.030766952885816157,0.02582151935221824,0.02294593186453062,0.02149536605082535,0.01974083047961985,0.020857147921929185,0.02717857930101104,0.030884654115832542,0.02669406642665452,0.01850089371457815,0.011097800143091223,0.0055756140668054115,0.0031736666784845016,0.002431345169812376,0.0017833277804190516,0.0011032976383341783,0.0007793715216754138,0.0005826981614165018,0.00045464715065030763,0.0003461671348657909,0.0002497710386269232,0.00019427859715988804,0.007081534691914553,1.29,41,-20,0,4892
CAR_3127,0.04436048154226707,0.06734327073771255,0.06333496030418666,0.06389621570176247,0.07181732130497963,0.08728911495941895,0.0956400117238793,0.08367299515388033,0.05870376373080088,0.04295728799630227,0.037716417769120165,0.03769503005730476,0.03548942571709116,0.028626172305352,0.02469262252213587,0.022786556251388687,0.02052719360850391,0.016633611595630104,0.014950726235306891,0.015834641552960382,0.013303046645140593,0.010734979770582796,0.008545670829847623,0.007682757859832698,0.007253159380677928,0.006606600869954124,0.003130368260613645,0.0014522449004758474,0.0010308216470729169,0.0008460119982585942,0.0007545430582809366,0.004691974009278247,0.01279403561954118,0.049680213795641165,0.057688246546751615,0.057848172680146186,0.05758557451963255,0.06284637357996052,0.06474481514520852,0.0678313619937113,0.06493521257458723,0.07318208853730952,0.06587142731624239,0.06758282962565282,0.04028024563773257,0.028816789942831773,0.02473052584153076,0.023982699130332148,0.023981543037801586,0.02094963532437424,0.019387313899381198,0.021323328471872488,0.01895600880744321,0.014106173115717815,0.012028674838295686,0.009498263549019094,0.008099116326911258,0.0071175662424504405,0.00576865399339684,0.0032264615707135558,0.0019790377302358274,0.0015974721431246954,0.0013424986881102382,0.010237639774339549,0.0204656179182451,0.0603466262687565,0.053777763562121474,0.05623223058254512,0.06395611230525071,0.06284037290920666,0.06384515494832926,0.06589220945577991,0.06510130453481149,0.07056876889798397,0.06040492636351205,0.061819075262504575,0.044697399936888364,0.03101229223640925,0.028030426813947715,0.026919944886316462,0.022990606583033098,0.021963583525703458,0.01973807787835661,0.01716227619424909,0.013410122834280851,0.010989650439458295,0.009813078555496514,0.008850631523802624,0.008363476152233384,0.0068235609015231576,0.005051711468371841,0.00320433065655706,0.0019138010802969019,0.0014558508081306994,0.0013225973809769711,0.011036417134920843,1.9,49,-22,14,6386
CAR_3133,0.04454226332969183,0.07059709316498278,0.07097733750348753,0.0698071516544565,0.07887072441198381,0.09391784674352956,0.0926787082328542,0.06708491158314431,0.04910109401586688,0.04077876925251901,0.03693044000441297,0.033690655843585306,0.0327066559440002,0.03012793650255364,0.02729328019565049,0.024737379818676245,0.02347834000086762,0.022221805050208543,0.017969916930898038,0.015022128712075488,0.012241781228096176,0.009570656962242458,0.008009491629779975,0.007709458092086183,0.006675250745459474,0.003862174832460171,0.0014842301271547635,0.0008521778250882648,0.0005853131326165852,0.0004377461788939784,0.00034831416385112257,0.005688966186825874,0.01736913417918201,0.05684421642140256,0.06078806093334323,0.07468338479229641,0.06161816289630026,0.05792056609336956,0.0684813887820268,0.07246924738816676,0.0727332769013373,0.06495728843671847,0.06263855218458547,0.03463581653934601,0.03187476479022205,0.02946634878893252,0.02503455065105626,0.025208735258994454,0.028197592288664638,0.023011168514469545,0.01921538642447886,0.019697559587761627,0.019967617297698668,0.017278105655406467,0.01003342428661934,0.007964706807226966,0.006749928817731333,0.0061838288419322025,0.00514780477847175,0.004257173113735943,0.002560442169058604,0.0016901797536708141,0.0012469558982629765,0.010074630727530131,0.017031555160257547,0.053401070079246285,0.06562595033558613,0.06130783462988192,0.06620947427738161,0.07041861449907391,0.07195921790009996,0.07642583644395627,0.07113365772922728,0.06529423435735239,0.06174789299383704,0.03822895212433654,0.02863679734622813,0.029223844617640563,0.027260414136567337,0.02701672634673219,0.025835777826761847,0.02437056817433611,0.018450823897599708,0.015475289458043641,0.016696481008482637,0.014137222457967228,0.009161537836486235,0.008111475506583232,0.006742414216282672,0.0057275301305239465,0.004843752442933621,0.00358633665987031,0.002673739237053801,0.0014072673958344115,0.0009518219908177627,0.010905888783017728,0.0,49,-22,14,6386
CAR_3137,0.0028394733591138297,0.011205619534572563,0.017835259677100052,0.027216179834266982,0.044978220317764696,0.06772791923823852,0.09839035585408924,0.12025426768805055,0.11469398561028145,0.09278652762433556,0.06339174646824743,0.042413484090735434,0.03053325703856658,0.024317387917930203,0.022756525371606683,0.02245544584543285,0.019678979529234718,0.01577738744668487,0.01331012083038713,0.013007554899531155,0.01347056995802173,0.014732004538929378,0.015219297540561784,0.015223839332646137,0.013483809970097942,0.01025649509299278,0.006686894248803004,0.0063888976360440145,0.0075244007091581685,0.007509371506260846,0.007108537710306994,0.016826183580006773,0.0009761825119974877,0.0138425014407115,0.016667386013130128,0.025888820453104592,0.04242064085401986,0.05599333231890802,0.0775137470412289,0.10065995817367328,0.10150486913142658,0.09673317978956474,0.07694547251043181,0.05638475221854156,0.045154882266839814,0.04106908610775355,0.03137277289784392,0.02463580883206248,0.02047717884355073,0.01884309710362487,0.01792100320645016,0.012423095073306177,0.009524826151209415,0.009536029238350828,0.009292644234654632,0.010449424915533677,0.012908901670256424,0.014452615510709931,0.014610890083346562,0.0149357245584222,0.012804440452316249,0.009505530416354062,0.004246107656657695,0.00030509832401816366,0.0041644379771771925,0.019504905025347054,0.02232351366688548,0.0402416816940345,0.05513061203098152,0.07322095526714656,0.09352282093624116,0.09024604181443548,0.07888456999633794,0.07482800646266735,0.06749386555282473,0.05845564425293191,0.047896693333133684,0.04199349218998938,0.03817657012229697,0.02735730570103359,0.019702431691997573,0.013158177240655964,0.010456911990969708,0.009354632815102928,0.009484528068715498,0.010133811654689916,0.01205859561402717,0.01304958712082092,0.013518327589939044,0.01296326554520553,0.011548868912099313,0.010903714228019765,0.00828527475034457,0.006994772700097046,0.004203442337077385,0.000742541716773185,-0.2,49,-22,14,6386
CAR_3138,0.013596308783726795,0.028030316709897186,0.0446824257860163,0.06589209935172938,0.07728561144853109,0.08605683042588907,0.10519376771436544,0.10878951827055604,0.07087262855143367,0.05166547240473192,0.03877151735933492,0.031214856163371513,0.024372109631043533,0.022329927227828842,0.01957294932857449,0.016964832105636467,0.016496036584493078,0.020491712578220668,0.02619430414129961,0.02616375026727758,0.02235026895116423,0.02064607845706349,0.011669900789644229,0.010098771040608795,0.010896199626571105,0.008470882653525235,0.0032236263914124127,0.0017917507402845836,0.002049999790802304,0.0020172163097570465,0.0021419641990073463,0.010006366216201636,0.014077463484542162,0.030488031799811462,0.046480617613256885,0.06205436761848682,0.0646565116966836,0.07086362754530286,0.07938766292922138,0.07472805951079889,0.07317710632902305,0.07162169393320075,0.051409315331174266,0.0513066433040552,0.030811600078306,0.03144109246119768,0.02488915825233162,0.02036701974099564,0.01832885613562529,0.014443614504579115,0.014160702146742712,0.013364236971222543,0.014926393240139797,0.016302473663661634,0.02363801840014851,0.022525747281696148,0.015879096063361797,0.017011956639263238,0.009337924525435026,0.00244304372518117,0.0024724690326852683,0.0024790477497044256,0.0023999655154113737,0.012526482776753688,0.019933182255895462,0.04171104777436773,0.06066072559890547,0.06768618980308773,0.06551879156840798,0.07384708947649707,0.0708748581584569,0.06359488844147496,0.0630978787573833,0.06931220642131226,0.05465983463692859,0.04657657329329363,0.03998998383452329,0.027510185175194258,0.026943176840978262,0.016870225200218712,0.01479396559336504,0.014036752511858756,0.013916876726844402,0.015107404299210841,0.015226977298086237,0.01739338459631121,0.019442063138507156,0.017680591012118267,0.01577680940041959,0.016761662606396298,0.009543956729988977,0.003079335033193068,0.002730773135228253,0.0025604696950712364,0.002751280014639435,0.010410860971835604,-0.25,49,-53,14,6386
CAR_3142,0.023906727335466563,0.04120132107243988,0.05768934758725691,0.08075377893617026,0.11160776907393023,0.12573549505753928,0.1004654318423997,0.06379957187140993,0.051469707402889885,0.046541450101174615,0.04124409649607072,0.03842722199332813,0.035166738271000864,0.034029996527318244,0.029702989919533764,0.02219601317637193,0.023760811942501903,0.019650022163945367,0.012021463022985984,0.00954447972422899,0.007189023771244301,0.005727392500460785,0.002838675104747489,0.0016060052070407573,0.0016334486416353182,0.0017896862893371497,0.0022750524700852802,0.0018915050100646114,0.00048536618074813064,0.0004371406066160643,0.00046268474633898534,0.004749585953717983,0.022432406572859484,0.039792319537809616,0.050428315766966096,0.05798585779533375,0.06669448261996552,0.08370762287777195,0.09265332924920708,0.08486913803282377,0.0659822745691133,0.08154435354498707,0.05524335857872407,0.03911135351129525,0.03195101184521396,0.027522296620752545,0.026940534343765542,0.02643562469404837,0.024737820234878364,0.024507592665220488,0.017449840448220382,0.017989322769803917,0.016873308113633547,0.007982323455311741,0.0033863877041081358,0.0039659754260971715,0.0040772630951701975,0.0036713645128919727,0.004680825974162103,0.004913696041032697,0.001810248220773596,0.0008444430155385443,0.0008251472806831912,0.008990160881836554,0.030758942816140108,0.05137622906399005,0.05820455196569864,0.05701358397713008,0.06277108993541076,0.07419796355952303,0.08109207363142316,0.08656413483870527,0.06536070967785977,0.07455431531906281,0.06142955465774266,0.04106162655833015,0.029908829441999282,0.02774853291857872,0.027454555103664062,0.024956679561319042,0.02342100331655421,0.02190189773139412,0.01586621388944981,0.016917680045997068,0.018325553014109392,0.010147932499170368,0.0034068395314940524,0.003413721034652167,0.004332897174487834,0.004113487327794514,0.004483051573397893,0.003107989612343457,0.002613677477489777,0.0017420387614703644,0.0009114413302859466,0.010841202653331451,-0.05,49,-53,36,6386
CAR_3144,0.025714801001242196,0.046978673285828575,0.060469502389147785,0.09319561922407914,0.13554761020259365,0.1270667080804702,0.0853339698081481,0.06330058031440873,0.04741030868991815,0.03915798257669463,0.03421073232626296,0.03272705271936085,0.02897366068882415,0.023804605828600143,0.02816260672660878,0.032835863047296965,0.03491564598376758,0.014682209982077263,0.00845257785512465,0.005821228677524834,0.003431750572926427,0.0022632988626912205,0.0022675653946492512,0.0025664428398124795,0.0027773746746150045,0.003336290361117063,0.003447412874114296,0.002810295785723424,0.001681949475893709,0.0008229451996725946,0.0006072788906972867,0.005225455660107915,0.0257461806556432,0.04769867119825578,0.05263284659268702,0.06032730300788852,0.07492597154162628,0.09009409822470432,0.09264314462453307,0.08576824770945038,0.09282756890917054,0.05209077682591603,0.044764480829673665,0.03128400150710425,0.028179590276403006,0.02571114004156208,0.02420689850322352,0.022248697964550455,0.02036055112802701,0.022376170929051368,0.01848600214174399,0.02882174462510562,0.015676587188424806,0.0042654584435383135,0.004076850204980711,0.004041479278748003,0.00451079779413141,0.003935421552075142,0.0045833838894432,0.003338079551938173,0.002391019561305825,0.0014397480907407116,0.0011360535933668035,0.009411033614986837,0.0356236150286744,0.05818773357198019,0.05924798052655721,0.06193589566011672,0.07144057277007917,0.07704566719641395,0.08857086373764936,0.08568222891997396,0.08142051401415365,0.05621475156452351,0.04640998586484199,0.03576658513828738,0.028281739309282062,0.02517584167389867,0.020820483273102743,0.01804498036734675,0.01865385576677672,0.022835222241722877,0.018099316716283217,0.025684329705258063,0.019882093976449626,0.0043184735438684275,0.004084309754404107,0.004383930401908411,0.004605569855624964,0.005860590875589249,0.003681686767629145,0.002649901710114092,0.0016415412893492607,0.001222843111196943,0.0012193197815799884,0.011307575885363186,-0.05,49,-53,36,6386
CAR_3145,0.01167650703267602,0.04103159567854814,0.05283320843863868,0.058423603974227724,0.07093847077365052,0.09025449230031364,0.10504606313057968,0.09129376443326473,0.07240246928152043,0.05353470887057688,0.044070192213045166,0.032978915734947836,0.027193140561693613,0.023329286642462862,0.021056188519274485,0.017491927721535402,0.01450199717737256,0.015795609667047555,0.021827549971273855,0.035667876856987385,0.040826141520259485,0.023904387624392804,0.009134011823853778,0.003069453194658016,0.0016781508861504302,0.0012671324655225682,0.0011576339872706506,0.0012923187670812672,0.0014627598373014464,0.001600142166350044,0.002015151858809612,0.011245146888712771,0.00981572105270923,0.04099661011649229,0.04552040018858622,0.04730136073191888,0.05811027537243245,0.0652809392932509,0.06076815962620996,0.06271262468457943,0.06914121483083945,0.0893316827268105,0.08037292902538758,0.04380712611031677,0.037513083113804205,0.03077856886314705,0.0238404446970476,0.01992709900710369,0.01983243704966067,0.020060820376472173,0.01990397715649243,0.017433985464944082,0.012669562990417205,0.010912274817948457,0.0139410445659357,0.02402886025351678,0.03050939198561425,0.020809720602163455,0.004788700417668705,0.0017132190262441813,0.001813633920327388,0.0018116245214052184,0.0019896352450993237,0.012562872165453796,0.016659430995479348,0.05321744404897516,0.046189007035428616,0.05082598407146722,0.05675057292642693,0.061699557315654435,0.05707400357485831,0.05952725945072612,0.07012832516985201,0.07623576932672914,0.09143926693603988,0.05089829490665269,0.027410128119275283,0.03176394506336378,0.027536114679094042,0.021422752429500928,0.01920478890961537,0.01950710710635765,0.01787564033763187,0.01124894547845605,0.009750099038593451,0.010243585393068156,0.013825875729081494,0.02337412651704113,0.029983975456485887,0.021173752119227708,0.0060569614497092035,0.001997948100914326,0.0020236849227256736,0.0022200004448203643,0.002803496860603207,0.009932156086144528,-0.05,49,-53,36,6386
