,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_7699,0.023042906007034767,0.08430009277367298,0.06515481510336897,0.05340712580202543,0.05658043464234571,0.061811395504980125,0.059607002309322366,0.053481198302019375,0.04745638723506488,0.04308085226700937,0.03989876262865934,0.038932296799121115,0.04250401714628358,0.04744364269121605,0.05532381711364874,0.041558333456282855,0.019710992281926267,0.012457199802957793,0.0100892745662506,0.00902093496395964,0.008223121013820481,0.007010572631348078,0.006323358199966132,0.005866591546343125,0.0058013548964042,0.005755634189421688,0.00524890782287077,0.0048035369384776,0.005067704081711298,0.005202526491585078,0.004951379152326531,0.07088383163857509,0.014361504408896497,0.06483397190012506,0.09311397707061128,0.06056017307475911,0.055821817734195166,0.059162980199548174,0.0621820607910888,0.0636062842107048,0.05772747111475286,0.05348108819796885,0.05266766699866708,0.050238936800054784,0.04765132645652795,0.029117484104828745,0.024108327851986685,0.020249621297118204,0.018376971605706824,0.014511879015907612,0.011039169736184087,0.009832456868389766,0.008792358955059709,0.007533126455162658,0.007177325215875506,0.006793392391677983,0.006248817757757436,0.005708950071997039,0.005314777571100242,0.005364076659724972,0.00517645935762214,0.004875379831448316,0.004787847111277099,0.06958231918327458,0.14717275369569752,0.20187508849613064,0.13657427542175907,0.09433148013535753,0.05939849276363149,0.04546655930787713,0.04138073562277824,0.0415222468537217,0.04119515524561021,0.03700660448136698,0.022352801344326417,0.017917534928858468,0.016126499864902333,0.014637562789587416,0.012755609305906268,0.010221399426886395,0.00826801594042402,0.007824241564763534,0.00711140041562077,0.006568725076571862,0.004993769211780517,0.003556305780088299,0.003159325625902991,0.0027526563152710576,0.0025045918894273465,0.002083636578239168,0.0018785402581147235,0.0015875903045896433,0.0014924328789192366,0.0014839823930410715,0.0012907497843612171,0.0035092362984867963,0.3,47,-26,0,4879
800_7704,0.020839035805617023,0.08097522570779839,0.10858778012397276,0.12719616291788066,0.12241511473172376,0.10248892408303696,0.07930959915739573,0.05811467953445365,0.043658320486025706,0.03434098541803975,0.02762312440502524,0.022992037935689987,0.01962943270649629,0.017602774974406314,0.015809592881464843,0.014233095559966082,0.013392946602398198,0.012142026958316149,0.008292624195717437,0.006428755302335813,0.005713023921866642,0.005130105552349082,0.004597009265696268,0.004198928071005662,0.003821656541865194,0.003482398436170149,0.0031863561703080645,0.0029653222888694273,0.0027478667890730103,0.002600464991426197,0.002522538849663709,0.022962089633945876,0.01033354040235103,0.07321121105867467,0.11436953649938265,0.12639922980014573,0.12293081457839287,0.10784788090441227,0.08486217395162776,0.0640141921919052,0.047333703796762015,0.03447308275266292,0.026284479358683544,0.02127802065507946,0.018069313362513842,0.01578468184003247,0.014415785705807703,0.013268804285425814,0.012520069215810323,0.012014443889764706,0.010606158031462892,0.006809329952992178,0.005668569411465223,0.0050632173416522075,0.004578346629131462,0.004172007630651118,0.0037649529558423296,0.0033970953230221626,0.003112641508478342,0.002845336399804543,0.0026215223910900282,0.0024353364416440826,0.0022810531408391558,0.023233468592489277,0.29911601311471364,0.26051997408591065,0.14614303308912988,0.07711891391602893,0.04349030170491718,0.02926408764810922,0.02077256048510964,0.016013065166843973,0.012816139007685044,0.011329046175216505,0.009917264513310368,0.007749728648567469,0.007588756526692855,0.007427206358552958,0.007447272821762022,0.008068947817066083,0.006426883533476807,0.0031495814174311012,0.002361126311586976,0.002028419396898457,0.001765738658346911,0.0015640830898015245,0.001409662158933435,0.0012845289055062813,0.0011840039073725453,0.001116014656170374,0.00107139498969316,0.0010565859948968974,0.0010533929774315324,0.0010498971738272102,0.0010095990913332918,0.007686776657677037,0.3,51,-26,40,4965
800_7708,0.05513190575357525,0.1479887348141741,0.1518544054502386,0.14611289210529735,0.11146529443254463,0.07303991668206289,0.04998963370364262,0.03815276012136989,0.031015292571786188,0.025671062167169214,0.02177803067454806,0.019028980266931856,0.017551466486859412,0.0162427422162492,0.015308234087377253,0.013942063028403102,0.012926490792328566,0.008527008193282816,0.0041446467740944536,0.0034276491970441905,0.003047872800754169,0.002766446847599919,0.0024949577850059863,0.002268143440914533,0.00207705786122001,0.0018878991024097594,0.0017354875704638398,0.0015959582124299107,0.0014760549014029235,0.0013727773020059415,0.0012894285357548591,0.014688706121058522,0.02696717952399377,0.145416346355633,0.16827818625157145,0.14575400795259535,0.1182531540956835,0.08441107765660705,0.058533129978492277,0.04363976795351143,0.032069511329596685,0.02283764453083453,0.01800286556801909,0.015068785303487504,0.013785880432726536,0.012664718412193892,0.013085453515281013,0.012887321276352578,0.012183123295176408,0.011483191845958269,0.005608370021838037,0.003384736143350189,0.0030246408460923744,0.0026826576651467174,0.002429666083041796,0.002189721830924661,0.001966981336702811,0.0017809605433326602,0.0016235943291128985,0.0014948001160056275,0.0013543348735421947,0.0012600032282507616,0.0011957575147666048,0.014682430190178324,0.3442917600991289,0.2845563214148635,0.13802654784824755,0.055010873876030326,0.031672944065600867,0.022050070257394642,0.01656342026341734,0.01300972945452912,0.012191793989155632,0.010860801174325762,0.007761537307986794,0.00808717003742877,0.009400766412274927,0.010285122146130535,0.010763964661884774,0.009430136667753759,0.0033258029503040964,0.0015967564667962518,0.0012615446849581792,0.0010626692436886706,0.0009230848336294766,0.0008075306325984183,0.000713088883256455,0.0006463933546480094,0.0005904880229914874,0.0005399502637982947,0.0005068089445888153,0.00047526413411201856,0.00045745480393881834,0.00043703050256553447,0.0004321033463043245,0.0022610692556679912,0.65,62,-51,40,5235
800_7712,0.1422678659787072,0.2039800302081473,0.14991621632274932,0.1026926716285424,0.06968727586944214,0.051892782217050765,0.042618938249024095,0.03554431258628029,0.029239341762752637,0.025430594920812063,0.02381757058055003,0.022737449844852386,0.02128660877102079,0.01860232707112876,0.009648032583752296,0.004988456691342453,0.0041611348556612965,0.003613367204275385,0.003249528369299556,0.0029398607271844037,0.0026905851567848647,0.0024411444303095308,0.002228918872913281,0.002059331109084707,0.0019240132309835442,0.0017802173409915839,0.0016653237642637044,0.0015313821867941645,0.0014561260682570242,0.0013740159725744024,0.0012994480043530738,0.011235127420114557,0.08893679454958525,0.2405262346022238,0.15291426704063873,0.1103975604025316,0.08231144846502843,0.06256158945326512,0.0475502784641542,0.03135923009962875,0.024028254681238863,0.019749693855687502,0.01846585310049703,0.018253462387024987,0.01959634643931208,0.01814506494927837,0.014496409396808171,0.005669285087793667,0.004203717597203709,0.0036202762334461313,0.003209010078704577,0.002868017834213689,0.0025540561341278736,0.002319149142322477,0.002150882627100262,0.001992855788577321,0.001830782626197409,0.0017020159391027707,0.001609445958619815,0.0015162153538336796,0.0014431062642818716,0.0013727497759933093,0.001286125414238964,0.01135982025733959,0.4608226391104121,0.26132477964325845,0.07416449192816195,0.03822768592775545,0.027128564536057862,0.01925488625260644,0.016968052649114468,0.01568068856430704,0.0111551918794299,0.01258048881353857,0.015056949118055545,0.016488109092854933,0.013776356432355705,0.0044151999522588845,0.001968357637334434,0.0015191881631979856,0.0012889330675274749,0.001071945509945809,0.0009206900705304527,0.000803676990829874,0.000715070756165992,0.0006114353186047879,0.0005281966564042352,0.00045599592526929803,0.0003930439343788667,0.00033523930785070514,0.0002929593524472497,0.0002677730508885507,0.0002480368998310784,0.00023154881826423609,0.00022139171960285908,0.0010824329207587754,1.2,62,-51,40,5235
800_7717,0.012146486172362608,0.052343383043844095,0.09169988322364399,0.11945953665132625,0.128088776455526,0.12215788414367346,0.10169686306953796,0.07372470882433317,0.0520874461783875,0.03778655404930768,0.02837059327805963,0.022408128629717656,0.01844300651001209,0.015600257555395002,0.013390634417337071,0.011803622159012709,0.009992603209885405,0.008019235838251865,0.006992818353200142,0.006210997016400439,0.00555744689846799,0.005006871593793567,0.004526377517281382,0.004102339292678367,0.003729994919799108,0.0034271537288168064,0.003187099372649141,0.002965790231084179,0.0028382897405706342,0.002757913783683857,0.002740792603826468,0.026736511538133768,0.00921733306409223,0.05385610259407345,0.08665224560514177,0.1047981363347991,0.11868668879464472,0.12066173525304885,0.10551392276729354,0.08568536688541406,0.06271427624533737,0.04277613930716806,0.030540909270078413,0.022989037600313046,0.018196070650686312,0.015286626167460775,0.013271942250865913,0.011840754750053896,0.010323658563815978,0.00843520894115357,0.0069761926415701355,0.006160239049106187,0.005538013533549475,0.004957682609219365,0.00450430165515015,0.004070491696062614,0.0036996887798907718,0.0034037015660539523,0.003121972826760745,0.0029092518011371105,0.002704017850949505,0.002551358584889893,0.0024223441636815625,0.02553458819653749,0.22628942303055236,0.2312723469933557,0.1585898280593126,0.10873746658066806,0.07390916063498328,0.04615333332305696,0.0290592665881111,0.01979145081685094,0.014931925968678919,0.011750386850581536,0.009272385089357144,0.007933574886939656,0.007163094267344527,0.006618629737474509,0.0059572622319544405,0.004410410426060836,0.0035155122293669965,0.0029665609594378877,0.0026465435365729323,0.002382321341313969,0.002153029656085594,0.001970834978471355,0.001808431503939853,0.001651533231934843,0.0015353184066006058,0.0014647417102109836,0.0013815581000356956,0.0013514996942410515,0.00133468130052262,0.001345443971461911,0.0013548853937948439,0.009297158500726356,0.4,51,-26,40,4965
800_7722,0.07510593661221728,0.16436621686225916,0.1467656990208887,0.12541294524151214,0.1004488061307697,0.0733392070174156,0.05214266335972821,0.03941507553468178,0.031246731285999894,0.02562930520600578,0.02214511757901452,0.01964036053351138,0.01734089249022111,0.015858589183950618,0.014628671887507131,0.014057121761206777,0.008503996446722081,0.005538013533549475,0.0048302096447184525,0.004271761900431145,0.003785404783228246,0.003375432351080418,0.0030420648120887198,0.0027187442677078693,0.002457632511876373,0.0022266617398774193,0.0020360716284102804,0.0018392331120755734,0.0017121455117515155,0.001600389900463736,0.0015593486156287415,0.012959549533500148,0.04028385154538743,0.15768488286800791,0.16632645432586704,0.13738797188118715,0.11117194971592054,0.08025365881265112,0.05559712289307642,0.041576087734430785,0.0305453960101375,0.022789418956702463,0.01844708035988169,0.016128013795597116,0.01445203746444465,0.01382860080433211,0.013705476949827126,0.013302743859001634,0.01242526962830414,0.0063631057622074005,0.004801197227403842,0.004237326858627941,0.003786175511581955,0.003358311171223029,0.003002592509973776,0.002657168577449061,0.0024186006259635483,0.00218344590004446,0.0019609531399363027,0.0017784556761831067,0.0016124462939967527,0.0014744033406449766,0.0013917151986970727,0.01306808460130993,0.40136053373158703,0.2570453655113155,0.113261779647002,0.051072066624401384,0.03134766917432312,0.022380437461009404,0.017225861283430066,0.014008400718847323,0.0119684754486685,0.01001525711828192,0.008019813884517146,0.008180015278038051,0.009357825832568294,0.010707150971811382,0.009794360866906444,0.003538634079978261,0.0022081092073631425,0.0017750699766293145,0.0015056728909954484,0.0013000260506183553,0.0011442838711439086,0.0010288122481507474,0.000922093897174708,0.0008358548995972174,0.0007793990476880463,0.0007386880750046409,0.0006994910330160207,0.0006840489399292119,0.0006857830787250568,0.0006851499804345103,0.0006731486389267585,0.005050720531917072,0.5,51,-26,40,5174
800_7727,0.08483137234349204,0.17557836006182562,0.16648877522236066,0.139206065015561,0.0958611832353811,0.06265622388469551,0.04418238824053507,0.034382384541038966,0.02732793544555476,0.023338783116821055,0.020485822011517326,0.018637092425083556,0.016275498171281825,0.015135508358108582,0.013841235244130407,0.012833755655769816,0.008246242864431746,0.004133553791003574,0.0034000406063738357,0.003014483747430997,0.002729479412634528,0.0024316479559513327,0.0022054667101504264,0.001986332123583429,0.00179731099483634,0.0016393116823260315,0.0014823033062704913,0.0013559313822748774,0.0012579663033159595,0.001161460103026562,0.0010751110013985416,0.011020975041834032,0.04432618413052703,0.17935184608158405,0.18514684246907007,0.14179706105864165,0.10664281959737593,0.07261345616834823,0.04933564316950805,0.03924290032566576,0.028053135774369492,0.01987614835772101,0.016014771779627183,0.01410895324299369,0.012777024543734321,0.012579057460881685,0.013112786845825041,0.01215986381450198,0.011908331111066579,0.005670606336400025,0.0034870503323050353,0.0029991517583947184,0.002631459281650345,0.0023330773047145013,0.0020791498381800767,0.0018676124310996376,0.0016550015095265329,0.001504379168401723,0.0013728323540312065,0.0012475614705408909,0.0011407880675395866,0.0010619535673602268,0.0009784946970586145,0.01092405595135515,0.3991506628594154,0.2810505533939684,0.11523754178173458,0.04662909292539636,0.027416899518382862,0.019578729791227302,0.01510536737427604,0.012240184719363494,0.011763654388670379,0.009976803278634377,0.007447300347774655,0.008163609774509107,0.009973527683131112,0.011269342253816702,0.01035379954764852,0.003355833830086108,0.0016274204448688098,0.001262370465337153,0.0010204718663231126,0.0008568847732484152,0.0007368713581708987,0.0006374474005424606,0.0005494192121438602,0.0005036159271234502,0.00045167434128600217,0.0004071097268340527,0.000371601170538182,0.0003513970772659579,0.00033009194348843546,0.00030732793104139267,0.00029218862409354087,0.0015812042696589134,0.65,51,-26,40,5174
800_7732,0.05268266867555177,0.1357287864177405,0.15222919963824216,0.15393793192442726,0.12219452126648725,0.08223360490130383,0.05541457037729795,0.04005874381407918,0.03082461988228115,0.025198027640080427,0.02077825836972456,0.018021197892432308,0.01614697921830088,0.014997933346971555,0.014489307685548998,0.011751845729251056,0.006578056394854265,0.0045696759351522365,0.003992565554300125,0.003530513906251686,0.003131056410929457,0.002813764063315114,0.0025643508628524127,0.002318268309918239,0.0020829484279233567,0.0018933492529109855,0.0017276426568635893,0.0015846174952253381,0.0014701092826743126,0.0013710706892227293,0.001314201947124071,0.012369612030761309,0.02615601545772786,0.1388418958684336,0.1569586640767258,0.13966404281373984,0.12528905065865345,0.09976227984970357,0.0695483245576735,0.04817217366755932,0.03188486683685817,0.022590075573218203,0.017711420146266626,0.01492757685868299,0.013457192315882356,0.012997287696819248,0.01376385962262057,0.01280534881073312,0.009658630098615794,0.005085816198023456,0.003875607526624811,0.00338710338043658,0.0030242279559028872,0.0027113948223350033,0.0024028282207251496,0.00217851874378325,0.001973312319608276,0.0017934573530677962,0.0016223831845570704,0.0015139857468104507,0.0013821636723136098,0.0012747846970343913,0.0011837836992714857,0.012401927569591815,0.34598571091653035,0.29096586356038184,0.13909015297636573,0.060623978372041136,0.032775058085391856,0.0218711787012963,0.01564193193852054,0.012474678820979402,0.011876511040463458,0.009722242713809405,0.0075689102715848534,0.008327829965874351,0.009847816383438677,0.01105455677724563,0.007378292634105082,0.002906361569810702,0.0017713264389113,0.0014265631306897644,0.0011674882997930705,0.0009489868115166194,0.0008146048178449599,0.000698059680359133,0.0006040583472192892,0.0005282517084295,0.0004599321450757394,0.00040664178461930086,0.00036705937845382637,0.00032932121513472664,0.0003114017809109965,0.00030339171123495133,0.00029117016162613987,0.00146066786034138,0.5,51,-26,40,5174
800_7737,0.0847058261998754,0.13700216728813064,0.14367805113188065,0.14110904837289334,0.114195984989735,0.07774455265715206,0.053916384561738535,0.03868937973763967,0.03099558394674135,0.025117321371042063,0.0214635184542096,0.017980266711647843,0.015945378701780758,0.017327459796056467,0.013294486055211895,0.0072587471612423175,0.005822687556194354,0.004984988413750763,0.004390096228738082,0.003906766972924754,0.003545873421300597,0.0031987704020053037,0.002836858387913746,0.002567709036393573,0.0023392156055315394,0.0021703710440440427,0.0019616688162647465,0.0018297091117047434,0.0017004469563827206,0.0015918843625603069,0.0015181697007305847,0.015210626846582555,0.04639352530928778,0.17550783841746126,0.15459814333741673,0.13665132073111733,0.10878123294075367,0.08023408781766947,0.06093590314719216,0.04178399170784375,0.02832721228215088,0.02159996489882869,0.01747554974401909,0.014702937069589504,0.014120128804122473,0.014391260028552184,0.016967474602849184,0.008985123621524814,0.006021370315375436,0.005132830627599694,0.004397170413984624,0.003911418869059638,0.0034723789675719353,0.00307801378458671,0.0027699701772168736,0.0025522394172941307,0.0023212135932699123,0.0020871323818434893,0.001899900443917511,0.0017686013636606867,0.0016507349775685015,0.00151610524978315,0.0013956789445161467,0.014569546012372613,0.384306021876794,0.29042230738892866,0.1174433388040366,0.051942136357700765,0.03043364039884972,0.02104655441485313,0.0156180668855682,0.013036016796593115,0.011697922270504072,0.007438739757845959,0.0075393748600302265,0.008925722486263969,0.012702016159310872,0.0076524517199243625,0.003008593180727651,0.002354079652353067,0.0018799991367842441,0.0015979400853394475,0.0013436272546281686,0.001126749801097033,0.0009870002349620438,0.0008861999767019828,0.0007690767929508744,0.0006945363507421784,0.000607471572785714,0.0005484833277143566,0.0004928532561841592,0.0004398932078793101,0.00041363339182794525,0.00039711778424847047,0.00037039002598235386,0.0018780447898873395,0.7,63,-45,40,5174
800_7743,0.054377307643269035,0.13263147689829846,0.1428555738744228,0.14886744771544005,0.12812120209840705,0.09255076732613857,0.06175703163003101,0.04220461670688034,0.03142790750114673,0.024218294272453356,0.02036751520922302,0.018076552703836183,0.016037976208276346,0.01449874910788193,0.01378323793551382,0.007603015001236469,0.005207646329934715,0.0043540646782021936,0.0038133161600375593,0.0033710832410844896,0.0030143461173678353,0.002718496533594177,0.0024503656445414045,0.002207613739135758,0.0020208772694371635,0.0018526933322528453,0.00170099747663537,0.0015695057142901185,0.0014486389928209955,0.001373520504347018,0.0013121650221892694,0.01220599741167398,0.026304408191829443,0.14718874630903694,0.1546482406804078,0.1482773450566254,0.13054305079386122,0.0972183257622118,0.06752505252513731,0.04329508722332779,0.029240277647182136,0.021660577178645363,0.017080000942490674,0.01498824419052493,0.014044680003496905,0.0136611875955015,0.01313852366763639,0.011217207985890829,0.005551033337524628,0.004465489977338384,0.0037430973018121594,0.003339786164721385,0.003021585458690172,0.002661847999596579,0.0023929739082027297,0.0021876298539645934,0.001985258609090763,0.0018171021979190773,0.001654120677122294,0.0015136279086462288,0.0013734379263091207,0.001304815576816403,0.0012162093421525212,0.0117410280062865,0.3339090307122036,0.3034994755744073,0.1364030636231852,0.0668031828438511,0.03579986408756003,0.022344598592561944,0.016867555176993364,0.012654726469608309,0.009411143719037365,0.007916261024993841,0.008265153235110245,0.009512439445524807,0.0095924025122221,0.009393554596965224,0.0033045803945644715,0.0020043066098324237,0.0015871223623748914,0.0013448108731713645,0.0011628088776455526,0.0009775037606038458,0.0008567746691978854,0.0007400093236109988,0.0006489257478101956,0.0005799180341406236,0.0005164981010354405,0.0004503255666670117,0.00041024769227415286,0.00035877404865145663,0.0003489747881543016,0.00033408321532014186,0.00031770523780382936,0.0016841790829169381,0.5,51,-26,40,5174
