,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255
800_0206,0.0008639314324823244,0.0034735075340898655,0.004718894449632792,0.006115536804591075,0.014158307383643692,0.046287192322488596,0.08385221702213025,0.05897910643516336,0.024699751759407675,0.016435066466512185,0.020703828031566392,0.020844761216244574,0.01854724751985121,0.015866874513752988,0.01487379102999917,0.015692579801764264,0.019879203745123215,0.030252574287753412,0.05229353343496671,0.073137716604946,0.08535351327711714,0.07657692672729582,0.05269062369320255,0.03368985758921896,0.032839083590774955,0.03379880554721823,0.03381859675030097,0.026755724694951223,0.025176805084340805,0.01928830283194224,0.01520751640715509,0.023128622010372243,0.0007721597063657098,0.004987575858938214,0.005446957483761304,0.007384375882896855,0.025138819186908013,0.08501067678977987,0.08529408461584366,0.035170151496567284,0.01853147511461281,0.02834917804023158,0.027411008951679517,0.013546018758647298,0.010292746851629727,0.014364449692248168,0.01834870239073329,0.0338533896302684,0.04875316521619261,0.0630329173675707,0.07613684083732809,0.09439622131706905,0.09306085186623063,0.08137410515685534,0.047762834333702035,0.0328795743553573,0.02164598839195016,0.016025231664427517,0.008262015269670143,0.0020853707170350125,0.0004295434271295059,7.063174841488704e-05,3.9197041988620084e-05,0.00014374083796669528,0.0009574923494200489,0.005210261301134798,0.007042420227963831,0.018712899063873342,0.07286669548456683,0.09982027715832016,0.04968403991139707,0.028678829567517897,0.036673704884590035,0.018165736984765344,0.014725067983746,0.034000791427915206,0.04139967351946937,0.045204924557805615,0.07475008032090485,0.10343967255936205,0.1155774605117328,0.1087479264654684,0.08082950299692215,0.031326804456747716,0.008920850382028025,0.0022577110821268313,0.0004859992790386771,9.906611946421607e-05,6.030949367771531e-05,5.9098349121887164e-05,5.670358602286333e-05,4.684927350044339e-05,3.528834819481106e-05,3.6279284649579545e-05,3.633433667484446e-05,9.124873187659803e-05
800_0207,0.0008844383118935056,0.003638360823745656,0.004823190511497175,0.0063415528943161865,0.015283157889869083,0.04940847699893353,0.08405703808212837,0.05704994583981755,0.023860263426142975,0.01601653344443566,0.01968820074346659,0.018853061520197816,0.016212243394252437,0.014455450690011074,0.014188228159375173,0.01567708265665219,0.020267568257354564,0.030922172071050583,0.05201986981737482,0.07225071837387768,0.08848344112152867,0.08174168752954918,0.05328177234049722,0.032666770751695766,0.031094429858104507,0.032953867063452304,0.03428406162391583,0.02762081221996411,0.024074168070309803,0.019753217185304456,0.015607386792666806,0.022540831536618736,0.0007857850826187764,0.005214968249294949,0.005514974260976108,0.007805028407946077,0.02763515327254562,0.08830832062916097,0.08237990565844534,0.03368220535770714,0.017884834025851108,0.026581842873151986,0.024224900515485145,0.011773673857268597,0.010275295359620748,0.014494840414088122,0.01743307710652721,0.03207840223167698,0.0520287607194551,0.06631366023519547,0.07593881870245019,0.0965844842693242,0.09435630859875199,0.08142901955205709,0.04780927071701299,0.03148306963046218,0.022092295160772834,0.015525221644958918,0.007561946190388841,0.0020598816293373565,0.00047540176417518084,7.855924005303492e-05,3.7490429205407694e-05,0.00015260421403434673,0.0010397951271910982,0.005416100823600319,0.007451374197644258,0.02060624831678433,0.076429001935409,0.09797000611517896,0.04734042014384433,0.0271223161311903,0.0327085277128592,0.0164806220174189,0.014530596704497684,0.03212164559752257,0.044707612087575004,0.04727631206042334,0.07556080397096865,0.10309978135537645,0.11701054730741646,0.11111400745932921,0.0804056849804202,0.03058346448560819,0.008018465109898155,0.0020288322870879436,0.0004434165374962647,9.744208471890105e-05,6.52917019641902e-05,6.741120493688946e-05,5.7887204566059015e-05,4.194964325186588e-05,3.2728429019992474e-05,3.460019787899961e-05,4.2197377365558e-05,9.490969155671492e-05
800_0208,0.0026168154429298774,0.009324767091396713,0.01185749056573443,0.014531174750762967,0.025719755683516036,0.07820181477900245,0.13417453011444877,0.07747843116702145,0.02917220581794207,0.033147595140359545,0.042737960727646844,0.03764919924627171,0.030141424248743547,0.018016325788196362,0.010432166105613127,0.009796700577980202,0.014132598087844976,0.019419656964224333,0.028437233754642813,0.04249829173565603,0.04089374540728479,0.02134730362887536,0.014875635272845545,0.02384677567995307,0.029541109439242274,0.03919216988438414,0.03932085399344088,0.031525377111878264,0.025151646308794736,0.017609849159652854,0.019618780139607533,0.027590616184106305,0.0026612424273186647,0.013545082874217794,0.013924969374558345,0.01649504564803831,0.046239627372659714,0.14675166075444618,0.1129411291258465,0.03574984932260685,0.03689702342507717,0.05926576233071777,0.04071653293795703,0.018089352299710273,0.010396657549317255,0.009956048665109503,0.01189971546911262,0.016490146017789732,0.023578534686849766,0.03228236998528349,0.06055722779140744,0.07476194403234945,0.06750270140287976,0.04620965154490297,0.03546302827097664,0.025438990354664966,0.024308029073635166,0.013503408491092252,0.003548846230664903,0.00016812888515905302,0.00010000200389371964,9.32856568113999e-05,0.00010305739129592248,0.0003609486036494208,0.003469929152447646,0.013972231538248276,0.0165090288624556,0.03433919622721865,0.1286857881435114,0.14586788306685583,0.05488458453007261,0.05683884884893922,0.06460968994919579,0.023351417556619358,0.014282064336439223,0.015500172973463382,0.022763984921030073,0.043349175838150567,0.07040600758528825,0.09038758057139158,0.09366144193585822,0.06455083933418759,0.02723723723393081,0.01050073340308058,0.002504867149553671,0.0007982543663412799,0.00025629470362081576,0.00018687409976175687,0.00018976433108816495,0.0001797173364773178,0.00010759918338027803,9.314802674823761e-05,8.780798029754078e-05,0.00010561731047074106,0.00012177507988599386,0.0002004444239895586
800_0215,0.0004452607803426394,0.0012309632849235184,0.002614613361919281,0.0056667526946314805,0.012789879191633678,0.023436362831603122,0.031623232086786655,0.039867052662106744,0.0505969951723778,0.056509582685829764,0.05485727872554121,0.05103556713165075,0.03979020003483692,0.030975379853469126,0.028638421380973448,0.03036854137897396,0.03433102100146681,0.03691813587676626,0.03124251980606713,0.02494046673987852,0.0233290664343618,0.023377870054759147,0.025289909470247573,0.028927086675450034,0.03261204903858244,0.03594189831274351,0.038418248513209956,0.04091551848327707,0.04704490087222227,0.053080639766191845,0.03895068417555959,0.024233901521615957,0.00014195164714558552,0.001112216066427095,0.002990343434352332,0.009641866756922628,0.02488480914233569,0.03218269829354136,0.03696022315008129,0.05595432795900782,0.06771027506414111,0.06674518553523451,0.06612348301391781,0.039192582774573624,0.030530201651164383,0.03633846557673933,0.04268417489896302,0.034855556698190925,0.023409992911501226,0.019806149707596674,0.022105975589051165,0.02264421924006625,0.02318582106462249,0.026282277277672947,0.029999637757673756,0.0336770029413196,0.03644700064454911,0.03798229152513709,0.04166521696333469,0.05458510151263147,0.053608285902343435,0.02032908889558811,0.0038151604028839334,0.002408416001289539,0.0010040113107689028,0.0030634249978915076,0.008623954809774332,0.023471816335873728,0.03502635560657533,0.04530214643442346,0.06554048206636236,0.07520225013041824,0.07495776408621675,0.06430750938251667,0.04548054252229442,0.04686240340846907,0.04644208119557144,0.030342116406846798,0.022588891954675006,0.02354181498599807,0.02521115754810611,0.02591430954080225,0.029515510247494086,0.0343690068988996,0.03870614307933283,0.041624368360588124,0.0452473146172596,0.055526215884535206,0.0560964447622292,0.027402558465801353,0.006184049050033263,0.001365648064734135,0.00045803285020409987,0.00015051223707427994,5.981402545033107e-05,0.00041134873277945123
800_0216,0.0009429310887374787,0.0022550685849141157,0.0045923023175361176,0.009765706287756056,0.02018342123673714,0.03291918428753541,0.046016336358185216,0.06149630523837637,0.07239572540842547,0.07129881380502202,0.06080672356990804,0.04155337877400901,0.025719507949402344,0.02258991041714241,0.02533940124096073,0.02541597860810423,0.024235965972563393,0.02398107509558683,0.02588915076525618,0.027793427845182253,0.028296465726040422,0.030016841515569045,0.032413971851679275,0.03501143650772853,0.03710478976842696,0.04075837247715836,0.04740620731403591,0.05073814856515704,0.038432369357690406,0.017850811874237392,0.00524398066660956,0.011536289524326278,0.00039428260494732734,0.0020171062057065168,0.0050718605096188,0.015391830587742027,0.03325062500564283,0.041908023920765605,0.059541215139130785,0.08130262010204883,0.0838621814387032,0.07355346949974666,0.0451309621618622,0.0248625130721034,0.02825545196721806,0.03164104141695986,0.0252198007160727,0.019570692195538628,0.022146053463444025,0.027173129150509814,0.02525368523762326,0.026871884468260197,0.030070297032101276,0.03307641287169201,0.03539369024515548,0.03629076299684728,0.04116961110588729,0.04991525841750972,0.05223231558287213,0.032283168239649836,0.010589064377618137,0.003309727758926741,0.0016172908722200654,0.001633971635875335,0.0006851224544218778,0.0032834954688880087,0.011657982026174376,0.030691916975380075,0.04477306894561499,0.06287425743075721,0.08625163201728898,0.09375723245981918,0.0794769022621758,0.048103854104205555,0.034475147203610355,0.035731764732307325,0.028364922919457344,0.022959309506669995,0.026464719689400878,0.029155882892451024,0.030143736433804674,0.033474631696445774,0.03758533889696441,0.04026838192628798,0.042709829142736466,0.050348903220521456,0.056564662237107315,0.04337059107597862,0.018491121980093627,0.005154273391440379,0.0016618279606593824,0.0005893869824861891,0.0001839563424227163,9.210203826820422e-05,7.357703176656004e-05,0.0005804685543932727
800_0218,0.002716459608659375,0.006378823115420535,0.01102507641771627,0.021972364323733215,0.04361741683125387,0.07284935409660838,0.10446911790580334,0.117640948048725,0.0917106458945833,0.050709879350183514,0.031579493252713677,0.03401009522018498,0.03648661057672722,0.035323141074778484,0.033690545739534776,0.03009451992321784,0.025020842696765296,0.02453327443500657,0.027408504084529963,0.0271337669524454,0.023055375290757272,0.025916153783648622,0.03262974826470511,0.03431202805275041,0.02418333623641013,0.0092045885202434,0.0026782259771128913,0.0016688195678680267,0.0016620206427478096,0.0016664248047690029,0.001946969925519014,0.012705429384877297,0.001538401320015441,0.006986597474345206,0.012989635465307426,0.03421444833796835,0.0642980404341711,0.0938111008665409,0.1412227308050654,0.12092174596837503,0.05899344748774487,0.03372437520906007,0.041807196136492905,0.045440299491825764,0.03445408980394653,0.02518828343160854,0.020893151946452436,0.01999200534489103,0.023334296376761966,0.02925772913919112,0.028595067911077326,0.021421513758932465,0.025068710432733142,0.03341115671131533,0.03666470387845922,0.02658277875758149,0.009437045696924507,0.004313326179506157,0.002535613705664127,0.0011574688311948558,0.0005795326699637691,0.000297005676304221,0.00011640750742266457,0.0007520932431566479,0.002475084003885352,0.009665208815634952,0.027864197223660302,0.0615947933115753,0.09497319406785801,0.1422456524865128,0.13539833663608783,0.07583876164653121,0.04779864567613686,0.0534186316753058,0.04099347215105219,0.026431853630317723,0.023693758575729234,0.023615557173840424,0.028786704011024497,0.033002505527773854,0.027113480281135277,0.027718254304683013,0.0361884212818798,0.039540484048235264,0.025958241056963652,0.008920767803990128,0.003330812684603204,0.0014623194210993272,0.0005844598262249791,0.00025001877274061533,0.00013911646784444236,0.00011938031678697003,9.364349497562186e-05,8.120173726575087e-05,8.632157561538805e-05,0.0006167203130302198
800_0219,0.002894415280328216,0.0066416965360605075,0.011265350981984995,0.022249496218916802,0.04597584559360287,0.07638537320538655,0.10794807559039443,0.12026690212784887,0.09141248412574851,0.04925733166356871,0.0326908009607239,0.03706341817144038,0.0387908406202029,0.037904723221538816,0.036183494125618595,0.030590841456993687,0.024818031035689348,0.024408911909933124,0.025494207536005675,0.022243027605948172,0.020500410798212527,0.026097963097086008,0.03265077813835631,0.0315443150085694,0.018055908194361835,0.005632235074790378,0.002140642950400988,0.0016387061100481177,0.0014640535598951722,0.0015135453306083315,0.0018073579894471875,0.012468815780288689,0.001680738331337881,0.007498278523169966,0.013207173543141739,0.03436746544219218,0.06874189496558038,0.09849099095627349,0.14550404423188001,0.11975483571484724,0.056920133164242874,0.03629211177146627,0.04596973481879846,0.04904868448781467,0.03609813596044534,0.02528440426772108,0.020171805259406244,0.01959397920222569,0.02372874413778509,0.028173754761724925,0.02257135788462813,0.01941156431651039,0.025950065831211813,0.033494918367755894,0.03360224229100985,0.018848629832163993,0.005965272301630487,0.004007787439285874,0.0027862105246700235,0.0011486329811398368,0.0005833863117323132,0.00025676264583556754,0.00011453573856365743,0.000731723993808629,0.0024969947099407882,0.009998411198550855,0.028068412711380508,0.06329804792124653,0.09927578510243751,0.14819727188587759,0.13772557842612426,0.07502561570735576,0.05066564504788315,0.05992148700364819,0.041607494914844424,0.02563503061663333,0.02282580834540257,0.023105224899634652,0.028755296830610864,0.02889859725237544,0.0228522057915171,0.027664991470239205,0.036636985183738334,0.036880425239459794,0.01813190751524005,0.005723401228629079,0.00332841792150418,0.0014108733034892634,0.0005341147491202136,0.00023253975471900455,0.00014027256037500558,0.00011197581938883884,8.899159884073647e-05,8.899159884073647e-05,9.730445465573876e-05,0.0005758992362962847
800_0226,0.0012022261277352324,0.0037848542629755973,0.004692827315669854,0.008567526483877794,0.02893300476816601,0.059091274936640625,0.04826763387936868,0.022140575786930166,0.01745752020574483,0.02098211601928054,0.024291210679916735,0.02708270619901219,0.017651606120816295,0.013862375221832136,0.018726799700252733,0.02908998561820892,0.048984961768570534,0.06670466724463953,0.06854420314285406,0.05809142005377922,0.035414004442478234,0.02715782468748617,0.029083434427202393,0.032996559909045244,0.039558183274357936,0.04236850658609399,0.03193372550928078,0.04068523586159392,0.05402571788391466,0.038031893399900776,0.01853312667537076,0.022062291807003455,0.001313706478896687,0.005311584553634876,0.005778866144083482,0.014360513472441726,0.06051092903815964,0.06518905746308376,0.02984433599440143,0.020230380614288116,0.03276768111400636,0.03145292864662964,0.016067511619830974,0.013106868753109064,0.014326711528929068,0.022660762373658355,0.041725636561062936,0.07607471462681663,0.09217902852553721,0.08902451995184489,0.08744408641053969,0.06301290595638691,0.03953266666064764,0.04804241604400991,0.06880151630894228,0.03646503018282337,0.015284974606702827,0.006878392718687013,0.0021402575862241335,0.00042869012073789973,3.148975845153187e-05,3.7710637306467356e-06,3.303121515894951e-07,7.734809549720677e-06,0.0015885537150317794,0.005972979585167575,0.01162701526196286,0.04815389639517136,0.07454591988520992,0.044860601665786204,0.03204495812632854,0.04470312534751591,0.01975313460726656,0.023001176571883962,0.03674645613597762,0.05730624054343836,0.08354461383096254,0.1254101375882236,0.12215347998165225,0.11001126034124768,0.10283993579612606,0.03956313795663178,0.011686994443488986,0.0035877955385398307,0.0006579818059662743,8.169720549313512e-05,2.4332995167092806e-05,2.625981605136486e-05,3.011345781990897e-05,2.9039943327243113e-05,3.0030879782011598e-05,1.5029202897322027e-05,1.7341387958448494e-06,9.634104421360275e-07,8.533063916061957e-07,5.505202526491585e-07
800_0230,0.004788232475453954,0.011262956218885971,0.013967992532302877,0.01934775901922835,0.041979481449559465,0.08421831299014194,0.10271028827662718,0.10945245475879616,0.09843640687322333,0.06711474978083788,0.0521471500997873,0.04833141165063808,0.03674180423984274,0.028328203218605647,0.02534922802747052,0.019983444754962335,0.014674392594489645,0.010911999557822133,0.010721216764266567,0.01695117920337077,0.02556872045220174,0.029618650216827906,0.02340432255289894,0.013513372907665203,0.010018257453658856,0.011224887743415282,0.012265508650985354,0.011247293917698103,0.014454212019442613,0.013382404139559967,0.005778012837691876,0.012105692621641304,0.0027201480943521246,0.013753812628009721,0.018142697712191975,0.024907573154782734,0.07161420685776472,0.11251045713219907,0.11860361528851995,0.12036866579655106,0.07905107484675168,0.058502658682508146,0.060613518487240815,0.04260379894207624,0.025018172673539948,0.014421566168460518,0.014249280855393964,0.016012872484755542,0.013485791843007479,0.012866016142575057,0.021988467041123203,0.032655842924680684,0.041515420402588855,0.03413754065867326,0.02483352818080142,0.01285228066227146,0.0037836155924071365,0.002794716062573453,0.0022578762382026263,0.0015817547899115623,0.0010311519592245064,0.00048550381081129287,0.00023587040224753197,0.0004005034838022628,0.004016843497441952,0.014025632002755244,0.024676217018606925,0.06093854564440487,0.11471410712551576,0.12781191982046874,0.1379512917297104,0.09811721523073735,0.07375182194677614,0.06566426654517052,0.03039072734515572,0.01778103343221411,0.01980196575367654,0.023473578000682206,0.025518925895349622,0.03029485424315687,0.03824811022912873,0.039243946314145794,0.02912535654444163,0.011314127076369711,0.0036710892527656485,0.0030030054001632623,0.002486452247102557,0.0016866839500664919,0.0010656695790656086,0.0003840154022354205,0.00016369719712522728,0.00010492916015492961,0.00012455520716187212,0.00012386705684606065,0.00011348975008362402,0.00021206040132045587
800_0232,0.002995353168651439,0.007401276854653184,0.009944019797589118,0.01331279085361248,0.025427319325308805,0.05930559247099694,0.09254534470164995,0.09789626392733661,0.094697741259445,0.07632924766562897,0.05013483342027883,0.04443471919833681,0.04668546619926763,0.037925312678987896,0.03129908576202683,0.028290988049526563,0.022905028209758788,0.017181929767268664,0.014417932734793033,0.01197854996929198,0.014365082790538716,0.023256617969113172,0.03144332206822091,0.03082472998633168,0.020602972721281063,0.012045823544165708,0.01033254946589626,0.012407185038004614,0.01207709309451618,0.013359640127112925,0.015004842376142302,0.019171344804266927,0.0015261522443939972,0.008755804410283806,0.013050660635313583,0.016617976820454867,0.04094450337457904,0.09784531327795393,0.10675030867670567,0.10847718060521554,0.09464877248297186,0.05650853669734973,0.05339782200975566,0.05905458276180156,0.04094632009141279,0.022442370989432435,0.015301793000421258,0.017737074390040075,0.018616613071685002,0.01888353281618195,0.015537911136782483,0.019298625086679413,0.0302540882184482,0.04204758080481216,0.04091744530416134,0.03295295870503543,0.01690529334031246,0.004155134184907421,0.0014862395260769332,0.0011605792706223235,0.0009713104077615428,0.0010768451401943866,0.0007609015671990344,0.0009697689510541252,0.002279016215904354,0.008878653004662467,0.015967867454101475,0.03766720125853334,0.09069606459496353,0.11583562698421263,0.12273953631660993,0.11113957912506477,0.07249341522725807,0.07030391360443446,0.055636567669178724,0.02348976329611009,0.020155564911953094,0.02460021769772871,0.028146283801117732,0.031091814886904424,0.03229046263299744,0.03657095027943307,0.03833858823265162,0.033155660262060856,0.017304585679558896,0.004476115018214513,0.0016809310134263081,0.001164267756315073,0.001104646412953169,0.0011445316052576006,0.0006740569973436297,0.00027616848474145035,0.00011632492938476719,9.001006130813741e-05,0.00010432358787701554,0.000387290997738683
