,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_0569,0.0005538509001776858,0.002690117214570113,0.008466203231377716,0.0195253843787456,0.030258932796671512,0.03840385240860318,0.05829937907921744,0.08749275240087387,0.09317946145466388,0.07871165158498084,0.057774870908505964,0.03535939283341544,0.015398078992609596,0.005528654689254439,0.003060397136501937,0.0034228321448335104,0.005353093780684623,0.010915302679338029,0.022054832257580058,0.03751033051254096,0.05556681675316808,0.06886042197597574,0.07110951741614861,0.05887635183000639,0.04028803549930755,0.0271066263039898,0.0190621766381666,0.013230735809955124,0.008953633863073282,0.005995936279703045,0.004095155003381296,0.012895221241978094,0.03936250085055379,0.16353146300316726,0.16002731901701747,0.10691411597788142,0.03841530322985828,0.013439135251595465,0.005112131066100086,0.004195377215376075,0.0036968536005896288,0.003489445095404059,0.004963105233707959,0.007652947188151747,0.013984673295958145,0.032132435794474494,0.06221118331245394,0.09241247663867308,0.09558859313228188,0.06575603827128712,0.03648297714305974,0.020881811229247864,0.012474018196676224,0.0078006242459248845,0.00438335235564313,0.0020642857913585498,0.0012906121542980546,0.0007772520187027145,0.00047366762537933603,0.00023944878388975152,0.00012761059456407496,6.482375974943841e-05,1.1037931065615629e-05,4.3380995908753693e-05,0.4719491213586664,0.05366620063292212,0.010445488695727236,0.008071645366304064,0.006704593474925674,0.00554580339512446,0.006117078261298492,0.012262728523709477,0.03433091089741628,0.07640458636220401,0.10875728530976343,0.10504113597431844,0.06434593569615157,0.025849210520926487,0.007754876012929739,0.0020033707254029204,0.0005762020224352418,0.00013633634056856408,1.6212821440517718e-05,3.7435377180142776e-06,3.7435377180142776e-06,2.642497212715961e-06,2.4498151242887557e-06,2.1470289853317184e-06,1.8717688590071388e-06,1.156092530563233e-06,6.606243031789903e-07,5.780462652816165e-07,3.8536417685441093e-07,1.9268208842720547e-07,4.679422147517847e-07,1.2386705684606066e-06,0.65,49,-29,18,3296
800_0580,1.5744879225765937e-05,0.00022015304903439848,0.0004986337188369754,0.0005648613052306691,0.002527823844089141,0.010094036566436013,0.021418403319505,0.027605177444788874,0.033105617971095035,0.04215790506344305,0.04687856117788432,0.05452993938331602,0.06716958159800174,0.08243206745238385,0.09124991549514122,0.06995053465425896,0.044060172744446964,0.0364462299161954,0.03891613902970585,0.041085629241345664,0.04320983916220507,0.0502394597942948,0.05048221169970045,0.03564255292536553,0.02365673608873858,0.013496994930148887,0.011726163959464974,0.012252764107136526,0.013479956328329398,0.011300942116318763,0.0077617024640625875,0.0158235485698695,0.0009337374005182377,0.006028499552647243,0.024501949832630838,0.05087877896369628,0.07728338184150786,0.09992286660740132,0.1475413820568714,0.13705399876991756,0.06813056975102612,0.03983594826783207,0.039185398485276565,0.0475344234808779,0.055526766404787854,0.06632998316068651,0.0577377658434774,0.042944488400428166,0.018871256214547872,0.011280049872730728,0.005072300925820919,0.0030440742110108897,0.0002616898020967775,6.0970117980894315e-05,2.504867149553671e-05,9.524000370830442e-06,3.5783816422195298e-06,1.3763006316228963e-06,1.101040505298317e-07,0.0,2.7526012632457924e-08,2.7526012632457924e-08,0.0,2.7526012632457924e-08,0.2988726005850049,0.3027931580902585,0.13037772956199067,0.07581734640870315,0.05054287903154239,0.045193886626739996,0.048146189111634284,0.03408449803233051,0.013247003683420909,0.0009075601625047703,1.3460220177271926e-05,1.3763006316228963e-06,3.027861389570372e-07,1.9268208842720547e-07,1.101040505298317e-07,4.128901894868689e-07,3.8536417685441093e-07,1.101040505298317e-07,1.101040505298317e-07,2.7526012632457924e-08,2.7526012632457924e-08,0.0,2.4773411369212126e-07,2.4773411369212126e-07,0.0,0.0,2.7526012632457924e-08,0.0,0.0,0.0,0.0,1.101040505298317e-07,0.65,50,-29,18,2559
800_0584,0.0004871553715692404,0.005392758764887993,0.021428670522216902,0.04869092890163062,0.060732843752002524,0.05798079300900937,0.061574506640265175,0.05206988458232799,0.046776081832853686,0.0439759981978169,0.047550608776305785,0.05086058426934622,0.052454037614626574,0.048517597600084034,0.05027576660495702,0.04623629672513118,0.03586011852921248,0.030068260107166477,0.024796725901911825,0.020688440990504847,0.019436778144081717,0.01750026810336304,0.01672642931022675,0.018699961837936086,0.02120251680242863,0.026511156072711838,0.02754442753490904,0.019113209865587174,0.007159405781651777,0.004851487252483342,0.0033868281203102554,0.011449472480483506,0.052448202099948486,0.14262468568046174,0.10504942130412083,0.07859463850528026,0.07070295820956721,0.0859408358086559,0.08705489611792938,0.07713738387050531,0.057603631583919436,0.04318286366982526,0.031694772193618416,0.023798329897719944,0.020030844548715426,0.024983132059458832,0.03939220141818421,0.03488415622531605,0.0102359056355437,0.0047892509379213535,0.0008929713758095676,0.000629299700803253,0.0005387941712677313,0.0005238475464083069,0.0005093963897762663,0.0004972574182053524,0.0004812097528406294,0.0004530781679302575,0.0004182852879628306,0.0003987418189937855,0.0003784000956583991,0.00031275055552998696,0.0002586894667198396,0.003559168485402074,0.4825202112500355,0.20645671072076527,0.09034563092813973,0.05986431547541057,0.05054535637267931,0.053893648075304126,0.03892687417463251,0.010286663602837956,0.0019529981222855227,0.000945656163988092,0.0005940664046337068,0.00043843432920978977,0.00035258069580915364,0.0002760308546782881,0.00022810806668517881,0.0001830479840058452,0.00015164080359221068,0.00014475930043409622,0.00015654043384078823,0.00017250552116761386,0.00015612754365130138,0.00012667471013457136,0.0001214172417217719,0.00010974621236560976,9.515742567040704e-05,8.461496283217567e-05,6.928297379589661e-05,6.18234243725005e-05,5.585027963125713e-05,5.293252229221659e-05,4.7564949828887296e-05,0.0005830284735680912,0.65,50,-29,18,2717
800_0594,2.7526012632457924e-08,5.229942400167006e-07,8.643167966591789e-06,6.96132859474861e-05,0.0002510647612206488,0.0007041429291509062,0.0021876298539645934,0.0062213467971502425,0.011842543940875005,0.020492290624485952,0.031982061187463384,0.04286917722986577,0.05604698051752868,0.06967772434305868,0.07966941919452722,0.0785871239038316,0.06757702163698738,0.054675084047926974,0.049058098384134975,0.04766517204088208,0.044650908501552136,0.042622791890792634,0.03900689229335506,0.02905378891159724,0.022951134280918155,0.025042643298770203,0.032482153784969874,0.03965089088490405,0.0320368654786146,0.02506210418970135,0.020527000926415486,0.027327137191188417,0.00030311645110862667,0.000983339275281927,0.006214437767979496,0.019888590115430885,0.04194931293971429,0.07783602159712973,0.11973548492796662,0.14679941838636348,0.1267556366117108,0.09665032649154104,0.07739249495558292,0.07347521304583257,0.059629463535630436,0.04685574211341202,0.043936305687600895,0.03698097776360616,0.014457184828806919,0.007311597105496636,0.0021433404996389687,0.0002379899052202312,0.0001038831716748962,9.535010775883426e-05,5.959381734927141e-05,3.5921446485357594e-05,2.8764683200918532e-05,1.835985042584944e-05,1.7176231882653747e-05,1.6350451503680012e-05,1.4258474543613206e-05,1.329506410147718e-05,9.193688219240946e-06,5.185900779955073e-05,0.21386897045445888,0.3263493691808633,0.20622375807585688,0.11678885280167466,0.07738555840039954,0.04235823938338208,0.013712330926972608,0.002060266993514211,0.00039177773779777367,0.00020718829708451082,0.00015554949738601974,0.0001093883742013878,8.318361017528785e-05,8.100905517732367e-05,5.929103121031437e-05,3.360926142423113e-05,2.1855654030171594e-05,1.9460890931147755e-05,1.6956023781594087e-05,1.6763341693166876e-05,1.2469283722503438e-05,1.0735144926658591e-05,1.1340717204572666e-05,7.0466592339092285e-06,4.762000185415221e-06,4.073849869603774e-06,4.211479932766062e-06,1.7616648084773071e-06,5.505202526491585e-08,1.3763006316228962e-07,0.0,2.7526012632457924e-08,-0.05,50,-29,18,2621
800_0699,0.05621681601547094,0.07297118422851964,0.06928809363424622,0.07423300417360414,0.07901284121520519,0.08172663080063923,0.0736660508914134,0.04587966970546506,0.03775754163199307,0.03093590755135418,0.023488827411680586,0.021173531911126645,0.0250018497480489,0.029635303454470543,0.024041522219327708,0.01759795792219563,0.013985361446273957,0.011511020644729685,0.010240557531678587,0.010315373234013608,0.011950088072230018,0.016253367257125333,0.024512051879266944,0.029558285671124927,0.02166209110934015,0.013971846174071422,0.012137540218257057,0.01156978868169998,0.010024120494349573,0.009085153151431165,0.007390238923587569,0.02320638299605893,0.10047198303340622,0.15934470142974513,0.15141935682058258,0.09821457473741836,0.0558503346832824,0.03406156886380768,0.025269375064823758,0.022310191076771367,0.01914904873403464,0.017702171406022118,0.024514419116353336,0.035783596214094236,0.033532876739176064,0.02461841239207876,0.02532852846597091,0.03376145274807599,0.032629087640401934,0.023805293978915957,0.01833108574264852,0.014137828030245143,0.009218709364723852,0.006767793199929798,0.006180277986302616,0.005882776841771011,0.005761139391948179,0.005039104554586175,0.003382341380251165,0.0018434996440336046,0.001020857230499967,0.0008801442539228422,0.0006300979551695944,0.0031573712790060864,0.26797024724304963,0.14339571682030952,0.08352218013066709,0.07307236985095655,0.048461196800200126,0.03208971542286892,0.025659033299648838,0.027520617533981964,0.037266780352768966,0.04098243421998657,0.031620589589573936,0.03646384656428018,0.04084188639948525,0.033102369901604416,0.02186790310579304,0.010924854205721491,0.00678574016016616,0.006846187283907039,0.007241763611448091,0.0069828539366271905,0.005919716750723769,0.004112276183238684,0.0024196466144435816,0.001381392943959901,0.0008106135460132534,0.0006304007413085514,0.0005483732236638268,0.0004813198568911593,0.00038825440818081915,0.0003017126244643713,0.0002047109559475896,0.0001832957181195373,0.35,28,-33,18,4036
800_0748,7.707283537088219e-07,4.541792084355557e-06,3.3141319209479345e-05,0.00022863106092519555,0.000840341639656308,0.001289125749615902,0.0016368343411891106,0.003469626366308689,0.005789959127174362,0.01115563229563202,0.02293998624580201,0.0362913685691252,0.0570736457366941,0.10136655091794848,0.13213518289053522,0.10824654014536818,0.09709456880941628,0.08326508717267993,0.07359528151293536,0.06526390069143141,0.05418715794800402,0.033670616906388874,0.00871944254759633,0.0028794961814814237,0.003737454469222505,0.005560557337895458,0.009631131611995969,0.014102209369898741,0.014863413723236732,0.014774174390282302,0.014847723896036231,0.021305904505876144,6.273178278937162e-05,0.0017073559855534676,0.015874113855075322,0.06938473746459879,0.15991008572921586,0.2262868355853649,0.1575054132656443,0.07391031672751383,0.037430174763755236,0.050601041496234775,0.058808224948741064,0.03288224437858265,0.005454141773058376,0.0031292396940957143,0.003985078478864096,0.006681884514503897,0.010013440401448177,0.018204768870678168,0.01949634443541836,0.017329221460864946,0.016345579399444064,0.009253144406527056,0.005012404322332691,0.0007019133221276769,6.11077480440566e-06,3.5233296169546143e-06,3.5233296169546143e-06,2.8902313264080816e-06,2.5599191748185868e-06,2.2846590484940083e-06,2.4773411369212133e-06,6.1933528423030325e-06,0.3737267842856857,0.27863434753110383,0.1250677690431011,0.0610929941012856,0.027808649730168004,0.013685080174466476,0.007980176426326407,0.008292321409578479,0.014520522183874203,0.02579938843806174,0.028736138725818674,0.02083163130821889,0.010514441357371543,0.0030032256082643217,0.00029056458934822587,1.3157434038314888e-05,9.083584168711115e-07,1.9268208842720547e-07,1.101040505298317e-07,2.7526012632457924e-07,3.3031215158949514e-07,5.505202526491585e-08,1.3763006316228962e-07,8.257803789737378e-08,5.505202526491585e-08,2.7526012632457924e-08,0.0,2.202081010596634e-07,1.3763006316228962e-07,2.7526012632457924e-08,0.0,2.4773411369212126e-07,0.6,52,-33,37,3140
800_0868,0.141932213780667,0.11209354814486787,0.07562257234331587,0.04422282395309215,0.03022716777809365,0.02683169648981681,0.02478078834059763,0.020684146932534186,0.017903331506340117,0.016961804244246897,0.01475567690979329,0.014224782704151074,0.016395621690409867,0.01756652321576936,0.01679485897763104,0.0143079112623011,0.011970622477653832,0.009601898986580298,0.007971615836397713,0.006626832489238981,0.005816879567528906,0.005375059538765325,0.004482501053145243,0.003712736109878558,0.003245564623480481,0.003026402510900852,0.0022042830916072305,0.0013594271858791995,0.0010699911630489042,0.0010268303752412103,0.0009621992975801993,0.32624168741944515,0.2086172549782996,0.14242311268995425,0.04817473358673414,0.03331531113532911,0.026685781096852147,0.02237548277873556,0.01876489570173605,0.016488301774943356,0.01457681287970758,0.014221094218458328,0.012928913081440223,0.01315341524047055,0.01716725840253556,0.017273563863322114,0.013514088583993646,0.008931943365118905,0.007474963990470275,0.007205759586924836,0.005562897048969217,0.005014799085431715,0.0046971488996531505,0.003562416554892705,0.0029156103100552084,0.002623256529885873,0.002292669118170053,0.0016938957653761955,0.0011018662856772908,0.0010339871385256496,0.001366363741062579,0.0032576485430261307,0.00853611930346416,0.3130486347207838,0.28220832501130216,0.1167737134947268,0.03819286552177538,0.029222495843021574,0.024915968588635637,0.022582808705883237,0.019393534778236132,0.017441610170443274,0.01551134853459216,0.016969401423733457,0.021901787627343596,0.01549623675365694,0.008773751370520168,0.007234909634302609,0.006548933873489125,0.005641511341047518,0.0059341128553305434,0.005170155900729307,0.0038154081369976257,0.002659260554409128,0.002304147465437788,0.002203292155152462,0.0017902092835771664,0.001410487939312409,0.0026590128202954354,0.007007572295971138,0.013871981800240863,0.010799060327991158,0.009078904746563598,0.011720135762698465,0.014080050929729613,0.2566870043528535,0.35,50,-33,18,4248
800_0887,0.01970752400433457,0.04056951650448707,0.049844268830930606,0.059701333954613786,0.06569693992216524,0.06022986092316961,0.04298930074899381,0.028197950126828856,0.020007640120066263,0.017381548410879247,0.02042520973170065,0.025434613718656403,0.0272603866105547,0.02950469252452953,0.029372787871994793,0.03185761608435204,0.031488519780963405,0.028422947754086568,0.027308942496838358,0.0268812157865426,0.02782169706015579,0.029878000307850924,0.032011293812879045,0.031040451347332257,0.02933416887627145,0.0257858731658592,0.02403056686629999,0.02190021864462354,0.02030205835118304,0.01824790213247323,0.014302956580027256,0.043061996948356135,0.0925991580563464,0.13124311987314252,0.07334413417367681,0.050126603142501724,0.03164368391417257,0.02517897963933877,0.020039983184909405,0.02033539235248094,0.025844751306880027,0.032872582748148665,0.03683197945722667,0.03383778238110579,0.03320413357030661,0.0302466286690248,0.03327115941106665,0.03709917446184994,0.036603871390541484,0.0349096453130137,0.03650238298196562,0.034179462775912495,0.03003762365510655,0.029225633808461673,0.02473649898627201,0.018150680255855388,0.013775310443875671,0.010186661598944234,0.007232542397216217,0.0057474589636698475,0.004207075770744868,0.002594739580798646,0.0017814835375726766,0.002409682197870632,0.23360429573155225,0.096477628288285,0.04939779690603214,0.027771599717164714,0.026997155351750516,0.029364172230040838,0.03504441267086222,0.03995739303556648,0.04150355669114426,0.03951884860230615,0.0365070348781005,0.03793169871391863,0.04482349660075765,0.044652174698133235,0.04266892548796464,0.039782740485413526,0.034486102556638074,0.027509441972853186,0.023099196702868145,0.018232377461348526,0.012799981238269791,0.008068700082952391,0.004300911947808918,0.002387771491815195,0.0016572586425623946,0.0007923913256505662,0.00026713995259800417,8.378918245320193e-05,6.033701969034776e-05,4.9188984574202316e-05,3.919704198862008e-05,0.00016328430693574042,-0.05,28,-57,18,4249
800_0904,0.03693101805067825,0.052004262568212216,0.06283360151009908,0.06635192139275459,0.051672298855864766,0.042396803327080165,0.03775605522731092,0.032784196721585834,0.029164691216493413,0.03133778733578807,0.03571040454650454,0.03789151073547524,0.04132639927384177,0.039732450460334016,0.03500518810286096,0.031926128329794225,0.030273576635391982,0.03268210274073205,0.03714109657908917,0.032904155084638086,0.02751604821588497,0.02481847145189147,0.023960843476301976,0.02540970267722403,0.02460170410241086,0.020190275213882624,0.014461974355004969,0.007840812224368273,0.0042179760717473225,0.004300251323505739,0.006335855009701268,0.0185204371835472,0.1185296253665639,0.1237248574648014,0.06304098248927201,0.046334619642254334,0.02955316583277529,0.02530645260383968,0.03006801237305278,0.030238508495298223,0.03389137552770119,0.02943499666054415,0.03323598116692236,0.03942980195144015,0.04452946373381773,0.0467944967353048,0.04123754530506419,0.0372575591385371,0.036891655852613836,0.03821064732593596,0.02552093529427179,0.015563235068404345,0.0164755297050819,0.022057942697007525,0.020629507797458757,0.012673003741996262,0.008491059220784827,0.0034617539266958057,0.001681701741780017,0.0036244877133788968,0.0074297112257025125,0.011024415793413091,0.003135047682761163,0.0005219207255240348,0.2462174028700603,0.09037882729937444,0.035911014126569885,0.029650855651607883,0.03377615163882172,0.03923153208244856,0.04251029307716378,0.04776258659958834,0.053766780683081127,0.0528327129704113,0.047097695764451324,0.042362643545403283,0.04204617697816791,0.04372209825729511,0.03016790427289597,0.0162982071317036,0.01496247984270095,0.02064690423744247,0.019225598575165502,0.013055615317587426,0.007203062037686855,0.0031982749337779192,0.0028467402264487985,0.00516963290648929,0.010103422936743682,0.00809933653501232,0.0016467161797241632,0.00010294728724539263,3.908693793809025e-06,1.7341387958448494e-06,5.229942400167006e-07,2.202081010596634e-07,0.35,28,-33,18,4036
800_0924,0.1939995659698328,0.14784237900500732,0.06936915774144882,0.031757311294319364,0.02075444836879748,0.018454457331267198,0.01851311526418696,0.02001999929973824,0.022454454908978082,0.02770121570286352,0.0312015335732574,0.03129608542664989,0.030623129469811564,0.02948520410758575,0.02598529912738136,0.02150868864093946,0.01852484134556839,0.01493707333304119,0.011427534248415435,0.008549386841553005,0.006644586767386915,0.005417311968156147,0.004226949551865504,0.003172400481903409,0.002553367983812062,0.0025258419711796038,0.0035145488189248604,0.005290417049920516,0.006469906691221338,0.007958568506409927,0.009047662722225758,0.14877355648635074,0.3652942178417448,0.06151472014082749,0.023919912295517508,0.01954712992872524,0.02187982186926289,0.01734202105673904,0.016517809660485352,0.02021802143461614,0.026315859013084544,0.03549363719702393,0.038629290452063016,0.03934081035259941,0.03669836819190872,0.028412983337513617,0.019871138623421908,0.013996069065187985,0.009315160512987985,0.0064969647616390435,0.00497251913002826,0.0036012007066918384,0.003169097360387513,0.002753812407801621,0.0025816371987855964,0.003019768741856429,0.005157879299095231,0.0069814776359955685,0.008339693677318941,0.010163677378396132,0.010724960301984582,0.01076401971391004,0.009678916769925916,0.11728740394247372,0.4078670224935969,0.03969033566100636,0.024621660461569397,0.02305837562613421,0.021039480229606583,0.02612711314446378,0.035517860088140486,0.04753290955018311,0.05342413687783229,0.044719861163196435,0.031026853497091826,0.019436282675854337,0.011586496971367882,0.007290209393681218,0.006329799286922127,0.005075961885501037,0.003863688763154957,0.003314242024998464,0.003402958363712876,0.0029458338719256477,0.002585380736503611,0.0050249011320678254,0.008026227445460509,0.009489317594913544,0.011663982696928251,0.012443546900692092,0.01246267747947165,0.013356171849521236,0.013251930839682116,0.013389891214995996,0.014599108949939871,0.06583578112988336,-0.35,28,-33,18,4357
