,Exposure,Contrast,Highlights,Shadows,Temperature
800_0569,0.65,49,-29,18,3296
800_0580,0.65,50,-29,18,2559
800_0584,0.65,50,-29,18,2717
800_0594,-0.05,50,-29,18,2621
800_0699,0.35,28,-33,18,4036
800_0748,0.6,52,-33,37,3140
800_0868,0.35,50,-33,18,4248
800_0887,-0.05,28,-57,18,4249
800_0904,0.35,28,-33,18,4036
800_0924,-0.35,28,-33,18,4357
800_1015,0.35,28,-33,18,4036
800_1258,0.6,38,-38,18,3900
800_1261,1.15,38,-38,18,5400
800_1264,0.6,38,-38,18,4450
CAR_3552,0.0,26,-29,18,3350
CAR_3554,0.0,26,-29,18,3221
CAR_3556,-0.2,49,-29,18,3296
CAR_3557,-0.2,49,-29,18,3296
CAR_3560,1.25,49,-29,18,3296
CAR_3561,2.35,49,-29,18,3296
CAR_3563,1.9,49,-29,18,3059
CAR_3566,0.2,49,-29,18,3296
CAR_3569,-0.2,49,-29,18,3296
CAR_3570,0.35,49,-29,18,3296
CAR_3571,0.3,49,-29,18,3296
CAR_3572,0.35,49,-29,18,3296
CAR_3575,0.57,49,-29,18,3140
CAR_3576,1.0,49,-29,18,3196
CAR_3579,1.1,49,-29,18,3068
CAR_3585,0.15,50,-29,18,2748
CAR_3588,0.7,50,-29,18,2581
CAR_3590,0.65,50,-29,18,2644
CAR_3591,0.65,50,-29,18,2644
CAR_3595,1.05,50,-29,36,2644
CAR_3597,0.65,50,-29,18,2578
CAR_3599,0.65,50,-29,18,2587
CAR_3600,0.65,50,-29,18,2644
CAR_3601,0.65,50,-29,18,2644
CAR_3603,0.65,50,-29,18,2644
CAR_3604,0.65,50,-29,18,2559
CAR_3606,0.65,50,-29,18,2559
CAR_3689,0.35,28,-33,18,4036
CAR_3802,0.35,28,-33,18,4036
CAR_3804,0.35,28,-33,18,4036
CAR_3939,0.35,28,-33,18,4036
CAR_3944,0.35,28,-33,18,4036
CAR_3946,0.35,28,-33,18,4036
CAR_4000,0.6,38,-38,18,2993
