,Exposure,Contrast,Highlights,Shadows,Temperature
800_0291,-0.35,45,-17,18,4400
800_0343,0.6,67,-42,13,4600
800_0469,0.7,50,-27,23,4550
800_0501,0.7,36,-27,23,4377
800_0502,0.7,36,-27,23,4377
800_0504,0.7,36,-27,23,4377
800_0517,0.15,51,-22,19,4393
800_0610,0.0,29,-73,0,4437
800_1011,-0.15,59,-33,18,4297
800_1016,0.35,28,-33,18,4036
CAR_3282,-0.6,45,0,35,4716
CAR_3283,-0.6,45,0,35,4716
CAR_3309,0.25,67,-17,34,4500
CAR_3314,0.25,45,-17,18,4500
CAR_3337,0.25,45,-17,18,4450
CAR_3368,-0.2,53,-37,0,4200
CAR_3382,-0.4,64,-37,0,4086
CAR_3522,0.7,36,-27,23,4377
CAR_3525,0.7,36,-27,23,4482
