,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_0206,0.0008639314324823244,0.003473507534089865,0.004718894449632792,0.006115536804591075,0.01415830738364369,0.0462871923224886,0.08385221702213025,0.05897910643516336,0.024699751759407675,0.016435066466512185,0.02070382803156639,0.02084476121624457,0.01854724751985121,0.015866874513752988,0.014873791029999169,0.01569257980176426,0.01987920374512321,0.030252574287753405,0.05229353343496671,0.073137716604946,0.08535351327711714,0.07657692672729582,0.05269062369320255,0.03368985758921896,0.032839083590774955,0.03379880554721823,0.03381859675030097,0.026755724694951227,0.0251768050843408,0.01928830283194224,0.01520751640715509,0.023128622010372243,0.0007721597063657098,0.004987575858938214,0.005446957483761304,0.007384375882896855,0.025138819186908013,0.08501067678977987,0.08529408461584366,0.035170151496567284,0.01853147511461281,0.02834917804023158,0.027411008951679517,0.013546018758647298,0.010292746851629729,0.014364449692248168,0.01834870239073329,0.0338533896302684,0.048753165216192614,0.0630329173675707,0.07613684083732809,0.09439622131706904,0.09306085186623064,0.08137410515685534,0.047762834333702035,0.0328795743553573,0.021645988391950158,0.016025231664427514,0.008262015269670143,0.0020853707170350125,0.00042954342712950587,7.063174841488704e-05,3.919704198862008e-05,0.00014374083796669528,0.0009574923494200488,0.0052102613011347975,0.007042420227963832,0.018712899063873342,0.07286669548456683,0.09982027715832016,0.04968403991139707,0.028678829567517893,0.036673704884590035,0.018165736984765344,0.014725067983746,0.034000791427915206,0.04139967351946937,0.04520492455780562,0.07475008032090485,0.10343967255936204,0.1155774605117328,0.1087479264654684,0.08082950299692215,0.031326804456747716,0.008920850382028025,0.0022577110821268317,0.0004859992790386771,9.906611946421607e-05,6.0309493677715306e-05,5.909834912188717e-05,5.670358602286333e-05,4.684927350044339e-05,3.528834819481106e-05,3.6279284649579545e-05,3.633433667484446e-05,9.124873187659804e-05,-0.2,30,0,35,4716
800_0208,0.002616815442929877,0.009324767091396713,0.01185749056573443,0.014531174750762968,0.02571975568351604,0.07820181477900245,0.13417453011444874,0.07747843116702145,0.029172205817942068,0.033147595140359545,0.04273796072764685,0.03764919924627171,0.03014142424874355,0.01801632578819636,0.010432166105613127,0.009796700577980202,0.014132598087844976,0.019419656964224333,0.028437233754642813,0.04249829173565603,0.040893745407284784,0.02134730362887536,0.014875635272845543,0.02384677567995307,0.029541109439242274,0.039192169884384134,0.03932085399344088,0.031525377111878264,0.025151646308794736,0.017609849159652854,0.019618780139607533,0.0275906161841063,0.0026612424273186647,0.013545082874217794,0.013924969374558343,0.01649504564803831,0.046239627372659714,0.14675166075444618,0.1129411291258465,0.03574984932260685,0.03689702342507717,0.05926576233071777,0.04071653293795703,0.018089352299710273,0.010396657549317257,0.009956048665109504,0.01189971546911262,0.016490146017789732,0.02357853468684977,0.032282369985283485,0.06055722779140744,0.07476194403234945,0.06750270140287976,0.04620965154490297,0.03546302827097664,0.02543899035466497,0.02430802907363517,0.013503408491092252,0.003548846230664903,0.00016812888515905302,0.00010000200389371964,9.32856568113999e-05,0.00010305739129592249,0.0003609486036494208,0.003469929152447646,0.013972231538248276,0.0165090288624556,0.03433919622721865,0.1286857881435114,0.14586788306685586,0.05488458453007261,0.05683884884893922,0.06460968994919579,0.02335141755661936,0.014282064336439224,0.01550017297346338,0.022763984921030076,0.043349175838150567,0.07040600758528825,0.09038758057139157,0.09366144193585822,0.06455083933418759,0.02723723723393081,0.01050073340308058,0.002504867149553671,0.0007982543663412799,0.00025629470362081576,0.0001868740997617569,0.00018976433108816492,0.00017971733647731782,0.00010759918338027804,9.31480267482376e-05,8.780798029754078e-05,0.00010561731047074106,0.00012177507988599388,0.00020044442398955858,-0.05,30,0,39,4716
800_0215,0.00044526078034263936,0.0012309632849235187,0.002614613361919281,0.005666752694631481,0.012789879191633678,0.02343636283160312,0.03162323208678665,0.03986705266210674,0.0505969951723778,0.056509582685829764,0.05485727872554121,0.05103556713165075,0.039790200034836916,0.030975379853469126,0.02863842138097345,0.030368541378973962,0.03433102100146681,0.03691813587676626,0.03124251980606713,0.024940466739878518,0.0233290664343618,0.023377870054759147,0.025289909470247573,0.028927086675450037,0.03261204903858244,0.03594189831274351,0.03841824851320996,0.04091551848327707,0.04704490087222227,0.05308063976619185,0.03895068417555959,0.02423390152161596,0.00014195164714558552,0.001112216066427095,0.0029903434343523322,0.009641866756922628,0.02488480914233569,0.03218269829354136,0.03696022315008129,0.055954327959007816,0.06771027506414111,0.06674518553523451,0.06612348301391781,0.03919258277457362,0.030530201651164383,0.03633846557673933,0.04268417489896302,0.034855556698190925,0.023409992911501226,0.019806149707596674,0.022105975589051162,0.02264421924006625,0.02318582106462249,0.026282277277672947,0.029999637757673763,0.0336770029413196,0.036447000644549116,0.03798229152513709,0.04166521696333469,0.05458510151263147,0.053608285902343435,0.02032908889558811,0.003815160402883933,0.0024084160012895393,0.0010040113107689028,0.0030634249978915076,0.00862395480977433,0.023471816335873728,0.035026355606575334,0.045302146434423464,0.06554048206636236,0.07520225013041824,0.07495776408621675,0.06430750938251667,0.04548054252229442,0.04686240340846907,0.04644208119557144,0.0303421164068468,0.02258889195467501,0.02354181498599807,0.02521115754810611,0.02591430954080225,0.029515510247494086,0.0343690068988996,0.03870614307933283,0.041624368360588124,0.0452473146172596,0.055526215884535206,0.0560964447622292,0.027402558465801356,0.006184049050033264,0.001365648064734135,0.0004580328502040999,0.00015051223707427994,5.9814025450331065e-05,0.00041134873277945123,0.25,44,0,39,4716
800_0216,0.0009429310887374787,0.002255068584914116,0.0045923023175361176,0.009765706287756056,0.02018342123673714,0.03291918428753541,0.046016336358185216,0.061496305238376375,0.07239572540842547,0.07129881380502202,0.06080672356990804,0.04155337877400901,0.025719507949402344,0.02258991041714241,0.02533940124096073,0.025415978608104232,0.024235965972563396,0.02398107509558683,0.02588915076525618,0.027793427845182253,0.028296465726040426,0.030016841515569045,0.032413971851679275,0.03501143650772853,0.03710478976842696,0.04075837247715836,0.047406207314035914,0.050738148565157036,0.038432369357690406,0.017850811874237392,0.00524398066660956,0.011536289524326278,0.00039428260494732734,0.0020171062057065168,0.0050718605096188,0.015391830587742027,0.03325062500564283,0.041908023920765605,0.059541215139130785,0.08130262010204882,0.0838621814387032,0.07355346949974666,0.0451309621618622,0.0248625130721034,0.028255451967218063,0.031641041416959864,0.0252198007160727,0.019570692195538628,0.022146053463444025,0.027173129150509814,0.02525368523762326,0.0268718844682602,0.030070297032101283,0.03307641287169201,0.035393690245155485,0.03629076299684728,0.04116961110588729,0.04991525841750972,0.052232315582872134,0.032283168239649836,0.010589064377618135,0.003309727758926741,0.0016172908722200654,0.001633971635875335,0.0006851224544218778,0.003283495468888009,0.011657982026174376,0.030691916975380075,0.04477306894561499,0.06287425743075721,0.08625163201728897,0.09375723245981918,0.0794769022621758,0.04810385410420556,0.034475147203610355,0.035731764732307325,0.028364922919457344,0.02295930950667,0.02646471968940088,0.029155882892451024,0.030143736433804674,0.033474631696445774,0.037585338896964415,0.04026838192628798,0.04270982914273647,0.050348903220521456,0.05656466223710732,0.04337059107597862,0.018491121980093627,0.005154273391440379,0.0016618279606593824,0.0005893869824861892,0.0001839563424227163,9.210203826820422e-05,7.357703176656004e-05,0.0005804685543932727,0.25,44,0,39,4716
800_0218,0.002716459608659375,0.006378823115420536,0.01102507641771627,0.02197236432373321,0.04361741683125387,0.07284935409660838,0.10446911790580334,0.11764094804872499,0.0917106458945833,0.05070987935018352,0.03157949325271368,0.03401009522018498,0.03648661057672722,0.035323141074778484,0.033690545739534776,0.03009451992321784,0.025020842696765296,0.02453327443500657,0.027408504084529963,0.0271337669524454,0.023055375290757272,0.025916153783648626,0.03262974826470511,0.03431202805275041,0.02418333623641013,0.0092045885202434,0.0026782259771128913,0.0016688195678680267,0.0016620206427478096,0.0016664248047690026,0.001946969925519014,0.012705429384877296,0.001538401320015441,0.006986597474345206,0.012989635465307427,0.03421444833796835,0.0642980404341711,0.0938111008665409,0.1412227308050654,0.12092174596837504,0.05899344748774488,0.03372437520906007,0.041807196136492905,0.045440299491825764,0.034454089803946535,0.02518828343160854,0.02089315194645244,0.019992005344891033,0.02333429637676197,0.02925772913919112,0.028595067911077326,0.02142151375893246,0.025068710432733145,0.03341115671131533,0.03666470387845922,0.026582778757581492,0.009437045696924507,0.004313326179506157,0.002535613705664127,0.0011574688311948556,0.0005795326699637691,0.000297005676304221,0.00011640750742266455,0.0007520932431566478,0.002475084003885352,0.009665208815634952,0.027864197223660302,0.0615947933115753,0.094973194067858,0.1422456524865128,0.13539833663608786,0.07583876164653121,0.04779864567613686,0.0534186316753058,0.04099347215105219,0.026431853630317723,0.023693758575729237,0.023615557173840424,0.028786704011024494,0.03300250552777385,0.02711348028113528,0.027718254304683013,0.0361884212818798,0.039540484048235264,0.025958241056963646,0.008920767803990128,0.003330812684603204,0.0014623194210993274,0.0005844598262249791,0.00025001877274061533,0.00013911646784444236,0.00011938031678697004,9.364349497562186e-05,8.120173726575086e-05,8.632157561538805e-05,0.0006167203130302198,0.4,33,0,39,4716
800_0226,0.0012022261277352324,0.003784854262975597,0.004692827315669854,0.008567526483877794,0.02893300476816601,0.05909127493664064,0.04826763387936868,0.02214057578693017,0.01745752020574483,0.02098211601928054,0.02429121067991673,0.02708270619901219,0.017651606120816298,0.013862375221832136,0.01872679970025273,0.02908998561820892,0.04898496176857053,0.06670466724463953,0.06854420314285406,0.05809142005377922,0.03541400444247824,0.02715782468748617,0.029083434427202393,0.032996559909045244,0.039558183274357936,0.042368506586093986,0.03193372550928078,0.04068523586159392,0.054025717883914665,0.038031893399900776,0.01853312667537076,0.02206229180700345,0.0013137064788966868,0.005311584553634876,0.005778866144083482,0.014360513472441725,0.06051092903815964,0.06518905746308376,0.029844335994401432,0.02023038061428812,0.03276768111400636,0.03145292864662964,0.016067511619830974,0.013106868753109064,0.01432671152892907,0.022660762373658355,0.041725636561062936,0.07607471462681663,0.0921790285255372,0.08902451995184489,0.08744408641053969,0.06301290595638691,0.039532666660647635,0.04804241604400991,0.06880151630894228,0.03646503018282337,0.015284974606702828,0.006878392718687013,0.002140257586224133,0.0004286901207378997,3.1489758451531875e-05,3.771063730646736e-06,3.3031215158949514e-07,7.734809549720677e-06,0.0015885537150317796,0.005972979585167575,0.011627015261962859,0.04815389639517136,0.07454591988520992,0.044860601665786204,0.032044958126328536,0.044703125347515915,0.01975313460726656,0.02300117657188396,0.03674645613597762,0.057306240543438365,0.08354461383096254,0.1254101375882236,0.12215347998165225,0.11001126034124767,0.10283993579612606,0.03956313795663178,0.011686994443488986,0.003587795538539831,0.0006579818059662743,8.169720549313512e-05,2.433299516709281e-05,2.625981605136486e-05,3.011345781990897e-05,2.9039943327243116e-05,3.00308797820116e-05,1.5029202897322027e-05,1.7341387958448494e-06,9.634104421360277e-07,8.533063916061957e-07,5.505202526491585e-07,0.0,44,0,39,4716
800_0230,0.004788232475453954,0.011262956218885971,0.013967992532302877,0.01934775901922835,0.041979481449559465,0.08421831299014194,0.10271028827662718,0.10945245475879617,0.09843640687322333,0.06711474978083788,0.0521471500997873,0.04833141165063808,0.03674180423984274,0.02832820321860565,0.02534922802747052,0.019983444754962332,0.014674392594489643,0.01091199955782213,0.010721216764266569,0.01695117920337077,0.02556872045220174,0.029618650216827906,0.02340432255289894,0.013513372907665204,0.010018257453658856,0.011224887743415282,0.012265508650985356,0.011247293917698105,0.014454212019442612,0.013382404139559968,0.005778012837691876,0.012105692621641304,0.002720148094352125,0.01375381262800972,0.01814269771219197,0.02490757315478273,0.07161420685776472,0.11251045713219908,0.11860361528851995,0.12036866579655105,0.07905107484675168,0.05850265868250815,0.060613518487240815,0.042603798942076235,0.025018172673539948,0.014421566168460518,0.014249280855393962,0.016012872484755542,0.01348579184300748,0.012866016142575057,0.021988467041123203,0.032655842924680684,0.041515420402588855,0.03413754065867326,0.02483352818080142,0.012852280662271459,0.0037836155924071365,0.002794716062573453,0.0022578762382026267,0.0015817547899115625,0.0010311519592245064,0.00048550381081129287,0.00023587040224753197,0.0004005034838022628,0.004016843497441952,0.014025632002755244,0.024676217018606925,0.06093854564440487,0.11471410712551575,0.12781191982046874,0.1379512917297104,0.09811721523073737,0.07375182194677614,0.06566426654517052,0.03039072734515572,0.01778103343221411,0.01980196575367654,0.02347357800068221,0.025518925895349626,0.03029485424315687,0.03824811022912873,0.039243946314145794,0.029125356544441632,0.011314127076369713,0.0036710892527656493,0.0030030054001632623,0.002486452247102557,0.001686683950066492,0.0010656695790656086,0.0003840154022354205,0.00016369719712522728,0.0001049291601549296,0.00012455520716187212,0.00012386705684606065,0.00011348975008362402,0.00021206040132045587,0.25,44,0,39,4716
800_0236,0.005773883935797007,0.01325542664328644,0.0233972483676524,0.03409955476124047,0.04390211837991138,0.0598982550489864,0.08032107001758802,0.0846733455049691,0.06241537127416151,0.03865177920438373,0.02578218468016645,0.022578184335760983,0.02745356416720929,0.03333086333246645,0.036167859350443365,0.03590523366391708,0.0358834605879248,0.03595307387387229,0.037032561511279385,0.03635544912653356,0.032162576778307035,0.027590478554043143,0.024961771873656044,0.02372180758260171,0.02236328875513938,0.02059743999274194,0.018957054795923245,0.016540270886793437,0.012709007766519516,0.008538651696626345,0.005391905458496388,0.013635258091601724,0.0017357903566027966,0.014168354378254538,0.03322194290047981,0.039324955369323115,0.05468769096171264,0.07597801574443881,0.0877341280056479,0.09374305656331346,0.09583442795110236,0.07807238746760464,0.06155177015383077,0.05603737393911995,0.053715362091483684,0.05058433320656687,0.04235708329085152,0.030796268089269718,0.023185187966331944,0.01866995848416671,0.01624665091004301,0.015028267012892525,0.014452092516469915,0.013156498153885384,0.010636739431497554,0.00739673506256883,0.004483271781498952,0.002775145067591776,0.0016226859706960273,0.0009196440820504194,0.0006102241740489597,0.0004570969657745963,0.0003076857692056147,0.0005091761816752066,0.01585693762319267,0.05067726102521405,0.08403598068246454,0.12007185280233525,0.13042634050029958,0.11406413538922552,0.09280978710500998,0.07110467283792529,0.05877687282035269,0.05608964583710899,0.04858178826154292,0.03651777002302716,0.0255165311322506,0.018267830965619132,0.014816839709862615,0.014106145589705184,0.014214983443653918,0.012800201446370849,0.009594466963169537,0.005754725831004816,0.0028142870575551308,0.0012687014482426185,0.0006027095726002988,0.00035657196764086,0.00024429336211306406,0.00020839944164033892,0.00016116480396304115,0.00010594762262233056,7.577911277715667e-05,4.63813312856916e-05,2.1442763840684726e-05,9.5515263834629e-06,0.25,45,-17,18,4400
800_0238,0.005100955504971308,0.010792619241035164,0.01896655127028144,0.029669022819945306,0.04168908201628703,0.0572390220205899,0.07842584899581803,0.08698941173387675,0.06918255890181339,0.047253437943925766,0.033212033535932134,0.02458645469141248,0.025752759372662352,0.030943146892676517,0.034666425465393315,0.036049387392073265,0.036650638086004036,0.0368644051001077,0.03732224526822338,0.036983152318604134,0.03384807710983033,0.0289166267906497,0.02449451780922007,0.022310603966960857,0.020903198941063284,0.019166913116233104,0.017570101597411587,0.015428192450429503,0.012052649995298556,0.008285219698319305,0.005273130713987332,0.013411609238963005,0.002114135400235931,0.012158487513870359,0.025208267316779703,0.039474311513866836,0.05632680996195024,0.07497587620252891,0.08608320034599097,0.09761855398588774,0.10859581771966144,0.08744064565896062,0.060656183806821126,0.0534795192152488,0.05357244703389597,0.05150001354279821,0.04258965057158316,0.030489683360569408,0.02253224342067741,0.017487468507488946,0.014943789680123509,0.013717147979183287,0.01285027126334929,0.011274186832040015,0.00852794407771232,0.005916633837308932,0.003977123461213316,0.002558597926212229,0.0013884671292064426,0.0008235782979631411,0.0005544564724556,0.00040424702152027714,0.000269837501835985,0.0004904034410598704,0.01600040320103304,0.04470491453833702,0.08041622744325842,0.11695577054227785,0.13015994375004267,0.12193874955710644,0.10373623781946414,0.08025283303227215,0.05950556895277175,0.052279577746562056,0.0475346712149916,0.037335788066438544,0.02499477556280236,0.017136043904210356,0.01387126612391242,0.012747379028129162,0.012275060177368815,0.01056671325536058,0.007758013978369839,0.004758063965608779,0.0023279849923774965,0.0010731566545016374,0.0005692104152265975,0.00031927422052387946,0.00020058205405272086,0.00017379924376133933,0.00013421683759586484,9.961663971686523e-05,7.839408397724017e-05,5.4831817163856185e-05,2.6480024152424524e-05,1.4451156632040411e-05,0.25,45,-17,18,4400
800_0243,0.007531227160291019,0.02096628856201688,0.04173317868852423,0.07389099346664585,0.1082329147691151,0.1282699251446602,0.10618855781090246,0.06320451453032144,0.04303562702825424,0.03514257043190956,0.029580719371420382,0.02633639341850836,0.026464884845476672,0.028116280447348357,0.02973046088014095,0.03051828288769453,0.0307497766539335,0.02702291969957449,0.021161007575378886,0.01684201103727044,0.0147271874867187,0.01330439541975958,0.011902880960565354,0.011011148255324245,0.009941184618287977,0.008530889361063995,0.006962319531203378,0.00557894471433394,0.004434825999265826,0.003596879122708542,0.002841400179998102,0.012449409941382805,0.010682460138480069,0.0582848453445475,0.12750365600499786,0.13358244558272458,0.11119851231811086,0.08899726919933876,0.07667885555207382,0.07107725692934337,0.05910272575789573,0.03843311256003148,0.02759914924802237,0.023546824720297174,0.024438474847500384,0.026285084930961457,0.0226477425696832,0.017479348333762367,0.015205341852157125,0.013639194311408169,0.011899220000885237,0.01005929873849385,0.00823834289880623,0.006579955689725905,0.00502404782567622,0.0037138096243712225,0.0025094364676506594,0.0017017957310017113,0.0011876098150273972,0.0008445255935764416,0.0006951694490327249,0.0005017716842770756,0.000269837501835985,0.00039287877830307204,0.08031746410993316,0.17593771215674234,0.1768020840054268,0.13390571107508015,0.08615611675345435,0.064853597947132,0.052874690139675794,0.03874129379746448,0.030122486352052412,0.02980913022424452,0.0296199989914469,0.023502645470022083,0.01776663732760734,0.013694824382938365,0.011019461111139248,0.009262723458923152,0.007798697425040611,0.006268361226726481,0.004716829998685358,0.0028619621114345482,0.0015610827544245865,0.0008461221023091242,0.0005119563089510848,0.0003472131233458242,0.00027762736341097066,0.0001992608054463629,9.51849516830395e-05,5.99241295008609e-05,4.0325608506550864e-05,1.9488416943780205e-05,4.183953920133605e-06,5.202416387534548e-06,0.25,45,-17,18,4350
