,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_0291,0.05088365106793222,0.10447627466908778,0.08746896992595943,0.06559845184896633,0.03785795652607627,0.02582672176860577,0.025207937004628117,0.02105178435725329,0.01962524875257616,0.022558613340779302,0.024592703096280047,0.022822670379962468,0.02612939780351228,0.03215649352951526,0.033449995915139724,0.0282834734480779,0.029752344060183757,0.03415821269416024,0.0334308928623728,0.028932454247913363,0.022334881910102685,0.019991262142549957,0.022327642568780347,0.02599452034161323,0.026304187983728383,0.026394170519023888,0.02541897894348117,0.021336265697809744,0.016164210502208797,0.012072331094330764,0.0102841587356884,0.017113142261700152,0.07177358247090665,0.12203897176910125,0.0912207379217508,0.07594292007833242,0.04811753453248389,0.02710186430380438,0.021863856781936062,0.02425952823937677,0.031531928302884794,0.032121067551257286,0.04029802744189314,0.043698893828645946,0.04209324645976941,0.038764498226113636,0.042952278262003166,0.03967863710563757,0.03169207464438043,0.029922619974328137,0.029685758635625836,0.030052432649902813,0.02450572089636148,0.019937008371651382,0.016095175262526594,0.008493041093694363,0.005149098501065478,0.003430539428370599,0.00272334111181749,0.001571294905111228,0.0006445491118016348,0.000393181564442029,0.00041198183106999777,0.0018346087419533208,0.08193695706316383,0.09815663248082702,0.09195491173068374,0.08778873961471069,0.07314368974968725,0.05353715868570117,0.0479213015884271,0.04183450194102431,0.043692149955550985,0.05320756221044011,0.04856931897782042,0.043996725285329136,0.03928275799195756,0.03502594271638584,0.03495957749992898,0.029606263511143305,0.025677310572036788,0.020292424246761673,0.015184779920720681,0.010393519583877157,0.006898046291706588,0.0054234502689731855,0.004394638020822439,0.002240177012079956,0.001001919333808836,0.0006868841192303551,0.0004958535915610972,0.0003811802229342773,0.00041057800442574236,0.0002538724145091594,0.0003951359113389335,0.0012560394824316875,-0.35,45,-17,18,4400
800_0343,0.11419086515138535,0.13790568112677842,0.11765435321687702,0.08596665520850515,0.05190373757007848,0.04103657788683462,0.040703017665754494,0.037563951185148985,0.02804702499956509,0.02114418918166045,0.02006695867728921,0.020285239957464604,0.02026181532071438,0.019714157773378996,0.01887018270005521,0.01639760356331941,0.015680248148104918,0.01396903852078291,0.00857341705058114,0.005885033974806872,0.006081789913103681,0.005505009844403158,0.004156372855475882,0.004863984062218478,0.0063520403051291535,0.003654105702971422,0.002702779180381044,0.003998263438915043,0.0020977849487322513,0.0012913003046138662,0.0011544684958179178,0.1223223520691524,0.17725117090152534,0.1823424097240374,0.12688476113696967,0.07468960567115135,0.0502155396893172,0.035692072222091316,0.024155177125487128,0.02248123771926946,0.025964929878033338,0.02829891554116471,0.024426143193841045,0.019658279967735108,0.01837757717798474,0.011708051843152815,0.008352961215407784,0.00930786611964038,0.005983577100031072,0.006890531690257927,0.0050560330523551356,0.004483189203461055,0.003759667961416898,0.003193402829541974,0.0025317050118703176,0.0021656916218965247,0.001833893065624877,0.001355903856262245,0.0009736501188353016,0.0008509666805324367,0.0009291680824212496,0.0010602469545770144,0.001001561495644614,0.11812411214846255,0.28012887238698314,0.22145599284235587,0.08913476163243789,0.04712266185790896,0.030975985425747036,0.028952520711122424,0.031023605427601193,0.02770570244292261,0.024887231431447342,0.02565977650198991,0.0218081716583806,0.0131236045687896,0.007758261712483531,0.005638428427632681,0.00277396144904858,0.002319837292638289,0.0024053881398999684,0.0022385529773346407,0.002204062883506171,0.0033253900601146096,0.003000115168836854,0.0021760964546715935,0.0018839078305780532,0.001058237555654845,0.0008985041043486916,0.001001561495644614,0.0009644013785907961,0.0009107807059827677,0.0008806947741754912,0.0009878810673662824,0.0011251532923643502,0.1144698963414406,0.6,67,-42,13,4600
800_0469,0.004156895849715897,0.01868140930542181,0.042801408186764665,0.0733412439423504,0.08510773351032193,0.07676261720851439,0.06309385995953896,0.05186120988056133,0.04147663625078972,0.033092488063069365,0.02853115250974476,0.027393034465430517,0.025983977878775,0.023204814013338886,0.021745522453629127,0.021420495296465062,0.02164053824144893,0.021033919975054827,0.02012280895692047,0.020953929382344902,0.02735491093793457,0.03647931618337962,0.0345210605926813,0.022057942697007525,0.01694886701830964,0.014100117392938675,0.01186219751389458,0.01127143423077677,0.014467589661581988,0.021238025358724502,0.0315453334710368,0.035747509611533085,0.006278050383173106,0.02840367954524385,0.05395170043594598,0.06317396065629942,0.0576654274822793,0.04533729715255511,0.04774664903827415,0.058300645275798535,0.06102616094261399,0.06566539511168845,0.0608897970760328,0.045144807746216334,0.033196866702971645,0.030164821359481137,0.029770291020420118,0.02787482226453643,0.028260434175504532,0.04077108949499456,0.048309225684456315,0.030430942849611738,0.023424829432310126,0.022040573783036446,0.030573114704858382,0.03467440800905672,0.02025518155166996,0.006005597910137038,0.0005926075259641867,3.864652173597093e-05,1.3460220177271926e-05,3.7435377180142776e-06,1.844242846374681e-06,1.3928162392023708e-05,0.01894053918834377,0.039522922452175764,0.03957480898598794,0.04821775674447867,0.06898346325244283,0.08070659935051823,0.07605093215190219,0.07813828474184674,0.07540514436953209,0.062325113478739674,0.0579379900593659,0.04173017835314729,0.029596932192860893,0.03407101028614061,0.044741881973302415,0.050687941118115434,0.024756785657582128,0.019591722069189826,0.02595788321879943,0.033035399112869644,0.03158444793498752,0.014987721196284913,0.0029908113765670834,0.00036978445370443975,3.451761984110224e-05,1.4038266442553544e-05,1.0514936825598928e-05,1.3570324227801758e-05,1.2028867520384113e-05,5.367572463329296e-06,3.4682775916896987e-06,4.404162021193268e-07,0.7,50,-27,23,4550
800_0501,0.013537017752516485,0.03263654718982533,0.08676386358636637,0.1292937551845245,0.08542664989268159,0.02443632781851505,0.013115319238987228,0.01793289444390738,0.02194013136294061,0.02315760690167422,0.023473440370619044,0.023776804555841358,0.01894111723460905,0.015857267935344258,0.015386600645341862,0.012508728498605752,0.011778628539542438,0.0136895118625003,0.015029037741246231,0.017260323851245905,0.025006226384057462,0.03506943381634512,0.04854314173980695,0.05146808336814456,0.045101949744547586,0.04345757327589719,0.039163432727195864,0.03329375826743789,0.024072021041324474,0.014811802449550875,0.0078797615322432,0.016191241046613868,0.011814770194128856,0.023250617298359297,0.08981077297667843,0.15354607160859154,0.107388664435665,0.04856458450364764,0.03235137769895306,0.027502065001467686,0.0198671473515902,0.01517996286851,0.013982443688934915,0.012824919805714796,0.012299668432662234,0.016685718337543346,0.030589822994526287,0.04613045920655938,0.0452181370438692,0.03323895397628667,0.03246395909061982,0.033808439651639585,0.0373654335820437,0.036959479947740216,0.03217589936842115,0.024780182768319718,0.018044622529182527,0.014015997898333885,0.009664768399432831,0.006992570619086449,0.0058854743910089925,0.0043761680663460594,0.002931107455167282,0.00028973880896925215,0.008702403945776838,0.03246448208485984,0.06989019763456862,0.10521719235111564,0.1346525193238114,0.10726741235001902,0.05840174832019755,0.027827257314707542,0.016697224210823713,0.019768108758138614,0.041823821848122916,0.05045856685484917,0.030300276867645463,0.025446367326050462,0.027533362077830796,0.02896124645712692,0.028923838605959408,0.03405766017001387,0.035106621459411576,0.02675220136533427,0.01519350566672517,0.011039307366247251,0.012235147459051752,0.014565472162503009,0.011871831618315941,0.008104318743298792,0.006824964728167413,0.004924431185959356,0.003930219135687607,0.0010313446413129335,2.5434035672391118e-05,1.513930694785186e-06,0.7,36,-27,23,4377
800_0502,0.012057191787382912,0.023242442072607457,0.01565186882908086,0.008580271027726622,0.006683343393173417,0.00589832903890835,0.007085113073556772,0.009699148389210772,0.0114496376365593,0.012890486767805312,0.01494467051252775,0.017765618865139936,0.02024956624509294,0.02341307582491606,0.02574015245887669,0.028806385110056707,0.03532041599952787,0.0381168937269098,0.050662121718266194,0.07330584549010506,0.07796745830744971,0.07168695810915231,0.057658325771020126,0.04722874711059445,0.040632633651453295,0.03747710661529358,0.034494965932705735,0.03403588709402159,0.03843102058307141,0.0444381874759285,0.04007779181482085,0.034308339567057665,0.022164578469945663,0.03642627355703687,0.01741353363755816,0.0124726418960446,0.01086077364831313,0.00962846158877062,0.012359895348302051,0.016260964436611892,0.019890819722454114,0.02095186493139747,0.02348156054434562,0.029685841213663737,0.03445598909881817,0.042290277658192536,0.05599715843466393,0.0844398698658206,0.11339654700485052,0.09557502280805406,0.06731679071356013,0.054216941093672345,0.044995864491862096,0.04640715068554085,0.05422781386866216,0.04872946531931606,0.017881090488133095,0.003664070119544372,0.0005068364706014479,0.0007198052303387748,0.0009333795623540158,0.0010895896840432146,0.0008879891675230928,0.0006711392400045893,0.018884854064788303,0.040697842775379585,0.035101253886948236,0.027243375534747847,0.02726096465681999,0.027879694368772374,0.0275707699289983,0.028617171299221186,0.03419014286881389,0.04546757777034453,0.06990897037518395,0.108987237619295,0.11832824505814485,0.07956341651987962,0.04783880612856762,0.04022923993632463,0.0448438933761183,0.05209055661781497,0.059549720677034214,0.045257058825731486,0.014151178146371884,0.00341834540477442,0.0012149156195587955,0.0009697138990288601,0.0005313346218443353,0.0001426122714487645,1.3735480303596506e-05,8.725746004489164e-06,6.798925120217107e-06,5.780462652816163e-06,5.615306577021417e-06,2.045182738591624e-05,0.7,36,-27,23,4377
800_0504,0.0035094014545625912,0.011972769506639164,0.02595072645551499,0.03739111535182978,0.043500486329591186,0.03873496281455902,0.03494900751107812,0.03324077069312041,0.03972188047148316,0.0520506438994979,0.056349271188258325,0.046225589106217164,0.02994736585968472,0.019503776458829118,0.015027165972387225,0.01293920781016476,0.013829123798572127,0.016869729731991325,0.02284089260032516,0.0312917638426666,0.035329912473886074,0.0338353325659815,0.03060248496033722,0.032640786195770724,0.04530264190265084,0.052196008772209916,0.04972912752008903,0.046127596501245614,0.03029449640499265,0.017916048524176317,0.01533105315184956,0.0248488601698377,0.007229982478041398,0.02171411527321549,0.044035481911115636,0.05080088034794642,0.04585781405143489,0.027575614507221614,0.01807190080770129,0.017521490659102662,0.021126324799461988,0.03438907336210866,0.05927402013450751,0.07663467630179872,0.063660042513376,0.03979201675167066,0.030397251010149614,0.03297420878678769,0.038930727816401056,0.0427905904638001,0.04128266043976879,0.03812625257120484,0.05050585654455173,0.05994070016046564,0.05451251541731968,0.04733362121872412,0.024930970265520318,0.008927952093287199,0.0012735460264659308,0.00018434170659957069,4.4537088439316916e-05,3.97750882539017e-05,4.20046952771308e-05,7.905470828041917e-05,0.017575331539811754,0.04019196971522028,0.04065190186029602,0.04068666721425082,0.039131502552542205,0.0448084398718477,0.03874101853733816,0.04043849268435657,0.061013801762942015,0.08553647868308509,0.08195815209289083,0.0642558155307929,0.05515299067925171,0.05024961689295618,0.039587938894013616,0.04844971845293239,0.07210433503869827,0.06450627471973565,0.041902463666213835,0.018165131412487427,0.010146693828601906,0.0036144957707933147,0.0004508210348943959,0.0002730305193013501,0.00028428865846802544,0.00010754413135501313,1.3900636379391253e-05,6.330982905465323e-07,1.6515607579474757e-07,2.4773411369212126e-07,2.7526012632457924e-08,1.101040505298317e-07,0.7,36,-27,23,4377
800_0517,0.0013698320186542687,0.008734774536632609,0.0255774186721936,0.061888027924148874,0.09042212571724532,0.09093449491638587,0.05646204526201351,0.03495630190442572,0.038338615758664256,0.05207552741491765,0.0528044712814504,0.034673912540829334,0.022756635475657202,0.02239709069865204,0.021739962199077367,0.01730890726354219,0.013535641451884859,0.011976705726445606,0.01336954949166061,0.01704603384290222,0.019157857058077026,0.021226244225317808,0.028301227726225838,0.03539768151698718,0.038124518432408994,0.039586452489331465,0.040828811543484826,0.03578139413308365,0.015102394564911734,0.010666797837292198,0.010296160077196151,0.01716238629829962,0.0006350526374434367,0.0075811042951810315,0.024151433587769115,0.06922872002499803,0.1051067304624216,0.10265829163876447,0.06848367344107527,0.0437652590451028,0.03668446755552933,0.03803536167749246,0.046922052277843615,0.04937786807288624,0.04098345268245397,0.0210431411892867,0.013998023412084887,0.015137793017157074,0.021180798778461626,0.022501221604440628,0.029643093316045532,0.03984467401383655,0.0431115712971072,0.042413484090735434,0.04822483092972521,0.01924698628698092,0.011224529905251059,0.01182423914247442,0.010610589719496721,0.00734600462128721,0.005410375412972767,0.0026995861629156787,0.0009138911454102355,1.169855536879462e-05,0.0058275596604303,0.014771944783259074,0.024836556042190996,0.04302924099332351,0.07907733466280305,0.10270508586023963,0.0982595522420598,0.09279112446844516,0.0762110509673852,0.06213700070840946,0.0488602689313455,0.021407585596540442,0.01909432702092131,0.024893424784289648,0.03264015309748018,0.04470717167137288,0.04905171234920425,0.04963314431403965,0.03062701063759274,0.007311459475433473,0.009522789226274614,0.01021027891778288,0.010705747145167126,0.012435646935066576,0.010846102283580027,0.008362980684006,0.0057636167330851005,0.003006721411868644,0.0012013177693183613,7.203557505914239e-05,2.7526012632457924e-08,2.7526012632457924e-08,0.15,51,-22,19,4393
800_0610,0.003389553195560869,0.019534935905129062,0.02793906797802059,0.02741384413098066,0.029196896651273382,0.020179897907120187,0.016642447445685122,0.01868947442712312,0.020922962618133388,0.02891626895248548,0.031039818249041708,0.026854102664099627,0.030148443381964825,0.04155849861235865,0.05037634665511602,0.06054255642667434,0.07346979042134398,0.09225277071337956,0.04440843185627282,0.02262302421033925,0.006794520958195914,0.00437517712989129,0.006283555585699598,0.009317665380137535,0.01035671730498756,0.011279692034566509,0.012491414636659936,0.013544945244154631,0.015060307291596704,0.016922139260043528,0.019500996331553243,0.1879737364404109,0.012116262610492168,0.03658553906612827,0.028296135413888836,0.025289579158095984,0.019591887225265617,0.022907615654946242,0.032244659347977024,0.040220156352155916,0.03735323955844752,0.03146063593016673,0.03105886624978337,0.04058121505985587,0.053082649165114015,0.07439284772896082,0.09383843419708493,0.07759481114843149,0.025189714784265425,0.009411143719037365,0.0038809475730755077,0.005402943389562004,0.009039212236347594,0.011401274432364071,0.012598215565673872,0.01485611932988913,0.015868801334637257,0.01772270581144593,0.020126332286537426,0.022769765383682892,0.02318348135354873,0.02256896312152911,0.019262043015890882,0.11010380279571799,0.023208392394981105,0.05526067244066988,0.03702835003134662,0.035018428114937175,0.04295525107136746,0.0375289380970805,0.02898849720963305,0.03685232118056205,0.02968950217334385,0.04141627170508674,0.058839081608902034,0.08533633704523448,0.12142115041556573,0.037785563112852916,0.018724680197280037,0.0035640130636253866,0.0046155067461852795,0.008085270742557129,0.012366474065321207,0.01513192997646636,0.018757628834401085,0.02016263909719964,0.022835607605899727,0.02505954427052653,0.02643386302923989,0.026927954955992508,0.026989998588466072,0.0249610561973276,0.017494928056912343,0.015233418385042231,0.012670966817061459,0.028655762768931895,0.0,29,-73,0,4437
800_1011,0.01415883037788371,0.0051420793678442,0.00934411787827733,0.02321147530839594,0.03242889095052607,0.03701329330243667,0.05007193648141366,0.05812891048298462,0.054294702079359033,0.047607725252518135,0.038600112878672606,0.032402410926373644,0.025649784559404327,0.020743437963744497,0.017769967975135862,0.01585368955370204,0.01849238817667472,0.0164009892628732,0.014978472456040406,0.01727697708888854,0.02074310765159291,0.022541299478833488,0.02350011307685989,0.02493553958361731,0.026692607547985,0.030640553435807905,0.035462119912559764,0.039701538748147774,0.041383240489927794,0.041583299549740486,0.034030189209406675,0.10921619899237177,0.016671019446797608,0.005352763468533034,0.013418325586045323,0.033486825720041954,0.03712846213929087,0.049345167169878884,0.06679828321360252,0.060643934731199674,0.05045421774485325,0.03980902782747752,0.03674730944236923,0.028282977979850518,0.022177047753668168,0.01906842504303417,0.021571007533539344,0.018362960865276903,0.018101904161470672,0.022467502238965868,0.026512917737520316,0.027967144510905696,0.0298693296138717,0.033460951268167435,0.037714683630324326,0.04440931268867705,0.0458805505378693,0.044846811133457336,0.04475616797385865,0.037782452673425435,0.025181264298387258,0.013814562537889557,0.007776015990631466,0.02014067333911894,0.020059113763688963,0.035055037711738346,0.05001380154273392,0.06002358098450197,0.05963896000998864,0.052781624690965465,0.045898937914307776,0.04064884647289382,0.0404920307789267,0.03423368902079844,0.02406692872898747,0.01993208121539017,0.02013717753551461,0.02014667400987281,0.025296956129481483,0.03079602035515603,0.034104729651615366,0.038218382135485666,0.04359982770918173,0.05077467558392031,0.053273129172530624,0.05279081837918469,0.052026145748255016,0.05203445860407002,0.030240738102321457,0.004670063303222812,0.001822332140319245,0.0015179770186421573,0.0013420582719081186,0.0008565269350841933,0.0006181241396744753,0.002888552239637502,-0.15,59,-33,18,4297
800_1016,0.02355857832769124,0.031375250238980835,0.0434237438063719,0.05486655499179835,0.06287593651752779,0.06900468580818245,0.07572851996593821,0.07610777336798821,0.06757597564850737,0.05685627281493558,0.0496474303145959,0.04487995245266682,0.040792642362885774,0.037576750781023086,0.03622112218488716,0.03233643107409364,0.026632160424244117,0.02136103910917896,0.017466356055799853,0.014527541317095482,0.012186151156565978,0.010881693417913795,0.010671504785452349,0.01108712005018983,0.01138693337978256,0.010909549742697843,0.009828906012760178,0.008475011555420103,0.0072474064440377454,0.006081597231015254,0.0048275671475057355,0.013601841512265922,0.008904940346726464,0.03778509517063816,0.06499758651921239,0.07432249124067226,0.0725059946150311,0.07747966983758993,0.08954825739420266,0.08187075700278278,0.06827276913228539,0.06162933845742904,0.05848782216169925,0.05600280126725358,0.049938352742108345,0.03762651781186257,0.028726614725447838,0.02402943829978206,0.02176157011899385,0.01935659486928337,0.015652061511169286,0.012438372010317191,0.009905593483954206,0.007986562461257138,0.006097039324102063,0.004287726987757971,0.0029764427979729405,0.002279181371980149,0.001855308303452929,0.00132146881445904,0.0007837481576839745,0.0003928512522904395,0.00014299763562561888,0.0006340341749760357,0.032511028572221316,0.06320773507379944,0.07775597595239453,0.08050565945830128,0.08184903897881576,0.09284119428542363,0.09567618090447837,0.09379477794104983,0.09560830175732672,0.09408201188286956,0.07574074151554702,0.04979461190414165,0.029400589144753575,0.01685084688732546,0.009751117501060851,0.005276901777717979,0.002628128634121818,0.0012731606622890766,0.0006112701625289932,0.0002927116183335576,0.00013892378575601516,8.541321719851696e-05,6.375024525677255e-05,5.315273039327625e-05,4.4124198249830045e-05,3.771063730646736e-05,2.881973522618345e-05,2.3920104977605935e-05,2.265390839651287e-05,1.6377977516312465e-05,1.3597850240434214e-05,1.9570994981677585e-05,0.35,28,-33,18,4036
