,Exposure,Contrast,Highlights,Shadows,Temperature
800_5148,0.0,52,-57,14,5470
800_5150,0.0,52,-57,14,5470
800_5153,0.0,52,-57,14,5470
800_5156,0.0,52,-57,14,5470
800_5157,0.0,52,-57,14,5470
800_5167,-0.2,52,-57,14,5470
800_5169,-0.2,52,-57,14,5470
800_5178,0.0,52,-57,14,5470
800_5185,0.0,52,-57,14,5470
800_5191,0.0,52,-57,14,5470
800_5195,0.0,52,-57,14,5994
800_5204,1.0,52,-57,14,5994
800_5207,1.0,52,-57,14,5994
800_5211,1.65,52,-57,14,5994
800_5216,1.0,52,-57,14,5994
800_5219,1.0,52,-57,14,5994
800_5227,0.8,52,-57,14,5994
800_5231,0.85,52,-57,14,5994
800_5235,0.9,52,-57,14,5994
800_5238,0.9,52,-57,14,5994
800_5248,1.0,52,-57,14,5994
800_5251,1.0,52,-57,14,5994
800_5254,1.0,52,-57,14,6109
800_5261,0.85,52,-57,14,6112
800_5267,0.85,52,-57,14,6208
800_5272,0.85,52,-57,14,6112
800_5278,0.85,52,-57,14,6112
800_5282,0.85,52,-57,14,6112
800_5290,0.85,52,-57,14,6112
800_5299,0.65,52,-57,14,6112
800_5305,0.6,65,-57,14,6112
800_5308,0.85,52,-57,14,6112
800_5320,0.85,52,-57,14,5914
800_5323,0.85,52,-57,14,6035
800_5334,0.85,52,-57,14,6227
800_5340,0.85,52,-57,14,6271
800_5347,0.85,67,-57,14,6033
800_5350,0.85,52,-57,14,6182
800_5365,0.15,56,-46,19,5550
800_5366,-0.35,56,-46,19,5550
800_5379,-0.4,66,-57,14,5876
800_5381,-0.4,66,-57,14,5876
800_5382,0.1,68,-57,14,6003
800_5392,0.1,52,-57,14,5873
800_5399,0.1,52,-57,14,5873
800_5401,0.1,52,-57,14,5873
800_5405,-0.25,71,-57,14,5873
800_5420,-0.1,52,-57,14,6662
800_5437,1.05,64,-57,15,6083
800_5442,1.05,64,-57,15,6083
800_5453,1.05,64,-57,15,6083
800_5458,1.05,64,-57,15,6083
800_5460,1.05,64,-57,15,6083
800_5462,-0.05,59,-57,15,6083
800_5463,-0.05,39,-57,15,6083
800_5467,-0.05,39,-57,15,6083
800_5476,0.9,24,-59,0,6176
800_5481,-0.35,53,-58,0,5757
800_5483,-0.45,53,-58,0,5757
800_5486,-0.85,53,-58,0,5757
