,Exposure,Contrast,Highlights,Shadows,Temperature
800_6689,0.0,27,-30,22,3454
800_6696,0.25,39,-30,22,3454
800_6697,-0.35,27,-30,22,3553
800_6700,-0.7,27,-30,22,3781
800_6702,-0.85,44,-30,22,4188
800_6728,0.25,39,-30,22,2886
800_6731,0.25,39,-30,22,2886
800_6738,-0.7,42,-30,22,5757
800_6740,-0.7,42,-30,22,5757
800_6751,-0.35,45,-30,22,6018
800_6759,-0.9,27,-62,22,5948
800_6765,1.45,30,-22,38,5050
800_6767,1.45,30,-22,38,5250
800_6777,-0.7,30,-22,38,5165
800_6784,-0.2,30,-22,38,5200
800_6785,-0.2,30,-22,38,4450
800_6787,0.15,47,-22,38,4700
800_6789,0.55,30,-22,38,5335
800_6799,0.0,42,-22,38,5150
800_6801,-0.1,48,-22,38,4750
800_6805,-0.2,30,-22,38,5100
800_6807,0.25,44,-22,38,4950
800_6812,0.2,30,-22,38,5198
800_6816,0.1,30,-22,38,5198
800_6821,-0.6,30,-22,38,5198
800_6824,-0.25,30,-22,38,5198
800_6826,-0.6,30,-22,38,5198
800_6833,-0.6,30,-22,38,5198
800_6834,-0.85,30,-45,38,5198
800_6838,-0.6,30,-22,38,5198
800_6840,-0.6,30,-22,38,5198
800_6842,-0.6,30,-22,38,5198
800_6846,-0.8,48,-22,38,5198
800_6847,-1.4,44,-22,38,5198
800_6853,1.15,53,-22,38,4850
800_6855,0.3,53,-22,38,4900
800_6858,0.4,33,-22,38,4750
800_6860,0.3,41,-22,38,5300
800_6869,-0.3,30,-22,38,4950
800_6873,-0.35,30,-22,38,5300
800_6876,-0.35,30,-22,38,5300
800_6884,-0.35,30,-22,38,5150
800_6886,-0.35,30,-22,38,5250
800_6889,-0.6,49,-22,38,5150
800_6890,-0.6,49,-22,38,5000
800_6892,-0.6,49,-22,38,4800
800_6896,-0.25,49,-22,38,5400
800_6898,-0.75,48,-51,38,5250
800_6904,-0.6,49,-22,38,4900
800_6906,0.8,51,-22,38,5150
800_6909,0.3,66,-22,38,5100
800_6912,-1.45,51,-22,38,5100
800_6916,-0.85,51,-22,38,5000
800_6938,0.6,44,-22,38,5026
800_6940,0.4,44,-22,38,5026
800_6944,-0.05,44,-22,38,5026
800_6947,-0.05,44,-22,38,5026
800_6954,0.2,48,-22,38,4950
800_6958,0.2,48,-22,38,5100
800_6961,0.2,48,-22,38,5150
800_6964,-0.15,48,-22,38,5050
800_6965,-0.3,48,-22,38,4900
800_6975,-0.25,30,-46,38,4900
800_6977,0.25,30,-46,38,4500
800_6978,0.05,30,-46,38,4950
800_6981,-0.3,30,-72,38,5317
800_7014,0.25,55,-46,38,5600
800_7018,0.05,30,-46,38,4619
800_7029,0.5,72,-22,38,2769
800_7034,0.3,30,-22,38,5000
800_7035,0.3,30,-22,38,5350
800_7039,0.75,30,-22,38,5250
800_7044,0.75,30,-22,38,5300
800_7047,0.75,30,-22,38,4950
800_7051,1.45,48,-22,38,4950
800_7058,1.1,54,-22,38,5102
800_7068,0.7,49,-22,38,5700
800_7082,1.25,30,-22,38,5500
800_7091,0.35,30,-22,38,5083
800_7122,1.15,51,-43,35,3793
800_7125,0.85,51,-19,35,3723
800_7130,1.15,51,-19,35,3723
800_7133,0.5,36,-19,35,3556
800_7135,0.5,36,-19,35,3556
800_7138,0.5,36,-19,35,3556
800_7139,0.5,36,-19,35,3556
800_7147,0.05,23,-19,35,3397
800_7156,-0.2,46,-70,35,3535
800_7164,1.1,33,-53,18,3535
800_7166,1.9,23,-55,35,2919
800_7173,1.0,40,-55,35,2919
800_7176,0.0,45,-55,35,3352
800_7180,-0.1,45,-19,35,3535
800_7181,0.0,45,-41,35,3535
