,Exposure,Contrast,Highlights,Shadows,Temperature
800_0573,0.95,27,-33,27,2664
800_0577,0.95,27,-33,27,2664
800_0578,0.95,27,-33,27,2664
800_0661,-0.05,28,-33,18,3800
800_0669,1.25,28,-33,18,3898
800_0671,1.35,28,-33,18,3898
800_0672,0.5,28,-33,18,3812
800_0675,0.35,28,-33,18,4234
800_0685,0.1,47,-33,18,3632
800_0686,0.35,51,-33,18,4036
800_0689,0.35,28,-33,18,3434
800_0692,0.35,28,-33,18,4036
800_0694,0.35,28,-33,18,3467
800_0696,0.35,28,-33,18,3467
800_0702,0.35,28,-33,18,3467
800_0707,0.35,28,-33,18,3467
800_0709,0.25,28,-65,32,3467
800_0714,0.35,28,-33,18,3467
800_0716,0.35,48,-33,18,4036
800_0719,0.3,28,-33,18,3914
800_0722,0.3,28,-33,18,3914
800_0730,0.85,50,-33,18,4026
800_0732,0.35,28,-33,18,4036
800_0734,0.35,45,-33,18,4218
800_0736,1.65,28,-33,18,4036
800_0742,1.5,48,-33,18,4157
800_0747,-0.35,51,-33,18,4036
800_0752,0.15,28,-33,37,3566
800_0756,0.35,28,-33,18,3710
800_0758,0.35,28,-33,18,3710
800_0760,0.35,28,-33,18,3710
800_0765,0.55,28,-53,30,3662
800_0770,0.55,28,-33,30,3662
800_0777,0.3,28,-33,30,3662
800_0782,0.55,28,-33,30,3662
800_0786,0.55,28,-33,30,3662
800_0788,0.55,28,-33,30,3662
800_0789,0.55,28,-33,30,3662
800_0790,0.35,28,-33,18,4036
800_0793,0.35,28,-33,18,4036
800_0799,1.19,28,-33,18,3957
800_0802,0.2,28,-50,18,4036
800_0814,-0.15,28,-64,18,3894
800_0824,0.15,44,-33,18,3727
800_0831,0.35,28,-33,18,4036
800_0840,0.1,50,-33,18,4036
800_0850,0.35,28,-33,18,4036
800_0867,0.35,28,-33,18,4232
800_0871,0.9,28,-33,18,4036
800_0888,0.35,28,-33,18,4442
800_0892,0.7,28,-33,38,4233
800_0898,0.7,28,-33,38,4233
800_0908,1.9,28,-33,18,4036
800_0910,0.35,28,-33,18,4036
800_0911,0.35,28,-33,18,4036
800_0913,0.35,28,-33,18,4036
800_0915,0.35,28,-33,18,4036
800_0920,0.35,28,-33,18,4036
800_0929,0.35,28,-33,18,4036
800_0931,0.8,28,-33,18,4036
800_0935,1.51,28,-33,18,4036
800_0937,1.51,28,-33,18,3984
800_0947,1.13,28,-33,36,4036
800_0962,0.85,28,-33,18,4320
800_0969,0.85,28,-33,18,4320
800_0974,0.85,28,-33,18,4320
800_0982,0.85,28,-33,18,4320
